african_american_english,standard_american_english
My Pastor is off the Chain Today!! We are plunging in!! Preach @AGMaclin!! I'M ALL IN!!,"My pastor is excellent today! We are diving in! Preach, @AGMaclin!! I'm all in!!"
Spend less time focusing on what you did wrong and more time focusing on how to never let it happen again.,Spend less time focusing on what you did wrong and more time focusing on how to never let it happen again.
Dont worry....we all have our struggles.  So stop trying to put mine on Display before I kick your closet door open.,"Don't worry, we all have our struggles. So stop trying to put mine on display before I kick your closet door open."
Love is truly blind....Sooner or later U figure that out. Ladies... Happiness might not have  six pack abs and Fellas..it might wear a wig.,"Love is truly blind. Sooner or later, you figure that out. Ladies, happiness might not have six-pack abs, and fellas, it might wear a wig."
Obstacles bring you closer to God. Now....see why they're necessary?? JUST REMEMBER: Your Best Is Yet To Come.,"Obstacles bring you closer to God. Now, see why they're necessary? Just remember: your best is yet to come."
Funny Statistic....Twitter activity is down 40% on Legal Holidays when Gov offices are shut down..WOW! Says alot about what yall do all day!,Funny statistic: Twitter activity is down 40% on legal holidays when government offices are shut down. Wow! Says a lot about what y'all do all day!
Today was a Great Day to be an American! And to be African-American just added more meaning to the occasions. #ProudBlackMan,Today was a great day to be an American! And to be African-American just added more meaning to the occasions. #ProudBlackMan
Anyone that left their animal outside tonight should be made to go out there with them. #CruelPeople,Anyone who left their animal outside tonight should be made to go out there with them. #CruelPeople
#ThirdShift....Bring it on! We ain't Scurd! Snow??? We laugh at Snow!! **in my quiet punk voice** {{Please Baby Jesus...Not Tonight}} LOL!!,#ThirdShift....Bring it on! We aren't scared! Snow??? We laugh at Snow!! **in my quiet punk voice** {{Please Baby Jesus...Not Tonight}} LOL!!
#RealLife.....Somethings are learned and don't come with a scripture. ((That one is for the Saints)),#RealLife.....Some things are learned and don't come with a scripture. ((That one is for the Saints))
Im so faded my nigga im bout to disappear in this bitch.. Like poof! Der go my roof... Pow! Der go my hamma,"I'm so faded my friend, I'm about to disappear in this place.. Like poof! There goes my roof... Pow! There goes my hammer"
I got a headache rite... I drunk some frozen koolaid real fast rite... Got brainfreeze.... Headache gone.... Boom!,I got a headache right... I drank some frozen Kool-Aid really fast right... Got brain freeze.... Headache gone.... Boom!
My whole life was a battle..... I made moves wit horses.. No saddle... Jus raddle,My whole life was a battle... I made moves with horses.. No saddle... Just rattle.
I strive for da gold...  And pic my own shit. Move bricks ill break and go pitch da whole load,I strive for the gold... And pick my own things. I will break bricks and go pitch the whole load.
Do I herr my g code..... .. Unless u not blessd to undastand ima man dat got stuck up in dis mess..,"Do I hear my code... Unless you are not blessed to understand, I am a man who got stuck up in this mess."
I love yhu sorya &amp; I want yhu to know yhu do got a friend&amp; im here for yhu nmw on some friend type shit I dont wany to see nothing happend,"I love you Sorya and I want you to know you do have a friend and I'm here for you no matter what, on some friend type shit. I don't want to see anything happen."
"@KardinalRule @PAUL_THE_GREAT  Was that suppose to be a joke, NOT FUNNY! Better luck next time :-)","That was not supposed to be a joke, it was not funny! Better luck next time :)"
Relationships r wut u make it so dont be such a bitch about thing and relationships will last longer.,"Relationships are what you make them, so don't be so negative about things and relationships will last longer."
@2Slick__ next time I'm in JA I guess unless you're planning a trip to NYC in the near future?!,"Next time I'm in Jamaica, I guess, unless you're planning a trip to New York City in the near future?"
@conceited_CASHE soon.! Mite hav that hook up for yo ass lol...bt yu jus make sure yu call me n we go talk about this .,"Soon! I might have that hookup for you, lol... but you just make sure you call me and we'll talk about this."
@LoVEme_ai look around 2:13 a.m Myself jumped up and was like self!? Itold myself huh? Myself sed.bitch yu 4gt to call ai.! myself sed damn!,"Around 2:13 a.m., I jumped up and was like, 'Self!?' I told myself, 'Huh? Self said, 'Bitch, you forgot to call AI!' I said, 'Damn!'"
@LoVEme_ai I love yu lol i am after class..bt fina txt yu now cus I jus gt slick pissed.  .,"I love you, lol. I am after class, but I'm about to text you now because I just got really upset."
@GritzN_Gravy right I need to cheer up because he's in a better place and people blaming honey cocaine,I need to cheer up because he's in a better place and people are blaming honey cocaine.
@iamfocus @melvinwjr @MaJorMaJeed ha ha ha pretty much that 97-2002 class was real smooth from every school,"Ha ha ha, pretty much that 1997-2002 class was really smooth from every school."
after school traffic at washington went down also soon as it got hot in the school year nigga left tech early to get to washington,"After school traffic at Washington went down also as soon as it got hot in the school year, people left Tech early to get to Washington."
chicks would be scared to holla after the basketball games but would find a niga on blackplanet and get at me all the time lol lol,"Chicks would be scared to holler after the basketball games but would find a guy on Blackplanet and get at me all the time, lol lol."
@melvinwjr is too funny this nigga changed his name to his bp name lol lol lol,"Melvinwjr is too funny, this guy changed his name to his Blackplanet name, lol lol lol."
@Miss_CamillaB i thought yall school had a sex scandal from all those nuns being in the same place with no penis around,I thought your school had a sex scandal from all those nuns being in the same place with no penis around.
its gonna be alot of headlights on this cold am the big nipples are out,"It's going to be a lot of headlights on this cold morning, the big nipples are out."
wheres is the jayer @Tiera_Nichole at with her goofy ass i saw her begging for change in the middle of the grand ave mall the other day ha,"Where is Jayer @Tiera_Nichole at with her goofy self? I saw her begging for change in the middle of the Grand Ave Mall the other day, ha."
Word of advice if its real cold dont let nobody use ya jacket trynna b a gentlemen you gon get the flu,"Word of advice, if it's really cold, don't let anyone use your jacket trying to be a gentleman. You're going to get the flu."
"It's freezing cold in my house but my mom still expects me to get up and put all these clothes away , hmm idk about it","It is freezing cold in my house, but my mom still expects me to get up and put all these clothes away. I'm not sure about that."
@MrsStealUrGurl only the last half hour.. Bout to watch the beginning. But this headache is stopping me.,"Only the last half hour. I'm about to watch the beginning, but this headache is stopping me."
So she just outed him to his wife cause he didn't give her the job. Smh.,She just outed him to his wife because he didn't give her the job. Shaking my head.
She ain't gonna see anything unless I @ her cause she is a lil on the nice side.,"She won't see anything unless I mention her, because she is a little on the nice side."
Reconnecting with someone you've know for years that you have seen for a really long time... Priceless!,Reconnecting with someone you've known for years that you haven't seen for a really long time... Priceless!
Damn. Checks bank account. I think I'll pay my bills and stay my ass in Philly instead.,Damn. Checked my bank account. I think I'll pay my bills and stay in Philadelphia instead.
Exactly why I need a change... Not being able to do what you want when you want it sucks!,Exactly why I need a change... Not being able to do what you want when you want it sucks!
When people email you instead of texting or calling that means they shouldn't be talking to you in the first place.,"When people email you instead of texting or calling, that means they shouldn't be talking to you in the first place."
So at 2PM I was super tired. Now at almost 1AM my body is like naw it aint time to sleep yet. Wtf??,"So at 2 PM I was super tired. Now at almost 1 AM, my body is like, 'No, it's not time to sleep yet.' What the heck??"
But then my alarm is gonna go off at 5:30 and I'm not gonna wanna get up,"But then my alarm is going to go off at 5:30 AM, and I'm not going to want to get up."
I guess I need to lightly toast this bread so I can make a sandwich. Cause using the microwave proved to be a failure,I guess I need to lightly toast this bread so I can make a sandwich. Using the microwave proved to be a failure.
I can see working with dude will guarantee me out of work late every time.,I can see working with this person will guarantee me getting out of work late every time.
Finding this new thing to be quite interesting. I should have some fun with this...,Finding this new thing to be quite interesting. I should have some fun with this...
Can't believe I came home at 4 and sat around in my jeans until just now. That's a first.,I can't believe I came home at 4 and sat around in my jeans until just now. That's a first.
@SaFcknMantha gotta find out if the folks still going down or not. But I'm going back when the boy gets outta school.,I need to find out if the folks are still going down or not. But I'm going back when the boy gets out of school.
@MrsStealUrGurl I can't treat but if you find a friend makes sure he has another.,"I cannot treat, but if you find a friend, make sure he has another."
I swear I'm gonna go to sleep and its gonna feel like I gotta get right back up.,"I swear I'm going to go to sleep, and it's going to feel like I have to get right back up."
As soon as I stop caring... Here you come.. Leave me in my friend zone! I'm cool there.,"As soon as I stop caring, here you come. Leave me in my friend zone! I'm cool there."
Last Tuesday I forgot my meds at home. This Tuesday will probably be no different.,"Last Tuesday, I forgot my medication at home. This Tuesday will probably be no different."
Hardest I've ever worked In one day in 4.5 years. I still don't like the job tho.,"The hardest I've ever worked in one day in 4.5 years. I still don't like the job, though."
Females are the pettiest people.. I see why mfs don't like havin none or too many as friends..,Women are the most petty people. I see why men don't like having many of them as friends.
She didn't leave you for making too many mistakes she left because you made the same mistakes too many times..,"She didn't leave you for making too many mistakes, she left because you made the same mistakes too many times."
I don't get girls they try there hardest to fuck with a nigga who might have there back or might look out for you cause he talk that cash,I don't understand women. They try their hardest to mess with a guy who might have their back or look out for them because he talks about money.
Smh what are you gone dick suck let me guess whatever team that's winning Smh where are the true fans,"What team are you going to support? Let me guess, whatever team is winning. Where are the true fans?"
I hate people that just swear they be mad all the time bitch smoke some weed and be happy,I dislike people who constantly claim to be angry. They should smoke some marijuana and be happy instead.
Girls like girls boys like boys it don't matter to me just don't fake it you are who you are,"Girls like girls, boys like boys, it doesn't matter to me. Just don't pretend to be someone you're not - be true to yourself."
Damn that way I miss girl cuz I know she would drink with and blow that loud.,"Damn, I really miss that girl because I know she would drink with me and smoke that loud (marijuana)."
I'm so use to the past I don't know if I can take what's happening now,"I'm so used to the past, I don't know if I can handle what's happening now."
I try fuck with one girl but she keep swearing u fuck with other girls,"I tried to interact with one girl, but she kept accusing me of engaging with other girls."
Sometimes ii Feel ii talk Da Most Shit..Bt Den ii B Like..Who Da Fukk Gone Check Me..??,"Sometimes I feel I talk the most nonsense. But then I'm like, who the fuck is going to check me?"
Bitches give Dey self a reason too hate Me..Hell Y not jus Make it 2.!,"Bitches give themselves a reason to hate me. Hell, why not just make it two?"
Everybody walking around wanna B Bad...But wen it Aww Boils Down Dese Bitches ain't Bad after aww.!,"Everyone walking around wants to be bad, but when it all boils down, these women are not bad after all."
You Can't B happy having So Much hatred in Yo life#Some Shit ain't gone turn out right.!,You can't be happy having so much hatred in your life. Some things aren't going to turn out right.
Mii nose Making Me Mad af I swear..It's aww Stopped up in Shit..Fucking With me..A nigga Can't Fuckin Breath fr,My nose is making me very upset. It's all stopped up and messing with me. I can't breathe properly.
Can't wait for duflocka rant 2 shit gonna be hard ass fuck like tht metal jacket2,"I can't wait for Duflocka Rant 2, it's going to be really hard-hitting like Full Metal Jacket 2."
Finna watch this movie and wait for the bae to finish getting his hair done,I'm going to watch this movie and wait for my significant other to finish getting their hair done.
My bae gone tell me nt to wear my favorite color fuck kinda drugs he smoking,My significant other is going to tell me not to wear my favorite color. What kind of drugs are they smoking?
@iKillajay Your  Welcome Love. Seen Your Videos Too You &amp; @iiDayDay Make A Dope Team. Juss Saying,"Your welcome, love. I've also seen your videos. You and @iiDayDay make a great team. Just saying."
I hope my momma go take me to get a tattoo soon like she said,I hope my mom takes me to get a tattoo soon like she said she would.
@Queensboromafia how you gone tell me to dm you but you dont dm back -_-,How can you tell me to direct message you but you don't direct message back? That's frustrating.
@LeviDenimFlow you and @Mr_StealYoPlate  should be asleep you guys have class tomorrow n it's almost 2:00! Shame on yall,"You and Mr. Steal Your Plate should be asleep, you have class tomorrow and it's almost 2:00 AM! Shame on you all."
@AlexisF__ sorry it won't happen again bae lov u u my world I dnt wanna lose u,"I'm sorry, it won't happen again, babe. I love you, you are my world, I don't want to lose you."
Boi me an my gf broke up smh. Now i need a friend 2 talk 2,"My girlfriend and I broke up, that's a shame. Now I need a friend to talk to."
One thing about me ill never tell nobody nun wrong because I then already been there &amp; learnt from it!,One thing about me is I'll never tell anyone anything wrong because I've already been there and learned from it!
Dat shyt gone put me rite bak ta sleep n dats wastin it .... nvm,That's going to put me right back to sleep and that's wasting it... never mind.
@TweetWatching_ ...... Cuz ma mom aint pay da bill n I had money for it n dis rump-a-skunk sid spend it so I bought other shyt wit it -_-,Because my mom didn't pay the bill and I had money for it and this rump-a-skunk side spent it so I bought other stuff with it.
"@WatchYa_Aim Lol  , You Coulda Looked Over It &amp; Act Like Yeen C It . &amp; Terry Want Yo # .","Lol, you could have looked over it and acted like you didn't see it. And Terry wants your number."
@JERRI_NoTom Stfu  .  You Know I Fwu 103 TouGh  ( : You MY Nigga Foo '  .,"Shut up. You know I'm with you 103 tough. You're my friend, dude."
"I Love My Team  ,  We All That Get Money Shit . Fucc That Hot Shit  .","I love my team, we're all about getting money shit. Forget that hot shit."
"Lol  ,  Lelani Is NOT Finna Blow My High   !   With Her Stupid Ass @Aha_LadyBug  .","Haha, Lelani is not going to ruin my high! With her stupid self @Aha_LadyBug."
"@Aha_LadyBug Lol   ,  Im High Bitch I Thought I Asked . Damn Hoe , Excuse The Weed   .","Haha, I'm high, bitch. I thought I asked. Damn, woman, excuse the weed."
"In Memphis Its A Bunch of Hoes , Broke Niggas , &amp; Bullshit  .  Thats Why I Gotta Get Tf Away From Here  .","In Memphis, there are a bunch of women, broke people, and nonsense. That's why I need to get away from here."
"I Need To Learn How To Control My Temper  ,  Ima Real Ass Hothead  .","I need to learn how to control my temper, I'm a real hothead."
"Idgaf Who You Is , Young or Old , Ima Say Whatever I Got To Say !","I don't care who you are, young or old, I'm going to say whatever I need to say!"
I wanna scream and shout and let it all outtt and scream and shout and let it out we sayin' ohhhweeee oh we oh we ohhhhh!,"I want to scream and shout and let it all out. I want to scream and shout and let it out, saying 'oh we oh we oh we oh'."
"Not sure if it's your pride that's too high or if this is really you, but damn.","I'm not sure if it's your pride that's too high or if this is really you, but damn."
"@TunechiS_LADY I KNOW YOU NOT ARGUING ON THIS SOCIAL NETWORK, which is what these Mfs wanna see?","I know you are not arguing on this social network, which is what these people want to see."
"im chilling until later, cause my bed &amp; i taking care of some unfinished business !","I'm chilling until later, because my bed and I are taking care of some unfinished business."
Not goin to sleep til she wake dat ass up and call me so until then..... #teamupalldamnnight!!!,"I'm not going to sleep until she wakes that up and calls me, so until then... #teamupalldamnnight!!!"
If ian give #oomf that money to hold I'll be shit outta luck and broke af!!,"If Ian gives that money to someone else to hold, I'll be in a bad situation and broke."
Not feelin good and Tyiah just low key pissed me tf off for the day!!,I'm not feeling good and Tyiah just quietly upset me for the day!
I came just to get my hair did ... but ha girl made it ha business to be there Smh....,I came just to get my hair done... but the girl made it her business to be there. Shaking my head.
Aye tell ya girl she gone have to step ha game up. :) ..... and yess this one for u too!!,"Hey, tell your girl she's going to have to step up her game. And yes, this one is for you too!"
The fact that she ain't even try to call or text me since I hung up ..... cool!,The fact that she didn't even try to call or text me since I hung up... that's cool!
@nado_wifey lmao man u really need to grammar check your tweets you sound dumb ass fuck!,"Haha, you really need to grammar check your tweets, you sound really dumb."
"Bitchhhhhhh , Who Tf You Think You Is. This Bitch Just Walked Upstairs. O_O Where They Do That At?",Who do you think you are? This person just walked upstairs. Where does that happen?
"@GheezLoiKei I Know That's Why I Said It , Lol But One Day Ima Get You HIGH ! #BelieveThat","I know that's why I said it, haha. But one day I'm going to get you high! Believe that."
"@Contract_cKilla You Already Know I'm Gone Be On Cloud 3,000 When I Go Up In There.",You already know I'm going to be on cloud 9 when I go up in there.
@SHOOTER__X I Just Been Chilling. Can't Wait Till Spring Break Or Summer So I Can See All Y'all.,I've just been chilling. Can't wait until spring break or summer so I can see all of you.
@simply__ari You Think I Don't Be Ducking Below Them Windows. I Value My Life !,You think I don't duck below those windows. I value my life!
If anybody got a probelm W/ Steffanie Keep it 1Hunna &amp; let it be KNOWN !,"If anybody has a problem with Steffanie, keep it 100% real and let it be known!"
"@AllSmilesAlways Nahh , I Wanted To ... But Too Many People Were Around So I Had To Thug It Out.","No, I wanted to... But there were too many people around so I had to tough it out."
Anybody Who Knows Me Should Know That I'm One Of The Nicest People You'll Ever Meet ................Unless I Don't Like You.,Anybody who knows me should know that I'm one of the nicest people you'll ever meet... Unless I don't like you.
I Wanna Let You Know How I REALLY Feel ; But My Pride Won't Let Me.,"I want to let you know how I really feel, but my pride won't let me."
Beef is wen you make mistakes less burgers wit your niggas more steak with snakes,"Beef is when you make mistakes less, burgers with your friends more, and steak with snakes."
I think we can all agree that the real winner in this Te'o fiasco is Catfish,I think we can all agree that the real winner in this Te'o fiasco is Catfish.
I probably didn't put a lot of mrs Myra's BBQ sauce on my chicken tonight,I probably didn't put a lot of Mrs. Myra's BBQ sauce on my chicken tonight.
Don't feel bad about this loss. This is what state is supposed to do. Glad to see some fight in the heels late,Don't feel bad about this loss. This is what state is supposed to do. Glad to see some fight in the team late.
@Im_KENYATTA Aweee True Imma Be There All Week Next Week! Though They Goofy Ass Suspended Me Lol Imma Be Good Next Week,"Aww, true. I'll be there all week next week! Though they suspended me, I'll be good next week."
@_YouReadyB i'm goin somewhere @ 12 Imma get chyna to come get you when I'm done,I'm going somewhere at 12 and I'm going to get Chyna to come get you when I'm done.
@_CashoutDetroit I dny hav a msg unless u tlkn bout on meet me bt idc fuck u go bk ta dat btc bye,"I don't have a message unless you're talking about meeting me, but I don't care, go back to that bitch, bye."
The World Iz Urz Young Nigga What U Gonna Do Wit It Watch It Make It Work,"The world is yours, young person. What are you going to do with it? Watch it and make it work."
@alleyboydte @IaMelinaEros I Phuck Wit Alley Lano Nigga East Baltimore Latrobe Dat Aint All Our Projects Thoe,"I associate with Alley Lano, a person from East Baltimore Latrobe. That's not all of our projects though."
Rappers Talkin Trappin Never Seen Ah Hunna Mill If U Audamear aint 100 den ya shit aint real b gone bitch whoop meek Voice Ball2More City,"Rappers talking about trapping have never seen a hundred million dollars. If you're not making at least 100, then your stuff isn't real. Be gone, bitch. Whoop Meek's voice, Baltimore City."
@liciarie Love Chi Town Yall Gotta Chill On Da Killin Make It Work Yo Gotti Voize Dats Why Im Dolo Ball2More Love Thoe Everybody N Da Chi,"Love Chicago, y'all need to chill on the killing. Make it work. Yo Gotti's voice, that's why I'm solo. Baltimore, love though, everybody in the Chi."
Hatin AintN Gon Get U Now Were But NA Box Stay Lo Shushh Mob Secrets,"Hating isn't going to get you anywhere now. Stay low, shush, mob secrets."
@therealstylesp U Aint Lying Ghost Shit Killin Me Lion Pride Im listenind 2Dis 4Da Rest of Life,"You're not lying, the ghost stuff is really getting to me. I'm listening to this for the rest of my life."
If yu my nigga u my nigga then.! I shole dont need no new friend nigga where uu been nigga,"If you are my friend, then you are my friend. I certainly do not need any new friends. Where have you been?"
HEARD HE FUCKED DA SHYT OUTTA HA O'WELL SHYT ION CARE AINT MY BITCH I HATE HA ASS,"I heard he had sex with her intensely. Oh well, it doesn't matter, she's not my girlfriend. I hate her."
I need to cuddle wit a girl she at ha gma crib BUT FINNA GO BACK TO SLEEP,"I need to cuddle with a girl. She is at her grandmother's house, but I am going back to sleep."
OBN I go hard fa my squad SQUADDDDDDDDDD IIIIIIGGGGGHHHHTTTT 039 SHYT FUCK DA OPPS FUCK LAWLESS DEM FUCK NIGGAS DIE L'S FUCK CESS,"I go hard for my squad. Squad is tight. Fuck the opps, fuck lawless them, fuck niggas, die Ls, fuck Cess."
@TreatMe_EatMe_ cause I kno iima be up all nitw e but inna mornin ima be real sleepy,"Because I know I will be up all night, but in the morning I will be very sleepy."
@Tokiyo_Trending RAGENE STOP TWEETIN ME MAN YO ASS MAD CAUSE ION WNT U I MOVED ON BYE STOP TALKIN TO ME WE AINT GOT SHYT ELSE TO SAY,"Ragene, stop tweeting me. You are mad because I do not want you. I have moved on. Stop talking to me, we have nothing else to say."
LOL ion wnt ha to wea noo panties 2ma wen she cum ova onna real,"I do not want her to wear any panties tomorrow when she comes over, for real."
Folks Dont Know What Keeping They Word Is Anymore That's Why My Trust Fucked! But I'll Die To Keep My Word..,"People don't know what keeping their word is anymore, that's why my trust is damaged! But I'll die to keep my word."
Some Muh Fuggas Expect For Females To Suck Some Dick Or Some For All That I Guess.. In That Case I'll Never Go On A Date LMMFAO,"Some people expect women to perform sexual acts or something for all that, I guess.. In that case, I'll never go on a date. (Laughing my ass off)"
Ask me to come see you at a game and don't even fuckin talk to me #wtf,Ask me to come see you at a game and don't even talk to me. What the fuck?
I luhv bad bytches dats my fkkn problem n yea i like to fkk i gotta fkkn problem,"I love bad women, that's my fucking problem, and yes I like to have sex, I've got a fucking problem."
Aww the head manager for West Orange BK called me and thanked me for working there... &amp;&amp; said he want me to work there in the summer ..,"Aw, the head manager for West Orange Burger King called me and thanked me for working there... and said he wants me to work there in the summer."
@kiss_my_lips18 mmm hmmmm datz wat it sound like ta me..my bby godmama kant be into dat lol,"Hmm, that's what it sounds like to me. My baby godmother can't be into that, haha."
i was thinking about going down to the mall on Monday since I'm off....idk tho,I was thinking about going down to the mall on Monday since I'm off. I don't know though.
@ILoveAvis i know it do..i remember the last time i went..i constantly fell down..i thought i was gonna break my ankle in the process lol,"I know it does. I remember the last time I went, I constantly fell down. I thought I was going to break my ankle in the process, haha."
@ChanTheMan19 you see they pot him in conf. championship gamer and he made to big catches,"You see they put him in the conference championship game, and he made two big catches."
Thank you Lord for waking me up this morning ...please give me the strength cuz these ppl irking my nerves,"Thank you Lord for waking me up this morning. Please give me the strength, because these people are irritating my nerves."
I wonder how many males can lay with a female all night and not hit,I wonder how many men can be intimate with a woman all night without having sex.
You know the sex is good when it always feels like the first time again.,The sex is good when it always feels new and exciting.
I'm doing pretty good of not talking to my mom.... its been 2 days I think... HARDCORE,"I'm doing pretty well at not talking to my mom. It's been about 2 days, I think. That's a significant accomplishment."
Celtics lost to the Bulls now 20-19 on the season. Just take it one game at a time for number #oomf !!!,"The Celtics lost to the Bulls, bringing their season record to 20-19. They just need to take it one game at a time to improve their record."
Chief Keef Is 17 Years Old. His Baby Mama Is In The 8th Grade. &amp; He Is Currently In Juvi For Violating Probation. This Is Yalls Role Model?,Chief Keef is 17 years old. His baby's mother is in the 8th grade. He is currently in juvenile detention for violating probation. This person should not be considered a role model.
Future is the new T-Pain. He sounds good doing the chorus but not so sure about the whole song.,Future is the new T-Pain. He sounds good doing the chorus but not so sure about the whole song.
I have so much to do today but my first priority this morning was to spend time with my lil mama.,I have so much to do today but my first priority this morning was to spend time with my little one.
"Lol just called my babe to tell him that ima go to the army, we're gonna get married and be together forever","Haha, I just called my partner to tell him that I'm going to join the army, we're going to get married and be together forever."
"Think ima go get my hair braided! I'm taking one weekend off, just me and him","I think I'm going to go get my hair braided! I'm taking one weekend off, just me and him."
Something's are meant not to be said &amp;&amp; I was about to say something but I'm not,"Some things are meant not to be said, and I was about to say something but I'm not going to."
"I know he see me tweeting this, and it's the truth. If it wasn't for him, I wouldn't love again","I know he sees me tweeting this, and it's the truth. If it wasn't for him, I wouldn't love again."
My aunt is looney tho... ion know why she thinking I'm pregnant!  I gotta go,My aunt is crazy though... I don't know why she thinks I'm pregnant! I have to go.
"Wish I was with my babe. But overall,  o enjoy my day with the co-workers","I wish I was with my significant other. But overall, I enjoy my day with the co-workers."
"Me and your son has something special going on .. Don't try to fuck it up, or get fucked","Me and your son have something special going on.. Don't try to ruin it, or get ruined."
@CoCoChanel_92 yes yes.... But now that I work I get my own. Ima have a couple of kids do he can spoil em,"Yes, yes.... But now that I work I get my own. I'm going to have a couple of kids so he can spoil them."
It seems like Everybody child calling me aunt Kisha or they thinking I'm their big sister who don't gives two fucks about em lol,"It seems like everybody's child is calling me Aunt Kisha, or they think I'm their big sister who doesn't give two fucks about them. Laughing out loud."
"I'm not rushing it, I'm just ready to get that shit outta the way ...","I'm not rushing it, I'm just ready to get that out of the way."
"Don't nobody like drama but his pussy ass... It's all good, I only have a couple of months left","Nobody likes drama, but his behavior is unacceptable. It's all good, I only have a couple of months left."
"@x_Monaeee Hoes Please Don't Tagg Me Now , Yoo Wasn't A Few Seconds Ago , Got Niggas Fighting Yoo Battles You Still The Same Scary Ass Bitch","Hoes, please don't tag me now. You weren't a few seconds ago. Got guys fighting your battles, you're still the same scary-ass bitch."
I like him too much to stop buht I LOVE him way too much to keep goin I think I kno wat I gotta do,"I like him too much to stop, but I love him way too much to keep going. I think I know what I have to do."
Bitches still mad Rihanna went back to Chris Brown.. Like y'all don't keep taking back the same Bum Nigga every 2 weeks!,People are still upset that Rihanna went back to Chris Brown. Like you all don't keep taking back the same deadbeat guy every 2 weeks!
TWITTER : GET'S #HORNY AROUND 3&amp;4 IT'S LIKE A #HOTLINE BUT ONLY ON YAH (((( TL))))),I get horny around 3 and 4 o'clock. It's like a hotline but only on your timeline.
@rouseyG_boss I understand dat don't write me a SA lmao but if u invited her u paying!  did this happen to u?,"I understand that, don't write me a formal letter, but if you invited her, you're paying! Did this happen to you?"
"You changed my whole liiiffffeee don't know what u doin to me with your love, I'm feeling all super human you did this to me!","You changed my whole life, I don't know what you're doing to me with your love, I'm feeling all super human, you did this to me!"
@FUk_A_FAiryTale i knw yu do hear em squeeze wat yu gne fuk nd suck him up t2,I know you can hear them. Squeeze what you're going to fuck and suck him up too.
"Lhh, idk I told aaliyah you was just playing &amp; she said oh well sabrina know now ,","Lhh, I don't know. I told Aaliyah you were just playing, and she said oh well, Sabrina knows now."
