standard_american_english,aae_from_sae
I got a headache right... I drank some frozen Kool-Aid really fast right... Got brain freeze.... Headache gone.... Boom!,I got a headache right... I drank some frozen Kool-Aid real fast right... Got brain freeze.... Headache gone.... Boom!
My whole life was a battle... I made moves with horses.. No saddle... Just rattle.,My whole life was a struggle... I made moves with horses.. No saddle... Just rattle.
I strive for the gold... And pick my own things. I will break bricks and go pitch the whole load.,I strive for the gold... And pick my own things. I will break bricks and go pitch the whole load.
"Do I hear my code... Unless you are not blessed to understand, I am a man who got stuck up in this mess.","Do I hear my code... Unless you ain't blessed to understand, I'm a man who got stuck up in this mess."
"I love you Sorya and I want you to know you do have a friend and I'm here for you no matter what, on some friend type shit. I don't want to see anything happen.","I love you Sorya an' I wan' you ta know you do got a friend an' I'm here fo' you no matta what, on some friend type shit. I don' wan' ta see nothin' happen."
"That was not supposed to be a joke, it was not funny! Better luck next time :)","Dat wasn't supposed ta be a joke, it wasn't funny! Betta luck nex' time :)"
"Relationships are what you make them, so don't be so negative about things and relationships will last longer.","Relationships be what you make 'em, so don't be so negative 'bout things an' relationships gon' last longer."
"Next time I'm in Jamaica, I guess, unless you're planning a trip to New York City in the near future?","Nex' time I'm in Jamaica, I guess, 'less you plannin' a trip ta New York City soon."
"Soon! I might have that hookup for you, lol... but you just make sure you call me and we'll talk about this.","Soon! I might got that hookup fa you, lol... but you jus' make sho' you call me an' we'll talk 'bout dis."
"Around 2:13 a.m., I jumped up and was like, 'Self!?' I told myself, 'Huh? Self said, 'Bitch, you forgot to call AI!' I said, 'Damn!'","'Roun' 2:13 a.m., I jumped up an' was like, 'Self!?' I tol' myself, 'Huh? Self said, 'Bitch, you forgot ta call AI!' I said, 'Damn!'"
"I love you, lol. I am after class, but I'm about to text you now because I just got really upset.","I love you, lol. I be 'fter class, but I'ma text you now 'cause I jus' got real upset."
I need to cheer up because he's in a better place and people are blaming honey cocaine.,I gotta cheer up 'cause he's in a betta place an' folks be blamin' honey cocaine.
"Ha ha ha, pretty much that 1997-2002 class was really smooth from every school.","Ha ha ha, dat 1997-2002 class was real smooth from every school."
"After school traffic at Washington went down also as soon as it got hot in the school year, people left Tech early to get to Washington.","After school traffic at Washington went down soon as it got hot in da school year, folks left Tech early to get to Washington."
"Chicks would be scared to holler after the basketball games but would find a guy on Blackplanet and get at me all the time, lol lol.","Chicks would be scared to holler after da basketball games but would find a guy on Blackplanet and get at me all da time, lol lol."
"Melvinwjr is too funny, this guy changed his name to his Blackplanet name, lol lol lol.","Melvinwjr be too funny, dis guy done changed his name to his Blackplanet name, lol lol lol."
I thought your school had a sex scandal from all those nuns being in the same place with no penis around.,I thought yo' school had a sex scandal from all dem nuns bein' in da same place wit' no penis 'round.
"It's going to be a lot of headlights on this cold morning, the big nipples are out.","It's gon' be a lotta headlights on dis cold mornin', da big nipples is out."
"Where is Jayer @Tiera_Nichole at with her goofy self? I saw her begging for change in the middle of the Grand Ave Mall the other day, ha.","Where Jayer @Tiera_Nichole at wit' her goofy self? I saw her beggin' fo' change in da middle of da Grand Ave Mall, ha."
"Word of advice, if it's really cold, don't let anyone use your jacket trying to be a gentleman. You're going to get the flu.","Word of advice, if it's real cold, don' let nobody use yo' jacket tryin' to be a gentleman. You gon' get da flu."
"It is freezing cold in my house, but my mom still expects me to get up and put all these clothes away. I'm not sure about that.","Dang, it be freezin' in my crib, but my mama still 'spectin' me ta get up an' put all dese clothes away. I ain't too sure 'bout dat."
"Only the last half hour. I'm about to watch the beginning, but this headache is stopping me.","Onleh da last half hour. 'Bout ta watch da beginnin', but dis headache be stoppin' me."
She just outed him to his wife because he didn't give her the job. Shaking my head.,She just put him on blast to his wife 'cause he ain't give her da job. Shaking my head.
"She won't see anything unless I mention her, because she is a little on the nice side.","She ain't gon' see nothin' less I mention her, 'cause she a lil' on da nice side."
Reconnecting with someone you've known for years that you haven't seen for a really long time... Priceless!,Reconnectin' wit' someone you been knowin' fo' years dat you ain't seen fo' a real long time... Priceless!
Damn. Checked my bank account. I think I'll pay my bills and stay in Philadelphia instead.,Damn. Checked my bank account. I think Imma pay my bills and stay in Philly instead.
Exactly why I need a change... Not being able to do what you want when you want it sucks!,Dat's exactly why I need a change... Not bein' able to do what you want when you want it sho' do suck!
"When people email you instead of texting or calling, that means they shouldn't be talking to you in the first place.","When folks email ya 'stead a textin' or callin', dat mean dey ain't s'posed ta be talkin' to ya in da firs' place."
"So at 2 PM I was super tired. Now at almost 1 AM, my body is like, 'No, it's not time to sleep yet.' What the heck??","So at 2 PM I wuz real tired. Now 'most 1 AM, my body like, 'Nah, ain't time ta sleep yet.' Wha' da heck??"
"But then my alarm is going to go off at 5:30 AM, and I'm not going to want to get up.","But den my 'larm gon' go off at 5:30 AM, an' I ain't gon' wanna git up."
I guess I need to lightly toast this bread so I can make a sandwich. Using the microwave proved to be a failure.,Imma gotta lightly toast dis bread so I can make a sandwich. Usin' da microwave ain't work.
I can see working with this person will guarantee me getting out of work late every time.,"I can see workin' wit' dis person gon' make me stay late at work every time, fo' sho'."
Finding this new thing to be quite interesting. I should have some fun with this...,Dis new thang be interestin'. Imma have some fun wit' it...
I can't believe I came home at 4 and sat around in my jeans until just now. That's a first.,I ain't believe I came home at 4 an' just sat 'round in my jeans 'til now. Dat's a first.
I need to find out if the folks are still going down or not. But I'm going back when the boy gets out of school.,Imma gotta find out if da folks still goin' down or not. But I'm gon' head back when da boy get outta school.
"I cannot treat, but if you find a friend, make sure he has another.","I ain't tryna help, but if you find a friend, make sure dey got yo back too."
"I swear I'm going to go to sleep, and it's going to feel like I have to get right back up.","I swear imma go to sleep, an' it's gon' feel like I gotta get right back up."
"As soon as I stop caring, here you come. Leave me in my friend zone! I'm cool there.","Soon as I stop carin', here you come. Leave me in my friend zone! I'm cool dere."
"Last Tuesday, I forgot my medication at home. This Tuesday will probably be no different.","Last Tuesday, I forgot my meds at home. Dis Tuesday prolly gon' be no different."
"The hardest I've ever worked in one day in 4.5 years. I still don't like the job, though.","Dat was da hardest I ever worked in one day in 4.5 years. I still don't like da job, tho."
Women are the most petty people. I see why men don't like having many of them as friends.,"Ain't no lie, women can be petty sometimes. I get why some brothas don't wanna have too many of 'em as friends."
"She didn't leave you for making too many mistakes, she left because you made the same mistakes too many times.","She ain't leave 'cause you made mistakes, she left 'cause you kept makin' the same ones over an' over."
I don't understand women. They try their hardest to mess with a guy who might have their back or look out for them because he talks about money.,"I just don't get women, man. They be tryin' their hardest to mess with a brotha who might have their back or look out for 'em, just 'cause he talks 'bout money."
"What team are you going to support? Let me guess, whatever team is winning. Where are the true fans?","So what team you rootin' for? Let me guess, whatever team's winnin' right now. Where the real fans at, though?"
I dislike people who constantly claim to be angry. They should smoke some marijuana and be happy instead.,I don' like folks who always actin' mad. Dey should smoke some weed an' be happy instead.
"Girls like girls, boys like boys, it doesn't matter to me. Just don't pretend to be someone you're not - be true to yourself.","Girls like girls, boys like boys, don' matter to me. Jus' don' pretend to be someone you ain't - be true to yo'self."
"Damn, I really miss that girl because I know she would drink with me and smoke that loud (marijuana).","Damn, I really miss dat girl 'cause I know she'd drink wit' me an' smoke dat loud (weed)."
"I'm so used to the past, I don't know if I can handle what's happening now.","I'm so used to da past, I don' know if I can handle what's happenin' now."
"I tried to interact with one girl, but she kept accusing me of engaging with other girls.","I tried to talk to one girl, but she kept accusin' me of messin' wit' other girls."
"Sometimes I feel I talk the most nonsense. But then I'm like, who the fuck is going to check me?","Sometimes I be talkin' a whole lotta nonsense. But then I be like, who gon' check me tho?"
"Bitches give themselves a reason to hate me. Hell, why not just make it two?","Bitches be givin' themselves a reason to hate on me. Hell, why not just make it two?"
"Everyone walking around wants to be bad, but when it all boils down, these women are not bad after all.","Everybody be walkin' 'round tryna act bad, but when it all boils down, these women ain't really bad after all."
You can't be happy having so much hatred in your life. Some things aren't going to turn out right.,You can't be happy havin' so much hatred in yo' life. Some thangs just ain't gon' turn out right.
My nose is making me very upset. It's all stopped up and messing with me. I can't breathe properly.,My nose be makin' me real upset. It's all stopped up and messin' with me. I can't breathe properly.
"I can't wait for Duflocka Rant 2, it's going to be really hard-hitting like Full Metal Jacket 2.","I can't wait fo' Duflocka Rant 2, it's gon' be real hard-hittin' like Full Metal Jacket 2."
I'm going to watch this movie and wait for my significant other to finish getting their hair done.,Imma watch dis movie an' wait fo' my boo to finish gettin' dey hair did.
My significant other is going to tell me not to wear my favorite color. What kind of drugs are they smoking?,My boo gon' tell me not to wear my favorite color. What kinda stuff dey smokin'?
"Your welcome, love. I've also seen your videos. You and @iiDayDay make a great team. Just saying.","You welcome, love. I done seen yo' videos too. You an' @iiDayDay make a great team. Just sayin'."
I hope my mom takes me to get a tattoo soon like she said she would.,I hope my mama take me to get a tattoo soon like she said she would.
How can you tell me to direct message you but you don't direct message back? That's frustrating.,How you gon' tell me to DM you but you ain't DM me back? Dat's frustratin'.
"You and Mr. Steal Your Plate should be asleep, you have class tomorrow and it's almost 2:00 AM! Shame on you all.","You an' Mr. Steal Yo' Plate s'posed to be sleepin', y'all got class tomorra an' it's almost 2 AM! Shame on y'all."
"I'm sorry, it won't happen again, babe. I love you, you are my world, I don't want to lose you.","My bad, it ain't happen again, boo. I love you, you my world, I ain't wanna lose you."
"My girlfriend and I broke up, that's a shame. Now I need a friend to talk to.","Me an' my girl broke up, dat's a shame. Now I need a friend to talk to."
One thing about me is I'll never tell anyone anything wrong because I've already been there and learned from it!,One thang 'bout me is I ain't neva gon' tell nobody nothin' wrong 'cause I done been dere an' learned from it!
That's going to put me right back to sleep and that's wasting it... never mind.,Dat gon' put me right back to sleep an' dat's wastin' it... neva mind.
Because my mom didn't pay the bill and I had money for it and this rump-a-skunk side spent it so I bought other stuff with it.,'Cause my mama ain't pay da bill an' I had money fo' it an' dis rump-a-skunk side spent it so I bought otha stuff wit' it.
"Lol, you could have looked over it and acted like you didn't see it. And Terry wants your number.","Lol, you coulda looked ova it an' acted like you ain't see it. An' Terry want yo' numba."
"Shut up. You know I'm with you 103 tough. You're my friend, dude.","Shut up. You know I'm wit' you 103 tough. You my friend, dude."
"I love my team, we're all about getting money shit. Forget that hot shit.","I love my team, we all 'bout gettin' money shit. Fo'get dat hot shit."
"Haha, Lelani is not going to ruin my high! With her stupid self @Aha_LadyBug.","Haha, Lelani ain't gonna mess up my high! Wit' her dumb self @Aha_LadyBug."
"Haha, I'm high, bitch. I thought I asked. Damn, woman, excuse the weed.","Haha, I'm high, bitch. I thought I asked. Damn, woman, 'scuse the weed."
"In Memphis, there are a bunch of women, broke people, and nonsense. That's why I need to get away from here.","In Memphis, dere's a bunch a' women, broke folks, an' nonsense. Dat's why I gotta get outta here."
"I need to learn how to control my temper, I'm a real hothead.","I gotta learn how ta control my temper, I'm a real hothead."
"I don't care who you are, young or old, I'm going to say whatever I need to say!","I don' care who you is, young or old, Imma say whateva I gotta say!"
"I want to scream and shout and let it all out. I want to scream and shout and let it out, saying 'oh we oh we oh we oh'.","I wanna scream an' shout an' let it all out. I wanna scream an' shout an' let it out, sayin' 'oh we oh we oh we oh'."
"I'm not sure if it's your pride that's too high or if this is really you, but damn.","I ain't sure if it's yo' pride dat's too high or if dis here's really you, but damn."
"I know you are not arguing on this social network, which is what these people want to see.","I know you ain't arguin' on dis here social network, which is what dese folks wanna see."
"I'm chilling until later, because my bed and I are taking care of some unfinished business.","I'm chillin' 'til later, 'cause my bed an' I is takin' care o' some unfinished business."
"I'm not going to sleep until she wakes that up and calls me, so until then... #teamupalldamnnight!!!","I ain't gon' sleep 'til she wakes dat up an' calls me, so 'til den... #teamupalldamnnight!!!"
"If Ian gives that money to someone else to hold, I'll be in a bad situation and broke.","If Ian give dat money to somebody else to hold, I'ma be in a bad situation an' broke."
I'm not feeling good and Tyiah just quietly upset me for the day!,I ain't feelin' good an' Tyiah just quietly upset me fo' da day!
I came just to get my hair done... but the girl made it her business to be there. Shaking my head.,I came just to get my hair done... but da girl made it her business to be there. Shaking my head.
"Hey, tell your girl she's going to have to step up her game. And yes, this one is for you too!","Hey, tell yo' girl she gon' have to step up her game. An' yes, dis one is fo' you too!"
The fact that she didn't even try to call or text me since I hung up... that's cool!,Da fact dat she ain't even try to call or text me since I hung up... dat's cool!
"Haha, you really need to grammar check your tweets, you sound really dumb.","Haha, ya really need ta grammar check ya tweets, ya sound real dumb."
Who do you think you are? This person just walked upstairs. Where does that happen?,Who you think you is? Dis person jus walked upstairs. Where dat happen at?
"I know that's why I said it, haha. But one day I'm going to get you high! Believe that.","I know dat's why I said it, haha. But one day I'ma get you high! Believe dat."
You already know I'm going to be on cloud 9 when I go up in there.,You already know I'ma be on cloud 9 when I go up in dere.
I've just been chilling. Can't wait until spring break or summer so I can see all of you.,I'se jus been chillin'. Can't wait 'til spring break or summer so I can see all a y'all.
You think I don't duck below those windows. I value my life!,You know I ain't gon' be peekin' through them windows. I value my life fo' real!
"If anybody has a problem with Steffanie, keep it 100% real and let it be known!","If anybody got a problem wit' Steffanie, keep it a hunnid an' let 'em know!"
"No, I wanted to... But there were too many people around so I had to tough it out.","Nah, I wanted to... But it was too many folks 'round so I had to tough it out."
Anybody who knows me should know that I'm one of the nicest people you'll ever meet... Unless I don't like you.,Anybody who know me should know I'm one of the nicest folks you gon' meet... 'Less I don't like you.
"I want to let you know how I really feel, but my pride won't let me.","I wanna let you know how I really feel, but my pride ain't gon' let me."
"Beef is when you make mistakes less, burgers with your friends more, and steak with snakes.","Beef is when you make mistakes less, hang out wit' yo' friends more, an' chill wit' snakes."
I think we can all agree that the real winner in this Te'o fiasco is Catfish.,I think we can all agree dat da real winner in dis Te'o mess is Catfish.
I probably didn't put a lot of Mrs. Myra's BBQ sauce on my chicken tonight.,I prob'ly didn't put a whole lotta Mrs. Myra's BBQ sauce on my chicken tonight.
Don't feel bad about this loss. This is what state is supposed to do. Glad to see some fight in the team late.,Don't feel bad 'bout dis loss. Dis is what state s'posed to do. Glad to see some fight in da team late.
"Aww, true. I'll be there all week next week! Though they suspended me, I'll be good next week.","Aww, true. I'll be there all week next week! Though dey suspended me, I'ma be good next week."
I'm going somewhere at 12 and I'm going to get Chyna to come get you when I'm done.,Imma be somewhere at 12 an' Imma get Chyna ta come get you when Imma done.
"I don't have a message unless you're talking about meeting me, but I don't care, go back to that bitch, bye.","I ain't got no message less you talkin' 'bout meetin' me, but I don't care, go back ta dat bitch, bye."
"The world is yours, young person. What are you going to do with it? Watch it and make it work.","Da world is yo's, young'un. Whatchu gon' do wit' it? Watch it an' make it work."
"I associate with Alley Lano, a person from East Baltimore Latrobe. That's not all of our projects though.","I hang wit' Alley Lano, a person from East Baltimore Latrobe. Dat ain't all a our projects tho'."
"Rappers talking about trapping have never seen a hundred million dollars. If you're not making at least 100, then your stuff isn't real. Be gone, bitch. Whoop Meek's voice, Baltimore City.","Rappers talkin' 'bout trappin' ain't never seen a hundred million dollas. If you ain't makin' at least 100, den yo' stuff ain't real. Get outta here, bitch. Whoop Meek's voice, Baltimore City."
"Love Chicago, y'all need to chill on the killing. Make it work. Yo Gotti's voice, that's why I'm solo. Baltimore, love though, everybody in the Chi.","I love Chicago, y'all need to chill on the killin'. Make it work. Yo Gotti's voice, dat's why I'm solo. Baltimore, love though, everybody in the Chi."
"Hating isn't going to get you anywhere now. Stay low, shush, mob secrets.","Hatin' ain't gon' get you nowhere now. Stay low, shush, mob secrets."
"You're not lying, the ghost stuff is really getting to me. I'm listening to this for the rest of my life.","You ain't lyin', the ghost stuff really gettin' to me. I'ma be listenin' to dis for the rest of my life."
"If you are my friend, then you are my friend. I certainly do not need any new friends. Where have you been?","If you my friend, den you my friend. I sho' don't need no new friends. Where you been at?"
"I heard he had sex with her intensely. Oh well, it doesn't matter, she's not my girlfriend. I hate her.","I heard he done had sex wit' her real intense-like. Oh well, it don't matter, she ain't my girl. I hate her."
"I need to cuddle with a girl. She is at her grandmother's house, but I am going back to sleep.","I need ta cuddle wit a girl. She at her grandma's house, but I'mma go back ta sleep."
"I go hard for my squad. Squad is tight. Fuck the opps, fuck lawless them, fuck niggas, die Ls, fuck Cess.","I ride hard fa my crew. My crew tight. Fuck da opps, fuck lawless dem, fuck niggas, die Ls, fuck Cess."
"Because I know I will be up all night, but in the morning I will be very sleepy.","Cuz I know I'mma be up all night, but in da mornin' I'mma be real sleepy."
"Ragene, stop tweeting me. You are mad because I do not want you. I have moved on. Stop talking to me, we have nothing else to say.","Ragene, stop tweetin' me. You mad cuz I don't want you. I done moved on. Stop talkin' ta me, we ain't got nothin' else ta say."
"I do not want her to wear any panties tomorrow when she comes over, for real.","I don't want her ta wear no panties tomorrow when she come over, fa real."
"People don't know what keeping their word is anymore, that's why my trust is damaged! But I'll die to keep my word.","Folks don't know 'bout keepin' dey word no mo', dat's why my trust all messed up! But I'mma die 'fo I break my word."
"Some people expect women to perform sexual acts or something for all that, I guess.. In that case, I'll never go on a date. (Laughing my ass off)","Some folks be expectin' women to do sexual stuff or whateva fo' all dat, I guess.. In dat case, I ain't neva gon' go on no date. (Laughin' my ass off)"
Ask me to come see you at a game and don't even talk to me. What the fuck?,Ask me to come see you at a game an' don' even talk to me. What da fuck?
"I love bad women, that's my fucking problem, and yes I like to have sex, I've got a fucking problem.","I love bad women, dat's my damn problem, an' yeah I like to have sex, I got a fuckin' problem."
"Aw, the head manager for West Orange Burger King called me and thanked me for working there... and said he wants me to work there in the summer.","Aw, da head manager fo' West Orange Burger King called me an' thanked me fo' workin' dere... an' said he want me to work dere in da summer."
"Hmm, that's what it sounds like to me. My baby godmother can't be into that, haha.","Hmm, dat's what it sound like to me. My baby godmama can't be into dat, haha."
I was thinking about going down to the mall on Monday since I'm off. I don't know though.,I was thinkin' 'bout goin' down to da mall on Monday since I'm off. I don' know though.
"I know it does. I remember the last time I went, I constantly fell down. I thought I was going to break my ankle in the process, haha.","I know it do. I 'member da las' time I went, I constant'y fell down. I thought I was gon' break my ankle in da process, haha."
"You see they put him in the conference championship game, and he made two big catches.","You see dey put him in da conference championship game, an' he made two big catches."
"Thank you Lord for waking me up this morning. Please give me the strength, because these people are irritating my nerves.","Thank you Lord fo' wakin' me up dis mornin'. Please give me da strength, 'cause dese people be irritatin' my nerves."
I wonder how many men can be intimate with a woman all night without having sex.,I wonder how many men can be intimate with a woman all night without havin' sex.
The sex is good when it always feels new and exciting.,Da sex be good when it always feel fresh an' excitin'.
"I'm doing pretty well at not talking to my mom. It's been about 2 days, I think. That's a significant accomplishment.","I'm doin' pretty good at not talkin' to my mama. It's been 'bout 2 days, I think. Dat's a big accomplishment."
"The Celtics lost to the Bulls, bringing their season record to 20-19. They just need to take it one game at a time to improve their record.","Da Celtics lost ta da Bulls, bringin' dey season record ta 20-19. Dey just gotta take it one game at a time ta improve dey record."
Chief Keef is 17 years old. His baby's mother is in the 8th grade. He is currently in juvenile detention for violating probation. This person should not be considered a role model.,Chief Keef 17 years old. His baby mama in da 8th grade. He currently in juvenile detention fa violatin' probation. Dis person ain't no role model.
Future is the new T-Pain. He sounds good doing the chorus but not so sure about the whole song.,"Future be soundin' good on da chorus, but I ain't too sure 'bout da whole song tho."
I have so much to do today but my first priority this morning was to spend time with my little one.,"I got a whole lotta stuff ta do today, but my main thang dis mornin' was spendin' time wit my lil' one."
"Haha, I just called my partner to tell him that I'm going to join the army, we're going to get married and be together forever.","Haha, I jus' called my partner an' told 'em I'ma join da army, we gon' get married an' be togeda foreva."
"I think I'm going to go get my hair braided! I'm taking one weekend off, just me and him.","I think I'ma go get my hair braided! I'ma take one weekend off, jus' me an' him."
"Some things are meant not to be said, and I was about to say something but I'm not going to.","Ain't no need ta say some things, an' I was 'bout ta say somethin' but I ain't gon' do it."
"I know he sees me tweeting this, and it's the truth. If it wasn't for him, I wouldn't love again.","I know he see me tweetin' dis, an' it's da truf. If it wasn't fo' him, I wouldn't love again."
My aunt is crazy though... I don't know why she thinks I'm pregnant! I have to go.,My auntie crazy dough... I dunno why she tink I'm pregnant! I gotta go.
"I wish I was with my significant other. But overall, I enjoy my day with the co-workers.","I wish I was wit' my boo. But overall, I enjoy my day wit' da co-workers."
"Me and your son have something special going on.. Don't try to ruin it, or get ruined.","Me an' yo' son got sumthin' special goin' on.. Don't try ta ruin it, or get ruined."
"Yes, yes.... But now that I work I get my own. I'm going to have a couple of kids so he can spoil them.","Yeah, yeah.... But now dat I work I get my own. Imma have a couple a kids so he can spoil 'em."
"It seems like everybody's child is calling me Aunt Kisha, or they think I'm their big sister who doesn't give two fucks about them. Laughing out loud.","It seem like everybody chile callin' me Aunt Kisha, or dey tink I'm dey big sista who don' give two fucks 'bout 'em. Laughin' out loud."
"I'm not rushing it, I'm just ready to get that out of the way.","I ain't rushin' it, I just ready ta get dat outta da way."
"Nobody likes drama, but his behavior is unacceptable. It's all good, I only have a couple of months left.","Ain't nobody like drama, but his behavior ain't acceptable. It's all good, I only got a couple a months left."
"Hoes, please don't tag me now. You weren't a few seconds ago. Got guys fighting your battles, you're still the same scary-ass bitch.","Hoes, please don' tag me now. Y'all wasn't a few seconds ago. Got guys fightin' y'all battles, y'all still da same scary-ass bitch."
"I like him too much to stop, but I love him way too much to keep going. I think I know what I have to do.","I like him too much ta stop, but I love him way too much ta keep goin'. I think I know what I gotta do."
People are still upset that Rihanna went back to Chris Brown. Like you all don't keep taking back the same deadbeat guy every 2 weeks!,People still be mad dat Rihanna went back ta Chris Brown. Like y'all ain't keep takin' back da same deadbeat dude every couple weeks!
I get horny around 3 and 4 o'clock. It's like a hotline but only on your timeline.,I be gettin' horny 'round 3 an' 4 o'clock. It's like a hotline but only on yo' timeline.
"I understand that, don't write me a formal letter, but if you invited her, you're paying! Did this happen to you?","I understand dat, don' write me no formal letter, but if you invited her, you payin'! Did dis happen to you?"
"You changed my whole life, I don't know what you're doing to me with your love, I'm feeling all super human, you did this to me!","You done changed my whole life, I don' know what you doin' to me wit' yo' love, I feelin' all super human, you did dis to me!"
I know you can hear them. Squeeze what you're going to fuck and suck him up too.,I know you can hear 'em. Squeeze what you gon' fuck an' suck 'im up too.
"Lhh, I don't know. I told Aaliyah you were just playing, and she said oh well, Sabrina knows now.","Lhh, I ain't know. I told Aaliyah you was just playin', an' she said oh well, Sabrina know now."
It's undeniable that we should be together. It's unbelievable how I used to say I would never fall. The basis is the need to know if you don't know how I feel.,It's fo' sho' dat we should be togethah. It's unbelievable how I used ta say I'd nevah fall. Da basis is da need ta know if ya don't know how I feel.
