standard_american_english,sae_labels
One thing about me is that I will never tell anyone anything wrong because I have already been there and learned from it!,Positive
"That stuff is going to put me right back to sleep, and that's wasting it... never mind.",Negative
"Because my mother didn't pay the bill and I had money for it, but this rump-a-skunk side spent it, so I bought other things with it.",Negative
"@WatchYa_Aim LOL, you could have looked it over and acted like you knew it. And Terry wants your number.",Neutral
@JERRI_NoTom Please be quiet. You know I'm tired of this. ( : You are my friend. ),Negative
"I love my team, we all make money. Forget that trendy stuff.",Positive
"Laughing out loud, Lelani is not going to ruin my good mood with her foolish behavior, @Aha_LadyBug.",Positive
"@Aha_LadyBug Laughing out loud, I'm high, I thought you asked. Sorry for the language, excuse the weed.",Neutral
"In Memphis, there are many distractions, financial struggles, and nonsense. That's why I need to get away from here.",Negative
I need to learn how to control my temper; I'm a real hothead.,Negative
"I don't care who you are, young or old, I'm going to say whatever I have to say!",Negative
"I want to scream and shout and let it all out, and scream and shout and let it out. We're saying 'ohhhweeee, oh we, oh we, ohhhhh!'",Positive
"I'm not certain if it's your pride that's too high or if this is really who you are, but wow.",Neutral
"@TunechiS_LADY I KNOW YOU ARE NOT ARGUING ON THIS SOCIAL NETWORK, which is what these people want to see?",Neutral
I'm relaxing until later because my bed and I are attending to some unfinished business!,Positive
"I won't go to sleep until she wakes up and calls me, until then... #teamupalldnightexpress!",Positive
"If I give that money to him, I'll be out of luck and broke!",Negative
"I'm not feeling well, and Tyiah is subtly irritating me throughout the day!",Negative
"I came just to get my hair done, but this girl made it a business to be there, shaking my head.",Negative
"Yes, I'll tell my girl that she's going to have to step up her game. :)... and yes, this one is for you too!",Positive
The fact that she hasn't even tried to call or text me since I hung up... cool!,Negative
"@nado_wifey LMAO, you really need to check your grammar in your tweets, or you might come across as unintelligent.",Negative
"Wow, who do you think you are? This woman just walked upstairs. Where do they do that at?",Negative
"@GheezLoiKei I know that's why I said it, LOL, but one day I'm going to get you high! #BelieveThat",Positive
@Contract_cKilla You already know I'm going to be on cloud nine when I go up there.,Positive
@SHOOTER__X I have just been relaxing. I can't wait for spring break or summer so I can see all of you.,Positive
@simply__ari I am avoiding going under those windows. I value my life!,Negative
"If anyone has a problem with Stephanie, keep it to yourself and let it be known.",Neutral
"@AllSmilesAlways No, I wanted to... but there were too many people around, so I had to handle it discreetly.",Neutral
"Anyone who knows me should know that I am one of the nicest people you'll ever meet, unless I don't like you.",Negative
I want to let you know how I really feel; but my pride won't let me.,Neutral
Beef is when you make fewer mistakes with your friends rather than with enemies.,Neutral
I believe we can all concur that the true victor in this Te'o fiasco is Catfish.,Positive
I probably didn't put much of Mrs. Myra's BBQ sauce on my chicken tonight.,Neutral
Don't feel bad about this loss. This is what state is supposed to do. I'm glad to see some fight in the heels late.,Positive
"@Im_KENYATTA Awe, that's true! I'll be there all week next week. Although they suspended me this week, I'll be good next week.",Positive
@_YouReadyB I am going somewhere at 12. I will have Chyna pick you up when I am done.,Neutral
"@_CashoutDetroit I don't have a message unless you talk about meeting me, but I don't care. Go back to that bitcoin bye.",Neutral
"The world is your young man, what are you going to do with it? Watch it, make it work.",Positive
@alleyboydte @IaMelinaEros I'm interested in collaborating with Alley Lano in East Baltimore and Latrobe; those aren't the only projects we're considering.,Neutral
"Rappers talking about trapping have never seen a million dollars. If you're not 100% authentic, then your stuff isn't real. Goodbye, Meek Mill. Ball2More, the city.",Neutral
"@liciarie I love Chicago, you all need to calm down about the violence. Make it work, Yo Gotti's voice is why I'm still here. Love those in the city.",Positive
Hating won't get you anywhere now. We're just keeping quiet about the mob's secrets.,Negative
"@therealstylesp You aren't lying, ghostly things are killing me. Lion Pride, I'm listening to this for the rest of my life.",Positive
"If you're my friend, then you are. I surely don't need any new friends. Where have you been?",Neutral
I heard he messed up the situation at the O'Well event. It's not my concern. I dislike him.,Negative
"I need to cuddle with a girl; she's at her grandmother's house, but I'm about to go back to sleep.",Neutral
"OBN I go hard for my squad SQUAD. I'm so excited! 039 SHYT, fuck the oppressors, fuck lawlessness, those who cause harm. Let's fight against this.",Positive
@TreatMe_EatMe_ because I know I might be up all night but in the morning I'll be really sleepy.,Neutral
"@Tokiyo_Trending Ragen, please stop tweeting at me. Your anger is because I don't want to engage with you anymore. I have moved on. Goodbye. We have nothing else to say to each other.",Negative
"LOL, I had to wear new underwear when she came over for the first time.",Neutral
People don't understand the importance of keeping their word anymore; that's why my trust is shattered! But I'll die to keep my word.,Negative
"Some guys expect women to engage in sexual activities or something similar, I guess. In that case, I'll never go on a date. LMAO.",Negative
Ask me to come see you at a game and then don't even speak to me #wtf,Negative
"I love bad girls, that's my real problem and yes, I like to flirt. I guess I have a flirtatious problem.",Positive
"Aw, the head manager for West Orange BK called me and thanked me for working there... and said he wants me to work there in the summer.",Positive
"@kiss_my_lips18 Mmm hmm, that's what it sounds like to me...my baby godmother can't be into that, lol.",Neutral
I was considering going to the mall on Monday since I have the day off...I'm not sure though.,Neutral
@ILoveAvis I know it does. I remember the last time I went. I constantly fell down. I thought I was going to break my ankle in the process lol.,Negative
"@ChanTheMan19, you see, they put him in the conference championship game, and he made the big catches.",Positive
"Thank you, Lord, for waking me up this morning. Please give me the strength because these people are irritating my nerves.",Negative
I wonder how many men can spend the entire night with a woman without becoming aggressive.,Negative
You know the sex is good when it always feels like the first time again.,Positive
"I'm doing quite well not speaking to my mother... it's been two days, I believe... very intense.",Neutral
"The Celtics lost to the Bulls, now 20-19 on the season. Just take it one game at a time for the team!",Neutral
"Chief Keef is 17 years old. His girlfriend is in the 8th grade, and he is currently in juvenile detention for violating probation. Is this your role model?",Negative
"The future is the new T-Pain. He sounds good doing the chorus, but I'm not so sure about the entire song.",Neutral
"I have so much to do today, but my first priority this morning was to spend time with my little mother.",Positive
"Laughing out loud, I just called my significant other to tell him that I am going to join the army, we're going to get married, and be together forever.",Positive
"I think I'm going to get my hair braided! I'm taking one weekend off, just me and him.",Positive
"There are things that are not meant to be said, and I was about to say something, but I won't.",Neutral
"I know he sees me tweeting this, and it's the truth. If it weren't for him, I wouldn't have fallen in love again.",Positive
"My aunt is quite eccentric, though. I don't know why she thinks I'm pregnant! I have to go.",Negative
"I wish I were with my partner. However, I am enjoying my day with my colleagues.",Positive
"My son and I have something special going on. Please don't try to interfere, or you might regret it.",Negative
"@CoCoChanel_92 Yes, yes... But now that I work, I get my own. I plan to have a couple of kids so he can spoil them.",Positive
"It appears that everyone is addressing me as Aunt Kisha or assuming I am their older sister who doesn't care much about them, lol.",Neutral
"I'm not rushing it, I'm just eager to get that matter resolved.",Positive
"Nobody likes drama, but his behavior is tolerable. Everything is fine; I only have a few months left.",Neutral
@x_Monaeee Please don't tag me now. You weren't a few seconds ago. There are people fighting your battles. You're still the same intimidating person.,Neutral
"I like him too much to stop, but I love him way too much to continue. I think I know what I have to do.",Negative
Women are still upset that Rihanna reconciled with Chris Brown. It's like you all keep forgiving the same problematic man every two weeks!,Negative
"TWITTER: It gets exciting around 3 and 4 PM. It's like a hotline, but only for you.",Positive
"@rouseyG_boss I understand that you don't write me a Southern Accent, but if you invited her, you're paying! Did this happen to you?",Neutral
You've changed my entire life; I don't know what you're doing to me with your love. I'm feeling like a superhuman because of you!,Positive
@FUk_A_FAiryTale I know you do hear them squeeze what you're going to do and suck him up too.,Neutral
"Oh, I don't know. I told Aaliyah that you were just joking, and she said, 'Oh well, Sabrina knows now.'",Neutral
It's undeniable that we should be together. It's unbelievable how I used to say I didn't think I would fall. The basis is needing to know if you don't know how I feel.,Positive
"@IonLuvTheseH_s  Darn, I thought we were better than this. I thought you liked me.",Negative
"You're saying that's your girl not saying anything, like prank callers, because it's a small world and people make it even smaller.",Neutral
"So when they lose in the Super Bowl, where will the big-hearted person be then?",Negative
"@Quise_Sosa Yes, I'm about to go to my aunt's house because it's my little cousin's birthday, but I'll be back.",Positive
God forgive me for the sins I have committed and those I will commit in the future.,Neutral
"Oh, this woman in school tried to bully me. Oh no, she was a fraud. Don't let her intimidate you.",Negative
My room is not messy; it is an obstacle course designed to keep me fit.,Positive
"People really bother me when they say I'm extremely intelligent. Come on now, I'm not that smart.",Neutral
It's nothing like the first time I'm trying to tell you I can blow your mind.,Neutral
"I made a mistake towards you, you made a mistake towards me. I will accept you back if you accept me back.",Neutral
"Lmao, this person is about to turn 21 and already has a 16-year-old pregnant. #Maury",Negative
"I defeated Josh in NBA 2K13 today... With LeBron, he challenged me in Madden, but I dominated him in NBA 2K. #SouthBeachIsKing",Positive
I wonder if the people who don't deserve what I want go through what I go through...,Neutral
@BigGhostFASE he has been doing it all throughout his career. Why stop now? It obviously worked out alright for him.,Positive
"@Big__Reed @ChocoVelvetBone @MsShellyNicole If you mess with my big brother, I'll make sure you're sleeping with the fishes!",Negative
"I somewhat miss my friends from home. I'll get to see them next week, so it's okay!",Positive
"I was supposed to have lunch with my friend, but I'm not sure if I will wake up in time.",Neutral
"Laughing out loud! Hey LaQuanda, I have four people on hold, but I can talk!",Positive
Am I the only one who wants a relationship where we can be intimate all night until things are right? I know it's a bit unconventional.,Neutral
Why do I feel like this classroom is set up like some Final Destination-type situation? LOL.,Neutral
Hot room + walking everywhere + no fast food = one fine day for Taylor :),Positive
Am I a fool for you? Or is there a force behind my actions?,Neutral
"All unanswered questions that can be solved in one night, we will never get that opportunity.",Negative
I am not returning to Abernathy. I refuse. You can have that.,Negative
I've finished packing. I'm going to watch TV until I receive a call in the morning saying we're on the way.,Neutral
"I can't see them coming down my cheek, so I have to make the song cry.",Neutral
"It seems as soon as I wake up, I regain my senses. I would mention these women's names, but then I would be betraying their trust.",Neutral
The feeling of knowing that you don't have to wake up in the morning is overwhelming.,Positive
I no longer read sub-tweets because I rarely scroll down my timeline anymore; I just tweet and leave. LOL,Neutral
I met that girl; I had to spoil her because she is so loyal.,Positive
"It's funny how your name is always on my mind, but my name doesn't cross yours.",Neutral
I'm really considering calling this person and expressing my thoughts to them.,Neutral
"I don't think about sex in my life in that way; I'd rather engage with the woman I used to be intimate with, D.G., but it's unfortunate that she doesn't reciprocate my feelings.",Negative
"You always need to have a friend who has your back if you don't, you're nothing.",Negative
"You want me to come over so we can talk, but I just want to come over so we can be intimate if you're not down, then just move around (just words spoken).",Neutral
"Um, how can you ask me to text you but you don't text back? #subtweet",Negative
Top 10 things about my crush: He has gum stuck on his arm from when he was a baby.,Neutral
I remember that day when my friends accidentally pulled my bathing suit string and my bottoms fell off in the pool. #awkward.,Negative
Someone removed Ruzzle from my phone. *grabs knife* Who will be eliminated tonight!?,Negative
"Women always try to argue when a man is having a bad day; just be quiet, please. #TheseWomenAreActingUp",Negative
"Gotti makes some of these women look foolish, and they are ready to claim the title.",Negative
My mind just rewound all the way back to watching my friend @SterloC4 highlight tape. We ran the tournaments. From town to town.,Neutral
"If anyone ever wants to consider attacking me, you better think twice because I will defend myself as well. I'm just saying I'm not afraid!",Positive
"If you're going to tell something, tell it when I said it would help, don't wait until weeks later.",Negative
"So she's cooking pig feet, neck bones, black-eyed peas, greens, and cornbread... I'm not going to eat any of that.",Negative
"I have a significant attribute, so I'm curious which one of you ladies would allow me to express my affection for you.",Neutral
"Accept me for who I am; if you don't, then disengage from our relationship.",Neutral
"Dedria knows she's a pop, not a Molly, she probably doesn't even know what a Molly is, lol.",Neutral
"@BeautyPixkz_Gee No, I see her there. Buying knowing me, I'll end up getting really mad and then go to her house.",Negative
"I have clothes somewhere, shoes somewhere, a bag of M&M's somewhere, a bottle over there, ugh, it's all so cluttered.",Negative
"Rainy days disappear when you're around. You say you're here to stay with me. Boy, I don't want you telling me I need you.",Positive
"Even when the sky falls and the sun doesn't shine, I have that strength in me and I.",Positive
"I need a straightforward answer, need to take medication, need a strong beverage, need some good advice, and some courage.",Neutral
"Wow, I excel at this, I'll eliminate you just as easily as I created you.",Positive
"First of all, I don't expect to forgive your trivial behavior and remain here. Why would I act like Boo-Boo the Fool?",Negative
"I keep falling in love with you; sometimes I love you, and sometimes you make me feel blue.",Negative
I'm just making all this noise for no reason because I'm going to end up changing my mind and watching her.,Neutral
"@ThatDamnNeika lol, I'm a good child, lol, and you need to visit because I'm super bored here.",Positive
"Just Parking Service is already broken. If one of these buses flips over, JPS will be no more.",Negative
Guess what! I don't really care! Let me check my attitude. I apologize if I seem rude.,Neutral
It's never wise to associate with individuals who exhibit negative tendencies! People can be the most troublesome thing because there are some unpleasant individuals out there!,Negative
"I enjoy the business of selling drugs; it brings joy to my son. He will never say 'Daddy sells drugs' unless someone mentions 'Kha'marie, your Daddy is on...' #FastMoney.",Negative
"Can you best Fran? He cursed when he texted me late at night, trying to give me some head!",Negative
"Thank you to everyone who congratulated me on this day, I am very grateful to all of you for taking a little bit of your time. Thanks, friends :)...",Positive
"@LoveHathAway Hey, I'll text you with six 'y's in 'hey'!!! Can't believe he called you by his ex's name, oh no smh!",Negative
"What is with our age group these days? You guys talk about sex, engaging in intimate activities like kissing and hugging, rather than discussing more meaningful topics.",Negative
"The only things on my agenda for today are: washing myself, brushing my teeth, and getting my car detailed!
- response: The only items on my to-do list for today are: cleaning myself, brushing my teeth, and having my car detailed!


(Note: The phrase ""wash my ass"" was changed to ""cleaning myself"" to maintain a level of decorum appropriate for standard American English.)",Positive
How profound is our connection if it only takes your absence for it to be revealed?,Neutral
"I can't quite express it, but I'm really interested in you now. I want to be more than just a friend to you now.",Positive
"If it weren't for my rearview mirror, I would unintentionally cause all sorts of mishaps, laughs.",Positive
"Damn, they sent my brother Peyton home and Ray Lewis with that overly emotional behavior.",Negative
Please inform your partner that we are a successful team and they need to contribute.,Neutral
"If someone hates me, I don't need you, bro. I'm the type of person who doesn't need a girlfriend.",Neutral
"@CMPunk The one thing I respect most is this man's unflappable nature. Everything that happens only serves to prove his points... Punk remains steadfast, I bet.",Positive
"Shaking my head, you all need to stop. That's a very rude way to approach someone. Shaking my head, what is it with these women who are attracted to their own gender?",Negative
"I'm not in the mood, but I manage to smile because no one has made me mad.",Neutral
"I've seen @iRock_NoStar, @iiFear_NOT, and @_DopeyyDiva post some ignorant texts. I was bored this morning.",Neutral
"IF you can beat me rocking, you can have my chair, because there aren't too many men who can do what I do out there.",Positive
"No one should die, the way these people are dying, falling down steps? I fell down concrete steps at JSU, and I'm alive!",Negative
The day I run from anyone walking the same ground and breathing the same air as me is the day I will take off my hat and salute them!,Positive
"I'm telling Dee this stuff, and I was told not to talk about it anymore, but she said I can trust her.",Neutral
"#HonestHour -- > I'm not against anyone. Why people don't like me, I don't know. Honestly, I don't care!",Neutral
I'm not going to see Texas Chainsaw Massacre tomorrow. I'm going a week after next. That monster better still be playing!,Neutral
My best friend is coming over to my house tomorrow to help me finish that funky project.,Positive
Don't like me? Fine. I'll wake up to impress you. I owe you all mercy now!,Negative
"I'm going to approach it from the front, back, side, side, girl. I love the way you do it! #JAMMIN!",Positive
"@JonteikaB. No, it wasn't, but if you were looking at me, then sure it could be.",Neutral
"Neshia is so shy! Lord, just like her, I wouldn't even tell a squirrel 'hey'! I'm just that shy!",Negative
"My big sister told me to take my butt to sleep, so bye everyone :(",Negative
"Had to walk for three days, and it was cold and rainy. I got a really bad cold.",Negative
"It seems you won't get the answer anytime soon... um, #MIA and it's affecting your life, my friend.",Negative
"We were about to go to sleep, but I had to talk to Q about some stuff. Now I'm thankful and bored talking to Halle. > > my #love",Positive
"I'm channeling my inner Jay Cutler when I say I DON'T CARE, Miami was a lot of fun.",Positive
"Staley, these women are having... Flip that shit and it doesn't go anywhere... Need some oil, sheen, or something.",Negative
"If it walks like a duck and talks like a duck, then it's a duck. Duck!",Positive
"Next person to mess with my stuff will get shot, whether it's my fault or not.",Negative
"I wouldn't dare jump anyone. That stuff makes me feel like I can't handle my business. Plus, that stuff just isn't cool.",Negative
"Shaggy had me overreacting here, worried. He stays laughing and to see him snapping was like, wow.",Positive
I'm finally about to go back to school. I've got to be on my game.,Positive
"Good morning. School has come back too soon, but I have to get with the program.",Neutral
"I'm not in a good mood this morning; I might as well just quit school, man.",Negative
"@souljaboy @Bestie567... Go all out to give sunshine to more than just the USA. How about the world? Yes, the world indeed.",Positive
B was a hot-headed individual before he got shot. He used to say he was considering robbing someone. LOL.,Neutral
"@naturalbeauti93 Oh, where are you attending school? I forgot. I'm feeling so unwell that I might as well be in a hospital, man.",Negative
"I miss her when she's gone, but when she arrives, she's difficult to deal with.",Negative
"@KoKane_Kowgirl Damn, did they really have to choose the babies to kill? Then this fool shot himself and his mother. Did he think he was getting out of this?",Negative
"Shoutout to @jeriadannette! No matter who we were around, we never stopped talking to each other. We used to have so much fun in class. I miss her!",Positive
I'm not sure if the daycare is open or not; I'd rather keep my little one home with me.,Neutral
"If anyone knows, they know that I like to make people laugh! I enjoy seeing people happy!",Positive
"No matter how old you are or how much you have matured, you will always have that one person you wish to confront!",Negative
"@kelceygrammer I'm not going to Disney World. I refuse, you know. I'll stay in my condo and sleep.",Negative
"@_PrettySeductive I was just about to call you, but then I thought, 'nah, she's at work.'",Neutral
"I often tweet about songs that play on my Pandora, but someone always seems to take offense. I'm not even trying to provoke you. It's obvious which insecure individuals.",Negative
"Why am I still awake...thinking about my past, wishing it were better. But I'm still moving forward. Thank you very much, the person who pushed me away...",Negative
"Women out here are trying hard. They do the most, but I will serve them well. I don't know what you have.",Positive
"I have never been a victim of love, I feel like a man is treating these men like they are mere objects.",Negative
Women want to get upset with the next person because they don't have their partner in check; everyone is sharing everything.,Negative
"@Prettii_Dior @_RetiredMacccc because she is bipolar and we were never cool; this was my issue, literally.",Negative
"The most attractive feature on a woman is her smile (: Lol, just kidding, check out that behind.",Negative
"If you pretend to be someone you're not and dislike me, you'll realize that I'm the most authentic person you've criticized!",Positive
"This girl claimed I was worth 8.9, the other said I was a 9, but I'm worth a dime.",Neutral
"My boyfriend misspelled my name in his tweet, which is amusing. Additionally, his bio states that my wife is someone else, which is also quite funny. Name spelled incorrectly.",Neutral
"Everyone falls in love in high school and says they're going to get married, but by the end of high school, you find out who's going to be your spouse!",Neutral
"Control your girlfriend because you let her talk to other men, causing drama. You don't even have a child with her!",Negative
You know you're broke when you scrape up change to get yourself something to eat both of you.,Negative
"I'm so desperate on Facebook looking for love; you're messy and unpleasant, I don't want that kind of negativity.",Negative
"If it's a person who lies to their girlfriend saying I love you and other nonsense while talking about loving you to another woman, that's just disrespectful.",Negative
People who think they can take advantage of those who care about them...you have taken advantage of me...no more deceitful behavior.,Negative
Working late into the night! UPS delivered some of my textbooks for class late on Tuesday evening. Thank God for Your abundant blessings!,Positive
I'm working on my class work and my systematic book is scheduled for delivery in the morning. I will complete my tasks with God's guidance.,Positive
"SHE RIDING WITH ME, I GO ON THE RUN. SHE HIDING WITH ME, POLICE SNATCH US UP. SHE LYING WITH ME.",Negative
"I wonder where my boyfriend is; I haven't talked to him since New Year's. I feel like a bad girlfriend, @Da_King822.",Negative
"@xPrettyMovement, why are you so infuriated? (I learned that word about 2 days ago) definition: mad.",Negative
It's about time to put in that work on the field and off the field to get noticed.,Positive
"That's how you can really tell Dwight Howard means something to the Lakers; I didn't see it, but I do now.",Positive
"So, me and my friend are going to get gym memberships to see how long this lasts; both of us are quite lazy.",Neutral
"I'm not very good at expressing myself! However, if you push me, I'll really let you have it! I'm going to go off on you!",Negative
I want to cry! My memory card is full; everything is gone. All my music is all I really care about.,Negative
I just tore my favorite underwear when I bent down. I'll have to mend them; I suppose my rear has gotten larger.,Negative
"I am grateful to God for not blessing me with a sister, because people can be quite dramatic; you would grow weary of hearing my name on the police scanner.",Negative
@1brwneyedbeauty Sprint needs to get with it then. Do you have the message about the banquet?,Neutral
"I continue to support Lance Armstrong because he did not use performance-enhancing drugs to overcome cancer, and he remains an inspiration. #LiveStrong",Positive
