text,sentiment
One thing about me ill never tell nobody nun wrong because I then already been there &amp; learnt from it!,Positive
Dat shyt gone put me rite bak ta sleep n dats wastin it .... nvm,Negative
@TweetWatching_ ...... Cuz ma mom aint pay da bill n I had money for it n dis rump-a-skunk sid spend it so I bought other shyt wit it -_-,Negative
"@WatchYa_Aim Lol  , You Coulda Looked Over It &amp; Act Like Yeen C It . &amp; Terry Want Yo # .",Neutral
@JERRI_NoTom Stfu  .  You Know I Fwu 103 TouGh  ( : You MY Nigga Foo '  .,Negative
"I Love My Team  ,  We All That Get Money Shit . Fucc That Hot Shit  .",Positive
"Lol  ,  Lelani Is NOT Finna Blow My High   !   With Her Stupid Ass @Aha_LadyBug  .",Negative
"@Aha_LadyBug Lol   ,  Im High Bitch I Thought I Asked . Damn Hoe , Excuse The Weed   .",Negative
"In Memphis Its A Bunch of Hoes , Broke Niggas , &amp; Bullshit  .  Thats Why I Gotta Get Tf Away From Here  .",Negative
"I Need To Learn How To Control My Temper  ,  Ima Real Ass Hothead  .",Negative
"Idgaf Who You Is , Young or Old , Ima Say Whatever I Got To Say !",Negative
I wanna scream and shout and let it all outtt and scream and shout and let it out we sayin' ohhhweeee oh we oh we ohhhhh!,Positive
"Not sure if it's your pride that's too high or if this is really you, but damn.",Negative
"@TunechiS_LADY I KNOW YOU NOT ARGUING ON THIS SOCIAL NETWORK, which is what these Mfs wanna see?",Neutral
"im chilling until later, cause my bed &amp; i taking care of some unfinished business !",Positive
Not goin to sleep til she wake dat ass up and call me so until then..... #teamupalldamnnight!!!,Positive
If ian give #oomf that money to hold I'll be shit outta luck and broke af!!,Negative
Not feelin good and Tyiah just low key pissed me tf off for the day!!,Negative
I came just to get my hair did ... but ha girl made it ha business to be there Smh....,Neutral
Aye tell ya girl she gone have to step ha game up. :) ..... and yess this one for u too!!,Positive
The fact that she ain't even try to call or text me since I hung up ..... cool!,Negative
@nado_wifey lmao man u really need to grammar check your tweets you sound dumb ass fuck!,Negative
"Bitchhhhhhh , Who Tf You Think You Is. This Bitch Just Walked Upstairs. O_O Where They Do That At?",Negative
"@GheezLoiKei I Know That's Why I Said It , Lol But One Day Ima Get You HIGH ! #BelieveThat",Positive
"@Contract_cKilla You Already Know I'm Gone Be On Cloud 3,000 When I Go Up In There.",Positive
@SHOOTER__X I Just Been Chilling. Can't Wait Till Spring Break Or Summer So I Can See All Y'all.,Positive
@simply__ari You Think I Don't Be Ducking Below Them Windows. I Value My Life !,Negative
If anybody got a probelm W/ Steffanie Keep it 1Hunna &amp; let it be KNOWN !,Positive
"@AllSmilesAlways Nahh , I Wanted To ... But Too Many People Were Around So I Had To Thug It Out.",Neutral
Anybody Who Knows Me Should Know That I'm One Of The Nicest People You'll Ever Meet ................Unless I Don't Like You.,Neutral
I Wanna Let You Know How I REALLY Feel ; But My Pride Won't Let Me.,Neutral
Beef is wen you make mistakes less burgers wit your niggas more steak with snakes,Negative
I think we can all agree that the real winner in this Te'o fiasco is Catfish,Positive
I probably didn't put a lot of mrs Myra's BBQ sauce on my chicken tonight,Neutral
Don't feel bad about this loss. This is what state is supposed to do. Glad to see some fight in the heels late,Positive
@Im_KENYATTA Aweee True Imma Be There All Week Next Week! Though They Goofy Ass Suspended Me Lol Imma Be Good Next Week,Positive
@_YouReadyB i'm goin somewhere @ 12 Imma get chyna to come get you when I'm done,Positive
@_CashoutDetroit I dny hav a msg unless u tlkn bout on meet me bt idc fuck u go bk ta dat btc bye,Negative
The World Iz Urz Young Nigga What U Gonna Do Wit It Watch It Make It Work,Neutral
@alleyboydte @IaMelinaEros I Phuck Wit Alley Lano Nigga East Baltimore Latrobe Dat Aint All Our Projects Thoe,Neutral
Rappers Talkin Trappin Never Seen Ah Hunna Mill If U Audamear aint 100 den ya shit aint real b gone bitch whoop meek Voice Ball2More City,Neutral
@liciarie Love Chi Town Yall Gotta Chill On Da Killin Make It Work Yo Gotti Voize Dats Why Im Dolo Ball2More Love Thoe Everybody N Da Chi,Positive
Hatin AintN Gon Get U Now Were But NA Box Stay Lo Shushh Mob Secrets,Positive
@therealstylesp U Aint Lying Ghost Shit Killin Me Lion Pride Im listenind 2Dis 4Da Rest of Life,Neutral
If yu my nigga u my nigga then.! I shole dont need no new friend nigga where uu been nigga,Neutral
HEARD HE FUCKED DA SHYT OUTTA HA O'WELL SHYT ION CARE AINT MY BITCH I HATE HA ASS,Negative
I need to cuddle wit a girl she at ha gma crib BUT FINNA GO BACK TO SLEEP,Neutral
OBN I go hard fa my squad SQUADDDDDDDDDD IIIIIIGGGGGHHHHTTTT 039 SHYT FUCK DA OPPS FUCK LAWLESS DEM FUCK NIGGAS DIE L'S FUCK CESS,Negative
@TreatMe_EatMe_ cause I kno iima be up all nitw e but inna mornin ima be real sleepy,Neutral
@Tokiyo_Trending RAGENE STOP TWEETIN ME MAN YO ASS MAD CAUSE ION WNT U I MOVED ON BYE STOP TALKIN TO ME WE AINT GOT SHYT ELSE TO SAY,Negative
LOL ion wnt ha to wea noo panties 2ma wen she cum ova onna real,Neutral
Folks Dont Know What Keeping They Word Is Anymore That's Why My Trust Fucked! But I'll Die To Keep My Word..,Negative
Some Muh Fuggas Expect For Females To Suck Some Dick Or Some For All That I Guess.. In That Case I'll Never Go On A Date LMMFAO,Negative
Ask me to come see you at a game and don't even fuckin talk to me #wtf,Negative
I luhv bad bytches dats my fkkn problem n yea i like to fkk i gotta fkkn problem,Negative
Aww the head manager for West Orange BK called me and thanked me for working there... &amp;&amp; said he want me to work there in the summer ..,Positive
@kiss_my_lips18 mmm hmmmm datz wat it sound like ta me..my bby godmama kant be into dat lol,Neutral
i was thinking about going down to the mall on Monday since I'm off....idk tho,Neutral
@ILoveAvis i know it do..i remember the last time i went..i constantly fell down..i thought i was gonna break my ankle in the process lol,Neutral
@ChanTheMan19 you see they pot him in conf. championship gamer and he made to big catches,Positive
Thank you Lord for waking me up this morning ...please give me the strength cuz these ppl irking my nerves,Positive
I wonder how many males can lay with a female all night and not hit,Negative
You know the sex is good when it always feels like the first time again.,Positive
I'm doing pretty good of not talking to my mom.... its been 2 days I think... HARDCORE,Neutral
Celtics lost to the Bulls now 20-19 on the season. Just take it one game at a time for number #oomf !!!,Neutral
Chief Keef Is 17 Years Old. His Baby Mama Is In The 8th Grade. &amp; He Is Currently In Juvi For Violating Probation. This Is Yalls Role Model?,Negative
Future is the new T-Pain. He sounds good doing the chorus but not so sure about the whole song.,Neutral
I have so much to do today but my first priority this morning was to spend time with my lil mama.,Positive
"Lol just called my babe to tell him that ima go to the army, we're gonna get married and be together forever",Positive
"Think ima go get my hair braided! I'm taking one weekend off, just me and him",Positive
Something's are meant not to be said &amp;&amp; I was about to say something but I'm not,Neutral
"I know he see me tweeting this, and it's the truth. If it wasn't for him, I wouldn't love again",Positive
My aunt is looney tho... ion know why she thinking I'm pregnant!  I gotta go,Negative
"Wish I was with my babe. But overall,  o enjoy my day with the co-workers",Positive
"Me and your son has something special going on .. Don't try to fuck it up, or get fucked",Negative
@CoCoChanel_92 yes yes.... But now that I work I get my own. Ima have a couple of kids do he can spoil em,Positive
It seems like Everybody child calling me aunt Kisha or they thinking I'm their big sister who don't gives two fucks about em lol,Neutral
"I'm not rushing it, I'm just ready to get that shit outta the way ...",Neutral
"Don't nobody like drama but his pussy ass... It's all good, I only have a couple of months left",Neutral
"@x_Monaeee Hoes Please Don't Tagg Me Now , Yoo Wasn't A Few Seconds Ago , Got Niggas Fighting Yoo Battles You Still The Same Scary Ass Bitch",Negative
I like him too much to stop buht I LOVE him way too much to keep goin I think I kno wat I gotta do,Positive
Bitches still mad Rihanna went back to Chris Brown.. Like y'all don't keep taking back the same Bum Nigga every 2 weeks!,Negative
TWITTER : GET'S #HORNY AROUND 3&amp;4 IT'S LIKE A #HOTLINE BUT ONLY ON YAH (((( TL))))),Neutral
@rouseyG_boss I understand dat don't write me a SA lmao but if u invited her u paying!  did this happen to u?,Neutral
"You changed my whole liiiffffeee don't know what u doin to me with your love, I'm feeling all super human you did this to me!",Positive
@FUk_A_FAiryTale i knw yu do hear em squeeze wat yu gne fuk nd suck him up t2,Neutral
"Lhh, idk I told aaliyah you was just playing &amp; she said oh well sabrina know now ,",Neutral
It's undeniable dat we should  b togetha unbelievable how I use to say I dat ill fall neva the basis is need 2 kno if u dont kno  how I feel,Neutral
@IonLuvTheseH_s  damn I thought me and you were better than this I thought u liked me,Negative
You saying that's yo girl ain't saying shit like prank callers cause it's a small world and hoes make it even smaller.,Negative
So wen they lose in the super bowl where ya dickeater gonna b at den ?,Neutral
@Quise_Sosa yea im bout to slide to my aunt crib cause its my lil cousin bday but i b back,Positive
God forgive me for the sins i did and the i will do in the future,Positive
Yo this bitch in schoil to bay tryed to grind me up .oh no she was a fuck duck lick no lay grind her the fuck up ctfu,Negative
"My room is not messy , it is an obstacle course designed to keep me fit .",Positive
Mfs kill me when they say im thick as FUCK come on now I ain't that thick,Neutral
It ain't nothing like the first time im tryna tell u I can blow ya mind,Positive
I did u wrong u did me wrong ill take u back u take me back,Neutral
Lmao this fool bout to be 21 and got a 16 year old pregnant. #Maury,Negative
"I Busted Josh Ass In 2K13 Today... With LeBron, He Fucked Me Up In Madden But I Destroyed Him On 2K' #SouthBeachIsKING",Positive
I Wonder If THE People Who Don't Deserve What I Want Go Thur What I Go Thur...,Neutral
@BigGhostFASE he done the shit all of his career. Why stop now? It obviously worked out aiight for him,Positive
@Big__Reed @ChocoVelvetBone @MsShellyNicole yall mess with my big brutha imma have yall sleeping with the fishes !,Negative
i lowkey miss my State friends . get to see them next week so its cool !,Positive
suppose to be having lunch with oomf but idk if imma wake up in time .,Neutral
"lmao ! hey LaQuanda , i got 4 people on hold but i can talk !",Positive
am i the only one that wanna relationship where we can fuck all night til things get right ? ijs,Negative
why do i feel like this classroom is set up like some final destination type shit ? lol,Negative
hot ass room + walking everywhere + no fast food = one FINE ass taylor :),Positive
am i a fool for youu ? or is there a force behind my actions ?,Neutral
all unanswered questions that can be solved by one night .. one night we will never get .,Negative
im not walking my ass back to abernathy . i refuse . yall can have that .,Negative
done packing . finna watch the tv looky box til i get that call in the morning saying we in the way .,Neutral
"I can't see em coming down my eye, so I gotta make the song cry",Positive
"Its like as soon I cum,I come to my senses. I would say these hoes names then I would be snitching",Negative
The feeling of knowing that you don't have to wake up in the morning &gt;&gt;&gt;&gt;,Positive
I don't catch sub tweets no more cause I rarely scroll down my TL anymore I just tweet and get off lol,Neutral
I met that girl I had to spoil her cause that girl she so #loyal,Positive
Its funny how my name always in your mouth but your name doesn't cross my mind,Negative
Really bout to blow this nigga phone up and tell him what's on my mind!,Negative
I dnt think about sex in my life like that i rather do it to tha bitch i use to fuck D.G but shit she hate me tragic,Negative
Yu always gotta have ah bitch that got yo back if yu dnt yu aint shit,Negative
Yu want me too come ova so we can tlk but I just want to come ova just so we can fuck if yu aint dwn den move around (just words spoken),Negative
ummm how tf you tell me to text you but you dont text back !? . #subtweet,Negative
#10thingsaboutmycrush he got gum stuck on his arm from when he was a baby .,Neutral
i remember that day #oomf pulled my bathing suit string &amp; my bottoms came off in the pool &lt;&lt;&lt; dfl .,Negative
somebody deleted Ruzzle off my phone * grabs knife * who dying tonight !? .,Negative
Females always tryna argue wen ah nigga haven a bad day jus shutupbitch  #These Hoez Be Actin Up....,Negative
Gotti make some of these females look like fools and they be ready to claim the title,Negative
Mind jus rewinded all da way bak watchn my nigga @SterloC4 highlight tape.. We ran da tournaments.. Outta twn n all..,Positive
If ah nigga every wanna think about hitting me mf u betta twice on me I will fight niggaz too I'm just saying I'm not or I'm not scared!!!,Negative
"If you gone tell sumn , tell when I said it help , don't wait til fuckin weeks later",Negative
"So she cooking pig feet , neck bones , black eye peas , greens , and corn bread ...,tf , ion eat none of that shit",Negative
Gotta big dick so which one of you hoes gone let me murder yo throat ...,Negative
Take me for who I am if you don't like it then suck my dick,Negative
"Dedria know she a POP no damn Molly , she prob don't even know what a Molly is , lls",Neutral
"@BeautyPixkz_Gee nope aine see her there ,,,..buy knowing me I'll end up gettin real mad and then go to her house",Negative
"Got clothes err where , shoes err where , m&amp;ms bag err where , taaka bottle over there , ugh its junky",Negative
rainy days fade away when you come around say you here to stay with me boy I don't want you tellin me I need you,Positive
"Even.when the sky comes falling , even.when the sun don't shine , I got datum in you and I",Positive
"I need a blunt , need to pop a pill , need a strong drink , need some good head , and some dick",Negative
"SuuuWooo bitch I do this shit  , I'll erase you like I drew you bitch",Negative
"Tf.,you expect be to forgive your trifling dog ass and stay.,,uh tf I look.like , booboo the fool ?",Negative
"I.keep on falling in love with you , sometimes I love you sometimes you make me blue",Negative
I'm just talkin all this noise for nun cause ima end up changing my mind and watching her,Neutral
"@ThatDamnNeika lol ima good child lol , and you need to cause I be super bored up here",Positive
Jps already broke.... If one of these buses flip over... Jps will be no more,Negative
Guess what!!!! I don't give a fuck!!! Let me check my attitude sorry if I'm being rude...,Neutral
Never b good to a nigga with no good tendencies!!!niggas the sane thing cause its some no good ass hoes out here!!,Negative
I love selling drugs it makes my son happy he will neva Kno Daddy Sell Drugs unless somebody say kha'marie yo Daddy On....#FastMoney....,Negative
"Can Yoo BestFran , Cuss He Text Me On A Late Nite He Trynna Gve Me Some Head !",Negative
"gracias a todos los que me felicitado en este dia, estoy muy agredecido con todos por dedicarme un poquito de su tiempo grcias amigos :)...",Positive
@LoVeHaThAwAy_ Ba better text you with 6 y's in hey!!!!! Cant beleave he called you by his ex oh naww smfh!,Negative
what is with our age group these days ya nigga talk bout sex eatin pussy sucking dick like nigga your suspose to talk about kissin Nd huggin,Negative
"Only things on my agenda to do today is:wash my ass, brush my teeth and get my car detailed!!",Neutral
How deep is our bond if it all it takes is for you to be gone,Neutral
"I can't really explain it, I'm so into you now. I wanna b more then a friend to you now",Positive
If it wasn't for my rest view mirror I would fuckin all types of shit up lol,Positive
Damn they sent my nigga Peyton home n ray Lewis wit dat male emotions shit,Negative
Hop off my dick and tell yo bitch to get on it we da money team dey can't get on it,Negative
If a nigga hatin I dont need you bro I'm da type nigga who don't need a hoe,Negative
@CMPunk The one thing I respect most is this mans unflappable nature. Everything that happens just proves his points... Punk retains I bet,Positive
"smh , yall Need to quit , wat a very rude way to come at someone , Smh , wat is it with these females that attracted to their gender ?",Negative
". not een In no Mood , but iManage to smile , cause no1 has made me mad .",Positive
"seent  @iRock_NoStar , @iiFear_NOT , &amp; @_DopeyyDiva some ignorant Textss . iWas bored at 4 diss mornin .",Negative
". IF You can beat ne rockin , you can havs my chair , cause aint too many men that can do wat ido out there ,",Positive
". no1 should die, the way these folks are dieing &lt;&lt;&lt;&lt; falling down steps? ifell down them CONCRETE steps at JSU , &amp; Im Alive !",Positive
"THE DAY I RUN FROM (ANY)BODY WALKING THA SAME GROUND &amp; BREATHING THA SAME AIR AS ME , IS THA DAY I WILL TAKE OFF MY HAT ND SALUTE 'EM !",Positive
. telling Dee this stuff and iwas told not to tlk about it anymore .. but she sed ikn trust herr .,Neutral
"#HonestHour --&gt; iOn Have NUN Against NOBODY Why folks dont likee , me , iDontt knoee. honestly IDC !",Neutral
. not going to see Texas Chainsaw Massacre .. tomar . im Goin WEEK AFTER NEXT . That mfreaker better b still playing !,Positive
bestfrenn comin ova my house tomar .. get thoa fONKey project out tha way ...,Positive
. Dont like me ? fine . ian Wake up ta Impress you . ion Owe yall mfers NUN !,Neutral
". imma hit it from tha front , back, side , sidee, girl i LOVE Tha wayy u do it #JAMMIN !!",Positive
"@JonteikaB . Naww , it WASNT , But iF u Be lookin At me , then sure it could be .",Neutral
. Neshia so shy !! lord um Jus like ha .. iwouldnt tell a squirrel hey ! im jus that shy !!!,Neutral
"my BiggSiss / BurntCookiee told mee ta take myy butt taa sleep , soo BYE YALL :(",Negative
had meh walkin 3days n dah cold nn rain ii got dayy ass doe &gt;&gt;&gt;&gt;,Negative
na uu want get det answer no time soon ... um #MIA nn yo life nigga....,Negative
wus bout tooh go tooh sleep butt ii got tooh talkin tooh q bout sum stuff nii um uph thankin  nn um bored talkin tooh halle doe &gt;&gt; my #love,Positive
"I'm channeling my inner Jay Cutler when I say DON'T CARE, Miami was fun as hell.",Positive
Stalee Ahss Weavee These Hoes Bhee Havin.. Flip That Shitt &amp;&amp; Itt Don't Go No Wheree .. Need Somee Oill Sheenn Uhh Somee..,Negative
"If It Walk Likee Ah Duck, Talk Likee Ah Duck.. Ihts Ah - - &gt; Duckk!!!",Positive
Next Person To Hitt Myy Shitt Gonee Get Shott.. If Itss Myy Fault Or Not,Negative
I Wouldn't Dareee Jump Nobody.. That Shitt Makee Mhee Feel Likee I Can't Handle Myy Business. Pluss That Shitt Justt Ain't Coool. RNS,Negative
Shaggy Hadd Mhee Overr Here Worriedd.. He Stayy Laughinn &amp; To See Himm Snappin Wass Likeee Wowwww..,Positive
Im finally bout to go back to school I got to be on my shit doe,Positive
Good morning. School have came back to soon but i gt to get with da program,Neutral
Im not in a good mood thos morning i might as well just fkin quit school man,Negative
@souljaboy @Bestie567 ..!$@$   GO SO HAM TO GAVE SUN TO MORE THEN THE U.S.A. HA WHAT YES THE WORLD ......,Positive
B was a Hot Head Before He Got His Bullets He Was Sayin He Boutta Go Rob a Nigga Lol,Negative
@naturalbeauti93 oooo. Where you in school at I forgot . I'm ready to be in a hospital maaan,Negative
I be missing her when she gone but when she gets here she is the devil .,Negative
"@KoKane_Kowgirl damn , did dey really have 2choose the babies to kill tho then this dummy shot himself &amp; his ma . Df he was gettin outta dis",Negative
S/o @jeriadannette_ no matter who we hung around we NEVER stop talking to eachother. We use to have soo much fun in class. I miss her!!!,Positive
I don't know if the daycare is open or not I just rather keep noonie home w/ me.,Neutral
If anybody know they know I like to make ppl laugh! I like seeing people HAPPY!,Positive
No matter how old you is or how much you matured you always gone have that ONE bitch you wanna beat the fuck outta of!,Negative
@kelceygrammer Ain going to no damn Disney world I refuse lol! You know I'll stay my boring ass in the condo &amp; sleep,Negative
@_PrettySeductiv I was just finna call you then I was like naaaaw she bout at work,Neutral
I be tweeting songs that come on my pandora but somebody always getting offended . Ion even fuck with you . FOH whicha insecure ass!,Negative
Y I'm still up...thinking abt my pass how I wish it was betta. But I'm still making it. Thanks a lot nigga pushed me away....,Negative
Hoes out here geek up wut. Bitches does tha most but I will serve tha fukk out of them. Nosw wut yu got,Negative
"I ain't never been no sucka fa love, I be feeling like ah nigga treated dese niggas like they the hoe",Negative
Females Wanna Get Mad At The Next Bitch Because They Ain't Got They Nigga In Check Everybody Sharing Everybody,Negative
@Prettii_Dior @_RetiredMacccc cus she bipolar &amp; we was never cool this was my bitch literally,Negative
"The best curve on a girl is her smile (: Lol just kidding, look at dat ass.",Positive
If you Pussy ass fugazi niggas dont like me ull realize that I'm da realest nigga u hated on!!,Negative
Dis girl said I was 8.9 da other said I was a 9 bitch ima dime,Positive
To bf spelled yo name wrong lol dumb add hoes!! Nd his bio say my wifey a diff. Name lol,Negative
Every body fall in love in high skool nd say they gone be married but at the end of high school u find out who's going to be wife!!,Positive
Control ya hoe u let her talk to crazy u got baby momma drama u ain't even got u no baby !!,Negative
yu kno yu broke wen yu scrap up change to get yu sonething to eat bofl ahaaa,Negative
Bih so desperate all on fb looking for love hoe yu messy and nasty a bih dnt want dat sour shit,Negative
Df iz n ppl head wen dey lie to dey grl sayn i love u n shit bt layn at anther bitch house talkn bout i love u to# fuck u,Negative
Fuck ppl who think they can run ova tha ppl that care bout they azz...u taken advantage of ME...nt no moe hoe#fallbackhoe,Negative
Up burning the midnight oil! Late Tuesday evening UPS delivered some of my textbooks for class. GOD thank you for Your bountiful blessings!,Positive
