standard_american_english,sae_labels
My nose is making me very upset. It's all stopped up and messing with me. I can't breathe properly.,Negative
"I can't wait for Duflocka Rant 2, it's going to be really hard-hitting like Full Metal Jacket 2.",Positive
I'm going to watch this movie and wait for my significant other to finish getting their hair done.,Neutral
My significant other is going to tell me not to wear my favorite color. What kind of drugs are they smoking?,Negative
"Your welcome, love. I've also seen your videos. You and @iiDayDay make a great team. Just saying.",Positive
I hope my mom takes me to get a tattoo soon like she said she would.,Positive
How can you tell me to direct message you but you don't direct message back? That's frustrating.,Negative
"You and Mr. Steal Your Plate should be asleep, you have class tomorrow and it's almost 2:00 AM! Shame on you all.",Negative
"I'm sorry, it won't happen again, babe. I love you, you are my world, I don't want to lose you.",Positive
"My girlfriend and I broke up, that's a shame. Now I need a friend to talk to.",Negative
One thing about me is I'll never tell anyone anything wrong because I've already been there and learned from it!,Positive
That's going to put me right back to sleep and that's wasting it... never mind.,Negative
Because my mom didn't pay the bill and I had money for it and this rump-a-skunk side spent it so I bought other stuff with it.,Negative
"Lol, you could have looked over it and acted like you didn't see it. And Terry wants your number.",Negative
"Shut up. You know I'm with you 103 tough. You're my friend, dude.",Positive
"I love my team, we're all about getting money shit. Forget that hot shit.",Positive
"Haha, Lelani is not going to ruin my high! With her stupid self @Aha_LadyBug.",Negative
"Haha, I'm high, bitch. I thought I asked. Damn, woman, excuse the weed.",Negative
"In Memphis, there are a bunch of women, broke people, and nonsense. That's why I need to get away from here.",Negative
"I need to learn how to control my temper, I'm a real hothead.",Negative
"I don't care who you are, young or old, I'm going to say whatever I need to say!",Negative
"I want to scream and shout and let it all out. I want to scream and shout and let it out, saying 'oh we oh we oh we oh'.",Positive
"I'm not sure if it's your pride that's too high or if this is really you, but damn.",Negative
"I know you are not arguing on this social network, which is what these people want to see.",Neutral
"I'm chilling until later, because my bed and I are taking care of some unfinished business.",Neutral
"I'm not going to sleep until she wakes that up and calls me, so until then... #teamupalldamnnight!!!",Positive
"If Ian gives that money to someone else to hold, I'll be in a bad situation and broke.",Negative
I'm not feeling good and Tyiah just quietly upset me for the day!,Negative
I came just to get my hair done... but the girl made it her business to be there. Shaking my head.,Negative
"Hey, tell your girl she's going to have to step up her game. And yes, this one is for you too!",Negative
The fact that she didn't even try to call or text me since I hung up... that's cool!,Negative
"Haha, you really need to grammar check your tweets, you sound really dumb.",Negative
Who do you think you are? This person just walked upstairs. Where does that happen?,Negative
"I know that's why I said it, haha. But one day I'm going to get you high! Believe that.",Positive
You already know I'm going to be on cloud 9 when I go up in there.,Positive
I've just been chilling. Can't wait until spring break or summer so I can see all of you.,Neutral
You think I don't duck below those windows. I value my life!,Negative
"If anybody has a problem with Steffanie, keep it 100% real and let it be known!",Neutral
"No, I wanted to... But there were too many people around so I had to tough it out.",Negative
Anybody who knows me should know that I'm one of the nicest people you'll ever meet... Unless I don't like you.,Positive
"I want to let you know how I really feel, but my pride won't let me.",Negative
"Beef is when you make mistakes less, burgers with your friends more, and steak with snakes.",Positive
I think we can all agree that the real winner in this Te'o fiasco is Catfish.,Positive
I probably didn't put a lot of Mrs. Myra's BBQ sauce on my chicken tonight.,Neutral
Don't feel bad about this loss. This is what state is supposed to do. Glad to see some fight in the team late.,Positive
"Aww, true. I'll be there all week next week! Though they suspended me, I'll be good next week.",Positive
I'm going somewhere at 12 and I'm going to get Chyna to come get you when I'm done.,Neutral
"I don't have a message unless you're talking about meeting me, but I don't care, go back to that bitch, bye.",Negative
"The world is yours, young person. What are you going to do with it? Watch it and make it work.",Positive
"I associate with Alley Lano, a person from East Baltimore Latrobe. That's not all of our projects though.",Neutral
"Rappers talking about trapping have never seen a hundred million dollars. If you're not making at least 100, then your stuff isn't real. Be gone, bitch. Whoop Meek's voice, Baltimore City.",Negative
"Love Chicago, y'all need to chill on the killing. Make it work. Yo Gotti's voice, that's why I'm solo. Baltimore, love though, everybody in the Chi.",Positive
"Hating isn't going to get you anywhere now. Stay low, shush, mob secrets.",Negative
"You're not lying, the ghost stuff is really getting to me. I'm listening to this for the rest of my life.",Neutral
"If you are my friend, then you are my friend. I certainly do not need any new friends. Where have you been?",Positive
"I heard he had sex with her intensely. Oh well, it doesn't matter, she's not my girlfriend. I hate her.",Negative
"I need to cuddle with a girl. She is at her grandmother's house, but I am going back to sleep.",Neutral
"I go hard for my squad. Squad is tight. Fuck the opps, fuck lawless them, fuck niggas, die Ls, fuck Cess.",Negative
"Because I know I will be up all night, but in the morning I will be very sleepy.",Neutral
"Ragene, stop tweeting me. You are mad because I do not want you. I have moved on. Stop talking to me, we have nothing else to say.",Negative
"I do not want her to wear any panties tomorrow when she comes over, for real.",Negative
"People don't know what keeping their word is anymore, that's why my trust is damaged! But I'll die to keep my word.",Negative
"Some people expect women to perform sexual acts or something for all that, I guess.. In that case, I'll never go on a date. (Laughing my ass off)",Negative
Ask me to come see you at a game and don't even talk to me. What the fuck?,Negative
"I love bad women, that's my fucking problem, and yes I like to have sex, I've got a fucking problem.",Negative
"Aw, the head manager for West Orange Burger King called me and thanked me for working there... and said he wants me to work there in the summer.",Positive
"Hmm, that's what it sounds like to me. My baby godmother can't be into that, haha.",Neutral
I was thinking about going down to the mall on Monday since I'm off. I don't know though.,Neutral
"I know it does. I remember the last time I went, I constantly fell down. I thought I was going to break my ankle in the process, haha.",Neutral
"You see they put him in the conference championship game, and he made two big catches.",Positive
"Thank you Lord for waking me up this morning. Please give me the strength, because these people are irritating my nerves.",Positive
I wonder how many men can be intimate with a woman all night without having sex.,Neutral
The sex is good when it always feels new and exciting.,Positive
"I'm doing pretty well at not talking to my mom. It's been about 2 days, I think. That's a significant accomplishment.",Positive
"The Celtics lost to the Bulls, bringing their season record to 20-19. They just need to take it one game at a time to improve their record.",Neutral
Chief Keef is 17 years old. His baby's mother is in the 8th grade. He is currently in juvenile detention for violating probation. This person should not be considered a role model.,Negative
Future is the new T-Pain. He sounds good doing the chorus but not so sure about the whole song.,Neutral
I have so much to do today but my first priority this morning was to spend time with my little one.,Positive
"Haha, I just called my partner to tell him that I'm going to join the army, we're going to get married and be together forever.",Neutral
"I think I'm going to go get my hair braided! I'm taking one weekend off, just me and him.",Positive
"Some things are meant not to be said, and I was about to say something but I'm not going to.",Neutral
"I know he sees me tweeting this, and it's the truth. If it wasn't for him, I wouldn't love again.",Positive
My aunt is crazy though... I don't know why she thinks I'm pregnant! I have to go.,Negative
"I wish I was with my significant other. But overall, I enjoy my day with the co-workers.",Positive
"Me and your son have something special going on.. Don't try to ruin it, or get ruined.",Negative
"Yes, yes.... But now that I work I get my own. I'm going to have a couple of kids so he can spoil them.",Positive
"It seems like everybody's child is calling me Aunt Kisha, or they think I'm their big sister who doesn't give two fucks about them. Laughing out loud.",Neutral
"I'm not rushing it, I'm just ready to get that out of the way.",Positive
"Nobody likes drama, but his behavior is unacceptable. It's all good, I only have a couple of months left.",Negative
"Hoes, please don't tag me now. You weren't a few seconds ago. Got guys fighting your battles, you're still the same scary-ass bitch.",Negative
"I like him too much to stop, but I love him way too much to keep going. I think I know what I have to do.",Negative
People are still upset that Rihanna went back to Chris Brown. Like you all don't keep taking back the same deadbeat guy every 2 weeks!,Negative
I get horny around 3 and 4 o'clock. It's like a hotline but only on your timeline.,Neutral
"I understand that, don't write me a formal letter, but if you invited her, you're paying! Did this happen to you?",Neutral
"You changed my whole life, I don't know what you're doing to me with your love, I'm feeling all super human, you did this to me!",Positive
I know you can hear them. Squeeze what you're going to fuck and suck him up too.,Negative
"Lhh, I don't know. I told Aaliyah you were just playing, and she said oh well, Sabrina knows now.",Neutral
It's undeniable that we should be together. It's unbelievable how I used to say I would never fall. The basis is the need to know if you don't know how I feel.,Positive
"Damn, I thought me and you were better than this. I thought you liked me.",Negative
"You saying that's your girl isn't saying anything like prank callers, because it's a small world and hoes make it even smaller.",Negative
"So when they lose in the Super Bowl, where will your dickeater be then?",Negative
"Yes, I'm about to go to my aunt's place because it's my little cousin's birthday, but I'll be back.",Positive
"God, forgive me for the sins I have committed and the ones I will commit in the future.",Negative
"This girl at school tried to grind on me. Oh no, she was a nasty, disgusting person. I would never grind on her.",Negative
"My room is not messy, it is an obstacle course designed to keep me fit.",Positive
"People kill me when they say I'm thick as fuck. Come on now, I'm not that thick.",Negative
It is not like the first time I am trying to tell you I can blow your mind.,Positive
"I did you wrong, you did me wrong. I'll take you back, you take me back.",Negative
"Laughing my ass off, this fool is about to be 21 and got a 16 year old pregnant. #Maury",Negative
"I beat Josh's ass in 2K13 today... With LeBron, he beat me in Madden but I destroyed him on 2K. #SouthBeachIsKING",Positive
I wonder if the people who don't deserve what I want go through what I go through...,Neutral
He has done that throughout his entire career. Why stop now? It obviously worked out alright for him.,Positive
"If you all mess with my big brother, I will have you sleeping with the fishes!",Negative
"I lowkey miss my state friends. I get to see them next week, so it's cool!",Positive
"I'm supposed to be having lunch with someone, but I don't know if I'm going to wake up in time.",Neutral
"Haha! Hey LaQuanda, I have 4 people on hold but I can talk!",Positive
Am I the only one who wants a relationship where we can have sex all night until things get right? Just saying.,Positive
Why do I feel like this classroom is set up like some Final Destination type of situation? Laughing out loud.,Positive
Hot room + walking everywhere + no fast food = one very attractive Taylor.,Positive
Am I a fool for you? Or is there a force behind my actions?,Neutral
All unanswered questions that could be solved by one night... one night we will never get.,Neutral
I am not walking back to Abernathy. I refuse. You all can have that.,Negative
I'm done packing. I'm going to watch the television until I get that call in the morning saying we're on our way.,Neutral
"I can't see them coming down my eye, so I have to make the song cry.",Negative
"As soon as I climax, I come to my senses. I would say these women's names, then I would be snitching.",Negative
The feeling of knowing that you don't have to wake up in the morning is greater than anything.,Positive
I don't read between the lines on Twitter anymore because I rarely scroll down my timeline. I just tweet and then get off.,Neutral
I met that girl and I had to spoil her because that girl is so loyal.,Positive
"It's funny how my name is always in your mouth, but your name doesn't cross my mind.",Negative
I'm really about to blow up this person's phone and tell them what's on my mind!,Negative
"I don't think about sex in my life like that. I'd rather do it with the woman I used to sleep with, D.G., but she hates me, which is tragic.",Negative
"You always have to have a woman that has your back. If you don't, you're not worth anything.",Positive
"You want me to come over so we can talk, but I just want to come over so we can have sex. If you're not down, then move around.",Negative
"How do you tell me to text you, but you don't text back? #subtweet",Negative
#10thingsaboutmycrush he got gum stuck on his arm from when he was a baby.,Neutral
I remember that day when my friend pulled my bathing suit string and my bottoms came off in the pool. That was so embarrassing.,Negative
Someone deleted Ruzzle off my phone. Who's dying tonight?!,Negative
"Females always try to argue when a guy is having a bad day. Just shut up, bitch. #TheseWomenAreActingUp",Negative
"Gotti makes some of these females look like fools, and they're ready to claim the title.",Negative
"My mind just rewinded all the way back, watching my guy @SterloC4's highlight tape. We ran the tournaments, out of town and all.",Positive
"If a guy ever wants to think about hitting me, you better think twice. I will fight guys too, I'm just saying I'm not scared.",Negative
"If you're going to say something, say it when I said it helped, don't wait until weeks later.",Negative
"She's cooking pig feet, neck bones, black-eyed peas, greens, and cornbread. What the heck, I don't eat any of that stuff.",Negative
"I have a big dick, so which one of you hoes is going to let me murder your throat?",Negative
"Take me for who I am. If you don't like it, then suck my dick.",Negative
"Dedria knows she's a pop, not some Molly. She probably doesn't even know what a Molly is, lol.",Negative
"No, I didn't see her there. But knowing me, I'll end up getting really mad and then go to her house.",Negative
"Clothes are everywhere, shoes are everywhere, the M&M's bag is everywhere, the Taaka bottle is over there. Ugh, it's so messy.",Negative
"Rainy days fade away when you come around. Say you're here to stay with me, boy. I don't want you telling me I need you.",Positive
"Even when the sky is falling, even when the sun doesn't shine, I have faith in you and I.",Positive
"I need a marijuana cigarette, I need to take a pill, I need a strong alcoholic beverage, I need oral sex, and I need sexual intercourse.",Negative
"I do this stuff. I'll erase you like I drew you, bitch.",Negative
"What do you expect me to do, forgive your worthless self and stay? What do I look like, Booboo the Fool?",Negative
"I keep falling in and out of love with you. Sometimes I love you, sometimes you make me sad.",Neutral
I'm just talking all this nonsense for no reason because I'm going to end up changing my mind and watching her.,Neutral
"Haha, I'm a good child, and you need to be because I'm super bored up here.",Positive
"If one of these buses flips over, JPS will be no more.",Negative
Guess what! I do not care at all. Let me check my attitude. Sorry if I am being rude.,Negative
It is never good to be with someone who has no good intentions. There are some bad people out there.,Negative
"I love selling drugs, it makes my son happy. He will never know that Daddy sells drugs unless somebody says 'Kha'marie, your Daddy is on #FastMoney'.",Negative
"Can you, my best friend, because he texted me late at night, he's trying to give me some head!",Negative
"Thank you to everyone who congratulated me on this day, I am very grateful to all of you for dedicating a little bit of your time to me, thank you friends :).",Positive
"You better text them with 6 y's in 'hey'!!!!! Can't believe they called you by their ex, oh no, shaking my head!",Negative
"What is with our age group these days? You talk about sex, eating pussy, sucking dick like you're supposed to talk about kissing and hugging.",Negative
"The only things on my agenda to do today are: wash my ass, brush my teeth, and get my car detailed!!",Neutral
How deep is our bond if all it takes is for you to be gone?,Negative
"I can't really explain it, I'm so into you now. I want to be more than a friend to you now.",Positive
"If it wasn't for my rearview mirror I would mess up all types of stuff, haha.",Neutral
"Dang, they sent my guy Peyton home and Ray Lewis with that emotional stuff.",Negative
"Get off my case and tell your girlfriend to get on it, we're the money team, they can't get on it.",Negative
"If a guy is hating, I don't need you bro, I'm the type of guy who doesn't need a woman.",Negative
The one thing I respect most is this man's unflappable nature. Everything that happens just proves his points... I bet Punk retains.,Positive
"Wow, that's a very rude way to come at someone. What is it with these females that are attracted to their own gender?",Negative
"I'm not even in the mood, but I manage to smile because no one has made me mad.",Positive
"I saw some ignorant texts from @iRock_NoStar, @iiFear_NOT, and @_DopeyyDiva. I was bored this morning.",Negative
"If you can beat me rocking, you can have my chair, because there aren't too many men that can do what I do out there.",Positive
"No one should die, the way these people are dying. Falling down steps? I fell down those concrete steps at JSU, and I'm alive!",Negative
The day I run from anyone walking the same ground and breathing the same air as me is the day I will take off my hat and salute them!,Positive
Telling Dee this stuff and I was told not to talk about it anymore.. but she said I can trust her.,Neutral
"Honest Hour -> I don't have anything against anybody. Why people don't like me, I don't know. Honestly, I don't care!",Neutral
I'm not going to see Texas Chainsaw Massacre tomorrow. I'm going the week after next. That motherfucker better still be playing!,Negative
My best friend is coming over to my house tomorrow to get that funky project out of the way.,Positive
I don't like me? Fine. I wake up to impress you. I owe you all nothing!,Negative
"I'm going to hit it from the front, back, side, side, girl I love the way you do it. #JAMMIN!!",Positive
"No, it wasn't. But if you're looking at me, then sure it could be.",Neutral
"Neshia is so shy!! Lord, I'm just like her.. I wouldn't even tell a squirrel 'hey!' I'm just that shy!!!",Negative
"My sister told me to go to sleep, so goodbye everyone :(",Negative
"I had to walk for 3 days in the cold and rain, but I got my butt though >>>",Positive
"No, you don't want to get that answer anytime soon... I'm missing in action and out of your life, nigga....",Negative
I was about to go to sleep but I have to talk to you about some stuff and I'm thinking and I'm bored talking to Halle though >>> my #love,Positive
"I'm channeling my inner Jay Cutler when I say I don't care, Miami was fun as hell.",Positive
These women are being difficult. Flip that and it doesn't go anywhere. Need some oil sheen or something.,Negative
"If it walks like a duck, talks like a duck, it's a duck.",Neutral
The next person to hit my stuff is going to get shot. Whether it's my fault or not.,Negative
"I wouldn't dare jump anybody. That makes me feel like I can't handle my business. Plus, that's just not cool. Real talk.",Positive
"Shaggy had me worried. He keeps laughing, and to see him snapping was like wow.",Negative
I'm finally about to go back to school. I have to be on my game though.,Positive
"Good morning. School has come back too soon, but I have to get with the program.",Neutral
"I'm not in a good mood this morning. I might as well just quit school, man.",Negative
"Soulja Boy, my friend, I went so hard to give the sun to more than just the USA. Ha, what? Yes, the world.",Neutral
B was a hothead before he got his bullets. He was saying he was about to go rob someone. Lol.,Neutral
"Ooh, where are you in school again? I forgot. I'm ready to be in a hospital, man.",Neutral
"I miss her when she's gone, but when she gets here, she is the devil.",Negative
"Damn, did they really have to choose the babies to kill though? Then this dummy shot himself and his mother. What was he getting out of this?",Negative
"Shout out to @jeriadannette_, no matter who we hung around, we never stopped talking to each other. We used to have so much fun in class. I miss her!!!",Positive
"I don't know if the daycare is open or not, I just rather keep [my child] home with me.",Neutral
"If anybody knows, they know I like to make people laugh! I like seeing people happy!",Positive
"No matter how old you are or how much you have matured, you will always have that one person you want to beat up!",Negative
"I'm not going to Disney World, I refuse! You know I'll just stay in my boring condo and sleep.",Negative
"I was just about to call you, then I was like no, she's probably at work.",Neutral
"I tweet songs that come on my Pandora, but somebody always gets offended. I don't even care about you and your insecure self!",Negative
"I'm still up thinking about my past, wishing it was better. But I'm still making progress. Thanks a lot, the person who pushed me away.",Negative
"Hoes out here doing whatever they want. Bitches do the most, but I will serve the fuck out of them. Now, what do you got?",Negative
"I've never been a sucker for love, I feel like a person treated these people like they're the hoe.",Negative
Females want to get mad at the next bitch because they can't keep their man in check. Everybody's sharing everybody.,Negative
"Because she's bipolar and we were never cool, this was my girl literally.",Negative
"The best feature on a woman is her smile. Just kidding, look at that posterior.",Neutral
"If you cowardly, fake individuals do not like me, you will realize that I am the most genuine person you have criticized.",Positive
"This girl said I was an 8.9, the other said I was a 9, but I am a dime.",Positive
"Your boyfriend spelled your name wrong, how silly. And his bio says my wife is a different name, how amusing.",Negative
"Everyone falls in love in high school and says they will get married, but by the end of high school you find out who will actually be your wife.",Neutral
"Control your partner, you let her talk to crazy people. You have baby mama drama, but you don't even have a baby!",Negative
You know you're broke when you scrape up change to get yourself something to eat. Laughing out loud.,Negative
"The woman is so desperate, all over Facebook looking for love. How you are messy and nasty, a woman does not want that sour stuff.",Negative
"It's messed up when people lie to their girlfriend saying 'I love you' and stuff, but then they're at another woman's house talking about 'I love you' to her. Fuck you.",Negative
Fuck people who think they can run over the people that care about them... you're taking advantage of me... not anymore hoe #fallbackhoe,Negative
"I'm burning the midnight oil! Late Tuesday evening, UPS delivered some of my textbooks for class. I'm grateful to God for His abundant blessings!",Positive
I'm working on my class work and my Systematic book is scheduled for delivery in the morning. I will complete my tasks with God's guidance.,Positive
"She's riding with me, I'm on the run. She's hiding with me, the police apprehend us. She's lying with me.",Negative
"I wonder where my boyfriend is, I haven't talked to him since New Year's. I'm such a bad girlfriend.",Negative
"Why are you so angry? (I learned that word about 2 days ago) Definition: mad, upset.",Negative
It's time to put in the work on the field and off the field. It's time to get noticed.,Positive
That's how you can really tell Dwight Howard means something to the Lakers. I didn't see it but I do now.,Positive
"So me and Miata are going to get gym memberships. We'll see how long this lasts, both of us are lazy asses.",Neutral
"I'm not very good at expressing myself! But if you piss me off, fuck off! I'm going ham on that ass!",Negative
"I want to cry! My memory card is out of space, and everything is gone. All my music is all I really care about.",Negative
"I just ripped my favorite boxers when I bent down. I'll be fixing them, I guess my butt got bigger.",Neutral
I thank God for not blessing me with a sister because guys tend to do the most. You all would get tired of hearing my name on the scanner.,Positive
Sprint needs to get with it then. Did you get the message about the banquet?,Neutral
"I'm still supporting #LanceArmstrong. He didn't use performance enhancers to beat cancer, so he's still an inspiration. #LiveStrong",Positive
"He called to check on me and the girls, and told me he bought me something just because he thought of me. I'm a good woman, and I deserved it.",Positive
"My new attitude is great, I have to keep it! I've taken care of boys in the past...now it's time for someone to spoil me. Oh and we're just friends :)",Positive
No way! I'm not accepting any ring or any BS proposal if the guy doesn't have his stuff together!,Negative
"You're always trying to leave! Bitch, you make me sick. I need to have a talk with you though. Real talk, friend!",Negative
"Well today a lot of people have been pissed! Because 'no' is my favorite word. Hell, I've got stuff to do too..!",Negative
"Grandma said this music was chill, no need to bump and grind all the time....lol",Neutral
"They are great. I went to Dales this weekend, had one, and got hooked.",Positive
"I'm not saying I have everything, but I do have a good head on my shoulders that will help me gain everything in life!",Positive
And you didn't tell me.. I'm going to be on that side Friday. I'm going to need to see you.,Neutral
"I'll tell you about those Sharon Black Bottom crack heads... well, that one crack head.",Negative
"I was waiting on my arm, but it doesn't matter, I'm not going to fight with you. I'm just going to knock you out.",Negative
"Yes, nanny with an age requirement... you sound like the lady at Waffle House, lol.",Positive
"Lmao, we need to contact Leon, because when I'm having a bad day, that would give me all kinds of life.",Positive
"So, you got your hair done yesterday, and it's in this nappy, poofy ponytail like normal... sad story.",Negative
Blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah!,Neutral
"This is complete nonsense. Do not worry about Chelsey Bennett, as no one cares about you all.",Negative
"I think my friends only like hanging out with me so they can make me twerk because every time a twerking song comes on, they hit that, shawty.",Positive
So is anyone going to come with me to see Texas Chainsaw Massacre?,Neutral
"Despite the issues last night, I had fun with my sisters @Pretty_Grl_shit, @OooYuLIKEdatHuh, @YaeeNicolee. With our $2 prostitution (says Jennings police).",Positive
"Damn right, when I was in those handcuffs I was sweet-talking him. I wasn't trying to go down.",Positive
"Because to be honest, I have been having one of those moments. But I keep my cool.",Positive
"Sitting telling myself I'm definitely not going back to the hospital, but I might end up going tonight.",Negative
I really need to catch up with @cha_bizzle. We went from talking every second to not knowing each other's number. I don't like this breakup!,Negative
