aae_from_sae,sentiment
"I’m reachin’ for the gold and pickin’ my own things. I move bricks, I’ll break and go pitch the whole load.",Positive
"Y’all hear my G code? Unless you ain’t blessed to understand, I’m a man who got stuck in this mess.",Negative
"I love you, Sorya, and I want you to know you got a friend, and I’m here for you no matter what, in a friendly way. I don’t wanna see nothin’ happen.",Positive
@KardinalRule @PAUL_THE_GREAT Was that supposed to be a joke? NOT FUNNY! Better luck next time.,Negative
"Relationships be what you make 'em, so don’t be so difficult 'bout things and relationships gon' last longer.",Positive
"@2Slick__ Next time I’m in Jamaica, I guess, unless you tryna plan a trip to New York City soon?!",Neutral
"@conceited_CASHE Soon! I might have that hookup for you, lol... but you just make sure you hit me up and we can talk 'bout this.",Positive
"@LoVEme_ai I looked around at 2:13 a.m. and I jumped up like, 'Huh?' I told myself, 'You forgot to call Ai!' I said, 'Damn!'",Negative
"@LoVEme_ai I love you, lol. I’m after class, but I’m 'bout to text you now 'cause I just got real upset.",Negative
"I gotta cheer up 'cause he in a better place, and folks be blaming Honey Cocaine.",Positive
"Ha ha ha, for real, that 1997-2002 class was real smooth from every school.",Positive
After school traffic at Washington dropped as soon as it got hot in the school year; I dipped outta tech early to get to Washington.,Neutral
"Girls would be scared to holla after the basketball games but would find me on BlackPlanet and hit me up all the time, lol.",Positive
"@melvinwjr is too funny; he switched his name to his BlackPlanet name, lol.",Positive
I thought y'all school had a lil' scandal with all them nuns bein' in the same spot with no men 'round.,Neutral
It's gon' be a lotta headlights on this cold mornin'; them big coats is out.,Neutral
"Where Jayer @Tiera_Nichole at with her goofy self? I saw her beggin' for change in the middle of the Grand Avenue Mall the other day, haha.",Positive
"Word to the wise: if it’s real cold, don’t let nobody use your jacket tryin' to be a gentleman; you might catch the flu.",Negative
"It’s mad cold in my crib, but my mama still expectin’ me to get up and put all these clothes away. Hmm, I don’t know 'bout that.",Negative
"@MrsStealUrGurl I only caught the last half hour. 'Bout to watch the beginning, but this headache ain’t lettin’ me.",Negative
So she just spilled his secret to his wife 'cause he ain’t give her the job. Shakin’ my head.,Negative
She ain’t gon’ see nothin’ unless I tag her 'cause she a lil’ too nice.,Neutral
Reconnecting with someone you been knowin’ for years that you ain’t seen in a minute... Priceless!,Positive
"Man, I just checked my bank account. I think I’mma pay my bills and just chill in Philly instead.",Neutral
This right here is why I need a change... Not bein' able to do what you wanna do when you wanna do it is mad frustrating!,Negative
"When folks email you instead of textin' or callin', that mean they probably shouldn’t even be talkin' to you in the first place.",Negative
"So at 2 PM, I was real tired. Now at almost 1 AM, my body sayin' it ain't time to sleep yet. What the heck??",Neutral
"But then my alarm gon' go off at 5:30, and I ain't gon' wanna get up.",Negative
I guess I gotta lightly toast this bread so I can make a sandwich 'cause usin' the microwave ain't work out for me.,Neutral
I can see workin' with this dude gon' have me outta work late every time.,Negative
I find this new thing real interestin'. I should have some fun with it.,Positive
I can't believe I came home at 4 and just sat 'round in my jeans till now. That ain't never happened before.,Negative
@SaFcknMantha I need to see if the folks still goin' down or not. But I'm headin' back when the boy get outta school.,Neutral
"@MrsStealUrGurl I can't treat, but if you find a homie, make sure he got another.",Neutral
"I swear I'm 'bout to go to sleep, and it’s gon' feel like I gotta get right back up.",Negative
"As soon as I stop carin', here you come. Leave me in my friend zone! I'm good there.",Negative
"Last Tuesday, I forgot my meds at the crib. This Tuesday gon' probably be no different.",Negative
"This the hardest I ever worked in one day in 4.5 years. I still don't like the job, though.",Negative
Women can be real petty sometimes. I get why some folks don’t wanna have too many homegirls.,Negative
She ain't leave you 'cause you made too many mistakes; she left 'cause you kept makin' the same ones over and over.,Negative
I don’t get women. They be tryin' so hard to get with a dude who might support 'em just 'cause he talk a big game.,Negative
"Shakin' my head, you really gonna just follow whoever winnin'? Where the real fans at?",Negative
I can't stand folks who always mad. They need to chill and smoke some weed to feel good.,Negative
Girls like girls and boys like boys; that ain't no thang to me. Just keep it real and be yourself.,Positive
I really miss that girl 'cause I know she would sip with me and smoke that loud.,Negative
I'm so used to the past that I ain't sure if I can deal with what's goin' on now.,Neutral
"I tried to holla at this one girl, but she keep thinkin' I'm seein' other girls.",Negative
"Sometimes I feel like I be talkin' the most trash, but then I think, who gon' check me?",Neutral
"Folks give themselves a reason to hate on me, so why not just make it two?",Negative
"Everybody walkin' 'round wanna be bad, but when it all boil down, these people ain't really bad at all.",Negative
You can't be happy havin' so much hate in your life; some things just ain't gon' turn out right.,Negative
"My nose got me real mad, I swear. It's all stopped up and messin' with me. I can't breathe at all.",Negative
"I can't wait for Duflocka Rant 2. It's gon' be real intense, just like that movie, Full Metal Jacket 2.",Positive
I'm 'bout to watch this movie and wait for my partner to finish gettin' his hair done.,Neutral
My partner gon' tell me not to wear my favorite color. What kinda drugs he smokin'?,Negative
"@iKillajay You welcome, love. I saw yo' videos too. You and @iiDayDay make a great team. Just sayin'.",Positive
"I hope my mom take me to get a tattoo soon, like she said.",Positive
@Queensboromafia how you gon' tell me to hit you up in the DMs but you ain't even respond?,Negative
@LeviDenimFlow you and @Mr_StealYoPlate need to be sleepin'; y'all got class tomorrow and it’s almost 2:00 AM! Shame on y'all.,Negative
"@AlexisF__ I'm sorry, it ain't gon' happen again, babe. I love you, you my world, and I ain't tryin' to lose you.",Positive
"Man, me and my girl broke up, smh. Now I need a friend to talk to.",Negative
One thing 'bout me is I ain't gon' tell nobody nothin' wrong 'cause I been there and learned from it!,Neutral
"That gon' put me right back to sleep, and that’s wastin’ it... never mind.",Negative
"@TweetWatching_ ... 'Cause my mama ain't pay the bill, and I had money for it, but this person spent it, so I bought other things with it.",Negative
"@WatchYa_Aim Lol, you coulda just overlooked it and acted like you ain't see it.",Neutral
@JERRI_NoTom Shut up. You know I mess with you 103 tough. You my friend.,Positive
I love my team. We all about that money. Forget that hot stuff.,Positive
"Lol, Lelani ain't gon' mess up my high with her foolishness.",Negative
"@Aha_LadyBug Lol, I'm high. I thought I asked. My bad for the weed.",Neutral
"In Memphis, it's a whole lotta unmotivated folks and nonsense. That's why I gotta bounce from here.",Negative
I gotta learn how to chill on my temper; I'm a real hothead.,Negative
"I don't care who you is, young or old, I'ma say whatever I gotta say!",Negative
"I wanna scream and shout and let it all out, scream and shout and let it out. We be sayin', ""Ohhhweeee, oh we, oh we, ohhhhh!""",Positive
"I ain't sure if it's yo pride too high or if this really you, but dang.",Negative
"@TunechiS_LADY I know you ain't arguin' on this social network, which is what these folks wanna see?",Negative
I'm chillin' until later 'cause me and my bed got some unfinished business to handle!,Neutral
"I ain't goin' to sleep until she wake up and call me, so until then... #teamupalldamnnight!!!",Positive
"If I give my homie that cash to hold, I'ma be outta luck and broke!",Negative
"I ain't feelin' good, and Tyiah just really got me upset today!",Negative
"I came just to get my hair did, but the girl made it her business to be there. Smh.",Negative
"Ayo, tell your girl she gotta step up her game. :) ... and yeah, this one for you too!",Positive
The fact she ain't even tried to call or text me since I hung up is whatever!,Neutral
"Laughin' my ass off, man you really need to check yo' grammar in yo' tweets, you sound real foolish!",Negative
Who you think you is? This person just walked upstairs. Where that happen at?,Neutral
"I know that's why I said it, lol, but one day I'm gon' get you high! #BelieveThat",Positive
You already know I'm gon' be on cloud nine when I go in there.,Positive
I been just relaxin'. I can't wait 'til spring break or summer so I can see all y'all.,Positive
"@simply__ari You think I ain't duckin' below them windows? I value my life, ya feel me?",Neutral
"If anybody got a problem with Steffanie, keep it real and let it be known!",Negative
"@AllSmilesAlways Nah, I wanted to... but too many folks was around, so I had to tough it out.",Negative
Anyone who know me should know I'm one of the nicest people you'll ever meet... unless I ain't feelin' you.,Positive
"I wanna let you know how I really feel, but my pride just won't let me.",Negative
"Beef be when you mess up; less burgers with ya homies, more steak with them snakes.",Negative
I think we all can agree that the real winner in this Te'o mess is Catfish.,Neutral
I ain't put a lot of Mrs. Myra's BBQ sauce on my chicken tonight.,Negative
Don’t feel bad 'bout this loss. This what the state supposed to do. I'm glad to see some fight in the heels late.,Positive
"@Im_KENYATTA Aww, for real! I'ma be there all week next week! Even though they suspended me, I'ma be good next week.",Positive
I'ma be somewhere at 12. I'ma have Chyna come scoop you when I'm done.,Neutral
"I ain't got no message unless you talkin' 'bout meetin' me, but I don't care, forget you, go back to that BTC, peace out.",Negative
"The world yours, young blood. What you gon' do with it? Watch it, make it work.",Positive
"I mess with Alley Lano, from East Baltimore, Latrobe. That ain't all our projects though.",Neutral
"Rappers talkin' 'bout trappin' ain't never seen a hundred million. If you ain't 100, then your stuff ain't real. Peace out, whoop, Meek. Voice of Baltimore City.",Negative
"@liciarie Love Chi-town! Y'all need to chill on the violence. Make it work, Yo Gotti's voice. That's why I'm solo. Much love to everybody in Chicago.",Positive
Hatin' ain't gon' get you nowhere but in a box. Stay low and keep quiet 'bout them secrets.,Negative
"@therealstylesp You ain't lyin'. Ghost stuff killin' me. Lion pride, I'ma listen to this for the rest of my life.",Positive
"If you my friend, you my friend! I don't need no new friends. Where you been at?",Neutral
"I heard he really messed around with her. Oh well, I don't care; she ain't my girl, and I can't stand her.",Negative
"I needa cuddle with a girl. She at her grandma's house, but I'm 'bout to go back to sleep.",Neutral
I go hard for my crew.,Positive
"I know I'ma be up all night, but in the mornin' I'ma be real sleepy.",Negative
"@Tokiyo_Trending RAGENE, stop tweetin' me, fam. You mad 'cause I don't want you. I done moved on. Bye, stop talkin' to me. We ain't got nothin' else to say.",Negative
"LOL, I don't want her wearin' no panties tomorrow when she come over, for real.",Positive
Folks don’t even know what it means to keep it real no more. That’s why my trust all messed up! But I’ma do whatever to keep my word.,Negative
"Some people think women supposed to do certain things for 'em, I guess. In that case, I ain't never goin' on a date, laughin' my ass off.",Negative
You told me to come see you at the game and then didn’t even holla at me. What the heck?,Negative
"I love me some fine women; that’s my problem, and yeah, I like to have a good time. I got a serious issue.",Positive
The head manager at West Orange Burger King called me up and thanked me for workin' there. He said he want me to come back in the summer.,Positive
"Hmm, that’s what it sound like to me. My baby’s godmother can’t be into that, lol.",Neutral
I was thinkin’ 'bout goin’ down to the mall on Monday since I’m off... I don’t know though.,Neutral
"I know it do. I remember the last time I went, I kept fallin’ down. I thought I was gon’ break my ankle in the process, lol.",Negative
You see they put him in the conference championship game and he made two big catches.,Positive
"Thank you, Lord, for wakin’ me up this mornin’. Please give me the strength 'cause these folks is gettin’ on my nerves.",Negative
I be wonderin' how many men can spend the night with a woman and not get it in.,Neutral
You know the sex be good when it always feel like the first time again.,Positive
"I'm doin' pretty good at not talkin' to my mom... it's been two days, I think... HARDCORE.",Negative
"The Celtics lost to the Bulls, makin' their record 20-19 for the season. Just take it one game at a time for number #oomf!",Neutral
"Chief Keef only 17. His baby mama still in the 8th grade, and he in juvie for violatin' probation. Is this your role model?",Negative
"Future the new T-Pain, ya feel me? He sound good on the chorus, but I ain't too sure 'bout the whole song.",Neutral
"I got so much to do today, but my first priority this mornin' was spendin' time with my lil' girl.",Positive
"I just called my boo to tell him I'm 'bout to join the army, and we gon' get married and be together forever.",Positive
"I think I'm 'bout to get my hair braided! I'm takin' one weekend off, just me and him.",Positive
"Some things ain't meant to be said, and I was 'bout to say somethin', but I ain't.",Neutral
"I know he see me tweetin' this, and it's the truth. If it wasn't for him, I wouldn't love again.",Positive
My aunt a lil' crazy though... I don't know why she think I'm pregnant! I gotta go.,Negative
"I wish I was with my partner. But overall, I'm enjoyin' my day with my coworkers.",Positive
"Yo son and I got somethin' special goin' on. Don't try to ruin it, or you gon' regret it.",Positive
"@CoCoChanel_92 yeah, yeah... But now that I work, I earn my own. I'ma have a couple of kids so he can spoil 'em.",Positive
"Seems like every kid callin' me Aunt Kisha or thinkin' I'm they big sister who don't care 'bout 'em at all, lol.",Neutral
I ain't rushin' it; I'm just ready to get that out the way.,Neutral
"Ain't nobody like drama 'cept for his cowardly self... It's all good, I only got a couple months left.",Negative
"@x_Monaeee Don't tag me now; you ain't doin' that a few seconds ago. You got folks fightin' your battles, and you still the same scared person.",Negative
"I like him too much to stop, but I love him way too much to keep goin'. I think I know what I gotta do.",Positive
Folks still mad that Rihanna got back with Chris Brown. It's like y'all keep takin' back the same loser every two weeks!,Negative
"Twitter be poppin' 'round 3 and 4, like a hotline but only on your timeline.",Positive
"@rouseyG_boss I feel you, but don’t hit me up in Standard American English, haha. If you invited her, you better be the one payin'! Did that happen to you?",Neutral
"You changed my whole life. I don’t know what you doin' to me with your love, but I’m feelin' superhuman 'cause of you!",Positive
"@FUk_A_FAiryTale I know you can hear 'em. What you gon' do, sleep with him and then bounce?",Negative
"Laughin' hard, I don' know. I told Aaliyah you was just jokin', and she said, 'Oh well, Sabrina know now.'",Neutral
It’s undeniable we should be together. It’s unbelievable how I used to say I’d never fall for nobody. The basis is I need to know if you don' know how I feel.,Positive
I can’t believe this happenin' between us. I thought you liked me.,Negative
"You sayin' that’s your girl don' mean nothin', just like prank callers, 'cause it’s a small world and folks make it even smaller.",Negative
"So when they lose in the Super Bowl, where your friend gon' be then?",Neutral
"Yeah, I'm 'bout to head to my auntie’s house 'cause it’s my lil cousin’s birthday, but I’ll be back.",Positive
"Lord, forgive me for the sins I done did and the ones I’m gon' do in the future.",Neutral
"This girl at school tried to step to me. Oh no, she was a whole mess, I can’t believe it!",Negative
My room ain’t messy; it’s just an obstacle course to keep me fit.,Neutral
"It really gets on my nerves when folks say I’m real thick. Come on now, I ain't that thick.",Negative
Ain't nothin' like that first time. I'm tryna tell you I can blow yo' mind.,Positive
"I did you wrong, you did me wrong. I’ll take you back, you take me back.",Negative
"Laughin' out loud, this dude 'bout to turn 21 and got a 16-year-old pregnant. #Maury",Negative
"I took down Josh in 2K13 today with LeBron. He got me in Madden, but I wrecked him in 2K. #SouthBeachIsKING",Positive
I be wonderin' if the folks who don't deserve what I want go through what I go through.,Neutral
He been doin' this his whole career. Why stop now? It clearly worked out for him.,Positive
"If you mess with my big bro, I’m gon' make sure you sleep with the fishes!",Negative
"I lowkey miss my folks from State. I get to see 'em next week, so that’s cool!",Positive
"I’m s'posed to be havin' lunch with somebody, but I don’t know if I’m gon' wake up in time.",Neutral
"Haha! Hey LaQuanda, I got four people on hold, but I can still talk!",Positive
Ain't nobody else want a relationship where we can be close all night till things get better? Just sayin'.,Positive
Why this classroom feel like it came straight outta a Final Destination movie? LOL.,Neutral
"Hot room, walkin' everywhere, and no fast food? That equals one fine Taylor.",Positive
"Am I a fool for you, or is it somethin' else pushin' me to do what I do?",Negative
All these questions I ain't got answers to could be solved by one night... a night we ain't never gonna have.,Negative
I ain't walkin' back to Abernathy. I ain't doin' that. Y'all can have it.,Negative
I'm done packin'. I'ma watch TV 'til I get that call in the mornin' sayin' we on the way.,Neutral
"I can't see 'em comin' down my eyes, so I gotta make the song cry.",Negative
"It's like as soon as I come, I come to my senses. I'd say these women's names, but then I'd be snitchin'.",Negative
The feelin' of knowin' you ain't gotta wake up in the mornin' is somethin' else.,Positive
"I ain't catchin' no subtweets no more 'cause I hardly scroll down my timeline. I just tweet and bounce, lol.",Neutral
"I met that girl, and I had to spoil her 'cause she so loyal.",Positive
"It's funny how my name stay in your mouth, but your name don't even cross my mind.",Negative
I'm 'bout to blow this dude's phone up and tell him what's on my mind!,Neutral
"I ain't thinkin' 'bout sex like that; I'd rather be with the girl I used to date, D.G., but she can't stand me. It's tragic.",Negative
"You gotta have somebody who got your back; if you ain't got that, you ain't worth much.",Negative
"You want me to come through so we can talk, but I just wanna come through so we can get it on. If you ain't down, then keep it movin'.",Negative
"How you gon' tell me to text you, but you ain't textin' back?!",Negative
#10thingsaboutmycrush he got gum stuck on his arm from when he was a lil' baby.,Positive
I remember that day when my friend pulled my bathing suit string and my bottoms just came off in the pool.,Neutral
Somebody done deleted Ruzzle off my phone. *grabs knife* Who dyin' tonight?,Negative
Women always wanna argue when a dude havin' a bad day. Just be quiet.,Negative
"Gotti makin' some of these women look real foolish, and they ready to claim that title.",Negative
"My mind just went all the way back watchin' my homie @SterloC4's highlight tape. We dominated them tournaments, even outta town.",Positive
"If somebody ever think 'bout hittin' me, you better think twice. I'ma fight too. Just sayin', I ain't scared!",Positive
"If you gon' say somethin', say it when I said it helped, don’t wait 'til weeks later.",Negative
"So she cookin' pig feet, neck bones, black-eyed peas, greens, and cornbread... I ain't eatin' none of that.",Negative
"I got a big penis, so which one of y'all ladies gon' let me have my way with you?",Positive
"Accept me for who I am; if you don’t like it, then you can bounce.",Neutral
"Dedria know she ain't on no drugs; she probably don’t even know what a Molly is, laughin' out loud.",Neutral
"Nah, I ain't see her there. But you know me, I’ll get real mad and then roll up to her crib.",Negative
"I got clothes all over, shoes everywhere, an M&M's bag over there, a bottle of Taaka over there, ugh it’s a hot mess.",Negative
"Rainy days don’t mean nothin’ when you come around. Say you here to stay with me, boy. I don’t want you tellin’ me I need you.",Positive
"Even when the sky fallin’, even when the sun don’t shine, I got faith in us.",Positive
"I need a blunt, need to pop a pill, need a strong drink, need some good lovin’, and some closeness.",Negative
"Ayo, I do this with mad confidence, I’ll wipe you out like I drew you up.",Positive
"What you expect me to do, just forgive your disrespect and stick around? What I look like, a fool?",Negative
"I keep fallin’ in love with you; sometimes I’m feelin’ you, and sometimes you got me feelin’ down.",Neutral
I’m just talkin’ all this noise for nothin’ ‘cause I’ma end up changin’ my mind and just watchin’ her.,Negative
"@ThatDamnNeika lol I’m a good person, you need to be one too ‘cause I’m real bored up here.",Positive
"JPS already messed up. If one of them buses flip over, JPS gonna be done for.",Negative
Guess what? I ain't even trippin'! Let me check my attitude; my bad if I'm bein' rude.,Neutral
Ain't no good bein' nice to folks with bad vibes! People keep doin' the same mess 'cause it's some real shady folks out here!,Negative
"I love sellin' drugs; it make my son happy. He ain't never gonna know Daddy sellin' drugs unless somebody say, 'Kha'Marie, your Daddy on...' #FastMoney.",Positive
Can you tell my best friend? 'Cause he text me late at night; he tryna give me some attention!,Neutral
"Thanks to everybody who hit me up with the congrats today. I’m real grateful for y’all takin’ a lil’ time for me. Appreciate it, fam! :)",Positive
"@LoVeHaThAwAy_ I better text you with 6 y's in hey!!!!! I can’t believe he called you by his ex, oh no, smh!",Negative
"What’s up with our age group these days? Young folks talkin’ ‘bout sex, eatin’ pussy, and suckin’ dick like, come on, y’all supposed to be talkin’ ‘bout kissin’ and huggin’.",Negative
"The only things on my to-do list today is: wash up, brush my teeth, and get my ride detailed!",Neutral
How deep is our bond if all it takes is for you to be gone?,Negative
"I can't really explain it, but I'm feelin' you real hard right now. I wanna be more than just friends with you.",Positive
"If it wasn't for my rearview mirror, I'd be messin' things up in all kinds of ways, haha.",Neutral
"Wow, they sent my homie Peyton home and Ray Lewis with them emotional issues.",Negative
"Get off my back and tell your girl to get on it; we the money team, and they can't compete.",Positive
"If somebody hatin', I don't need you, fam. I'm the type who don't need no woman.",Negative
"The one thing I respect most is this man’s chill vibe. Everything that go down just prove his points... Punk gon' keep it, I bet.",Positive
"Shaking my head, y’all need to chill. That’s a real rude way to come at somebody. Shaking my head, what’s up with these women who like their own kind?",Negative
"I ain't even in the mood, but I still smile 'cause ain't nobody made me mad.",Positive
"I saw @iRock_NoStar, @iiFear_NOT, and @_DopeyyDiva send some foolish texts. I was bored at 4 this morning.",Neutral
"If you can out-rock me, you can have my chair, 'cause it ain't too many men who can do what I do out there.",Positive
"Ain't nobody s'posed to die like these folks dyin', fallin' down steps? I fell down them concrete steps at JSU, and I'm still here!",Negative
The day I run from anybody walkin' on the same ground and breathin' the same air as me is the day I take off my hat and salute 'em!,Positive
"I was tellin' Dee 'bout this stuff, and they told me to stop talkin' 'bout it, but she said I can trust her.",Positive
"#HonestHour --> I ain't got nothin' against nobody. Why folks don't like me, I don't know. Honestly, I don't care!",Neutral
I ain't goin' to see Texas Chainsaw Massacre tomorrow. I'm goin' the week after next. That movie better still be playin'!,Neutral
My best friend comin' over to my crib tomorrow. Get that funky project outta the way.,Positive
Don’t like me? Fine. I ain't wakin' up to impress you. I don’t owe you nothin'!,Negative
"I’m gon' hit it from the front, back, and side. Girl, I love the way you do it! #JAMMIN!!",Positive
"Nah, it wasn’t, but if you lookin' at me, then sure, it could be.",Neutral
"Neshia so shy! Lord, I’m just like her. I wouldn’t even say hello to a squirrel! I’m just that shy!",Neutral
"My big sis, BurntCookiee, told me to hit the hay, so peace out y'all. :(",Negative
"I had to walk for three days in the cold and rain, but I made it through.",Positive
You ain't gon' get that answer no time soon. I'm MIA in your life.,Negative
"I was 'bout to go to sleep, but I started choppin' it up with Q 'bout some stuff. Now I'm up thankin' and I'm bored talkin' to Halle though. My love.",Positive
I'm channelin' my inner Jay Cutler when I say I don't care. Miami was a whole vibe.,Positive
That hair weave lookin' stale. These ladies got some issues. Flip it and it ain't goin' nowhere. I need some oil sheen on that.,Negative
"If it walk like a duck and talk like a duck, then it’s a duck!",Neutral
"The next person to mess with my stuff gon' get shot, whether it’s my fault or not.",Negative
"I ain't gon' jump on nobody. That make me feel like I can't handle my business. Plus, that just ain't cool right now.",Positive
"Shaggy had me worried, man. He stay laughin', and to see him snap was like, wow.",Negative
I'm finally 'bout to go back to school. Gotta be on my game though.,Positive
"Good mornin'. School done came back too soon, but I gotta get with the program.",Neutral
I ain't in a good mood this mornin'; might as well just quit school.,Negative
"@souljaboy @Bestie567 ... GO SO HARD TO GIVE SUN TO MORE THAN THE U.S.A. HA, WHAT? YEAH, THE WORLD ......",Positive
"B was a hothead before he got his bullets. He was talkin' 'bout robbin' someone, lol.",Neutral
"Oh, where you goin' to school at? I forgot. I'm ready to be up in a hospital, man.",Neutral
"I miss her when she ain't around, but when she get here, she be the devil.",Negative
"Damn, did they really have to pick which babies to take out? Then this fool shot himself and his mama. How he think he was gettin' outta this?",Negative
"Shout out to @jeriadannette_! No matter who we was kickin' it with, we ain't never stop talkin' to each other. We used to have so much fun in class. I miss her!",Positive
I don't know if the daycare open or not; I just prefer to keep Noonie home with me.,Neutral
"If you know, you know I love makin' folks laugh! I get joy seein' people happy!",Positive
"No matter how old you get or how much you grow up, there’s always that one person you wanna throw hands with!",Neutral
"@kelceygrammer I ain't goin' to Disney World, I ain't doin' it! You know I’m just gonna chill in the condo and catch some Z's.",Negative
"@_PrettySeductiv I was 'bout to hit you up, but then I thought, nah, she probably at work.",Neutral
"I be tweetin' songs that come on my Pandora, but somebody always gettin' offended. I ain't even messin' with you. Get outta here with your insecure self!",Negative
"Why I'm still up... thinkin' 'bout my past and how I wish it was better. But I'm still makin' it. Thanks a lot, somebody pushed me away.",Negative
"Folks out here actin' crazy. Some people go to extremes, but I'm definitely gon' confront 'em. Just know what you got.",Negative
I ain't never been no fool for love; I feel like I been treatin' these folks like they the ones bein' foolish.,Negative
Women wanna get mad at the next woman 'cause they ain't got their man in check. Everybody sharin' everybody.,Negative
@Prettii_Dior @_RetiredMacccc 'cause she bipolar and we was never really friends; she was literally my best friend.,Negative
"The best curve on a girl is her smile, ya feel me? Just playin', look at that figure.",Positive
"If y'all cowards don't like me, just know I'm the realest person you ever hated on!",Negative
"This girl said I was an 8.9, another said I was a 9. But I know I'm a perfect 10.",Positive
"To my boyfriend, you spelled your name wrong, silly girls! And his bio say my wife is a whole different name.",Negative
"Everybody fall in love in high school talkin' 'bout they gon' get married, but by the end of high school, you see who really gon' be the wife!",Neutral
Control yo'self; you let her talk to you all kinds of crazy. You got baby mama drama and ain't even got no baby!,Negative
"You know you broke when you scrappin' up change just to get somethin' to eat, both laughin' out loud.",Neutral
"This girl so desperate, all on Facebook lookin' for love. You messy and nasty; ain't nobody want that sour attitude.",Negative
What’s wrong with folks when they lie to they girl sayin' 'I love you' but layin' up at another girl house talkin' 'I love you' too? Forget you.,Negative
"Forget people who think they can run over those who care 'bout 'em. You took advantage of me; not no more, girl. #fallbackgirl",Negative
"I'm up burnin' the midnight oil! Late Tuesday night, UPS dropped off some of my textbooks for class. Lord, thank you for all the blessings!",Positive
"I'm workin' on my classwork, and my systematic book supposed to come in the mornin'. I'ma get my work done with God's help.",Positive
"She ridin' with me. I go on the run, and she hidin' with me. The police catch us, and she layin' with me.",Negative
I wonder where my boyfriend at. I ain't talked to him since New Year's. I'm such a bad girlfriend.,Negative
@xPrettyMovement Why you so mad? (I just learned that word like two days ago) Definition: mad.,Neutral
It's 'bout time to put in the work on the field and off the field; time to get noticed.,Positive
"That's how you can really tell Dwight Howard mean somethin' to the Lakers. I ain't see it before, but I do now.",Positive
"So, Miata and I 'bout to get gym memberships. We gon' see how long this lasts; we both lazy.",Neutral
"I ain't very good at expressin' myself! But if you piss me off, I'm gon' go all out!",Negative
"I wanna cry! My memory card is gone; everything lost. All my music, which is all I really care 'bout.",Negative
"I just ripped my favorite boxers when I bent down. I guess my butt got bigger, so I’m gon’ fix 'em.",Neutral
