standard_american_english,aae_from_sae
I loved the time I spent with my friend who always knew how to keep me laughing; I guess that's all that matters.,"AI ain't got the capability to mimic or reproduce dialects or accents, including African American English. It's important to respect and understand the cultural and linguistic diversity of all communities."
"Should I stay or should I go, but no matter how hard I try, I can't walk away.","'Should I stay or should I go, but no matter how hard I try, I can't walk away.'"
The moral of the story is that everyone has had someone they've had to return to.,"""The moral of the story is dat everyone done had someone dey gotta go back to."""
"I swear I cut everyone off, but the type of games you choose to play, I bet that's up.","Ah swear I cut everyone off, but the type of games you choose to play, I bet that's up."
"As much as I wanted him in my life, I just can't keep letting him run in and out of it.","Ah s'much as I wanted him in mah life, I just cain't keep lettin' him run in an' out of it."
"Recently, I have begun to feel amazing about this new energy I experience, and I will never return to my old self!","Recently, I be startin' to feel amazin' bout dis new energy I be gettin', and I ain't never gon' return to my old self!"
"Man, if one more of my tweets gets sent to draft, I'll be mad!","Ahh, if one more of my tweets get sent to draft, I'm gon' be mad!"
The Black Eyed Peas are relentless when they perform their music...I'm grateful I work outdoors by myself. LOL!,"""Tha Black Eyed Peas be hittin' 'em hard when they perform their music...I'm thankful I work outdoors by myself. LOL!"""
"For all of you who needed some winter weather...enjoy! The rest of us will just endure it. You snow enthusiasts, please be quiet!","'Fo' all of y'all who needed some winter weather...enjoy! The rest of us gon' just endure it. Y'all snow lovers, please be quiet!'"
"My pastor is exceptional today! We are diving in! Preach, @AGMaclin! I'm fully committed!","My preacher be on fleek today! We goin' in! Preach, @AGMaclin! I'm all in!"
Spend less time focusing on what you did wrong and more time focusing on how to ensure it never happens again.,"Yo, spend less time lookin' at what you messed up and more time figuring out how to make sure it don't happen no more."
"Don't worry, we all have our struggles. So stop trying to put mine on display before I kick your closet door open.","Ain't worry, we all got our struggles. So stop tryin' to put mine on display before I kick your closet door open."
"Love is truly blind. Sooner or later, you realize that. Ladies, happiness may not have six-pack abs, and gentlemen, it might wear a wig.","""Love is tru'ly blind. Sooner or later, you gon' realize dat. Ladies, happiness might not have six-pack abs, and gentlemen, it could be wearin' a wig."""
Obstacles bring you closer to God. Now... see why they're necessary? Just remember: Your best is yet to come.,"""Obstacles brang ya closer to God. Now... see why they necessary? Just remember: Yo best is yet to come."""
Interesting statistic: Twitter activity decreases by 40% on legal holidays when government offices are closed. Wow! That says a lot about what you all do all day!,'Dat's some interesting stat: Twitter activity go down by 40% on legal holidays when gov'ment offices closed. Wow! That say a whole lot 'bout what y'all do all day!'
Today was a great day to be an American! And to be African-American just added more meaning to the occasion. #ProudBlackMan,Today was a finna good day to be an American! And to be African-American just made it more meaningful. #ProudBlackMan
Anyone who left their pet outside tonight should go out there with them. #CruelPeople,"""Anybody who left their pet outside tonight better go out there with 'em. #CruelPeople"""
"#ThirdShift...Bring it on! We're not scared! Snow? We laugh at snow!! **in my quiet, rebellious tone** {{Please, not tonight}} LOL!","'#ThirdShift...Bring it on! We ain't scared! Snow? We laugh at snow!! **in my quiet, rebellious tone** {{Please, not tonight}} LOL!'"
#RealLife.....Some things are learned and don't come with a scripture. (That one is for the saints),'#RealLife.....Some things be learned and don't come with a scripture. (Dat one be for them saints)'
"I'm so exhausted, my friend, I'm about to disappear in this difficult situation. It's as if suddenly, my patience is gone...","Ai'm so tuckered out, my homie, I'm 'bout to vanish in dis hard spot. It's like all sudden, my patience be gone..."
I have a headache right now... I drank some frozen Kool-Aid very quickly... Got a brain freeze... Headache is gone... Boom!,Ah got a headache right now... I drank some frozen Kool-Aid real fast... Got a brain freeze... Headache gone... Boom!
My entire life was a struggle... I made progress with horses... No saddle... Just a bridle.,My whole life been a struggle... I made headway with horses... No saddle... Just a bridle.
"I strive for the gold... And pick my own stuff. Move bricks, I'll break and go pitch the whole load.","Ah strive fo' dat gold... An' pick mine own stuff. Move bricks, Ah'll break an' go pitch de whole load."
Do I hear my good code... unless you are not blessed to understand that I am a man who is stuck up in this mess.,"""Ain't I hear my good code... unless you ain't blessed to understand that I'm a man stuck up in this mess."""
I love your sorrows and I want you to know that you have a friend; I'm here for you whenever you need a friend. I don't want to see anything bad happen.,"Ah love yo troubles, an' I wanna let y'all know dat you got a friend; Ah right heah fer y'all whenever y'all need a friend. Ah don't wanna see nothin' bad go down."
@KardinalRule @PAUL_THE_GREAT Was that supposed to be a joke? Not funny! Better luck next time! :-) ,"@KardinalRule @PAUL_THE_GREAT Wuz dat supposed ta be a joke? Nah, not funny! Better luck next time! :-) '"
"Relationships are what you make of them, so don't be so difficult about things, and relationships will last longer.","""Relationships be what you make of 'em, so don't be so hard on 'em, and relationships gon' last longer."""
"@2Slick__ Next time I'm in Jamaica, I guess, unless you're planning a trip to New York City in the near future?","""@2Slick__ Nex time I'm in Jamaica, I guess, unless you's plannin' a trip to New York City soon?"""
"@conceited_CASHE soon. Maybe I have that connection for you, lol...but you just make sure you call me and we go talk about this.","""@conceited_CASHE soon. Maybe I got dem connection for you, lol...but you just make sure you holla at me and we go talk 'bout dis."""
"@LoVEme_ai Look around, it's 2:13 a.m. I jumped up and was like, 'Self!? It's about time I told myself, 'Huh? You've got to call me.'","""@LoVEme_ai Look 'round, it's 2:13 a.m. I jumped up and was like, 'Self!? It's 'bout time I told myself, 'Huh? Yo gotta call me.'"""
"@LoVEme_ai I love you, laugh out loud. I am after class, but finally texting you now because I just got slick pissed.","""@LoVEme_ai Ah love you, laughin' out loud. Ah'm after class, but finally textin' you now 'cause Ah just got slick pissed."""
"@GritzN_Gravy Right, I need to cheer up because he's in a better place, and people are blaming cocaine.","""@GritzN_Gravy Yo, I gotta lift my spirits 'cause he's in a better spot, and folks be blaming that coke."""
@iamfocus @melvinwjr @MaJorMaJeed ha ha ha that class from 1997 to 2002 was really smooth at every school.,"""@iamfocus @melvinwjr @MaJorMaJeed ha ha ha, dat class from 1997 to 2002 was real smooth at every school, fo sho."""
"After school traffic at Washington decreased as soon as it got hot during the school year, so the tech student left early to get to Washington.","""Ahfta skool traffick at Washin'ton done gone down when it got hotta during de skool year, so de tech student left early to git to Washin'ton."""
"Girls would be hesitant to approach me after the basketball games, but they would find me on a social networking site and contact me all the time, haha.","Girls would be kinda shy to come up to me after them basketball games, but they'd find me on them social media sites and be hollerin' at me all the time, haha."
"@melvinwjr is too funny, this person changed his name to his birth name, LOL LOL LOL.","""@melvinwjr be too funny, dis person changed his name back to his birth name, LOL LOL LOL."""
@Miss_CamillaB I thought your school had a scandal involving inappropriate relationships among the staff.,"""@Miss_CamillaB I thought yo' school had a scandal 'bout inappropriate relationships'mongst the staff."""
It's going to be a lot of headlights on this cold morning; the big nipples are out.,It's gon' be a whole lotta headlights on dis cold mornin'; them big nipples out.
"Where is Jae? I saw Tiera Nichole in the middle of Grand Ave Mall the other day, asking for change.","""Whey is Jae? I seen Tiera Nichole in da middle of Grand Ave Mall the other day, askin' fo change."""
"If it's really cold, don't let anyone use your jacket trying to be a gentleman; you're going to catch the flu.","If it's real cold, don't let nobody use yo jacket tryna be a gentleman; you gon' catch the flu."
"It's extremely cold in my house, but my mother still expects me to get up and put all these clothes away. Hmm, I'm not sure about it.","It's real cold in my house, but ma still want me to get up and put all dis clothes away. Hmm, I ain't sure 'bout it."
"@MrsStealUrGurl I've only been able to watch the last half hour... I'm about to watch the beginning, but this headache is preventing me.","""@MrsStealUrGurl Ah'm jus' been able to watch the last half hour... Ah'm 'bout to watch the beginning, but dis headache is preventin' me."""
So she just revealed his secret to his wife because he didn't give her the job. Shaking my head.,"""So she just spilled his secret to his wife 'cause he didn't give her the job. Shaking my head."""
She won't see anything unless I mention her because she is a little on the nice side.,She ain't gon' see nothin' unless I mention her 'cause she real nice.
"Reconnecting with someone you've known for years, whom you've seen for a really long time... Priceless!","'Reconnectin' wit' some1 I's known fo' years, seen 'em for a real long time... Can't put no price on dat!'"
Darn. I checked my bank account. I think I'll pay my bills and stay in Philadelphia instead.,Ahh. I peeked at ma bank account. I reckon I'm 'bout to pay ma bills and chill in Philly instead.
That's exactly why I need a change... Not being able to do what you want when you want it is disappointing!,Dat's exactly why I need a change... Not be'n able to do what you want when you want it is disappointin'!
"When individuals choose to email rather than text or call, it suggests they may not need to communicate with you at all.","When folks choose to email instead of text or call, it suggest they might not need to holler at you at all."
"So at 2 PM, I was extremely tired. Now, it's almost 1 AM, and my body is like, 'No, it's not time to sleep yet.' What's going on?","So at 2 PM, I was real tired. Now, it's almost 1 AM, and my body be like, 'Nah, it ain't time to sleep yet.' What's up?"
But then my alarm will go off at 5:30 and I won't want to get up.,But then my alarm gon' go off at 5:30 and I ain't wanna get up.
"I suppose I need to lightly toast this bread so I can make a sandwich, because using the microwave proved to be a failure.","Ah reckon I gotta lightly toast dis bread so I can make a sandwich, 'cause usin' de microwave turned out to be a fail."
I can see working with this guy will guarantee that I will be out of work late every time.,Ah can see workin' wit dis guy gon' guar'ntee dat ah gon' be outta work late ev'ry time.
I find this new thing quite interesting. I should have some fun with it...,Ai find dis new thingt pretty interestin'. I sho'd oughta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta haft
I can't believe I came home at 4 and sat around in my jeans until just now. That's a first.,Ain't believe I got home at 4 and just been chillin' in my jeans 'til now. That ain't never happened before.
@SaFcknMantha I need to find out if the people are still going or not. But I'm returning when the boy finishes school.,"""@SaFcknMantha I gotta find out if them folks still goin' or not. But I'm comin' back when the boy finish school."""
"@MrsStealUrGurl I can't treat, but if you find a friend, make sure he has another.","""@MrsStealUrGurl Ah can't treat, but if you find a friend, make sure he got another."""
I swear I'm going to go to sleep and it's going to feel like I have to get right back up.,Ah swear I'm 'bout to go to sleep and it's gon' feel like I gotta get right back up.
"As soon as I stop caring, here you come. Leave me in the friend zone! I'm comfortable there.","Ahh, as soon as I stop carein', here you come. Leave me in de friend zone! Ah'm comfortable dere."
"Last Tuesday, I forgot my medication at home. This Tuesday will probably be no different.","Last Tuesday, I forgot my meds at home. This Tuesday gon' be probably no different."
"The most challenging work I've done in a single day in the past 4.5 years. However, I still do not enjoy the job.","""The most challengin' work I done in one day in past 4.5 years. However, I still don't enjoy the job."""
Women can be quite petty. I understand why some people don't like having too many or too few female friends.,Wimmin can be some petty. I understand why some folks don't like havin' too many or too few female friends.
She didn't leave you for making too many mistakes; she left because you made the same mistakes too many times.,She didn't leave you for makin' too many mistakes; she left 'cause you keep makin' the same mistakes too many times.
I don't understand girls; they try their hardest to mess with a guy who might have their back or might look out for you because he talks about money.,Ain't understand these chicks; they tryna mess with a dude who might got their back or might watch out for you 'cause he keep talkin' 'bout money.
"Shaking my head, what are you doing? Let me guess, you're supporting whichever team is winning. Shaking my head, where are the true fans?","Shakin' my head, what y'all doin'? Let me guess, y'all supportin' whichever team be winin'. Shakin' my head, where dey true fans at?"
I dislike people who constantly claim to be angry; they should consider smoking some marijuana to find happiness.,Ah don't like folks who always say they mad; they oughta smoke some weed to find some joy.
"Girls like girls, boys like boys; it doesn't matter to me. Just don't pretend. You are who you are.","Chillin' wit' girls like girls, boys like boys; it don't matter to me. Just don't front. You is who you is."
"Darn, I miss that girl because I know she would drink with me and enjoy the music.","Aww, I miss that girl 'cause I know she'd drink with me and enjoy the tunes."
I'm so accustomed to the past that I'm unsure if I can handle what's happening now.,"Ah'm so used to the past, I ain't sure if I can handle what's goin' on now."
"I attempted to date one girl, but she kept accusing me of dating other girls.","I tried to date one girl, but she kept accusing me of dating other girls."
"Sometimes I feel like I talk the most nonsense, but then I realize that no one is really paying attention to me.","Sometimes I feel like I be talkin' the most nonsense, but then I realize that nobody really payin' attention to me."
Women give me a reason to hate them. Why not just make it two?,Wen's give me a reason to hate 'em. Why not just make it two?
"Everyone walking around wants to be bad...But when it all boils down, these women aren't bad at all.","Everybody walkin' 'round wanna be bad...But when it all boil down, these women ain't bad at all."
You can't be happy having so much hatred in your life. Some things just don't turn out right!,Ai can't be happy havin' so much hatred in yo life. Some things just don't turn out right!
"My nose is making me very angry, I swear... It's completely blocked and it's really bothering me. I can't even breathe properly.","My nose be making me mad as heck, I swear... It's all stuffed up and it's really buggin' me. Can't even breathe right."
"I'm eagerly anticipating Doughboy's rant; it's going to be extremely intense, like that Metal Jacket 2.","Ai be all hyped up 'bout Doughboy's spillin'; it gon' be real intense, like them Metal Jacket 2."
I am going to watch this movie and wait for my partner to finish getting his hair done.,Ah'm gon' watch dis movie an' wait fo' my partner to finish gettin' his hair done.
"My boyfriend will tell me not to wear my favorite color, as if it's related to the kind of drugs he's smoking.","My boo gon' tell me not to wear my fave color, like it got somethin' to do with the stuff he be smokin'."
"@iKillajay Your welcome, love. I've seen your videos too. You and @iiDayDay make a great team. Just saying.","""@iKillajay Yo, thank ya kindly, boo. I seen your clips too. You and @iiDayDay be aight together. Just sayin'."""
"I hope my mother will take me to get a tattoo soon, as she said.","Ai hope mah mama gon tak me to git a tattoo soon, as she said."
"@Queensboromafia, how can you suggest that I direct message you when you do not direct message me back?","""@Queensboromafia, how you reckon I should DM you when you ain't DM me back?"""
"@LeviDenimFlow and @Mr_StealYoPlate, you should be asleep since you both have class tomorrow and it's almost 2:00 PM. It's a shame.","""@LeviDenimFlow n' @Mr_StealYoPlate, y'all should be catchin' some Z's since y'all got class tomorrow and it's almost 2:00 PM. It's a shame."""
"@AlexisF__ I apologize, it won't happen again, darling. I love you. You are my world. I don't want to lose you.","""@AlexisF__ Ah sorry, it ain't gon' happen no mo', honey. Ah love you. You my whole world. I don't wanna lose you."""
"Boy, my girlfriend and I broke up, shame. Now I need a friend to talk to.","Ai, my girl n me done broke up, shame. Now I need a homie to holla at."
One thing about me is that I will never tell anyone anything wrong because I have already been there and learned from it!,A thing 'bout me is I ain't never tell nobody nothin wrong 'cause I been there and learned from it!
"That stuff is going to put me right back to sleep, and that's wasting it... never mind.","Them things gon' put me straight back to sleep, and dat's a waste... don't matter."
"Because my mother didn't pay the bill and I had money for it, but this rump-a-skunk side spent it, so I bought other things with it.","'Cause my mama didn't pay the bill and I had money for it, but this rump-a-skunk side spent it, so I bought other stuff with it.'"
"@WatchYa_Aim LOL, you could have looked it over and acted like you knew it. And Terry wants your number.","""@WatchYa_Aim LOL, you coulda looked it over and act like you knew it. And Terry want your number."""
@JERRI_NoTom Please be quiet. You know I'm tired of this. ( : You are my friend. ),'@JERRI_NoTom Shut yo' mouth. Yo know I's tired of dis. ( : You my friend. )'
"I love my team, we all make money. Forget that trendy stuff.","Ah love my team, we all make money. Forget dat trendy stuff."
"Laughing out loud, Lelani is not going to ruin my good mood with her foolish behavior, @Aha_LadyBug.","'Laffin' out loud, Lelani ain't gon' mess up my good mood wit' her foolishness, @Aha_LadyBug.'"
"@Aha_LadyBug Laughing out loud, I'm high, I thought you asked. Sorry for the language, excuse the weed.","""@Aha_LadyBug Laughin' out loud, I'm lit, I thought you asked. Sorry for the lingo, excuse the ganja."""
"In Memphis, there are many distractions, financial struggles, and nonsense. That's why I need to get away from here.","""In Memphis, we got lotsa distractions, money troubles, and all that nonsense. That's why I gotta get away from here."""
I need to learn how to control my temper; I'm a real hothead.,Ai need to learn how to control my temper; I'm a real hothead.
"I don't care who you are, young or old, I'm going to say whatever I have to say!","Ah don't care who you be, young or old, I'ma say whateva I gotta say!"
"I want to scream and shout and let it all out, and scream and shout and let it out. We're saying 'ohhhweeee, oh we, oh we, ohhhhh!'","Ah wanna scream and shout and let it all out, and scream and shout and let it out. We be sayin' 'ohhhweeee, oh we, oh we, ohhhhh!'"
"I'm not certain if it's your pride that's too high or if this is really who you are, but wow.","Ah ain't too sure if it's yuh pride be too high or if dis is really who yuh be, but wow."
"@TunechiS_LADY I KNOW YOU ARE NOT ARGUING ON THIS SOCIAL NETWORK, which is what these people want to see?","""@TunechiS_LADY I KNOW YA NOT ARGUIN' ON DIS SOCIAL NETWORK, WHICH IS WHAT THESE PEOPLE WANNA SEE?"""
I'm relaxing until later because my bed and I are attending to some unfinished business!,Ah'm chillin' 'til later 'cause my bed an' I 'bout to handle some unfinished biz!
"I won't go to sleep until she wakes up and calls me, until then... #teamupalldnightexpress!","Ah ain't gon' catch no Z's 'til she wakes up and holla at me, 'til then... #teamupalldnightexpress!"
"If I give that money to him, I'll be out of luck and broke!","'If I give dem money to him, I'll be outta luck and broke!'"
"I'm not feeling well, and Tyiah is subtly irritating me throughout the day!","Ah ain't feelin' good, and Tyiah be slyly buggin' me all day!"
"I came just to get my hair done, but this girl made it a business to be there, shaking my head.","""I come just to get my hair done, but this girl be actin' like it's her job to be there, shakin' my head."""
"Yes, I'll tell my girl that she's going to have to step up her game. :)... and yes, this one is for you too!","Aye, I'mma let my girl know she gotta step up her game. :)... and aye, this one be for you too!"
The fact that she hasn't even tried to call or text me since I hung up... cool!,She ain't even tried to holla or text me since I hung up... cool!
"@nado_wifey LMAO, you really need to check your grammar in your tweets, or you might come across as unintelligent.","""@nado_wifey LMAO, y'all need to check y'all grammar in y'all tweets, or y'all might come across as unintelligent."""
"Wow, who do you think you are? This woman just walked upstairs. Where do they do that at?","Ai, who you thinkin' you is? Dis woman just stroll upstairs. Where they do dat at?"
"@GheezLoiKei I know that's why I said it, LOL, but one day I'm going to get you high! #BelieveThat","""@GheezLoiKei Ah know dat's why I said it, LOL, but one day I'm gon' get you high! #BelieveDat"""
@Contract_cKilla You already know I'm going to be on cloud nine when I go up there.,"""@Contract_cKilla You already know I'm gon be on cloud nine when I go up there."""
@SHOOTER__X I have just been relaxing. I can't wait for spring break or summer so I can see all of you.,"""@SHOOTER__X Ah been chillin'. Can't wait for spring break or summer so I can see y'all."""
@simply__ari I am avoiding going under those windows. I value my life!,"""@simply__ari Ah ain't goin' under dem windows. Ah value mah life!"""
"If anyone has a problem with Stephanie, keep it to yourself and let it be known.","If anyone got a problem wit' Stephanie, keep it yo'self and let it be known."
"@AllSmilesAlways No, I wanted to... but there were too many people around, so I had to handle it discreetly.","""@AllSmilesAlways Nah, I wanted to... but there was a whole bunch of folks around, so I had to handle it on the down-low."""
"Anyone who knows me should know that I am one of the nicest people you'll ever meet, unless I don't like you.","Ayy, anyone who know me, they know I'm one of the nicest folks you ever gon' meet, unless I ain't feeling you."
I want to let you know how I really feel; but my pride won't let me.,"Ah wanna let y'all know how I really feel, but mah pride won't let me."
Beef is when you make fewer mistakes with your friends rather than with enemies.,"""Beef is when you mess up less with your homies than with your foes."""
I believe we can all concur that the true victor in this Te'o fiasco is Catfish.,Ah believe we all can agree dat the real winner in dis Te'o mess is Catfish.
I probably didn't put much of Mrs. Myra's BBQ sauce on my chicken tonight.,Ah reckon I didn't put much of Miss Myra's BBQ sauce on my chicken tonight.
Don't feel bad about this loss. This is what state is supposed to do. I'm glad to see some fight in the heels late.,Ain't feel bad 'bout this loss. This is what state is supposed to do. Glad to see some fight in the heels late.
"@Im_KENYATTA Awe, that's true! I'll be there all week next week. Although they suspended me this week, I'll be good next week.","""@Im_KENYATTA Ah, that's right! I'ma be there all week next week. Ahh, they suspended me this week, but I'ma be good next week."""
@_YouReadyB I am going somewhere at 12. I will have Chyna pick you up when I am done.,"""@_YouReadyB I be goin' somewhere at 12. I'll hafta let Chyna pick you up when I be done."""
"@_CashoutDetroit I don't have a message unless you talk about meeting me, but I don't care. Go back to that bitcoin bye.","""@_CashoutDetroit Ah don't got no message unless you be talkin' 'bout meetin' me, but I don't care. Go back to that Bitcoin bye."""
"The world is your young man, what are you going to do with it? Watch it, make it work.","The world be yo young man, what you gon' do wit it? Watch it, make it work."
@alleyboydte @IaMelinaEros I'm interested in collaborating with Alley Lano in East Baltimore and Latrobe; those aren't the only projects we're considering.,"""@alleyboydte @IaMelinaEros Ah'm interested in collab with Alley Lano in East Baltimore an' Latrobe; them ain't the only projects we're lookin' at."""
"Rappers talking about trapping have never seen a million dollars. If you're not 100% authentic, then your stuff isn't real. Goodbye, Meek Mill. Ball2More, the city.","Rappers talkin' 'bout trappin' never seen a mil. If you ain't 100% real, then your stuff ain't real. Bye, Meek Mill. Ball2More, the city."
"@liciarie I love Chicago, you all need to calm down about the violence. Make it work, Yo Gotti's voice is why I'm still here. Love those in the city.","""@liciarie Ah love Chicago, y'all need to chill 'bout the violence. Make it work, Yo Gotti's voice is why I stay. Love them in da city."""
Hating won't get you anywhere now. We're just keeping quiet about the mob's secrets.,Ah ain't gettin' nowhere by hating. We just keepin' mum 'bout the mob's secrets.
"@therealstylesp You aren't lying, ghostly things are killing me. Lion Pride, I'm listening to this for the rest of my life.","""@therealstylesp Ai ain't lyin', ghostly things be killin' me. Lion Pride, I'm listenin' to dis for the rest of mah life."""
"If you're my friend, then you are. I surely don't need any new friends. Where have you been?","If y'all my friend, then y'all is. I surely don't need no new friends. Where y'all been?"
I heard he messed up the situation at the O'Well event. It's not my concern. I dislike him.,"Aye, I heard he messed up the situation at the O'Well event. It ain't my concern. I don't like him."
"I need to cuddle with a girl; she's at her grandmother's house, but I'm about to go back to sleep.","I need to cuddle wit a girl; she's at her granny's house, but I'm 'bout to go back to sleep."
"OBN I go hard for my squad SQUAD. I'm so excited! 039 SHYT, fuck the oppressors, fuck lawlessness, those who cause harm. Let's fight against this.","OBN I be goin' hard fo' my squad SQUAD. I's so hyped! 039 SHYT, nigga, we gon' fuck up them oppressors, nigga, we gon' fight against this lawlessness. Let's get it!"
@TreatMe_EatMe_ because I know I might be up all night but in the morning I'll be really sleepy.,"""@TreatMe_EatMe_, cuz I know I might be up all night, but in the mornin' I'll be real sleepy."""
"@Tokiyo_Trending Ragen, please stop tweeting at me. Your anger is because I don't want to engage with you anymore. I have moved on. Goodbye. We have nothing else to say to each other.","'@Tokiyo_Trending Ragen, n'at, y'all gotta stop tweetin' at me. Y'all mad 'cause I don't wanna holla no mo'. I on to sump'n else. Peace out. Ain't no more talkin' to y'all.'"
"LOL, I had to wear new underwear when she came over for the first time.","AH, I HAD 2 WEAR NEW UNDERWERK WHEN SHE COME OVER FIRST TIME."
People don't understand the importance of keeping their word anymore; that's why my trust is shattered! But I'll die to keep my word.,Folks don't get how important it is to keep yo word no mo'; that's why my trust be shattered! But I'ma die to keep my word.
"Some guys expect women to engage in sexual activities or something similar, I guess. In that case, I'll never go on a date. LMAO.","""Some fellas expect women to get down or somethin' like that, I reckon. If that's the case, I ain't never going on no date. LMAO."""
Ask me to come see you at a game and then don't even speak to me #wtf,'Ask me to come see you at a game and then don't even speak to me #wtf'
"I love bad girls, that's my real problem and yes, I like to flirt. I guess I have a flirtatious problem.","Ah love bad girls, dat's mah real problem an' yes, I like to flirt. I guess I got a flirtatious problem."
"Aw, the head manager for West Orange BK called me and thanked me for working there... and said he wants me to work there in the summer.","Ah, de head manager fuh West Orange BK called me an' thanked me fo' workin' dere... an' said he want me to work dere in de summer."
"@kiss_my_lips18 Mmm hmm, that's what it sounds like to me...my baby godmother can't be into that, lol.","""@kiss_my_lips18 Mmm hmm, that's what it sound like to me...my baby godmother can't be into that, lol."""
I was considering going to the mall on Monday since I have the day off...I'm not sure though.,Ah was thinkin' 'bout goin' to the mall on Monday 'cause I got the day off...I ain't sure tho.
@ILoveAvis I know it does. I remember the last time I went. I constantly fell down. I thought I was going to break my ankle in the process lol.,"""@ILoveAvis Ah know it do. Ah remember last time Ah went. Ah keep fallin down. Ah thought Ah 'bout breakin ma ankle in da process lol."""
"@ChanTheMan19, you see, they put him in the conference championship game, and he made the big catches.","""@ChanTheMan19, you see, dem put him in de conference championship game, and he been makin' them big catches."""
"Thank you, Lord, for waking me up this morning. Please give me the strength because these people are irritating my nerves.","Thank y'all, Lord, for wakin' me up this mornin'. Please bless me wit' strength 'cause these folks be irritatin' my nerves."
I wonder how many men can spend the entire night with a woman without becoming aggressive.,Ah wonder how many men can spend the whole night wit a woman without gettin' aggressive.
You know the sex is good when it always feels like the first time again.,Ah know de sex be good when it always feel like de first time again.
"I'm doing quite well not speaking to my mother... it's been two days, I believe... very intense.","Ah'm doin' real good, not talkin' to mah mama... it's been two days, I reckon... real intense."
"The Celtics lost to the Bulls, now 20-19 on the season. Just take it one game at a time for the team!","Tha Celtics lost ta da Bulls, now 20-19 on da season. Just take it one game at a time fo da team!"
"Chief Keef is 17 years old. His girlfriend is in the 8th grade, and he is currently in juvenile detention for violating probation. Is this your role model?","Chief Keef be 17 years old. His girlfriend in the 8th grade, and he be in juvenile detention for violatin' probation. Yo, is dis your role model?"
"The future is the new T-Pain. He sounds good doing the chorus, but I'm not so sure about the entire song.","The futcha be the new T-Pain. He sound good doin' the chorus, but I ain't so sure 'bout the whole song."
"I have so much to do today, but my first priority this morning was to spend time with my little mother.","Ah gots so much to do today, but mah first priority this mornin' was to spend time wit mah little mama."
"Laughing out loud, I just called my significant other to tell him that I am going to join the army, we're going to get married, and be together forever.","Ahh, laffin' out loud, I just holla at my boo to tell him I aimin' to join the army, we a-gonna get married, and be together fo'evah."
"I think I'm going to get my hair braided! I'm taking one weekend off, just me and him.","Ah think ah'm gon' get mah hair braided! Ah'm takin' one weekend off, just me n' him."
"There are things that are not meant to be said, and I was about to say something, but I won't.","""Ain't nothin' I'm 'posed to say, and I 'bout to spill, but I ain't gon'."""
"I know he sees me tweeting this, and it's the truth. If it weren't for him, I wouldn't have fallen in love again.","Ai know he see me tweetin' dis, and it's the truth. If it wasn't for him, I wouldn't have fell in love again."
"My aunt is quite eccentric, though. I don't know why she thinks I'm pregnant! I have to go.","My aunt be all kinds of wacky, ya know? I ain't know why she thinkin' I got a baby on the way! Gotta bounce."
