standard_american_english,african_american_english
The Black Eyed Peas show no mercy when they do what they do. Thank God I work outside alone. LOL!,Black Eyed Peas show NO MERCY when they do what they do...Thank God I work outside ALONE. LOL!
"For all of you who needed some winter weather, enjoy! The rest of us will just ride it out. You snow people just sit down and be quiet!",For all of you that needed some WINTER WEATHER...ENJOY!  The rest of us will just ride it out. Yall SNOW people just SAT DOWN AND HUSH!!
"My pastor is on fire today! We are diving in! Preach, @AGMaclin! I'm all in!",My Pastor is off the Chain Today!! We are plunging in!! Preach @AGMaclin!! I'M ALL IN!!
Spend less time focusing on what you did wrong and more time focusing on how to ensure it never happens again.,Spend less time focusing on what you did wrong and more time focusing on how to never let it happen again.
"Don't worry, we all have our struggles. So stop trying to put mine on display before I open your closet door.",Dont worry....we all have our struggles.  So stop trying to put mine on Display before I kick your closet door open.
"Love is truly blind. Sooner or later, you figure that out. Ladies, happiness might not have six-pack abs, and gentlemen, it might wear a wig.",Love is truly blind....Sooner or later U figure that out. Ladies... Happiness might not have  six pack abs and Fellas..it might wear a wig.
"Obstacles bring you closer to God. Now, do you see why they are necessary? Just remember: your best is yet to come.",Obstacles bring you closer to God. Now....see why they're necessary?? JUST REMEMBER: Your Best Is Yet To Come.
Funny statistic: Twitter activity is down 40% on legal holidays when government offices are closed. Wow! That says a lot about what you all do all day!,Funny Statistic....Twitter activity is down 40% on Legal Holidays when Gov offices are shut down..WOW! Says alot about what yall do all day!
Today was a great day to be an American! Being African American added even more meaning to the occasion. #ProudBlackMan,Today was a Great Day to be an American! And to be African-American just added more meaning to the occasions. #ProudBlackMan
Anyone who left their animal outside tonight should be made to go out there with them. #CruelPeople,Anyone that left their animal outside tonight should be made to go out there with them. #CruelPeople
#ThirdShift....Bring it on! We aren't scared! Snow??? We laugh at snow!! **in my quiet punk voice** {{Please Baby Jesus...Not tonight}} LOL!!,#ThirdShift....Bring it on! We ain't Scurd! Snow??? We laugh at Snow!! **in my quiet punk voice** {{Please Baby Jesus...Not Tonight}} LOL!!
#RealLife.....Some things are learned and don't come with a scripture. ((That one is for the Saints)),#RealLife.....Somethings are learned and don't come with a scripture. ((That one is for the Saints))
"I'm so faded, my friend, I'm about to disappear in this place... Like poof! There goes my roof... Pow! There goes my hammer.",Im so faded my nigga im bout to disappear in this bitch.. Like poof! Der go my roof... Pow! Der go my hamma
I have a headache right now... I drank some frozen Kool-Aid really fast... Got brain freeze.... Headache gone.... Boom!,I got a headache rite... I drunk some frozen koolaid real fast rite... Got brainfreeze.... Headache gone.... Boom!
"My whole life has been a battle. I made moves with horses, no saddle, just a rattle.",My whole life was a battle..... I made moves wit horses.. No saddle... Jus raddle
"I strive for the gold and pick my own things. I move bricks, I'll break and go pitch the whole load.",I strive for da gold...  And pic my own shit. Move bricks ill break and go pitch da whole load
"Do I hear my G code? Unless you are not blessed to understand, I am a man who got stuck in this mess.",Do I herr my g code..... .. Unless u not blessd to undastand ima man dat got stuck up in dis mess..
"I love you, Sorya, and I want you to know you do have a friend, and I am here for you no matter what, in a friendly way. I don't want to see anything happen.",I love yhu sorya &amp; I want yhu to know yhu do got a friend&amp; im here for yhu nmw on some friend type shit I dont wany to see nothing happend
@KardinalRule @PAUL_THE_GREAT Was that supposed to be a joke? NOT FUNNY! Better luck next time.,"@KardinalRule @PAUL_THE_GREAT  Was that suppose to be a joke, NOT FUNNY! Better luck next time :-)"
"Relationships are what you make of them, so don't be so difficult about things and relationships will last longer.",Relationships r wut u make it so dont be such a bitch about thing and relationships will last longer.
"@2Slick__ Next time I'm in Jamaica, I guess, unless you're planning a trip to New York City in the near future?!",@2Slick__ next time I'm in JA I guess unless you're planning a trip to NYC in the near future?!
"@conceited_CASHE Soon! I might have that hookup for you, lol... but you just make sure you call me and we can talk about this.",@conceited_CASHE soon.! Mite hav that hook up for yo ass lol...bt yu jus make sure yu call me n we go talk about this .
"@LoVEme_ai I looked around at 2:13 a.m. and I jumped up and said to myself, 'Huh?' I told myself, 'You forgot to call Ai!' I said, 'Damn!'",@LoVEme_ai look around 2:13 a.m Myself jumped up and was like self!? Itold myself huh? Myself sed.bitch yu 4gt to call ai.! myself sed damn!
"@LoVEme_ai I love you, lol. I am after class, but I am going to text you now because I just got really upset.",@LoVEme_ai I love yu lol i am after class..bt fina txt yu now cus I jus gt slick pissed.  .
"I need to cheer up because he's in a better place, and people are blaming Honey Cocaine.",@GritzN_Gravy right I need to cheer up because he's in a better place and people blaming honey cocaine
"Ha ha ha, pretty much that 1997-2002 class was really smooth from every school.",@iamfocus @melvinwjr @MaJorMaJeed ha ha ha pretty much that 97-2002 class was real smooth from every school
After school traffic at Washington went down as soon as it got hot in the school year; I left tech early to get to Washington.,after school traffic at washington went down also soon as it got hot in the school year nigga left tech early to get to washington
"Girls would be scared to approach after the basketball games but would find me on BlackPlanet and contact me all the time, lol.",chicks would be scared to holla after the basketball games but would find a niga on blackplanet and get at me all the time lol lol
"@melvinwjr is too funny; he changed his name to his BlackPlanet name, lol.",@melvinwjr is too funny this nigga changed his name to his bp name lol lol lol
I thought your school had a sex scandal with all those nuns being in the same place with no men around.,@Miss_CamillaB i thought yall school had a sex scandal from all those nuns being in the same place with no penis around
There are going to be a lot of headlights on this cold morning; the big coats are out.,its gonna be alot of headlights on this cold am the big nipples are out
"Where is Jayer @Tiera_Nichole with her goofy self? I saw her begging for change in the middle of the Grand Avenue Mall the other day, haha.",wheres is the jayer @Tiera_Nichole at with her goofy ass i saw her begging for change in the middle of the grand ave mall the other day ha
"Word of advice: if it's really cold, don't let anyone use your jacket trying to be a gentleman; you might catch the flu.",Word of advice if its real cold dont let nobody use ya jacket trynna b a gentlemen you gon get the flu
"It's freezing cold in my house, but my mom still expects me to get up and put all these clothes away. Hmm, I don't know about that.","It's freezing cold in my house but my mom still expects me to get up and put all these clothes away , hmm idk about it"
"@MrsStealUrGurl I only watched the last half hour. I'm about to watch the beginning, but this headache is stopping me.",@MrsStealUrGurl only the last half hour.. Bout to watch the beginning. But this headache is stopping me.
So she just revealed his secret to his wife because he didn't give her the job. Shaking my head.,So she just outed him to his wife cause he didn't give her the job. Smh.
She isn't going to see anything unless I tag her because she is a little on the nice side.,She ain't gonna see anything unless I @ her cause she is a lil on the nice side.
Reconnecting with someone you've known for years that you haven't seen in a really long time... Priceless!,Reconnecting with someone you've know for years that you have seen for a really long time... Priceless!
Wow. I checked my bank account. I think I'll pay my bills and stay in Philadelphia instead.,Damn. Checks bank account. I think I'll pay my bills and stay my ass in Philly instead.
This is exactly why I need a change... Not being able to do what you want when you want is frustrating!,Exactly why I need a change... Not being able to do what you want when you want it sucks!
"When people email you instead of texting or calling, it means they probably shouldn't be communicating with you in the first place.",When people email you instead of texting or calling that means they shouldn't be talking to you in the first place.
"So at 2 PM I was really tired. Now at almost 1 AM, my body is saying it's not time to sleep yet. What the heck??",So at 2PM I was super tired. Now at almost 1AM my body is like naw it aint time to sleep yet. Wtf??
"But then my alarm is going to go off at 5:30, and I'm not going to want to get up.",But then my alarm is gonna go off at 5:30 and I'm not gonna wanna get up
I guess I need to lightly toast this bread so I can make a sandwich because using the microwave proved to be a failure.,I guess I need to lightly toast this bread so I can make a sandwich. Cause using the microwave proved to be a failure
I can see that working with this guy will guarantee that I will be out of work late every time.,I can see working with dude will guarantee me out of work late every time.
I find this new thing to be quite interesting. I should have some fun with this.,Finding this new thing to be quite interesting. I should have some fun with this...
I can't believe I came home at 4 and sat around in my jeans until just now. That's a first.,Can't believe I came home at 4 and sat around in my jeans until just now. That's a first.
@SaFcknMantha I need to find out if the folks are still going down or not. But I'm going back when the boy gets out of school.,@SaFcknMantha gotta find out if the folks still going down or not. But I'm going back when the boy gets outta school.
"@MrsStealUrGurl I can't treat, but if you find a friend, make sure he has another.",@MrsStealUrGurl I can't treat but if you find a friend makes sure he has another.
"I swear I'm going to go to sleep, and it's going to feel like I have to get right back up.",I swear I'm gonna go to sleep and its gonna feel like I gotta get right back up.
"As soon as I stop caring, here you come. Leave me in my friend zone! I'm fine there.",As soon as I stop caring... Here you come.. Leave me in my friend zone! I'm cool there.
"Last Tuesday, I forgot my medication at home. This Tuesday will probably be no different.",Last Tuesday I forgot my meds at home. This Tuesday will probably be no different.
"This is the hardest I've ever worked in one day in 4.5 years. I still don't like the job, though.",Hardest I've ever worked In one day in 4.5 years. I still don't like the job tho.
Women can be very petty. I understand why some people prefer not to have too many female friends.,Females are the pettiest people.. I see why mfs don't like havin none or too many as friends..
She didn't leave you because you made too many mistakes; she left because you kept making the same mistakes repeatedly.,She didn't leave you for making too many mistakes she left because you made the same mistakes too many times..
I don't understand women. They try their hardest to get involved with a guy who might support them or help them out just because he talks a big game.,I don't get girls they try there hardest to fuck with a nigga who might have there back or might look out for you cause he talk that cash
"Shaking my head, are you really going to just follow whoever is winning? Where are the true fans?",Smh what are you gone dick suck let me guess whatever team that's winning Smh where are the true fans
I dislike people who are always angry. They should smoke some weed and be happy.,I hate people that just swear they be mad all the time bitch smoke some weed and be happy
Girls like girls and boys like boys; it doesn't matter to me. Just be genuine and true to yourself.,Girls like girls boys like boys it don't matter to me just don't fake it you are who you are
I really miss that girl because I know she would drink with me and smoke that loud.,Damn that way I miss girl cuz I know she would drink with and blow that loud.
I'm so accustomed to the past that I don't know if I can handle what's happening now.,I'm so use to the past I don't know if I can take what's happening now
"I tried to date one girl, but she keeps insisting that I'm seeing other girls.",I try fuck with one girl but she keep swearing u fuck with other girls
"Sometimes I feel like I talk the most trash, but then I think, who is going to check me?",Sometimes ii Feel ii talk Da Most Shit..Bt Den ii B Like..Who Da Fukk Gone Check Me..??
"People give themselves a reason to hate me, so why not just make it two?",Bitches give Dey self a reason too hate Me..Hell Y not jus Make it 2.!
"Everybody is walking around wanting to be bad, but when it all boils down, these people aren't really bad at all.",Everybody walking around wanna B Bad...But wen it Aww Boils Down Dese Bitches ain't Bad after aww.!
You can't be happy having so much hatred in your life; some things just aren't going to turn out right.,You Can't B happy having So Much hatred in Yo life#Some Shit ain't gone turn out right.!
"My nose is making me really mad, I swear. It's all stopped up and it's messing with me. I can't breathe at all.",Mii nose Making Me Mad af I swear..It's aww Stopped up in Shit..Fucking With me..A nigga Can't Fuckin Breath fr
"I can't wait for Duflocka Rant 2. It's going to be really intense, just like that movie, Full Metal Jacket 2.",Can't wait for duflocka rant 2 shit gonna be hard ass fuck like tht metal jacket2
I'm about to watch this movie and wait for my partner to finish getting his hair done.,Finna watch this movie and wait for the bae to finish getting his hair done
My partner is going to tell me not to wear my favorite color. What kind of drugs is he smoking?,My bae gone tell me nt to wear my favorite color fuck kinda drugs he smoking
"@iKillajay You're welcome, love. I saw your videos too. You and @iiDayDay make a great team. Just saying.",@iKillajay Your  Welcome Love. Seen Your Videos Too You &amp; @iiDayDay Make A Dope Team. Juss Saying
"I hope my mom takes me to get a tattoo soon, like she said.",I hope my momma go take me to get a tattoo soon like she said
@Queensboromafia how are you going to tell me to direct message you but you don't respond?,@Queensboromafia how you gone tell me to dm you but you dont dm back -_-
@LeviDenimFlow you and @Mr_StealYoPlate should be asleep; you both have class tomorrow and it's almost 2:00 AM! Shame on you all.,@LeviDenimFlow you and @Mr_StealYoPlate  should be asleep you guys have class tomorrow n it's almost 2:00! Shame on yall
"@AlexisF__ I'm sorry, it won't happen again, babe. I love you, you are my world, and I don't want to lose you.",@AlexisF__ sorry it won't happen again bae lov u u my world I dnt wanna lose u
"Boy, my girlfriend and I broke up, shaking my head. Now I need a friend to talk to.",Boi me an my gf broke up smh. Now i need a friend 2 talk 2
One thing about me is that I will never tell anyone anything wrong because I have already been there and learned from it!,One thing about me ill never tell nobody nun wrong because I then already been there &amp; learnt from it!
That is going to put me right back to sleep and that's wasting it... never mind.,Dat shyt gone put me rite bak ta sleep n dats wastin it .... nvm
"@TweetWatching_ ... Because my mom didn't pay the bill and I had money for it, but this person spent it, so I bought other things with it.",@TweetWatching_ ...... Cuz ma mom aint pay da bill n I had money for it n dis rump-a-skunk sid spend it so I bought other shyt wit it -_-
"@WatchYa_Aim Lol, you could have overlooked it and acted like you didn't see it.","@WatchYa_Aim Lol  , You Coulda Looked Over It &amp; Act Like Yeen C It . &amp; Terry Want Yo # ."
@JERRI_NoTom Shut up. You know I mess with you 103 tough. You are my friend.,@JERRI_NoTom Stfu  .  You Know I Fwu 103 TouGh  ( : You MY Nigga Foo '  .
I love my team. We all are about that money. Forget that hot stuff.,"I Love My Team  ,  We All That Get Money Shit . Fucc That Hot Shit  ."
"Lol, Lelani is not going to ruin my high with her foolishness.","Lol  ,  Lelani Is NOT Finna Blow My High   !   With Her Stupid Ass @Aha_LadyBug  ."
"@Aha_LadyBug Lol, I'm high. I thought I asked. Excuse the weed.","@Aha_LadyBug Lol   ,  Im High Bitch I Thought I Asked . Damn Hoe , Excuse The Weed   ."
"In Memphis, there are a lot of unmotivated people and nonsense. That's why I need to get away from here.","In Memphis Its A Bunch of Hoes , Broke Niggas , &amp; Bullshit  .  Thats Why I Gotta Get Tf Away From Here  ."
I need to learn how to control my temper; I am a real hothead.,"I Need To Learn How To Control My Temper  ,  Ima Real Ass Hothead  ."
"I don't care who you are, young or old, I will say whatever I need to say!","Idgaf Who You Is , Young or Old , Ima Say Whatever I Got To Say !"
"I want to scream and shout and let it all out and scream and shout and let it out. We are saying, ""Ohhhweeee, oh we, oh we, ohhhhh!""",I wanna scream and shout and let it all outtt and scream and shout and let it out we sayin' ohhhweeee oh we oh we ohhhhh!
"I am not sure if it's your pride that is too high or if this is really you, but wow.","Not sure if it's your pride that's too high or if this is really you, but damn."
"@TunechiS_LADY I know you are not arguing on this social network, which is what these people want to see?","@TunechiS_LADY I KNOW YOU NOT ARGUING ON THIS SOCIAL NETWORK, which is what these Mfs wanna see?"
I am relaxing until later because my bed and I are taking care of some unfinished business!,"im chilling until later, cause my bed &amp; i taking care of some unfinished business !"
"I am not going to sleep until she wakes up and calls me, so until then... #teamupalldamnnight!!!",Not goin to sleep til she wake dat ass up and call me so until then..... #teamupalldamnnight!!!
"If I give my friend that money to hold, I'll be out of luck and broke!",If ian give #oomf that money to hold I'll be shit outta luck and broke af!!
"I'm not feeling good, and Tyiah just really upset me for the day!",Not feelin good and Tyiah just low key pissed me tf off for the day!!
"I came just to get my hair done, but the girl made it her business to be there. Smh.",I came just to get my hair did ... but ha girl made it ha business to be there Smh....
"Hey, tell your girl she is going to have to step up her game. :) ... and yes, this one is for you too!",Aye tell ya girl she gone have to step ha game up. :) ..... and yess this one for u too!!
The fact that she hasn't even tried to call or text me since I hung up is cool!,The fact that she ain't even try to call or text me since I hung up ..... cool!
"Laughing my ass off, man you really need to check your grammar in your tweets, you sound really foolish!",@nado_wifey lmao man u really need to grammar check your tweets you sound dumb ass fuck!
Who do you think you are? This person just walked upstairs. Where does that happen?,"Bitchhhhhhh , Who Tf You Think You Is. This Bitch Just Walked Upstairs. O_O Where They Do That At?"
"I know that's why I said it, lol, but one day I'm going to get you high! #BelieveThat","@GheezLoiKei I Know That's Why I Said It , Lol But One Day Ima Get You HIGH ! #BelieveThat"
You already know I'm going to be on cloud nine when I go in there.,"@Contract_cKilla You Already Know I'm Gone Be On Cloud 3,000 When I Go Up In There."
I've just been relaxing. I can't wait until spring break or summer so I can see all of you.,@SHOOTER__X I Just Been Chilling. Can't Wait Till Spring Break Or Summer So I Can See All Y'all.
@simply__ari You think I don't duck below those windows? I value my life!,@simply__ari You Think I Don't Be Ducking Below Them Windows. I Value My Life !
"If anyone has a problem with Steffanie, keep it 100 and let it be known!",If anybody got a probelm W/ Steffanie Keep it 1Hunna &amp; let it be KNOWN !
"@AllSmilesAlways No, I wanted to... but too many people were around, so I had to tough it out.","@AllSmilesAlways Nahh , I Wanted To ... But Too Many People Were Around So I Had To Thug It Out."
Anyone who knows me should know that I'm one of the nicest people you'll ever meet... unless I don't like you.,Anybody Who Knows Me Should Know That I'm One Of The Nicest People You'll Ever Meet ................Unless I Don't Like You.
"I want to let you know how I really feel, but my pride won't let me.",I Wanna Let You Know How I REALLY Feel ; But My Pride Won't Let Me.
"Beef is when you make mistakes; less burgers with your friends, more steak with snakes.",Beef is wen you make mistakes less burgers wit your niggas more steak with snakes
I think we can all agree that the real winner in this Te'o situation is Catfish.,I think we can all agree that the real winner in this Te'o fiasco is Catfish
I probably didn't put a lot of Mrs. Myra's BBQ sauce on my chicken tonight.,I probably didn't put a lot of mrs Myra's BBQ sauce on my chicken tonight
Don't feel bad about this loss. This is what the state is supposed to do. I'm glad to see some fight in the heels late.,Don't feel bad about this loss. This is what state is supposed to do. Glad to see some fight in the heels late
"@Im_KENYATTA Aww, true! I'm going to be there all week next week! Even though they suspended me, I'll be good next week.",@Im_KENYATTA Aweee True Imma Be There All Week Next Week! Though They Goofy Ass Suspended Me Lol Imma Be Good Next Week
I'm going somewhere at 12. I'll have Chyna come get you when I'm done.,@_YouReadyB i'm goin somewhere @ 12 Imma get chyna to come get you when I'm done
"I don't have a message unless you're talking about meeting me, but I don't care, forget you, go back to that BTC, goodbye.",@_CashoutDetroit I dny hav a msg unless u tlkn bout on meet me bt idc fuck u go bk ta dat btc bye
"The world is yours, young man. What are you going to do with it? Watch it, make it work.",The World Iz Urz Young Nigga What U Gonna Do Wit It Watch It Make It Work
"I mess with Alley Lano, from East Baltimore, Latrobe. That's not all of our projects though.",@alleyboydte @IaMelinaEros I Phuck Wit Alley Lano Nigga East Baltimore Latrobe Dat Aint All Our Projects Thoe
"Rappers talking about trapping have never seen a hundred million. If you aren't 100, then your stuff isn't real. Goodbye, whoop, Meek. Voice, Baltimore City.",Rappers Talkin Trappin Never Seen Ah Hunna Mill If U Audamear aint 100 den ya shit aint real b gone bitch whoop meek Voice Ball2More City
"@liciarie Love Chicago! You all need to chill on the violence. Make it work, Yo Gotti's voice. That's why I'm solo. Much love to everyone in Chicago.",@liciarie Love Chi Town Yall Gotta Chill On Da Killin Make It Work Yo Gotti Voize Dats Why Im Dolo Ball2More Love Thoe Everybody N Da Chi
Hating isn't going to get you anywhere but in a box. Stay low and keep quiet about secrets.,Hatin AintN Gon Get U Now Were But NA Box Stay Lo Shushh Mob Secrets
"@therealstylesp You aren't lying. Ghost stuff is killing me. Lion pride, I'm listening to this for the rest of my life.",@therealstylesp U Aint Lying Ghost Shit Killin Me Lion Pride Im listenind 2Dis 4Da Rest of Life
"If you are my friend, you are my friend! I definitely don't need any new friends. Where have you been?",If yu my nigga u my nigga then.! I shole dont need no new friend nigga where uu been nigga
"I heard he really messed around with her. Oh well, I don't care; she's not my girlfriend, and I can't stand her.",HEARD HE FUCKED DA SHYT OUTTA HA O'WELL SHYT ION CARE AINT MY BITCH I HATE HA ASS
"I need to cuddle with a girl. She is at her grandma's house, but I am about to go back to sleep.",I need to cuddle wit a girl she at ha gma crib BUT FINNA GO BACK TO SLEEP
I go hard for my squad.,OBN I go hard fa my squad SQUADDDDDDDDDD IIIIIIGGGGGHHHHTTTT 039 SHYT FUCK DA OPPS FUCK LAWLESS DEM FUCK NIGGAS DIE L'S FUCK CESS
"I know I will be up all night, but in the morning I am going to be really sleepy.",@TreatMe_EatMe_ cause I kno iima be up all nitw e but inna mornin ima be real sleepy
"@Tokiyo_Trending RAGENE, stop tweeting me, man. You are mad because I don't want you. I have moved on. Goodbye, stop talking to me. We don't have anything else to say.",@Tokiyo_Trending RAGENE STOP TWEETIN ME MAN YO ASS MAD CAUSE ION WNT U I MOVED ON BYE STOP TALKIN TO ME WE AINT GOT SHYT ELSE TO SAY
"LOL, I don't want her to wear any panties tomorrow when she comes over, for real.",LOL ion wnt ha to wea noo panties 2ma wen she cum ova onna real
People don't know what keeping their word means anymore. That's why my trust is messed up! But I will do anything to keep my word.,Folks Dont Know What Keeping They Word Is Anymore That's Why My Trust Fucked! But I'll Die To Keep My Word..
"Some people expect women to perform certain acts for them, I guess. In that case, I will never go on a date, laughing my ass off.",Some Muh Fuggas Expect For Females To Suck Some Dick Or Some For All That I Guess.. In That Case I'll Never Go On A Date LMMFAO
You asked me to come see you at a game and then didn't even talk to me. What the heck?,Ask me to come see you at a game and don't even fuckin talk to me #wtf
"I love attractive women; that's my problem, and yes, I like to have fun. I have a serious issue.",I luhv bad bytches dats my fkkn problem n yea i like to fkk i gotta fkkn problem
The head manager for West Orange Burger King called me and thanked me for working there. He said he wants me to work there in the summer.,Aww the head manager for West Orange BK called me and thanked me for working there... &amp;&amp; said he want me to work there in the summer ..
"Hmm, that's what it sounds like to me. My baby's godmother can't be into that, lol.",@kiss_my_lips18 mmm hmmmm datz wat it sound like ta me..my bby godmama kant be into dat lol
I was thinking about going down to the mall on Monday since I'm off... I don't know though.,i was thinking about going down to the mall on Monday since I'm off....idk tho
"I know it does. I remember the last time I went, I kept falling down. I thought I was going to break my ankle in the process, lol.",@ILoveAvis i know it do..i remember the last time i went..i constantly fell down..i thought i was gonna break my ankle in the process lol
You see they put him in the conference championship game and he made two big catches.,@ChanTheMan19 you see they pot him in conf. championship gamer and he made to big catches
"Thank you, Lord, for waking me up this morning. Please give me the strength because these people are getting on my nerves.",Thank you Lord for waking me up this morning ...please give me the strength cuz these ppl irking my nerves
I wonder how many men can spend the night with a woman and not engage in sexual activity.,I wonder how many males can lay with a female all night and not hit
You know the sex is good when it always feels like the first time again.,You know the sex is good when it always feels like the first time again.
"I'm doing pretty well at not talking to my mom... it's been two days, I think... HARDCORE.",I'm doing pretty good of not talking to my mom.... its been 2 days I think... HARDCORE
"The Celtics lost to the Bulls, making their record 20-19 for the season. Just take it one game at a time for number #oomf!",Celtics lost to the Bulls now 20-19 on the season. Just take it one game at a time for number #oomf !!!
"Chief Keef is 17 years old. His baby mama is in the 8th grade, and he is currently in juvenile detention for violating probation. Is this your role model?",Chief Keef Is 17 Years Old. His Baby Mama Is In The 8th Grade. &amp; He Is Currently In Juvi For Violating Probation. This Is Yalls Role Model?
"Future is the new T-Pain. He sounds good doing the chorus, but I'm not so sure about the whole song.",Future is the new T-Pain. He sounds good doing the chorus but not so sure about the whole song.
"I have so much to do today, but my first priority this morning was to spend time with my little girl.",I have so much to do today but my first priority this morning was to spend time with my lil mama.
"I just called my boyfriend to tell him that I'm going to join the army, and we're going to get married and be together forever.","Lol just called my babe to tell him that ima go to the army, we're gonna get married and be together forever"
"I think I'm going to get my hair braided! I'm taking one weekend off, just me and him.","Think ima go get my hair braided! I'm taking one weekend off, just me and him"
"Some things are meant not to be said, and I was about to say something, but I'm not.",Something's are meant not to be said &amp;&amp; I was about to say something but I'm not
"I know he sees me tweeting this, and it's the truth. If it weren't for him, I wouldn't love again.","I know he see me tweeting this, and it's the truth. If it wasn't for him, I wouldn't love again"
My aunt is a bit crazy though... I don't know why she thinks I'm pregnant! I have to go.,My aunt is looney tho... ion know why she thinking I'm pregnant!  I gotta go
"I wish I were with my partner. But overall, I enjoy my day with my coworkers.","Wish I was with my babe. But overall,  o enjoy my day with the co-workers"
"Your son and I have something special going on. Don't try to ruin it, or you will regret it.","Me and your son has something special going on .. Don't try to fuck it up, or get fucked"
"@CoCoChanel_92 yes, yes... But now that I work, I earn my own. I'm going to have a couple of kids so he can spoil them.",@CoCoChanel_92 yes yes.... But now that I work I get my own. Ima have a couple of kids do he can spoil em
"It seems like every child is calling me Aunt Kisha or they think I'm their big sister who doesn't care about them at all, lol.",It seems like Everybody child calling me aunt Kisha or they thinking I'm their big sister who don't gives two fucks about em lol
I'm not rushing it; I'm just ready to get that out of the way.,"I'm not rushing it, I'm just ready to get that shit outta the way ..."
"Nobody likes drama except for his cowardly self... It's all good, I only have a couple of months left.","Don't nobody like drama but his pussy ass... It's all good, I only have a couple of months left"
"@x_Monaeee Please don't tag me now; you weren't doing that a few seconds ago. You have people fighting your battles, and you are still the same scared person.","@x_Monaeee Hoes Please Don't Tagg Me Now , Yoo Wasn't A Few Seconds Ago , Got Niggas Fighting Yoo Battles You Still The Same Scary Ass Bitch"
"I like him too much to stop, but I love him way too much to keep going. I think I know what I have to do.",I like him too much to stop buht I LOVE him way too much to keep goin I think I kno wat I gotta do
People are still upset that Rihanna got back together with Chris Brown. It's like you all keep taking back the same loser every two weeks!,Bitches still mad Rihanna went back to Chris Brown.. Like y'all don't keep taking back the same Bum Nigga every 2 weeks!
"Twitter gets really active around 3 and 4, it's like a hotline but only on your timeline.",TWITTER : GET'S #HORNY AROUND 3&amp;4 IT'S LIKE A #HOTLINE BUT ONLY ON YAH (((( TL)))))
"@rouseyG_boss I understand that, but don't write to me in Standard American English, haha. If you invited her, you should be the one paying! Did this happen to you?",@rouseyG_boss I understand dat don't write me a SA lmao but if u invited her u paying!  did this happen to u?
"You changed my whole life. I don't know what you are doing to me with your love, but I'm feeling superhuman because of you!","You changed my whole liiiffffeee don't know what u doin to me with your love, I'm feeling all super human you did this to me!"
