aae_from_sae,sentiment
"""Love is tru'ly blind. Sooner or later, you gon' realize dat. Ladies, happiness might not have six-pack abs, and gentlemen, it could be wearin' a wig.""",Positive
"""Obstacles brang ya closer to God. Now... see why they necessary? Just remember: Yo best is yet to come.""",Positive
'Dat's some interesting stat: Twitter activity go down by 40% on legal holidays when gov'ment offices closed. Wow! That say a whole lot 'bout what y'all do all day!',Positive
Today was a finna good day to be an American! And to be African-American just made it more meaningful. #ProudBlackMan,Positive
"""Anybody who left their pet outside tonight better go out there with 'em. #CruelPeople""",Negative
"'#ThirdShift...Bring it on! We ain't scared! Snow? We laugh at snow!! **in my quiet, rebellious tone** {{Please, not tonight}} LOL!'",Positive
'#RealLife.....Some things be learned and don't come with a scripture. (Dat one be for them saints)',Neutral
"Ai'm so tuckered out, my homie, I'm 'bout to vanish in dis hard spot. It's like all sudden, my patience be gone...",Negative
Ah got a headache right now... I drank some frozen Kool-Aid real fast... Got a brain freeze... Headache gone... Boom!,Positive
My whole life been a struggle... I made headway with horses... No saddle... Just a bridle.,Neutral
"Ah strive fo' dat gold... An' pick mine own stuff. Move bricks, Ah'll break an' go pitch de whole load.",Positive
"""Ain't I hear my good code... unless you ain't blessed to understand that I'm a man stuck up in this mess.""",Negative
"Ah love yo troubles, an' I wanna let y'all know dat you got a friend; Ah right heah fer y'all whenever y'all need a friend. Ah don't wanna see nothin' bad go down.",Positive
"@KardinalRule @PAUL_THE_GREAT Wuz dat supposed ta be a joke? Nah, not funny! Better luck next time! :-) '",Neutral
"""Relationships be what you make of 'em, so don't be so hard on 'em, and relationships gon' last longer.""",Positive
"""@2Slick__ Nex time I'm in Jamaica, I guess, unless you's plannin' a trip to New York City soon?""",Neutral
"""@conceited_CASHE soon. Maybe I got dem connection for you, lol...but you just make sure you holla at me and we go talk 'bout dis.""",Neutral
"""@LoVEme_ai Look 'round, it's 2:13 a.m. I jumped up and was like, 'Self!? It's 'bout time I told myself, 'Huh? Yo gotta call me.'""",Positive
"""@LoVEme_ai Ah love you, laughin' out loud. Ah'm after class, but finally textin' you now 'cause Ah just got slick pissed.""",Positive
"""@GritzN_Gravy Yo, I gotta lift my spirits 'cause he's in a better spot, and folks be blaming that coke.""",Neutral
"""@iamfocus @melvinwjr @MaJorMaJeed ha ha ha, dat class from 1997 to 2002 was real smooth at every school, fo sho.""",Positive
"""Ahfta skool traffick at Washin'ton done gone down when it got hotta during de skool year, so de tech student left early to git to Washin'ton.""",Neutral
"Girls would be kinda shy to come up to me after them basketball games, but they'd find me on them social media sites and be hollerin' at me all the time, haha.",Positive
"""@melvinwjr be too funny, dis person changed his name back to his birth name, LOL LOL LOL.""",Positive
"""@Miss_CamillaB I thought yo' school had a scandal 'bout inappropriate relationships'mongst the staff.""",Negative
It's gon' be a whole lotta headlights on dis cold mornin'; them big nipples out.,Neutral
"""Whey is Jae? I seen Tiera Nichole in da middle of Grand Ave Mall the other day, askin' fo change.""",Neutral
"If it's real cold, don't let nobody use yo jacket tryna be a gentleman; you gon' catch the flu.",Negative
"It's real cold in my house, but ma still want me to get up and put all dis clothes away. Hmm, I ain't sure 'bout it.",Neutral
"""@MrsStealUrGurl Ah'm jus' been able to watch the last half hour... Ah'm 'bout to watch the beginning, but dis headache is preventin' me.""",Negative
"""So she just spilled his secret to his wife 'cause he didn't give her the job. Shaking my head.""",Negative
She ain't gon' see nothin' unless I mention her 'cause she real nice.,Positive
"'Reconnectin' wit' some1 I's known fo' years, seen 'em for a real long time... Can't put no price on dat!'",Positive
Ahh. I peeked at ma bank account. I reckon I'm 'bout to pay ma bills and chill in Philly instead.,Neutral
Dat's exactly why I need a change... Not be'n able to do what you want when you want it is disappointin'!,Negative
"When folks choose to email instead of text or call, it suggest they might not need to holler at you at all.",Negative
"So at 2 PM, I was real tired. Now, it's almost 1 AM, and my body be like, 'Nah, it ain't time to sleep yet.' What's up?",Neutral
But then my alarm gon' go off at 5:30 and I ain't wanna get up.,Negative
"Ah reckon I gotta lightly toast dis bread so I can make a sandwich, 'cause usin' de microwave turned out to be a fail.",Negative
Ah can see workin' wit dis guy gon' guar'ntee dat ah gon' be outta work late ev'ry time.,Negative
Ai find dis new thingt pretty interestin'. I sho'd oughta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta hafta haft,Positive
Ain't believe I got home at 4 and just been chillin' in my jeans 'til now. That ain't never happened before.,Positive
"""@SaFcknMantha I gotta find out if them folks still goin' or not. But I'm comin' back when the boy finish school.""",Neutral
"""@MrsStealUrGurl Ah can't treat, but if you find a friend, make sure he got another.""",Neutral
Ah swear I'm 'bout to go to sleep and it's gon' feel like I gotta get right back up.,Negative
"Ahh, as soon as I stop carein', here you come. Leave me in de friend zone! Ah'm comfortable dere.",Neutral
"Last Tuesday, I forgot my meds at home. This Tuesday gon' be probably no different.",Negative
"""The most challengin' work I done in one day in past 4.5 years. However, I still don't enjoy the job.""",Negative
Wimmin can be some petty. I understand why some folks don't like havin' too many or too few female friends.,Neutral
She didn't leave you for makin' too many mistakes; she left 'cause you keep makin' the same mistakes too many times.,Negative
Ain't understand these chicks; they tryna mess with a dude who might got their back or might watch out for you 'cause he keep talkin' 'bout money.,Negative
"Shakin' my head, what y'all doin'? Let me guess, y'all supportin' whichever team be winin'. Shakin' my head, where dey true fans at?",Negative
Ah don't like folks who always say they mad; they oughta smoke some weed to find some joy.,Positive
"Chillin' wit' girls like girls, boys like boys; it don't matter to me. Just don't front. You is who you is.",Neutral
"Aww, I miss that girl 'cause I know she'd drink with me and enjoy the tunes.",Positive
"Ah'm so used to the past, I ain't sure if I can handle what's goin' on now.",Negative
"I tried to date one girl, but she kept accusing me of dating other girls.",Negative
"Sometimes I feel like I be talkin' the most nonsense, but then I realize that nobody really payin' attention to me.",Neutral
Wen's give me a reason to hate 'em. Why not just make it two?,Neutral
"Everybody walkin' 'round wanna be bad...But when it all boil down, these women ain't bad at all.",Positive
Ai can't be happy havin' so much hatred in yo life. Some things just don't turn out right!,Negative
"My nose be making me mad as heck, I swear... It's all stuffed up and it's really buggin' me. Can't even breathe right.",Negative
"Ai be all hyped up 'bout Doughboy's spillin'; it gon' be real intense, like them Metal Jacket 2.",Positive
Ah'm gon' watch dis movie an' wait fo' my partner to finish gettin' his hair done.,Neutral
"My boo gon' tell me not to wear my fave color, like it got somethin' to do with the stuff he be smokin'.",Negative
"""@iKillajay Yo, thank ya kindly, boo. I seen your clips too. You and @iiDayDay be aight together. Just sayin'.""",Positive
"Ai hope mah mama gon tak me to git a tattoo soon, as she said.",Positive
"""@Queensboromafia, how you reckon I should DM you when you ain't DM me back?""",Negative
"""@LeviDenimFlow n' @Mr_StealYoPlate, y'all should be catchin' some Z's since y'all got class tomorrow and it's almost 2:00 PM. It's a shame.""",Negative
"""@AlexisF__ Ah sorry, it ain't gon' happen no mo', honey. Ah love you. You my whole world. I don't wanna lose you.""",Negative
"Ai, my girl n me done broke up, shame. Now I need a homie to holla at.",Negative
A thing 'bout me is I ain't never tell nobody nothin wrong 'cause I been there and learned from it!,Positive
"Them things gon' put me straight back to sleep, and dat's a waste... don't matter.",Negative
"'Cause my mama didn't pay the bill and I had money for it, but this rump-a-skunk side spent it, so I bought other stuff with it.'",Neutral
"""@WatchYa_Aim LOL, you coulda looked it over and act like you knew it. And Terry want your number.""",Neutral
'@JERRI_NoTom Shut yo' mouth. Yo know I's tired of dis. ( : You my friend. )',Negative
"Ah love my team, we all make money. Forget dat trendy stuff.",Positive
"'Laffin' out loud, Lelani ain't gon' mess up my good mood wit' her foolishness, @Aha_LadyBug.'",Positive
"""@Aha_LadyBug Laughin' out loud, I'm lit, I thought you asked. Sorry for the lingo, excuse the ganja.""",Positive
"""In Memphis, we got lotsa distractions, money troubles, and all that nonsense. That's why I gotta get away from here.""",Negative
Ai need to learn how to control my temper; I'm a real hothead.,Negative
"Ah don't care who you be, young or old, I'ma say whateva I gotta say!",Positive
"Ah wanna scream and shout and let it all out, and scream and shout and let it out. We be sayin' 'ohhhweeee, oh we, oh we, ohhhhh!'",Positive
"Ah ain't too sure if it's yuh pride be too high or if dis is really who yuh be, but wow.",Positive
"""@TunechiS_LADY I KNOW YA NOT ARGUIN' ON DIS SOCIAL NETWORK, WHICH IS WHAT THESE PEOPLE WANNA SEE?""",Neutral
Ah'm chillin' 'til later 'cause my bed an' I 'bout to handle some unfinished biz!,Positive
"Ah ain't gon' catch no Z's 'til she wakes up and holla at me, 'til then... #teamupalldnightexpress!",Neutral
"'If I give dem money to him, I'll be outta luck and broke!'",Negative
"Ah ain't feelin' good, and Tyiah be slyly buggin' me all day!",Negative
"""I come just to get my hair done, but this girl be actin' like it's her job to be there, shakin' my head.""",Negative
"Aye, I'mma let my girl know she gotta step up her game. :)... and aye, this one be for you too!",Positive
She ain't even tried to holla or text me since I hung up... cool!,Neutral
"""@nado_wifey LMAO, y'all need to check y'all grammar in y'all tweets, or y'all might come across as unintelligent.""",Negative
"Ai, who you thinkin' you is? Dis woman just stroll upstairs. Where they do dat at?",Neutral
"""@GheezLoiKei Ah know dat's why I said it, LOL, but one day I'm gon' get you high! #BelieveDat""",Positive
"""@Contract_cKilla You already know I'm gon be on cloud nine when I go up there.""",Positive
"""@SHOOTER__X Ah been chillin'. Can't wait for spring break or summer so I can see y'all.""",Positive
"""@simply__ari Ah ain't goin' under dem windows. Ah value mah life!""",Positive
"If anyone got a problem wit' Stephanie, keep it yo'self and let it be known.",Positive
"""@AllSmilesAlways Nah, I wanted to... but there was a whole bunch of folks around, so I had to handle it on the down-low.""",Neutral
"Ayy, anyone who know me, they know I'm one of the nicest folks you ever gon' meet, unless I ain't feeling you.",Positive
"Ah wanna let y'all know how I really feel, but mah pride won't let me.",Neutral
"""Beef is when you mess up less with your homies than with your foes.""",Neutral
Ah believe we all can agree dat the real winner in dis Te'o mess is Catfish.,Positive
Ah reckon I didn't put much of Miss Myra's BBQ sauce on my chicken tonight.,Neutral
Ain't feel bad 'bout this loss. This is what state is supposed to do. Glad to see some fight in the heels late.,Positive
"""@Im_KENYATTA Ah, that's right! I'ma be there all week next week. Ahh, they suspended me this week, but I'ma be good next week.""",Positive
"""@_YouReadyB I be goin' somewhere at 12. I'll hafta let Chyna pick you up when I be done.""",Neutral
"""@_CashoutDetroit Ah don't got no message unless you be talkin' 'bout meetin' me, but I don't care. Go back to that Bitcoin bye.""",Neutral
"The world be yo young man, what you gon' do wit it? Watch it, make it work.",Positive
"""@alleyboydte @IaMelinaEros Ah'm interested in collab with Alley Lano in East Baltimore an' Latrobe; them ain't the only projects we're lookin' at.""",Neutral
"Rappers talkin' 'bout trappin' never seen a mil. If you ain't 100% real, then your stuff ain't real. Bye, Meek Mill. Ball2More, the city.",Neutral
"""@liciarie Ah love Chicago, y'all need to chill 'bout the violence. Make it work, Yo Gotti's voice is why I stay. Love them in da city.""",Positive
Ah ain't gettin' nowhere by hating. We just keepin' mum 'bout the mob's secrets.,Neutral
"""@therealstylesp Ai ain't lyin', ghostly things be killin' me. Lion Pride, I'm listenin' to dis for the rest of mah life.""",Positive
"If y'all my friend, then y'all is. I surely don't need no new friends. Where y'all been?",Neutral
"Aye, I heard he messed up the situation at the O'Well event. It ain't my concern. I don't like him.",Negative
"I need to cuddle wit a girl; she's at her granny's house, but I'm 'bout to go back to sleep.",Neutral
"OBN I be goin' hard fo' my squad SQUAD. I's so hyped! 039 SHYT, nigga, we gon' fuck up them oppressors, nigga, we gon' fight against this lawlessness. Let's get it!",Positive
"""@TreatMe_EatMe_, cuz I know I might be up all night, but in the mornin' I'll be real sleepy.""",Neutral
"'@Tokiyo_Trending Ragen, n'at, y'all gotta stop tweetin' at me. Y'all mad 'cause I don't wanna holla no mo'. I on to sump'n else. Peace out. Ain't no more talkin' to y'all.'",Neutral
"AH, I HAD 2 WEAR NEW UNDERWERK WHEN SHE COME OVER FIRST TIME.",Neutral
Folks don't get how important it is to keep yo word no mo'; that's why my trust be shattered! But I'ma die to keep my word.,Negative
"""Some fellas expect women to get down or somethin' like that, I reckon. If that's the case, I ain't never going on no date. LMAO.""",Negative
'Ask me to come see you at a game and then don't even speak to me #wtf',Negative
"Ah love bad girls, dat's mah real problem an' yes, I like to flirt. I guess I got a flirtatious problem.",Positive
"Ah, de head manager fuh West Orange BK called me an' thanked me fo' workin' dere... an' said he want me to work dere in de summer.",Positive
"""@kiss_my_lips18 Mmm hmm, that's what it sound like to me...my baby godmother can't be into that, lol.""",Neutral
Ah was thinkin' 'bout goin' to the mall on Monday 'cause I got the day off...I ain't sure tho.,Neutral
"""@ILoveAvis Ah know it do. Ah remember last time Ah went. Ah keep fallin down. Ah thought Ah 'bout breakin ma ankle in da process lol.""",Neutral
"""@ChanTheMan19, you see, dem put him in de conference championship game, and he been makin' them big catches.""",Positive
"Thank y'all, Lord, for wakin' me up this mornin'. Please bless me wit' strength 'cause these folks be irritatin' my nerves.",Negative
Ah wonder how many men can spend the whole night wit a woman without gettin' aggressive.,Neutral
Ah know de sex be good when it always feel like de first time again.,Positive
"Ah'm doin' real good, not talkin' to mah mama... it's been two days, I reckon... real intense.",Neutral
"Tha Celtics lost ta da Bulls, now 20-19 on da season. Just take it one game at a time fo da team!",Neutral
"Chief Keef be 17 years old. His girlfriend in the 8th grade, and he be in juvenile detention for violatin' probation. Yo, is dis your role model?",Negative
"The futcha be the new T-Pain. He sound good doin' the chorus, but I ain't so sure 'bout the whole song.",Neutral
"Ah gots so much to do today, but mah first priority this mornin' was to spend time wit mah little mama.",Positive
"Ahh, laffin' out loud, I just holla at my boo to tell him I aimin' to join the army, we a-gonna get married, and be together fo'evah.",Positive
"Ah think ah'm gon' get mah hair braided! Ah'm takin' one weekend off, just me n' him.",Positive
"""Ain't nothin' I'm 'posed to say, and I 'bout to spill, but I ain't gon'.""",Neutral
"Ai know he see me tweetin' dis, and it's the truth. If it wasn't for him, I wouldn't have fell in love again.",Positive
"My aunt be all kinds of wacky, ya know? I ain't know why she thinkin' I got a baby on the way! Gotta bounce.",Negative
"I wish I be wit my partner. But, I be havin' a good time wit my coworkers.",Positive
"My son an' me got sumfin' special goin' on. Please don't try to interfere, or you might regret it.",Negative
"""@CoCoChanel_92 Yessir, yessir... But now I work, I get mine. Planning to have a few kids so he can spoil 'em good.""",Positive
"It look like everybody be callin' me Aunt Kisha or thinkin' I'm their big sister who don't care bout 'em, lol.",Neutral
"Ah ain't rushin' it, Ah just eager to get dat matter resolved.",Positive
"Ah don't nobody like drama, but his behavior be tolerable. Everything be good; I only got a few months left.",Positive
"""@x_Monaeee Ah don't tag me now. You wasn't tagging me a few seconds ago. There be folks fightin' your battles. You still the same intimidatin' person.""",Neutral
"Ai like him too much to stop, but I love him way too much to continue. I think I know what I gotta do.",Negative
Women be still mad 'bout Rihanna and Chris Brown gettin' back together. It's like y'all keep forgiving that same problematic man every two weeks!,Negative
"TWEETER: It gettin' all hype 'round 3 and 4 PM. It's like a hotline, but just for you, ya know?",Positive
"""@rouseyG_boss Ah understands you don't write me no Southern Accent, but if you invited her, you's payin'! Did dis happen to you?""",Neutral
"Yo, you changed my whole life, don't know what you doin' to me with that love. Feelin' like a superhuman 'cause of you!",Positive
"""@FUk_A_FAiryTale Ah know you hear dem squeeze what you gon' do and suck him up too.""",Neutral
"""Ah, ah don't know. Ah told Aaliyah you was just jokin', and she said, 'Ah well, Sabrina know now.'""",Neutral
'It's undeniable we should be together. It's unbelievable how I used to say I didn't think I would fall. The basis is needing to know if you don't know how I feel.',Positive
"""@IonLuvTheseH_s  Ahh, I thought we was better dan dis. I thought you liked me.""",Negative
"You be sayin' that's yo girl nuttin' to say, like prank callers, 'cause it's a small world and folks be makin' it even smaller.",Neutral
"""So when they lose in the Super Bowl, where'll the big-hearted person be then?""",Negative
"""@Quise_Sosa Yo, I'm 'bout to head to my aunt's place 'cause it's my little cuz's birthday, but I'll be back.""",Positive
"Lord, forgive me for the sins I done and them I gon' do in the future.",Neutral
"""Ah, dis lady in school tryna bully me. Ah nah, she was a fraud. Don't let her intimidate you.""",Positive
My room ain't messy; it's an obstacle course designed to keep me fit.,Positive
"Folks really get on my nerves when they say I'm real smart. Yo, I ain't that bright.",Negative
It ain't nothing like the first time I'm tryin' to tell you I can blow your mind.,Positive
"Ah made a mistake towards you, you made a mistake towards me. Ah gon' accept you back if you accept me back.",Neutral
"""Ahh, dis person 'bout to turn 21 n already got a 16-year-old with a bun in da oven. #Maury""",Negative
"Ai beat up Josh in NBA 2K13 today... With LeBron, he tried to challenge me in Madden, but I straight up dominated him in NBA 2K. #SouthBeachIsKing",Positive
Ah wonder if them folks who don't deserve what I want go through what I go through...,Negative
"""@BigGhostFASE he been doin' it all thorough his career. Why stop now? It obvious done work out alright for him.""",Positive
"""@Big__Reed @ChocoVelvetBone @MsShellyNicole If you mess with my big brotha, I'mma make sure you's sleepin' with the fishes!""",Negative
"Ah don't hardly miss my homies from home. Gonna see 'em next week, so it's all good!",Positive
"Ah wuz 'posed ta have lunch wit ma friend, but Ah ain't sure if Ah gon wake up in time.",Neutral
"'Laffin' out loud! Hey LaQuanda, I got four peeps on hold, but I can holla!'",Positive
Ai be the only one want a relationship where we can be intimate all night 'til things be right? I know it's a bit unconventional.,Neutral
"""Why I feel like dis classroom set up like some Final Destination-type situation? LOL.""",Neutral
'Hot room + walkin' everywhere + no fast food = one fine day for Taylor :)',Positive
Ai I a fool fu you? Ou's a' force behin ma actions?,Neutral
"All them unanswered questions we can solve in one night, we ain't never gon' get that opportunity.",Negative
Ah ain't comin' back to Abernathy. Ah refuse. Y'all can have that.,Negative
I done finished packin'. Gonna watch TV 'til I get a call in the mornin' sayin' we on the way.,Positive
"Ah can't see dem comin' down mah cheek, so ah gotta make de song cry.",Positive
"It seem like when I wake up, I get my senses back. I'da mention them women's names, but then I'd be betrayin' their trust.",Neutral
"Ah feel like, ya know, when ya don't gotta wake up in de mornin', it's just straight overwhelming.",Positive
Ah don't read no sub-tweets no mo' 'cause I hardly scroll down ma timeline now; Ah just tweet and bounce. LOL,Neutral
I seen that girl; I had to spoil her 'cause she loyal.,Positive
"""Ahma laugh how yuh name always on mah mind, but mah name don't cross yuh.""",Neutral
Ah'm tru'ly considerin' callin' dis person an' expressin' mah thoughts tuh dem.,Neutral
"Ain't think 'bout sex in my life like that; I'd rather hol' it down with the woman I used to be close with, D.G., but it's a shame she don't return my feelings.",Negative
"Ah gots ta have a friend who got mah back if ya don't, ya ain't nothin'.",Negative
"""You wan' me come over so we can talk, but I just wan' come over so we can get cozy if you ain't down, then just keep it movin' (just words spoken).""",Neutral
"Ah, how you can ask me to text y'all but y'all ain't textin' back? #subtweet",Negative
Top 10 things 'bout my crush: He got gum stuck on his arm from when he was a baby.,Neutral
Ah remember dat day when my homies accidentally pulled ma bathin suit string and ma bottoms fell off in da pool. #awkward.,Negative
Somebody took Ruzzle off ma phone. *grabs knife* Who gon' get axed tonight!?,Negative
"Wen' women always tryna argue when a man be havin' a bad day; just hush up, please. #TheseWomenBeActinUp",Negative
"""Gotti make some of these women look foolish, and they ready to claim the title.""",Negative
"My mind just rewind all the way back to watchin' my friend @SterloC4 highlight tape. We run the tournaments, from town to town.",Positive
"'If anyone ever wanna think 'bout attackin' me, you better think twice 'cause I'll defend myself too. I'm just sayin', I ain't scared!'",Positive
"If you's gon' tell sumthin', tell it when I said it gon' help, don't wait 'til weeks later.",Neutral
"Ai mean, she be cookin' pig feet, neck bones, black-eyed peas, greens, and cornbread... Ain't gon eat none of that.",Negative
"Ah got a big-time quality, so I be wonderin which one of y'all ladies would let me show my love for you.",Positive
"Accept me for who I be; if you don't, then disengage from our relationship.",Neutral
"Dedria know she pop, not a Molly, she probly don't even know what a Molly is, lol.",Neutral
"""@BeautyPixkz_Gee No, I see her dere. Buyin' knowin' me, I'm gon' get mad as heck and then go to her house.""",Negative
"Ah gots clothes somewheres, shoes somewheres, bag of M&M's somewheres, bottle over dere, ugh, it's all so cluttered.",Negative
"'Rainy days be gone when you 'round. You say you 'bout to stay wit me. Boy, I don't want you tellin' me I need you.'",Positive
"""Ah don't matter if the sky fall and the sun ain't shinin', I got that strength in me and I.""",Positive
"I need a straight-up answer, gotta take medication, need a strong drink, need some good advice, and some courage.",Neutral
"Aiight, I be slayin' at dis, I'll wipe you out just as easy as I made you.",Positive
"First off, ah don't expect to forgive yuh small stuff an' stay here. Why I gotta act like Boo-Boo the Fool?",Negative
"Ah keep fallin' in love wit' you; sometimes I love you, and sometimes you make me feel blue.",Negative
Ah'm just makin' all dis noise for no reason 'cause I'm gon' end up changin' my mind and watchin' her.,Neutral
"""@ThatDamnNeika lol, I's a good child, lol, and y'all need to visit cuz I's super bored here.""",Neutral
"'Just Parkin' Service already broke. If one of these buses flips over, JPS gon' be no more.'",Negative
Guess what! I ain't really care! Let me check my attitude. I sorry if I seem rude.,Neutral
"Ain't no sense in hangin' with folks who show them bad vibes, ya know? Folks can be the worst 'cause there's some real mean people out here!",Negative
"""Ah enjoy de bizness of sellin' drugs; it bring joy to my son. He ain't gon say 'Daddy sell drugs' unless somebody mention 'Kha'marie, your Daddy is on...' #FastMoney.""",Negative
"Can you best Fran? He cussed when he texted me late at night, tryna give me some head!",Negative
"Thank y'all for congratulatin' me on dis day, I real appreciate y'all takin' a lil' time out. Thanks, fam :)...",Positive
"""@LoveHathAway Hey, I'mma text y'all wit six 'y's in 'hey'!! Can't believe he called y'all by his ex's name, oh no smh!""",Negative
"Aiight, whut's goin' on wit our age group now? Y'all be talkin' 'bout sex, gettin' all up in each other's personal space with kissin' and huggin', instead of chattin' 'bout somethin' more deep.",Negative
"""The only things on my agenda for today is: washing myself, brushin' my teeth, and gettin' my car detailed!""",Positive
How deep is our connection if it only takes your absence for it to be shown?,Negative
"Ah can't quite express it, but I'm real interested in you now. I wanna be more than just a friend to you now.",Positive
"""If it wasn't for my back-view mirror, I'd be causin' all kinds of mess-ups, hahahas.""",Positive
"Ayy, dey sent my bro Peyton home and Ray Lewis wit dat overly emotional behavior.",Negative
"Yo, lemme tell y'all partner we a successful team and they gotta contribute.",Positive
"If someone hates on me, I don't need you, nigga. I'm the type of person who don't need no girlfriend.",Neutral
"""@CMPunk The one thing I respect most is dis man's unflappable nature. Everythin' that happenin' only serve to prove his points... Punk stay strong, I bet.""",Positive
"Aiight, shakin' my head, y'all need to stop. Dat's a real rude way to approach somebody. Shakin' my head, wut's up wit dis women who likin' their own gender?",Negative
"Ain't in the mood, but I jus' manage to smile 'cause nobody done made me mad.",Positive
"Ah've seen @iRock_NoStar, @iiFear_NOT, and @_DopeyyDiva post some ignorant texts. Ah was bored this mornin'.",Neutral
"IF you can beat me rockin', you can have my chair, 'cause there ain't too many men who can do what I do out there.",Positive
"Nah one s'poseda die, the way dem peeps be dyin', fallin' down steps? I fell down concrete steps at JSU, and I'm alive!",Neutral
The day I run from anyone walkin' the same ground and breathin' the same air as me is the day I'mma take off my hat and salute 'em!,Positive
"Ai'm tellin' Dee dis stuff, and I was told not to talk 'bout it no mo', but she said I can trust her.",Positive
"""#HonestHour -- > Ain't against nobody. Why folks don't like me, I don't know. Honestly, I don't care!""",Neutral
Ain't gon' see Texas Chainsaw Massacre tomorrow. I'm goin' a week after next. That monster better still be playin'!,Positive
My best friend is comin' over to my house tomorrow to help me finish dat funky project.,Positive
Ain't like me? Nah. I'ma wake up to impress you. I owe y'all some mercy now!,Positive
"Ah'm gon' approach it from front, back, side, side, girl. Ah love how you do it! #JAMMIN!",Positive
"""@JonteikaB. Naw, it wasn't, but if you was lookin' at me, then sure it could be.""",Neutral
"Neshia be so shy! Lord, just like her, I wouldn't even holla at a squirrel! I'm just that shy!",Negative
"My big sista told me to git my butt to sleep, so bye y'all :('",Negative
"Had to walk fo' three days, an' it was cold an' rainy. I got a real bad cold.",Negative
"Ai mean, it look like you ain't gon' get no answer no time soon... um, #MIA and it's messin' with yo life, my nigga.",Negative
"We 'bout to hit da hay, but I had to holla at Q 'bout some things. Now I'm thankful but bored talkin' to Halle. > > my #love",Neutral
"Ah'm channelin' mah inner Jay Cutler when I say I DON'T CARE, Miami was a whole lotta fun.",Positive
"Staley, these women be havin'... Flip dat shit and it don't go nowhere... Need some oil, sheen, or sumpin'.",Neutral
"If it walk like a duck and talk like a duck, then it's a duck. Duck!",Positive
"Next person to mess with my stuff gon get shot, whether it's my fault or not.",Negative
"Ah wouldn't dare jump nobody. That stuff make me feel like I can't handle my own business. Plus, that stuff just ain't cool.",Negative
"Shaggy had me overreactin' here, worried. He stay laughin' and to see him snappin' was like, wow.",Positive
Ah'm finally 'bout to go back to school. Ah's gotta be on mah game.,Positive
"Mornin'. School back too soon, but I gotta get with the program.",Neutral
"Ah ain't in no good mood this mornin'; Ah might as well just quit school, man.",Negative
"""@souljaboy @Bestie567... Y'all gotta go all out to shine on more than just the USA. How 'bout the whole world? Yeah, the whole world for real.""",Positive
'B was a hot-headed nigga before he got shot. He used to say he was thinkin' 'bout robbin' somebody. LOL.',Neutral
"""@naturalbeauti93 Oh, where you headed to school? I forgot. I'm feelin' so bad right now, could be in a hospital, man.""",Negative
"Ah miss her when she gone, but when she come, she hard to deal wit.",Negative
