aae_from_sae,standard_american_english
I thought y'all school had a lil' scandal with all them nuns bein' in the same spot with no men 'round.,I thought your school had a sex scandal with all those nuns being in the same place with no men around.
It's gon' be a lotta headlights on this cold mornin'; them big coats is out.,There are going to be a lot of headlights on this cold morning; the big coats are out.
"Where Jayer @Tiera_Nichole at with her goofy self? I saw her beggin' for change in the middle of the Grand Avenue Mall the other day, haha.","Where is Jayer @Tiera_Nichole with her goofy self? I saw her begging for change in the middle of the Grand Avenue Mall the other day, haha."
"Word to the wise: if it’s real cold, don’t let nobody use your jacket tryin' to be a gentleman; you might catch the flu.","Word of advice: if it's really cold, don't let anyone use your jacket trying to be a gentleman; you might catch the flu."
"It’s mad cold in my crib, but my mama still expectin’ me to get up and put all these clothes away. Hmm, I don’t know 'bout that.","It's freezing cold in my house, but my mom still expects me to get up and put all these clothes away. Hmm, I don't know about that."
"@MrsStealUrGurl I only caught the last half hour. 'Bout to watch the beginning, but this headache ain’t lettin’ me.","@MrsStealUrGurl I only watched the last half hour. I'm about to watch the beginning, but this headache is stopping me."
So she just spilled his secret to his wife 'cause he ain’t give her the job. Shakin’ my head.,So she just revealed his secret to his wife because he didn't give her the job. Shaking my head.
She ain’t gon’ see nothin’ unless I tag her 'cause she a lil’ too nice.,She isn't going to see anything unless I tag her because she is a little on the nice side.
Reconnecting with someone you been knowin’ for years that you ain’t seen in a minute... Priceless!,Reconnecting with someone you've known for years that you haven't seen in a really long time... Priceless!
"Man, I just checked my bank account. I think I’mma pay my bills and just chill in Philly instead.",Wow. I checked my bank account. I think I'll pay my bills and stay in Philadelphia instead.
This right here is why I need a change... Not bein' able to do what you wanna do when you wanna do it is mad frustrating!,This is exactly why I need a change... Not being able to do what you want when you want is frustrating!
"When folks email you instead of textin' or callin', that mean they probably shouldn’t even be talkin' to you in the first place.","When people email you instead of texting or calling, it means they probably shouldn't be communicating with you in the first place."
"So at 2 PM, I was real tired. Now at almost 1 AM, my body sayin' it ain't time to sleep yet. What the heck??","So at 2 PM I was really tired. Now at almost 1 AM, my body is saying it's not time to sleep yet. What the heck??"
"But then my alarm gon' go off at 5:30, and I ain't gon' wanna get up.","But then my alarm is going to go off at 5:30, and I'm not going to want to get up."
I guess I gotta lightly toast this bread so I can make a sandwich 'cause usin' the microwave ain't work out for me.,I guess I need to lightly toast this bread so I can make a sandwich because using the microwave proved to be a failure.
I can see workin' with this dude gon' have me outta work late every time.,I can see that working with this guy will guarantee that I will be out of work late every time.
I find this new thing real interestin'. I should have some fun with it.,I find this new thing to be quite interesting. I should have some fun with this.
I can't believe I came home at 4 and just sat 'round in my jeans till now. That ain't never happened before.,I can't believe I came home at 4 and sat around in my jeans until just now. That's a first.
@SaFcknMantha I need to see if the folks still goin' down or not. But I'm headin' back when the boy get outta school.,@SaFcknMantha I need to find out if the folks are still going down or not. But I'm going back when the boy gets out of school.
"@MrsStealUrGurl I can't treat, but if you find a homie, make sure he got another.","@MrsStealUrGurl I can't treat, but if you find a friend, make sure he has another."
"I swear I'm 'bout to go to sleep, and it’s gon' feel like I gotta get right back up.","I swear I'm going to go to sleep, and it's going to feel like I have to get right back up."
"As soon as I stop carin', here you come. Leave me in my friend zone! I'm good there.","As soon as I stop caring, here you come. Leave me in my friend zone! I'm fine there."
"Last Tuesday, I forgot my meds at the crib. This Tuesday gon' probably be no different.","Last Tuesday, I forgot my medication at home. This Tuesday will probably be no different."
"This the hardest I ever worked in one day in 4.5 years. I still don't like the job, though.","This is the hardest I've ever worked in one day in 4.5 years. I still don't like the job, though."
Women can be real petty sometimes. I get why some folks don’t wanna have too many homegirls.,Women can be very petty. I understand why some people prefer not to have too many female friends.
She ain't leave you 'cause you made too many mistakes; she left 'cause you kept makin' the same ones over and over.,She didn't leave you because you made too many mistakes; she left because you kept making the same mistakes repeatedly.
I don’t get women. They be tryin' so hard to get with a dude who might support 'em just 'cause he talk a big game.,I don't understand women. They try their hardest to get involved with a guy who might support them or help them out just because he talks a big game.
"Shakin' my head, you really gonna just follow whoever winnin'? Where the real fans at?","Shaking my head, are you really going to just follow whoever is winning? Where are the true fans?"
I can't stand folks who always mad. They need to chill and smoke some weed to feel good.,I dislike people who are always angry. They should smoke some weed and be happy.
Girls like girls and boys like boys; that ain't no thang to me. Just keep it real and be yourself.,Girls like girls and boys like boys; it doesn't matter to me. Just be genuine and true to yourself.
I really miss that girl 'cause I know she would sip with me and smoke that loud.,I really miss that girl because I know she would drink with me and smoke that loud.
I'm so used to the past that I ain't sure if I can deal with what's goin' on now.,I'm so accustomed to the past that I don't know if I can handle what's happening now.
"I tried to holla at this one girl, but she keep thinkin' I'm seein' other girls.","I tried to date one girl, but she keeps insisting that I'm seeing other girls."
"Sometimes I feel like I be talkin' the most trash, but then I think, who gon' check me?","Sometimes I feel like I talk the most trash, but then I think, who is going to check me?"
"Folks give themselves a reason to hate on me, so why not just make it two?","People give themselves a reason to hate me, so why not just make it two?"
"Everybody walkin' 'round wanna be bad, but when it all boil down, these people ain't really bad at all.","Everybody is walking around wanting to be bad, but when it all boils down, these people aren't really bad at all."
You can't be happy havin' so much hate in your life; some things just ain't gon' turn out right.,You can't be happy having so much hatred in your life; some things just aren't going to turn out right.
"My nose got me real mad, I swear. It's all stopped up and messin' with me. I can't breathe at all.","My nose is making me really mad, I swear. It's all stopped up and it's messing with me. I can't breathe at all."
"I can't wait for Duflocka Rant 2. It's gon' be real intense, just like that movie, Full Metal Jacket 2.","I can't wait for Duflocka Rant 2. It's going to be really intense, just like that movie, Full Metal Jacket 2."
I'm 'bout to watch this movie and wait for my partner to finish gettin' his hair done.,I'm about to watch this movie and wait for my partner to finish getting his hair done.
My partner gon' tell me not to wear my favorite color. What kinda drugs he smokin'?,My partner is going to tell me not to wear my favorite color. What kind of drugs is he smoking?
"@iKillajay You welcome, love. I saw yo' videos too. You and @iiDayDay make a great team. Just sayin'.","@iKillajay You're welcome, love. I saw your videos too. You and @iiDayDay make a great team. Just saying."
"I hope my mom take me to get a tattoo soon, like she said.","I hope my mom takes me to get a tattoo soon, like she said."
@Queensboromafia how you gon' tell me to hit you up in the DMs but you ain't even respond?,@Queensboromafia how are you going to tell me to direct message you but you don't respond?
@LeviDenimFlow you and @Mr_StealYoPlate need to be sleepin'; y'all got class tomorrow and it’s almost 2:00 AM! Shame on y'all.,@LeviDenimFlow you and @Mr_StealYoPlate should be asleep; you both have class tomorrow and it's almost 2:00 AM! Shame on you all.
"@AlexisF__ I'm sorry, it ain't gon' happen again, babe. I love you, you my world, and I ain't tryin' to lose you.","@AlexisF__ I'm sorry, it won't happen again, babe. I love you, you are my world, and I don't want to lose you."
"Man, me and my girl broke up, smh. Now I need a friend to talk to.","Boy, my girlfriend and I broke up, shaking my head. Now I need a friend to talk to."
One thing 'bout me is I ain't gon' tell nobody nothin' wrong 'cause I been there and learned from it!,One thing about me is that I will never tell anyone anything wrong because I have already been there and learned from it!
"That gon' put me right back to sleep, and that’s wastin’ it... never mind.",That is going to put me right back to sleep and that's wasting it... never mind.
"@TweetWatching_ ... 'Cause my mama ain't pay the bill, and I had money for it, but this person spent it, so I bought other things with it.","@TweetWatching_ ... Because my mom didn't pay the bill and I had money for it, but this person spent it, so I bought other things with it."
"@WatchYa_Aim Lol, you coulda just overlooked it and acted like you ain't see it.","@WatchYa_Aim Lol, you could have overlooked it and acted like you didn't see it."
@JERRI_NoTom Shut up. You know I mess with you 103 tough. You my friend.,@JERRI_NoTom Shut up. You know I mess with you 103 tough. You are my friend.
I love my team. We all about that money. Forget that hot stuff.,I love my team. We all are about that money. Forget that hot stuff.
"Lol, Lelani ain't gon' mess up my high with her foolishness.","Lol, Lelani is not going to ruin my high with her foolishness."
"@Aha_LadyBug Lol, I'm high. I thought I asked. My bad for the weed.","@Aha_LadyBug Lol, I'm high. I thought I asked. Excuse the weed."
"In Memphis, it's a whole lotta unmotivated folks and nonsense. That's why I gotta bounce from here.","In Memphis, there are a lot of unmotivated people and nonsense. That's why I need to get away from here."
I gotta learn how to chill on my temper; I'm a real hothead.,I need to learn how to control my temper; I am a real hothead.
"I don't care who you is, young or old, I'ma say whatever I gotta say!","I don't care who you are, young or old, I will say whatever I need to say!"
"I wanna scream and shout and let it all out, scream and shout and let it out. We be sayin', ""Ohhhweeee, oh we, oh we, ohhhhh!""","I want to scream and shout and let it all out and scream and shout and let it out. We are saying, ""Ohhhweeee, oh we, oh we, ohhhhh!"""
"I ain't sure if it's yo pride too high or if this really you, but dang.","I am not sure if it's your pride that is too high or if this is really you, but wow."
"@TunechiS_LADY I know you ain't arguin' on this social network, which is what these folks wanna see?","@TunechiS_LADY I know you are not arguing on this social network, which is what these people want to see?"
I'm chillin' until later 'cause me and my bed got some unfinished business to handle!,I am relaxing until later because my bed and I are taking care of some unfinished business!
"I ain't goin' to sleep until she wake up and call me, so until then... #teamupalldamnnight!!!","I am not going to sleep until she wakes up and calls me, so until then... #teamupalldamnnight!!!"
"If I give my homie that cash to hold, I'ma be outta luck and broke!","If I give my friend that money to hold, I'll be out of luck and broke!"
"I ain't feelin' good, and Tyiah just really got me upset today!","I'm not feeling good, and Tyiah just really upset me for the day!"
"I came just to get my hair did, but the girl made it her business to be there. Smh.","I came just to get my hair done, but the girl made it her business to be there. Smh."
"Ayo, tell your girl she gotta step up her game. :) ... and yeah, this one for you too!","Hey, tell your girl she is going to have to step up her game. :) ... and yes, this one is for you too!"
The fact she ain't even tried to call or text me since I hung up is whatever!,The fact that she hasn't even tried to call or text me since I hung up is cool!
"Laughin' my ass off, man you really need to check yo' grammar in yo' tweets, you sound real foolish!","Laughing my ass off, man you really need to check your grammar in your tweets, you sound really foolish!"
Who you think you is? This person just walked upstairs. Where that happen at?,Who do you think you are? This person just walked upstairs. Where does that happen?
"I know that's why I said it, lol, but one day I'm gon' get you high! #BelieveThat","I know that's why I said it, lol, but one day I'm going to get you high! #BelieveThat"
You already know I'm gon' be on cloud nine when I go in there.,You already know I'm going to be on cloud nine when I go in there.
I been just relaxin'. I can't wait 'til spring break or summer so I can see all y'all.,I've just been relaxing. I can't wait until spring break or summer so I can see all of you.
"@simply__ari You think I ain't duckin' below them windows? I value my life, ya feel me?",@simply__ari You think I don't duck below those windows? I value my life!
"If anybody got a problem with Steffanie, keep it real and let it be known!","If anyone has a problem with Steffanie, keep it 100 and let it be known!"
"@AllSmilesAlways Nah, I wanted to... but too many folks was around, so I had to tough it out.","@AllSmilesAlways No, I wanted to... but too many people were around, so I had to tough it out."
Anyone who know me should know I'm one of the nicest people you'll ever meet... unless I ain't feelin' you.,Anyone who knows me should know that I'm one of the nicest people you'll ever meet... unless I don't like you.
"I wanna let you know how I really feel, but my pride just won't let me.","I want to let you know how I really feel, but my pride won't let me."
"Beef be when you mess up; less burgers with ya homies, more steak with them snakes.","Beef is when you make mistakes; less burgers with your friends, more steak with snakes."
I think we all can agree that the real winner in this Te'o mess is Catfish.,I think we can all agree that the real winner in this Te'o situation is Catfish.
I ain't put a lot of Mrs. Myra's BBQ sauce on my chicken tonight.,I probably didn't put a lot of Mrs. Myra's BBQ sauce on my chicken tonight.
Don’t feel bad 'bout this loss. This what the state supposed to do. I'm glad to see some fight in the heels late.,Don't feel bad about this loss. This is what the state is supposed to do. I'm glad to see some fight in the heels late.
"@Im_KENYATTA Aww, for real! I'ma be there all week next week! Even though they suspended me, I'ma be good next week.","@Im_KENYATTA Aww, true! I'm going to be there all week next week! Even though they suspended me, I'll be good next week."
I'ma be somewhere at 12. I'ma have Chyna come scoop you when I'm done.,I'm going somewhere at 12. I'll have Chyna come get you when I'm done.
"I ain't got no message unless you talkin' 'bout meetin' me, but I don't care, forget you, go back to that BTC, peace out.","I don't have a message unless you're talking about meeting me, but I don't care, forget you, go back to that BTC, goodbye."
"The world yours, young blood. What you gon' do with it? Watch it, make it work.","The world is yours, young man. What are you going to do with it? Watch it, make it work."
"I mess with Alley Lano, from East Baltimore, Latrobe. That ain't all our projects though.","I mess with Alley Lano, from East Baltimore, Latrobe. That's not all of our projects though."
"Rappers talkin' 'bout trappin' ain't never seen a hundred million. If you ain't 100, then your stuff ain't real. Peace out, whoop, Meek. Voice of Baltimore City.","Rappers talking about trapping have never seen a hundred million. If you aren't 100, then your stuff isn't real. Goodbye, whoop, Meek. Voice, Baltimore City."
"@liciarie Love Chi-town! Y'all need to chill on the violence. Make it work, Yo Gotti's voice. That's why I'm solo. Much love to everybody in Chicago.","@liciarie Love Chicago! You all need to chill on the violence. Make it work, Yo Gotti's voice. That's why I'm solo. Much love to everyone in Chicago."
Hatin' ain't gon' get you nowhere but in a box. Stay low and keep quiet 'bout them secrets.,Hating isn't going to get you anywhere but in a box. Stay low and keep quiet about secrets.
"@therealstylesp You ain't lyin'. Ghost stuff killin' me. Lion pride, I'ma listen to this for the rest of my life.","@therealstylesp You aren't lying. Ghost stuff is killing me. Lion pride, I'm listening to this for the rest of my life."
"If you my friend, you my friend! I don't need no new friends. Where you been at?","If you are my friend, you are my friend! I definitely don't need any new friends. Where have you been?"
"I heard he really messed around with her. Oh well, I don't care; she ain't my girl, and I can't stand her.","I heard he really messed around with her. Oh well, I don't care; she's not my girlfriend, and I can't stand her."
"I needa cuddle with a girl. She at her grandma's house, but I'm 'bout to go back to sleep.","I need to cuddle with a girl. She is at her grandma's house, but I am about to go back to sleep."
I go hard for my crew.,I go hard for my squad.
"I know I'ma be up all night, but in the mornin' I'ma be real sleepy.","I know I will be up all night, but in the morning I am going to be really sleepy."
"@Tokiyo_Trending RAGENE, stop tweetin' me, fam. You mad 'cause I don't want you. I done moved on. Bye, stop talkin' to me. We ain't got nothin' else to say.","@Tokiyo_Trending RAGENE, stop tweeting me, man. You are mad because I don't want you. I have moved on. Goodbye, stop talking to me. We don't have anything else to say."
"LOL, I don't want her wearin' no panties tomorrow when she come over, for real.","LOL, I don't want her to wear any panties tomorrow when she comes over, for real."
Folks don’t even know what it means to keep it real no more. That’s why my trust all messed up! But I’ma do whatever to keep my word.,People don't know what keeping their word means anymore. That's why my trust is messed up! But I will do anything to keep my word.
"Some people think women supposed to do certain things for 'em, I guess. In that case, I ain't never goin' on a date, laughin' my ass off.","Some people expect women to perform certain acts for them, I guess. In that case, I will never go on a date, laughing my ass off."
You told me to come see you at the game and then didn’t even holla at me. What the heck?,You asked me to come see you at a game and then didn't even talk to me. What the heck?
"I love me some fine women; that’s my problem, and yeah, I like to have a good time. I got a serious issue.","I love attractive women; that's my problem, and yes, I like to have fun. I have a serious issue."
The head manager at West Orange Burger King called me up and thanked me for workin' there. He said he want me to come back in the summer.,The head manager for West Orange Burger King called me and thanked me for working there. He said he wants me to work there in the summer.
"Hmm, that’s what it sound like to me. My baby’s godmother can’t be into that, lol.","Hmm, that's what it sounds like to me. My baby's godmother can't be into that, lol."
I was thinkin’ 'bout goin’ down to the mall on Monday since I’m off... I don’t know though.,I was thinking about going down to the mall on Monday since I'm off... I don't know though.
"I know it do. I remember the last time I went, I kept fallin’ down. I thought I was gon’ break my ankle in the process, lol.","I know it does. I remember the last time I went, I kept falling down. I thought I was going to break my ankle in the process, lol."
You see they put him in the conference championship game and he made two big catches.,You see they put him in the conference championship game and he made two big catches.
"Thank you, Lord, for wakin’ me up this mornin’. Please give me the strength 'cause these folks is gettin’ on my nerves.","Thank you, Lord, for waking me up this morning. Please give me the strength because these people are getting on my nerves."
I be wonderin' how many men can spend the night with a woman and not get it in.,I wonder how many men can spend the night with a woman and not engage in sexual activity.
You know the sex be good when it always feel like the first time again.,You know the sex is good when it always feels like the first time again.
"I'm doin' pretty good at not talkin' to my mom... it's been two days, I think... HARDCORE.","I'm doing pretty well at not talking to my mom... it's been two days, I think... HARDCORE."
"The Celtics lost to the Bulls, makin' their record 20-19 for the season. Just take it one game at a time for number #oomf!","The Celtics lost to the Bulls, making their record 20-19 for the season. Just take it one game at a time for number #oomf!"
"Chief Keef only 17. His baby mama still in the 8th grade, and he in juvie for violatin' probation. Is this your role model?","Chief Keef is 17 years old. His baby mama is in the 8th grade, and he is currently in juvenile detention for violating probation. Is this your role model?"
"Future the new T-Pain, ya feel me? He sound good on the chorus, but I ain't too sure 'bout the whole song.","Future is the new T-Pain. He sounds good doing the chorus, but I'm not so sure about the whole song."
"I got so much to do today, but my first priority this mornin' was spendin' time with my lil' girl.","I have so much to do today, but my first priority this morning was to spend time with my little girl."
"I just called my boo to tell him I'm 'bout to join the army, and we gon' get married and be together forever.","I just called my boyfriend to tell him that I'm going to join the army, and we're going to get married and be together forever."
"I think I'm 'bout to get my hair braided! I'm takin' one weekend off, just me and him.","I think I'm going to get my hair braided! I'm taking one weekend off, just me and him."
"Some things ain't meant to be said, and I was 'bout to say somethin', but I ain't.","Some things are meant not to be said, and I was about to say something, but I'm not."
"I know he see me tweetin' this, and it's the truth. If it wasn't for him, I wouldn't love again.","I know he sees me tweeting this, and it's the truth. If it weren't for him, I wouldn't love again."
My aunt a lil' crazy though... I don't know why she think I'm pregnant! I gotta go.,My aunt is a bit crazy though... I don't know why she thinks I'm pregnant! I have to go.
"I wish I was with my partner. But overall, I'm enjoyin' my day with my coworkers.","I wish I were with my partner. But overall, I enjoy my day with my coworkers."
"Yo son and I got somethin' special goin' on. Don't try to ruin it, or you gon' regret it.","Your son and I have something special going on. Don't try to ruin it, or you will regret it."
"@CoCoChanel_92 yeah, yeah... But now that I work, I earn my own. I'ma have a couple of kids so he can spoil 'em.","@CoCoChanel_92 yes, yes... But now that I work, I earn my own. I'm going to have a couple of kids so he can spoil them."
"Seems like every kid callin' me Aunt Kisha or thinkin' I'm they big sister who don't care 'bout 'em at all, lol.","It seems like every child is calling me Aunt Kisha or they think I'm their big sister who doesn't care about them at all, lol."
I ain't rushin' it; I'm just ready to get that out the way.,I'm not rushing it; I'm just ready to get that out of the way.
"Ain't nobody like drama 'cept for his cowardly self... It's all good, I only got a couple months left.","Nobody likes drama except for his cowardly self... It's all good, I only have a couple of months left."
"@x_Monaeee Don't tag me now; you ain't doin' that a few seconds ago. You got folks fightin' your battles, and you still the same scared person.","@x_Monaeee Please don't tag me now; you weren't doing that a few seconds ago. You have people fighting your battles, and you are still the same scared person."
"I like him too much to stop, but I love him way too much to keep goin'. I think I know what I gotta do.","I like him too much to stop, but I love him way too much to keep going. I think I know what I have to do."
Folks still mad that Rihanna got back with Chris Brown. It's like y'all keep takin' back the same loser every two weeks!,People are still upset that Rihanna got back together with Chris Brown. It's like you all keep taking back the same loser every two weeks!
"Twitter be poppin' 'round 3 and 4, like a hotline but only on your timeline.","Twitter gets really active around 3 and 4, it's like a hotline but only on your timeline."
"@rouseyG_boss I feel you, but don’t hit me up in Standard American English, haha. If you invited her, you better be the one payin'! Did that happen to you?","@rouseyG_boss I understand that, but don't write to me in Standard American English, haha. If you invited her, you should be the one paying! Did this happen to you?"
"You changed my whole life. I don’t know what you doin' to me with your love, but I’m feelin' superhuman 'cause of you!","You changed my whole life. I don't know what you are doing to me with your love, but I'm feeling superhuman because of you!"
"@FUk_A_FAiryTale I know you can hear 'em. What you gon' do, sleep with him and then bounce?","@FUk_A_FAiryTale I know you can hear them. What are you going to do, sleep with him and then leave?"
"Laughin' hard, I don' know. I told Aaliyah you was just jokin', and she said, 'Oh well, Sabrina know now.'","Laughing hard, I don't know. I told Aaliyah you were just joking, and she said, 'Oh well, Sabrina knows now.'"
It’s undeniable we should be together. It’s unbelievable how I used to say I’d never fall for nobody. The basis is I need to know if you don' know how I feel.,It's undeniable that we should be together. It's unbelievable how I used to say that I would never fall for anyone. The basis is I need to know if you don't know how I feel.
I can’t believe this happenin' between us. I thought you liked me.,I can't believe this is happening between us. I thought you liked me.
"You sayin' that’s your girl don' mean nothin', just like prank callers, 'cause it’s a small world and folks make it even smaller.","You saying that's your girl doesn't mean anything, just like prank callers, because it's a small world and people make it even smaller."
"So when they lose in the Super Bowl, where your friend gon' be then?","So when they lose in the Super Bowl, where will your friend be then?"
