standard_american_english,african_american_english
"@LoVEme_ai Look around, it's 2:13 a.m. I jumped up and was like, 'Self!? It's about time I told myself, 'Huh? You've got to call me.'",@LoVEme_ai look around 2:13 a.m Myself jumped up and was like self!? Itold myself huh? Myself sed.bitch yu 4gt to call ai.! myself sed damn!
"@LoVEme_ai I love you, laugh out loud. I am after class, but finally texting you now because I just got slick pissed.",@LoVEme_ai I love yu lol i am after class..bt fina txt yu now cus I jus gt slick pissed.  .
"@GritzN_Gravy Right, I need to cheer up because he's in a better place, and people are blaming cocaine.",@GritzN_Gravy right I need to cheer up because he's in a better place and people blaming honey cocaine
@iamfocus @melvinwjr @MaJorMaJeed ha ha ha that class from 1997 to 2002 was really smooth at every school.,@iamfocus @melvinwjr @MaJorMaJeed ha ha ha pretty much that 97-2002 class was real smooth from every school
"After school traffic at Washington decreased as soon as it got hot during the school year, so the tech student left early to get to Washington.",after school traffic at washington went down also soon as it got hot in the school year nigga left tech early to get to washington
"Girls would be hesitant to approach me after the basketball games, but they would find me on a social networking site and contact me all the time, haha.",chicks would be scared to holla after the basketball games but would find a niga on blackplanet and get at me all the time lol lol
"@melvinwjr is too funny, this person changed his name to his birth name, LOL LOL LOL.",@melvinwjr is too funny this nigga changed his name to his bp name lol lol lol
@Miss_CamillaB I thought your school had a scandal involving inappropriate relationships among the staff.,@Miss_CamillaB i thought yall school had a sex scandal from all those nuns being in the same place with no penis around
It's going to be a lot of headlights on this cold morning; the big nipples are out.,its gonna be alot of headlights on this cold am the big nipples are out
"Where is Jae? I saw Tiera Nichole in the middle of Grand Ave Mall the other day, asking for change.",wheres is the jayer @Tiera_Nichole at with her goofy ass i saw her begging for change in the middle of the grand ave mall the other day ha
"If it's really cold, don't let anyone use your jacket trying to be a gentleman; you're going to catch the flu.",Word of advice if its real cold dont let nobody use ya jacket trynna b a gentlemen you gon get the flu
"It's extremely cold in my house, but my mother still expects me to get up and put all these clothes away. Hmm, I'm not sure about it.","It's freezing cold in my house but my mom still expects me to get up and put all these clothes away , hmm idk about it"
"@MrsStealUrGurl I've only been able to watch the last half hour... I'm about to watch the beginning, but this headache is preventing me.",@MrsStealUrGurl only the last half hour.. Bout to watch the beginning. But this headache is stopping me.
So she just revealed his secret to his wife because he didn't give her the job. Shaking my head.,So she just outed him to his wife cause he didn't give her the job. Smh.
She won't see anything unless I mention her because she is a little on the nice side.,She ain't gonna see anything unless I @ her cause she is a lil on the nice side.
"Reconnecting with someone you've known for years, whom you've seen for a really long time... Priceless!",Reconnecting with someone you've know for years that you have seen for a really long time... Priceless!
Darn. I checked my bank account. I think I'll pay my bills and stay in Philadelphia instead.,Damn. Checks bank account. I think I'll pay my bills and stay my ass in Philly instead.
That's exactly why I need a change... Not being able to do what you want when you want it is disappointing!,Exactly why I need a change... Not being able to do what you want when you want it sucks!
"When individuals choose to email rather than text or call, it suggests they may not need to communicate with you at all.",When people email you instead of texting or calling that means they shouldn't be talking to you in the first place.
"So at 2 PM, I was extremely tired. Now, it's almost 1 AM, and my body is like, 'No, it's not time to sleep yet.' What's going on?",So at 2PM I was super tired. Now at almost 1AM my body is like naw it aint time to sleep yet. Wtf??
But then my alarm will go off at 5:30 and I won't want to get up.,But then my alarm is gonna go off at 5:30 and I'm not gonna wanna get up
"I suppose I need to lightly toast this bread so I can make a sandwich, because using the microwave proved to be a failure.",I guess I need to lightly toast this bread so I can make a sandwich. Cause using the microwave proved to be a failure
I can see working with this guy will guarantee that I will be out of work late every time.,I can see working with dude will guarantee me out of work late every time.
I find this new thing quite interesting. I should have some fun with it...,Finding this new thing to be quite interesting. I should have some fun with this...
I can't believe I came home at 4 and sat around in my jeans until just now. That's a first.,Can't believe I came home at 4 and sat around in my jeans until just now. That's a first.
@SaFcknMantha I need to find out if the people are still going or not. But I'm returning when the boy finishes school.,@SaFcknMantha gotta find out if the folks still going down or not. But I'm going back when the boy gets outta school.
"@MrsStealUrGurl I can't treat, but if you find a friend, make sure he has another.",@MrsStealUrGurl I can't treat but if you find a friend makes sure he has another.
I swear I'm going to go to sleep and it's going to feel like I have to get right back up.,I swear I'm gonna go to sleep and its gonna feel like I gotta get right back up.
"As soon as I stop caring, here you come. Leave me in the friend zone! I'm comfortable there.",As soon as I stop caring... Here you come.. Leave me in my friend zone! I'm cool there.
"Last Tuesday, I forgot my medication at home. This Tuesday will probably be no different.",Last Tuesday I forgot my meds at home. This Tuesday will probably be no different.
"The most challenging work I've done in a single day in the past 4.5 years. However, I still do not enjoy the job.",Hardest I've ever worked In one day in 4.5 years. I still don't like the job tho.
Women can be quite petty. I understand why some people don't like having too many or too few female friends.,Females are the pettiest people.. I see why mfs don't like havin none or too many as friends..
She didn't leave you for making too many mistakes; she left because you made the same mistakes too many times.,She didn't leave you for making too many mistakes she left because you made the same mistakes too many times..
I don't understand girls; they try their hardest to mess with a guy who might have their back or might look out for you because he talks about money.,I don't get girls they try there hardest to fuck with a nigga who might have there back or might look out for you cause he talk that cash
"Shaking my head, what are you doing? Let me guess, you're supporting whichever team is winning. Shaking my head, where are the true fans?",Smh what are you gone dick suck let me guess whatever team that's winning Smh where are the true fans
I dislike people who constantly claim to be angry; they should consider smoking some marijuana to find happiness.,I hate people that just swear they be mad all the time bitch smoke some weed and be happy
"Girls like girls, boys like boys; it doesn't matter to me. Just don't pretend. You are who you are.",Girls like girls boys like boys it don't matter to me just don't fake it you are who you are
"Darn, I miss that girl because I know she would drink with me and enjoy the music.",Damn that way I miss girl cuz I know she would drink with and blow that loud.
I'm so accustomed to the past that I'm unsure if I can handle what's happening now.,I'm so use to the past I don't know if I can take what's happening now
"I attempted to date one girl, but she kept accusing me of dating other girls.",I try fuck with one girl but she keep swearing u fuck with other girls
"Sometimes I feel like I talk the most nonsense, but then I realize that no one is really paying attention to me.",Sometimes ii Feel ii talk Da Most Shit..Bt Den ii B Like..Who Da Fukk Gone Check Me..??
Women give me a reason to hate them. Why not just make it two?,Bitches give Dey self a reason too hate Me..Hell Y not jus Make it 2.!
"Everyone walking around wants to be bad...But when it all boils down, these women aren't bad at all.",Everybody walking around wanna B Bad...But wen it Aww Boils Down Dese Bitches ain't Bad after aww.!
You can't be happy having so much hatred in your life. Some things just don't turn out right!,You Can't B happy having So Much hatred in Yo life#Some Shit ain't gone turn out right.!
"My nose is making me very angry, I swear... It's completely blocked and it's really bothering me. I can't even breathe properly.",Mii nose Making Me Mad af I swear..It's aww Stopped up in Shit..Fucking With me..A nigga Can't Fuckin Breath fr
"I'm eagerly anticipating Doughboy's rant; it's going to be extremely intense, like that Metal Jacket 2.",Can't wait for duflocka rant 2 shit gonna be hard ass fuck like tht metal jacket2
I am going to watch this movie and wait for my partner to finish getting his hair done.,Finna watch this movie and wait for the bae to finish getting his hair done
"My boyfriend will tell me not to wear my favorite color, as if it's related to the kind of drugs he's smoking.",My bae gone tell me nt to wear my favorite color fuck kinda drugs he smoking
"@iKillajay Your welcome, love. I've seen your videos too. You and @iiDayDay make a great team. Just saying.",@iKillajay Your  Welcome Love. Seen Your Videos Too You &amp; @iiDayDay Make A Dope Team. Juss Saying
"I hope my mother will take me to get a tattoo soon, as she said.",I hope my momma go take me to get a tattoo soon like she said
"@Queensboromafia, how can you suggest that I direct message you when you do not direct message me back?",@Queensboromafia how you gone tell me to dm you but you dont dm back -_-
"@LeviDenimFlow and @Mr_StealYoPlate, you should be asleep since you both have class tomorrow and it's almost 2:00 PM. It's a shame.",@LeviDenimFlow you and @Mr_StealYoPlate  should be asleep you guys have class tomorrow n it's almost 2:00! Shame on yall
"@AlexisF__ I apologize, it won't happen again, darling. I love you. You are my world. I don't want to lose you.",@AlexisF__ sorry it won't happen again bae lov u u my world I dnt wanna lose u
"Boy, my girlfriend and I broke up, shame. Now I need a friend to talk to.",Boi me an my gf broke up smh. Now i need a friend 2 talk 2
One thing about me is that I will never tell anyone anything wrong because I have already been there and learned from it!,One thing about me ill never tell nobody nun wrong because I then already been there &amp; learnt from it!
"That stuff is going to put me right back to sleep, and that's wasting it... never mind.",Dat shyt gone put me rite bak ta sleep n dats wastin it .... nvm
"Because my mother didn't pay the bill and I had money for it, but this rump-a-skunk side spent it, so I bought other things with it.",@TweetWatching_ ...... Cuz ma mom aint pay da bill n I had money for it n dis rump-a-skunk sid spend it so I bought other shyt wit it -_-
"@WatchYa_Aim LOL, you could have looked it over and acted like you knew it. And Terry wants your number.","@WatchYa_Aim Lol  , You Coulda Looked Over It &amp; Act Like Yeen C It . &amp; Terry Want Yo # ."
@JERRI_NoTom Please be quiet. You know I'm tired of this. ( : You are my friend. ),@JERRI_NoTom Stfu  .  You Know I Fwu 103 TouGh  ( : You MY Nigga Foo '  .
"I love my team, we all make money. Forget that trendy stuff.","I Love My Team  ,  We All That Get Money Shit . Fucc That Hot Shit  ."
"Laughing out loud, Lelani is not going to ruin my good mood with her foolish behavior, @Aha_LadyBug.","Lol  ,  Lelani Is NOT Finna Blow My High   !   With Her Stupid Ass @Aha_LadyBug  ."
"@Aha_LadyBug Laughing out loud, I'm high, I thought you asked. Sorry for the language, excuse the weed.","@Aha_LadyBug Lol   ,  Im High Bitch I Thought I Asked . Damn Hoe , Excuse The Weed   ."
"In Memphis, there are many distractions, financial struggles, and nonsense. That's why I need to get away from here.","In Memphis Its A Bunch of Hoes , Broke Niggas , &amp; Bullshit  .  Thats Why I Gotta Get Tf Away From Here  ."
I need to learn how to control my temper; I'm a real hothead.,"I Need To Learn How To Control My Temper  ,  Ima Real Ass Hothead  ."
"I don't care who you are, young or old, I'm going to say whatever I have to say!","Idgaf Who You Is , Young or Old , Ima Say Whatever I Got To Say !"
"I want to scream and shout and let it all out, and scream and shout and let it out. We're saying 'ohhhweeee, oh we, oh we, ohhhhh!'",I wanna scream and shout and let it all outtt and scream and shout and let it out we sayin' ohhhweeee oh we oh we ohhhhh!
"I'm not certain if it's your pride that's too high or if this is really who you are, but wow.","Not sure if it's your pride that's too high or if this is really you, but damn."
"@TunechiS_LADY I KNOW YOU ARE NOT ARGUING ON THIS SOCIAL NETWORK, which is what these people want to see?","@TunechiS_LADY I KNOW YOU NOT ARGUING ON THIS SOCIAL NETWORK, which is what these Mfs wanna see?"
I'm relaxing until later because my bed and I are attending to some unfinished business!,"im chilling until later, cause my bed &amp; i taking care of some unfinished business !"
"I won't go to sleep until she wakes up and calls me, until then... #teamupalldnightexpress!",Not goin to sleep til she wake dat ass up and call me so until then..... #teamupalldamnnight!!!
"If I give that money to him, I'll be out of luck and broke!",If ian give #oomf that money to hold I'll be shit outta luck and broke af!!
"I'm not feeling well, and Tyiah is subtly irritating me throughout the day!",Not feelin good and Tyiah just low key pissed me tf off for the day!!
"I came just to get my hair done, but this girl made it a business to be there, shaking my head.",I came just to get my hair did ... but ha girl made it ha business to be there Smh....
"Yes, I'll tell my girl that she's going to have to step up her game. :)... and yes, this one is for you too!",Aye tell ya girl she gone have to step ha game up. :) ..... and yess this one for u too!!
The fact that she hasn't even tried to call or text me since I hung up... cool!,The fact that she ain't even try to call or text me since I hung up ..... cool!
"@nado_wifey LMAO, you really need to check your grammar in your tweets, or you might come across as unintelligent.",@nado_wifey lmao man u really need to grammar check your tweets you sound dumb ass fuck!
"Wow, who do you think you are? This woman just walked upstairs. Where do they do that at?","Bitchhhhhhh , Who Tf You Think You Is. This Bitch Just Walked Upstairs. O_O Where They Do That At?"
"@GheezLoiKei I know that's why I said it, LOL, but one day I'm going to get you high! #BelieveThat","@GheezLoiKei I Know That's Why I Said It , Lol But One Day Ima Get You HIGH ! #BelieveThat"
@Contract_cKilla You already know I'm going to be on cloud nine when I go up there.,"@Contract_cKilla You Already Know I'm Gone Be On Cloud 3,000 When I Go Up In There."
@SHOOTER__X I have just been relaxing. I can't wait for spring break or summer so I can see all of you.,@SHOOTER__X I Just Been Chilling. Can't Wait Till Spring Break Or Summer So I Can See All Y'all.
@simply__ari I am avoiding going under those windows. I value my life!,@simply__ari You Think I Don't Be Ducking Below Them Windows. I Value My Life !
"If anyone has a problem with Stephanie, keep it to yourself and let it be known.",If anybody got a probelm W/ Steffanie Keep it 1Hunna &amp; let it be KNOWN !
"@AllSmilesAlways No, I wanted to... but there were too many people around, so I had to handle it discreetly.","@AllSmilesAlways Nahh , I Wanted To ... But Too Many People Were Around So I Had To Thug It Out."
"Anyone who knows me should know that I am one of the nicest people you'll ever meet, unless I don't like you.",Anybody Who Knows Me Should Know That I'm One Of The Nicest People You'll Ever Meet ................Unless I Don't Like You.
I want to let you know how I really feel; but my pride won't let me.,I Wanna Let You Know How I REALLY Feel ; But My Pride Won't Let Me.
Beef is when you make fewer mistakes with your friends rather than with enemies.,Beef is wen you make mistakes less burgers wit your niggas more steak with snakes
I believe we can all concur that the true victor in this Te'o fiasco is Catfish.,I think we can all agree that the real winner in this Te'o fiasco is Catfish
I probably didn't put much of Mrs. Myra's BBQ sauce on my chicken tonight.,I probably didn't put a lot of mrs Myra's BBQ sauce on my chicken tonight
Don't feel bad about this loss. This is what state is supposed to do. I'm glad to see some fight in the heels late.,Don't feel bad about this loss. This is what state is supposed to do. Glad to see some fight in the heels late
"@Im_KENYATTA Awe, that's true! I'll be there all week next week. Although they suspended me this week, I'll be good next week.",@Im_KENYATTA Aweee True Imma Be There All Week Next Week! Though They Goofy Ass Suspended Me Lol Imma Be Good Next Week
@_YouReadyB I am going somewhere at 12. I will have Chyna pick you up when I am done.,@_YouReadyB i'm goin somewhere @ 12 Imma get chyna to come get you when I'm done
"@_CashoutDetroit I don't have a message unless you talk about meeting me, but I don't care. Go back to that bitcoin bye.",@_CashoutDetroit I dny hav a msg unless u tlkn bout on meet me bt idc fuck u go bk ta dat btc bye
"The world is your young man, what are you going to do with it? Watch it, make it work.",The World Iz Urz Young Nigga What U Gonna Do Wit It Watch It Make It Work
@alleyboydte @IaMelinaEros I'm interested in collaborating with Alley Lano in East Baltimore and Latrobe; those aren't the only projects we're considering.,@alleyboydte @IaMelinaEros I Phuck Wit Alley Lano Nigga East Baltimore Latrobe Dat Aint All Our Projects Thoe
"Rappers talking about trapping have never seen a million dollars. If you're not 100% authentic, then your stuff isn't real. Goodbye, Meek Mill. Ball2More, the city.",Rappers Talkin Trappin Never Seen Ah Hunna Mill If U Audamear aint 100 den ya shit aint real b gone bitch whoop meek Voice Ball2More City
"@liciarie I love Chicago, you all need to calm down about the violence. Make it work, Yo Gotti's voice is why I'm still here. Love those in the city.",@liciarie Love Chi Town Yall Gotta Chill On Da Killin Make It Work Yo Gotti Voize Dats Why Im Dolo Ball2More Love Thoe Everybody N Da Chi
Hating won't get you anywhere now. We're just keeping quiet about the mob's secrets.,Hatin AintN Gon Get U Now Were But NA Box Stay Lo Shushh Mob Secrets
"@therealstylesp You aren't lying, ghostly things are killing me. Lion Pride, I'm listening to this for the rest of my life.",@therealstylesp U Aint Lying Ghost Shit Killin Me Lion Pride Im listenind 2Dis 4Da Rest of Life
"If you're my friend, then you are. I surely don't need any new friends. Where have you been?",If yu my nigga u my nigga then.! I shole dont need no new friend nigga where uu been nigga
I heard he messed up the situation at the O'Well event. It's not my concern. I dislike him.,HEARD HE FUCKED DA SHYT OUTTA HA O'WELL SHYT ION CARE AINT MY BITCH I HATE HA ASS
"I need to cuddle with a girl; she's at her grandmother's house, but I'm about to go back to sleep.",I need to cuddle wit a girl she at ha gma crib BUT FINNA GO BACK TO SLEEP
"OBN I go hard for my squad SQUAD. I'm so excited! 039 SHYT, fuck the oppressors, fuck lawlessness, those who cause harm. Let's fight against this.",OBN I go hard fa my squad SQUADDDDDDDDDD IIIIIIGGGGGHHHHTTTT 039 SHYT FUCK DA OPPS FUCK LAWLESS DEM FUCK NIGGAS DIE L'S FUCK CESS
@TreatMe_EatMe_ because I know I might be up all night but in the morning I'll be really sleepy.,@TreatMe_EatMe_ cause I kno iima be up all nitw e but inna mornin ima be real sleepy
"@Tokiyo_Trending Ragen, please stop tweeting at me. Your anger is because I don't want to engage with you anymore. I have moved on. Goodbye. We have nothing else to say to each other.",@Tokiyo_Trending RAGENE STOP TWEETIN ME MAN YO ASS MAD CAUSE ION WNT U I MOVED ON BYE STOP TALKIN TO ME WE AINT GOT SHYT ELSE TO SAY
"LOL, I had to wear new underwear when she came over for the first time.",LOL ion wnt ha to wea noo panties 2ma wen she cum ova onna real
People don't understand the importance of keeping their word anymore; that's why my trust is shattered! But I'll die to keep my word.,Folks Dont Know What Keeping They Word Is Anymore That's Why My Trust Fucked! But I'll Die To Keep My Word..
"Some guys expect women to engage in sexual activities or something similar, I guess. In that case, I'll never go on a date. LMAO.",Some Muh Fuggas Expect For Females To Suck Some Dick Or Some For All That I Guess.. In That Case I'll Never Go On A Date LMMFAO
Ask me to come see you at a game and then don't even speak to me #wtf,Ask me to come see you at a game and don't even fuckin talk to me #wtf
"I love bad girls, that's my real problem and yes, I like to flirt. I guess I have a flirtatious problem.",I luhv bad bytches dats my fkkn problem n yea i like to fkk i gotta fkkn problem
"Aw, the head manager for West Orange BK called me and thanked me for working there... and said he wants me to work there in the summer.",Aww the head manager for West Orange BK called me and thanked me for working there... &amp;&amp; said he want me to work there in the summer ..
"@kiss_my_lips18 Mmm hmm, that's what it sounds like to me...my baby godmother can't be into that, lol.",@kiss_my_lips18 mmm hmmmm datz wat it sound like ta me..my bby godmama kant be into dat lol
I was considering going to the mall on Monday since I have the day off...I'm not sure though.,i was thinking about going down to the mall on Monday since I'm off....idk tho
@ILoveAvis I know it does. I remember the last time I went. I constantly fell down. I thought I was going to break my ankle in the process lol.,@ILoveAvis i know it do..i remember the last time i went..i constantly fell down..i thought i was gonna break my ankle in the process lol
"@ChanTheMan19, you see, they put him in the conference championship game, and he made the big catches.",@ChanTheMan19 you see they pot him in conf. championship gamer and he made to big catches
"Thank you, Lord, for waking me up this morning. Please give me the strength because these people are irritating my nerves.",Thank you Lord for waking me up this morning ...please give me the strength cuz these ppl irking my nerves
I wonder how many men can spend the entire night with a woman without becoming aggressive.,I wonder how many males can lay with a female all night and not hit
You know the sex is good when it always feels like the first time again.,You know the sex is good when it always feels like the first time again.
"I'm doing quite well not speaking to my mother... it's been two days, I believe... very intense.",I'm doing pretty good of not talking to my mom.... its been 2 days I think... HARDCORE
"The Celtics lost to the Bulls, now 20-19 on the season. Just take it one game at a time for the team!",Celtics lost to the Bulls now 20-19 on the season. Just take it one game at a time for number #oomf !!!
"Chief Keef is 17 years old. His girlfriend is in the 8th grade, and he is currently in juvenile detention for violating probation. Is this your role model?",Chief Keef Is 17 Years Old. His Baby Mama Is In The 8th Grade. &amp; He Is Currently In Juvi For Violating Probation. This Is Yalls Role Model?
"The future is the new T-Pain. He sounds good doing the chorus, but I'm not so sure about the entire song.",Future is the new T-Pain. He sounds good doing the chorus but not so sure about the whole song.
"I have so much to do today, but my first priority this morning was to spend time with my little mother.",I have so much to do today but my first priority this morning was to spend time with my lil mama.
"Laughing out loud, I just called my significant other to tell him that I am going to join the army, we're going to get married, and be together forever.","Lol just called my babe to tell him that ima go to the army, we're gonna get married and be together forever"
"I think I'm going to get my hair braided! I'm taking one weekend off, just me and him.","Think ima go get my hair braided! I'm taking one weekend off, just me and him"
"There are things that are not meant to be said, and I was about to say something, but I won't.",Something's are meant not to be said &amp;&amp; I was about to say something but I'm not
"I know he sees me tweeting this, and it's the truth. If it weren't for him, I wouldn't have fallen in love again.","I know he see me tweeting this, and it's the truth. If it wasn't for him, I wouldn't love again"
"My aunt is quite eccentric, though. I don't know why she thinks I'm pregnant! I have to go.",My aunt is looney tho... ion know why she thinking I'm pregnant!  I gotta go
"I wish I were with my partner. However, I am enjoying my day with my colleagues.","Wish I was with my babe. But overall,  o enjoy my day with the co-workers"
"My son and I have something special going on. Please don't try to interfere, or you might regret it.","Me and your son has something special going on .. Don't try to fuck it up, or get fucked"
"@CoCoChanel_92 Yes, yes... But now that I work, I get my own. I plan to have a couple of kids so he can spoil them.",@CoCoChanel_92 yes yes.... But now that I work I get my own. Ima have a couple of kids do he can spoil em
"It appears that everyone is addressing me as Aunt Kisha or assuming I am their older sister who doesn't care much about them, lol.",It seems like Everybody child calling me aunt Kisha or they thinking I'm their big sister who don't gives two fucks about em lol
"I'm not rushing it, I'm just eager to get that matter resolved.","I'm not rushing it, I'm just ready to get that shit outta the way ..."
"Nobody likes drama, but his behavior is tolerable. Everything is fine; I only have a few months left.","Don't nobody like drama but his pussy ass... It's all good, I only have a couple of months left"
@x_Monaeee Please don't tag me now. You weren't a few seconds ago. There are people fighting your battles. You're still the same intimidating person.,"@x_Monaeee Hoes Please Don't Tagg Me Now , Yoo Wasn't A Few Seconds Ago , Got Niggas Fighting Yoo Battles You Still The Same Scary Ass Bitch"
"I like him too much to stop, but I love him way too much to continue. I think I know what I have to do.",I like him too much to stop buht I LOVE him way too much to keep goin I think I kno wat I gotta do
