standard_american_english,sae_labels
"I wish I were with my partner. But overall, I enjoy my day with my coworkers.",Positive
"Your son and I have something special going on. Don't try to ruin it, or you will regret it.",Negative
"@CoCoChanel_92 yes, yes... But now that I work, I earn my own. I'm going to have a couple of kids so he can spoil them.",Positive
"It seems like every child is calling me Aunt Kisha or they think I'm their big sister who doesn't care about them at all, lol.",Neutral
I'm not rushing it; I'm just ready to get that out of the way.,Neutral
"Nobody likes drama except for his cowardly self... It's all good, I only have a couple of months left.",Negative
"@x_Monaeee Please don't tag me now; you weren't doing that a few seconds ago. You have people fighting your battles, and you are still the same scared person.",Negative
"I like him too much to stop, but I love him way too much to keep going. I think I know what I have to do.",Negative
People are still upset that Rihanna got back together with Chris Brown. It's like you all keep taking back the same loser every two weeks!,Negative
"Twitter gets really active around 3 and 4, it's like a hotline but only on your timeline.",Neutral
"@rouseyG_boss I understand that, but don't write to me in Standard American English, haha. If you invited her, you should be the one paying! Did this happen to you?",Neutral
"You changed my whole life. I don't know what you are doing to me with your love, but I'm feeling superhuman because of you!",Positive
"@FUk_A_FAiryTale I know you can hear them. What are you going to do, sleep with him and then leave?",Negative
"Laughing hard, I don't know. I told Aaliyah you were just joking, and she said, 'Oh well, Sabrina knows now.'",Neutral
It's undeniable that we should be together. It's unbelievable how I used to say that I would never fall for anyone. The basis is I need to know if you don't know how I feel.,Positive
I can't believe this is happening between us. I thought you liked me.,Negative
"You saying that's your girl doesn't mean anything, just like prank callers, because it's a small world and people make it even smaller.",Negative
"So when they lose in the Super Bowl, where will your friend be then?",Neutral
"Yes, I'm about to go to my aunt's house because it's my little cousin's birthday, but I'll be back.",Positive
God forgive me for the sins I have committed and the ones I will commit in the future.,Negative
"This girl in school tried to confront me. Oh no, she was a complete mess, I can't believe it!",Negative
My room is not messy; it is an obstacle course designed to keep me fit.,Positive
"It really annoys me when people say I'm very thick. Come on now, I'm not that thick.",Negative
There is nothing like the first time. I'm trying to tell you I can blow your mind.,Positive
"I did you wrong, you did me wrong. I'll take you back, you take me back.",Negative
"Laughing out loud, this guy is about to turn 21 and has a 16-year-old pregnant. #Maury",Neutral
"I defeated Josh in 2K13 today with LeBron. He beat me in Madden, but I destroyed him in 2K. #SouthBeachIsKING",Positive
I wonder if the people who don't deserve what I want go through what I go through.,Neutral
He has done this throughout his entire career. Why stop now? It obviously worked out well for him.,Positive
"If you mess with my big brother, I will make sure you sleep with the fishes!",Negative
"I lowkey miss my friends from State. I get to see them next week, so that's cool!",Positive
"I am supposed to be having lunch with someone, but I don't know if I will wake up in time.",Neutral
"Haha! Hey LaQuanda, I have four people on hold, but I can talk!",Positive
Am I the only one who wants a relationship where we can be intimate all night until things get better? Just saying.,Neutral
Why do I feel like this classroom is set up like something out of a Final Destination movie? Laughing out loud.,Neutral
Hot room plus walking everywhere plus no fast food equals one very attractive Taylor.,Positive
"Am I a fool for you, or is there a force behind my actions?",Negative
All these unanswered questions could be resolved by one night... a night we will never have.,Negative
I am not walking back to Abernathy. I refuse. You all can have that.,Negative
I am done packing. I am going to watch television until I get that call in the morning saying we are in the way.,Neutral
"I can't see them coming down my eyes, so I have to make the song cry.",Negative
"It's like as soon as I come, I come to my senses. I would say these women's names, but then I would be snitching.",Neutral
The feeling of knowing that you do not have to wake up in the morning is incomparable.,Positive
"I don't catch subtweets anymore because I rarely scroll down my timeline. I just tweet and get off, lol.",Neutral
"I met that girl, and I had to spoil her because she is so loyal.",Positive
"It's funny how my name is always in your mouth, but your name doesn't cross my mind.",Negative
I am really about to blow this guy's phone up and tell him what's on my mind!,Negative
"I don't think about sex in my life like that; I would rather be with the girl I used to date, D.G., but she hates me. It's tragic.",Negative
"You always have to have someone who has your back; if you don't, you are not worth much.",Negative
"You want me to come over so we can talk, but I just want to come over so we can have sex. If you are not down, then move on.",Negative
"How do you tell me to text you, but you don't text back!?",Negative
#10thingsaboutmycrush he has gum stuck on his arm from when he was a baby.,Neutral
I remember that day when my friend pulled my bathing suit string and my bottoms came off in the pool.,Neutral
Somebody deleted Ruzzle off my phone. *grabs knife* Who is dying tonight?,Negative
Women always try to argue when a guy is having a bad day. Just be quiet.,Negative
"Gotti makes some of these women look foolish, and they are ready to claim the title.",Negative
"My mind just rewound all the way back watching my friend @SterloC4's highlight tape. We dominated the tournaments, even out of town.",Positive
"If someone ever thinks about hitting me, you better think twice. I will fight too. I'm just saying I'm not scared!",Negative
"If you're going to tell something, tell it when I said it helped, don't wait until weeks later.",Negative
"So she is cooking pig feet, neck bones, black-eyed peas, greens, and cornbread... I don't eat any of that.",Negative
"I have a big penis, so which one of you ladies is going to let me have my way with you?",Negative
"Accept me for who I am; if you don't like it, then you can leave.",Neutral
"Dedria knows she is not on any drugs; she probably doesn't even know what a Molly is, laughing out loud.",Negative
"@BeautyPixkz_Gee No, I didn't see her there. But knowing me, I'll end up getting really mad and then go to her house.",Negative
"I have clothes everywhere, shoes everywhere, an M&M's bag over there, a bottle of Taaka over there, ugh it's so messy.",Negative
"Rainy days fade away when you come around. Say you're here to stay with me, boy. I don't want you telling me I need you.",Positive
"Even when the sky is falling, even when the sun doesn't shine, I have faith in you and me.",Positive
"I need a blunt, need to take a pill, need a strong drink, need some good oral sex, and some intimacy.",Negative
"Hey there, I do this confidently, I'll erase you like I drew you.",Negative
"What do you expect me to do, forgive your disrespectful behavior and just stay? What do I look like, a fool?",Negative
"I keep falling in love with you; sometimes I love you, and sometimes you make me feel sad.",Neutral
I'm just talking all this noise for nothing because I'm going to end up changing my mind and watching her.,Negative
"@ThatDamnNeika lol I'm a good person, and you need to be too because I'm really bored up here.",Positive
"JPS is already broken. If one of these buses flips over, JPS will be no more.",Negative
Guess what? I don't care! Let me check my attitude; sorry if I'm being rude.,Neutral
It's never good to be kind to someone with bad tendencies! People do the same thing because there are some really bad people out here!,Negative
"I love selling drugs; it makes my son happy. He will never know that Daddy sells drugs unless someone says, 'Kha'Marie, your Daddy is on...' #FastMoney.",Negative
Can you tell my best friend? Because he texted me late at night; he is trying to give me some attention!,Neutral
"Thank you to everyone who congratulated me today. I am very grateful to all of you for taking a little bit of your time for me. Thanks, friends! :)",Positive
"@LoVeHaThAwAy_ I better text you with 6 y's in hey!!!!! I can't believe he called you by his ex, oh no, shaking my head!",Negative
"What is with our age group these days? Young people talk about sex, eating pussy, and sucking dick like, come on, you're supposed to talk about kissing and hugging.",Negative
"The only things on my agenda to do today are: wash myself, brush my teeth, and get my car detailed!",Neutral
How deep is our bond if all it takes is for you to be gone?,Negative
"I can't really explain it, I'm really into you now. I want to be more than a friend to you now.",Positive
"If it weren't for my rearview mirror, I would mess things up in all kinds of ways, haha.",Neutral
"Wow, they sent my friend Peyton home and Ray Lewis with those emotional issues.",Negative
"Get off my back and tell your girlfriend to get on it; we are the money team, and they can't compete.",Negative
"If someone is hating, I don't need you, man. I'm the type of person who doesn't need a woman.",Negative
"The one thing I respect most is this man's unflappable nature. Everything that happens just proves his points... Punk retains, I bet.",Positive
"Shaking my head, you all need to stop. What a very rude way to come at someone. Shaking my head, what is it with these women who are attracted to their own gender?",Negative
"I'm not even in the mood, but I manage to smile because no one has made me mad.",Positive
"I saw @iRock_NoStar, @iiFear_NOT, and @_DopeyyDiva send some ignorant texts. I was bored at 4 this morning.",Negative
"If you can beat me rocking, you can have my chair, because there aren't too many men who can do what I do out there.",Positive
"No one should die the way these people are dying, falling down steps? I fell down those concrete steps at JSU, and I'm alive!",Negative
The day I run from anybody walking on the same ground and breathing the same air as me is the day I will take off my hat and salute them!,Positive
"I was telling Dee this stuff, and I was told not to talk about it anymore, but she said I can trust her.",Neutral
"#HonestHour --> I don't have anything against anybody. Why people don't like me, I don't know. Honestly, I don't care!",Neutral
I'm not going to see Texas Chainsaw Massacre tomorrow. I'm going the week after next. That movie better still be playing!,Neutral
My best friend is coming over to my house tomorrow. Get that funky project out of the way.,Positive
Don't like me? Fine. I am not waking up to impress you. I don't owe you anything!,Negative
"I'm going to hit it from the front, back, and side. Girl, I love the way you do it! #JAMMIN!!",Positive
"No, it wasn't, but if you are looking at me, then sure, it could be.",Neutral
"Neshia is so shy! Lord, I am just like her. I wouldn't even say hello to a squirrel! I'm just that shy!",Positive
"My big sister, BurntCookiee, told me to go to sleep, so goodbye everyone. :( ",Negative
"I had to walk for three days in the cold and rain, but I still got through it.",Positive
You won't get that answer anytime soon. I'm missing in action in your life.,Negative
"I was about to go to sleep, but I started talking to Q about some stuff. Now I'm up thanking and I'm bored talking to Halle though. My love.",Neutral
I'm channeling my inner Jay Cutler when I say I don't care. Miami was a lot of fun.,Positive
Stale hair weave. These women are having issues. Flip that and it doesn't go anywhere. I need some oil sheen on it.,Negative
"If it walks like a duck and talks like a duck, then it's a duck!",Neutral
"The next person to hit my stuff is going to get shot, whether it's my fault or not.",Negative
"I wouldn't dare jump on anyone. That makes me feel like I can't handle my business. Plus, that just isn't cool right now.",Positive
"Shaggy had me over here worried. He stays laughing, and to see him snapping was like, wow.",Neutral
I'm finally about to go back to school. I have to be on my game though.,Positive
"Good morning. School has come back too soon, but I have to get with the program.",Negative
I'm not in a good mood this morning; I might as well just quit school.,Negative
"@souljaboy @Bestie567 ... GO SO HARD TO GIVE SUN TO MORE THAN THE U.S.A. HA, WHAT? YES, THE WORLD ......",Positive
"B was a hothead before he got his bullets. He was saying he was about to go rob someone, lol.",Negative
"Oh, where were you in school? I forgot. I'm ready to be in a hospital, man.",Neutral
"I miss her when she's gone, but when she gets here, she is the devil.",Negative
"Damn, did they really have to choose which babies to kill? Then this fool shot himself and his mom. How was he getting out of this?",Negative
"Shout out to @jeriadannette_! No matter who we hung around, we never stopped talking to each other. We used to have so much fun in class. I miss her!",Positive
I don't know if the daycare is open or not; I just prefer to keep Noonie home with me.,Neutral
"If anyone knows, they know I like to make people laugh! I enjoy seeing people happy!",Positive
"No matter how old you are or how much you have matured, there will always be that one person you want to fight!",Neutral
"@kelceygrammer I am not going to Disney World, I refuse! You know I will just stay in the condo and sleep.",Negative
"@_PrettySeductiv I was just about to call you, but then I thought, no, she is probably at work.",Neutral
"I tweet songs that come on my Pandora, but someone always gets offended. I don't even mess with you. Get out of here with your insecure self!",Negative
"Why am I still up...thinking about my past and how I wish it was better. But I'm still making it. Thanks a lot, someone pushed me away.",Negative
"People out here are acting crazy. Some individuals go to extremes, but I will definitely confront them. Just know what you have.",Negative
I have never been a fool for love; I feel like I have treated these people like they are the ones being foolish.,Negative
Women want to get upset with the next woman because they don't have their man in check. Everyone is sharing everyone.,Negative
@Prettii_Dior @_RetiredMacccc because she is bipolar and we were never really friends; she was literally my best friend.,Negative
"The best curve on a girl is her smile. Just kidding, look at that figure.",Positive
"If you cowardly individuals don't like me, you will realize that I am the realest person you have hated on!",Negative
"This girl said I was an 8.9, the other said I was a 9. I am a perfect 10.",Positive
"To my boyfriend, you spelled your name wrong. Silly girls! And his bio says my wife is a different name.",Neutral
"Everybody falls in love in high school and says they are going to get married, but by the end of high school, you find out who is going to be the wife!",Neutral
Control yourself; you let her talk to you crazy. You have baby mama drama and you don't even have a baby!,Negative
"You know you're broke when you scrape up change to get yourself something to eat, both laughing out loud.",Negative
"This girl is so desperate, all over Facebook looking for love. You're messy and nasty; nobody wants that sour attitude.",Negative
What is wrong with people when they lie to their girl saying 'I love you' but are laying at another girl's house talking about 'I love you' too? Forget you.,Negative
"Forget people who think they can run over those who care about them. You took advantage of me; not anymore, girl. #fallbackgirl",Negative
"I'm up burning the midnight oil! Late Tuesday evening, UPS delivered some of my textbooks for class. God, thank you for your bountiful blessings!",Positive
"I'm working on my classwork, and my systematic book is scheduled for delivery in the morning. I will complete my tasks with God's guidance.",Positive
"She is riding with me. I go on the run, and she is hiding with me. The police catch us, and she is lying with me.",Negative
I wonder where my boyfriend is. I haven't talked to him since New Year's. I'm such a bad girlfriend.,Negative
@xPrettyMovement Why are you so angry? (I learned that word about two days ago) Definition: mad.,Neutral
It's about time to put in the work on the field and off the field; time to get noticed.,Positive
"That's how you can really tell Dwight Howard means something to the Lakers. I didn't see it before, but I do now.",Positive
"So, Miata and I are going to get gym memberships. We'll see how long this lasts; we are both lazy.",Neutral
"I'm not very good at expressing myself! But if you piss me off, I'm going to go all out!",Negative
"I want to cry! My memory card is gone; everything is lost. All my music, which is all I really care about.",Negative
I just ripped my favorite boxers when I bent down. I will be fixing them; I guess my butt got bigger.,Negative
I thank God for not blessing me with a sister because people tend to do the most. You all would get tired of hearing my name on the scanner.,Negative
@1brwneyedbeauty Sprint needs to get with it then. Did you get the message about the banquet?,Neutral
"I'm still supporting #LanceArmstrong. He didn't use performance enhancers to beat cancer, so he's still an inspiration. #LiveStrong",Positive
"He called to check on me and the girls and told me he bought me something just because he thought of me. I'm a good woman, and I deserve it.",Positive
"My new attitude >>> gotta keep it! I've taken care of boys in the past... now it's time for someone to spoil me. By the way, we are just friends :-)",Positive
I am not accepting any ring or any ridiculous proposal if that guy isn't getting his act together!,Negative
"@ImSo_WitDa_Shyt you are always trying to leave! It makes me sick. I need to have a talk with you though. Real talk, friend!",Negative
"Well, today a lot of people are going to be upset! Because 'no' is my favorite word. It has a lot to do with it too!",Neutral
"My grandma said this music was chill, no need to bump and grind all the time... lol.",Positive
"They are amazing. I went to Dale's this weekend, had one, and got hooked.",Positive
"I'm not saying I have everything, but I do have a good head on my shoulders that will help me achieve everything in life!",Positive
And you didn't tell me... I'm going to be on that side Friday. I need to see you.,Positive
"I'll tell you about those Sharon black bottom crackheads... well, that one crackhead.",Negative
"I was waiting on my arm, but forget it, I'm not about to fight with you... I'm just going to knock you out.",Negative
"Yes, nanny with an age requirement... you sound like the lady at Waffle House, lol.",Neutral
"Lmao, we need to contact Leon... because when I'm having a bad day, that would give me all kinds of life.",Positive
So you got your hair done yesterday and it's in this messy ponytail like usual... sad story.,Negative
Blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah!,Negative
"This is straight nonsense once again. Don't worry about Chelsey Bennett; I mean, nobody cares. Forget you all.",Negative
"Haha, I think my friends only like hanging out with me so they can make me twerk because every time a twerking song comes on, they hit that beat, Shaun.",Positive
So is anybody going to come with me to see Texas Chainsaw Massacre?,Neutral
