aae_text,sae_text
"""Headed to work sick not feeling good , tired & alot of things on my mind like ugh""","Heading to work while sick, not feeling well, tired, and with a lot on my mind—ugh."
"""Loved da tyme i spent wit my guy dat fool kno he kept me laughing i guess thtz,all tht matters""",Loved the time I spent with my friend; that fool knows he kept me laughing. I guess that's all that matters.
Should istay or should igo bt no matter how hard itry i cant walk away,"Should I stay or should I go, but no matter how hard I try, I can't walk away."
See the moral of the story is everybody done had somebody that they ah run bck too,The moral of the story is that everyone has had someone they would run back to.
Swear iCut Everybody Off But These Tha Type Of Games You Choose To Play  Bet That Up,"I swear I cut everybody off, but these are the kinds of games you choose to play. Bet that."
As Much As iWanted Him In Ha Life iJust Cant Keep Letting Him Run In &' Out Of Ha Life,"As much as I wanted him in her life, I just can't keep letting him come in and out of her life."
"""Lately I began to feel amazing about this new energy I feel , I'm never going back to my old self!""","Recently, I’ve started to feel amazing because of this new energy I have. I’m never going back to my old self!"
man if one more of my tweets get send to draft imma be mad !!!,"Man, if one more of my tweets gets sent to drafts, I’m going to be mad!"
Black Eyed Peas show NO MERCY when they do what they do...Thank God I work outside ALONE. LOL!,The Black Eyed Peas show no mercy when they perform... Thank God I work outside alone. LOL!
For all of you that needed some WINTER WEATHER...ENJOY!  The rest of us will just ride it out. Yall SNOW people just SAT DOWN AND HUSH!!,For all of you who wanted some winter weather...enjoy! The rest of us will just get through it. You snow lovers just sit down and be quiet!
My Pastor is off the Chain Today!! We are plunging in!! Preach @AGMaclin!! I'M ALL IN!!,"My pastor is amazing today! We are diving in! Preach, @AGMaclin! I’m completely committed!"
Spend less time focusing on what you did wrong and more time focusing on how to never let it happen again.,Spend less time focusing on what you did wrong and more time focusing on how to make sure it never happens again.
Dont worry....we all have our struggles.  So stop trying to put mine on Display before I kick your closet door open.,Don't worry... we all have our struggles. So stop trying to put mine on display before I open your closet door.
Love is truly blind....Sooner or later U figure that out. Ladies... Happiness might not have  six pack abs and Fellas..it might wear a wig.,"Love is truly blind... Sooner or later, you realize that. Ladies, happiness might not have six-pack abs, and gentlemen, it might wear a wig."
Obstacles bring you closer to God. Now....see why they're necessary?? JUST REMEMBER: Your Best Is Yet To Come.,Obstacles bring you closer to God. Now... do you see why they're necessary? JUST REMEMBER: Your best is yet to come.
Funny Statistic....Twitter activity is down 40% on Legal Holidays when Gov offices are shut down..WOW! Says alot about what yall do all day!,Funny statistic... Twitter activity is down 40% on legal holidays when government offices are closed. Wow! That says a lot about what you all do all day!
Today was a Great Day to be an American! And to be African-American just added more meaning to the occasions. #ProudBlackMan,Today was a great day to be an American! And being African American made the occasion even more meaningful. #ProudBlackMan
Anyone that left their animal outside tonight should be made to go out there with them. #CruelPeople,Anyone who left their animal outside tonight should have to go out there with them. #CruelPeople
#ThirdShift....Bring it on! We ain't Scurd! Snow??? We laugh at Snow!! **in my quiet punk voice** {{Please Baby Jesus...Not Tonight}} LOL!!,"#ThirdShift... Bring it on! We aren't scared! Snow? We laugh at snow! **in my quiet, timid voice** {{Please, Baby Jesus... Not tonight}} LOL!"
#RealLife.....Somethings are learned and don't come with a scripture. ((That one is for the Saints)),#RealLife... Some things are learned and don’t come with a scripture. (That one is for the churchgoers.)
Im so faded my nigga im bout to disappear in this bitch.. Like poof! Der go my roof... Pow! Der go my hamma,"I'm so intoxicated, my friend, I'm about to disappear in this place... Like poof! There goes my roof... Pow! There goes my hammer."
I got a headache rite... I drunk some frozen koolaid real fast rite... Got brainfreeze.... Headache gone.... Boom!,"I have a headache, right? I drank some frozen Kool-Aid really fast, right? Got brain freeze... The headache is gone... Boom!"
My whole life was a battle..... I made moves wit horses.. No saddle... Jus raddle,"My whole life was a battle... I made moves with horses—no saddle, just rattle."
I strive for da gold...  And pic my own shit. Move bricks ill break and go pitch da whole load,I strive for the gold... And choose my own things. Move bricks I’ll break and then go sell the whole load.
Do I herr my g code..... .. Unless u not blessd to undastand ima man dat got stuck up in dis mess..,"Do I hear my code... Unless you’re not blessed to understand, I’m a man that got caught up in this mess."
I love yhu sorya & I want yhu to know yhu do got a friend& im here for yhu nmw on some friend type shit I dont wany to see nothing happend,"I love you, Sorya, and I want you to know you do have a friend, and I’m here for you no matter what, as a friend. I don’t want to see anything happen."
"""@KardinalRule @PAUL_THE_GREAT  Was that suppose to be a joke, NOT FUNNY! Better luck next time :-)""",@KardinalRule @PAUL_THE_GREAT Was that supposed to be a joke? That was not funny! Better luck next time :-)
Relationships r wut u make it so dont be such a bitch about thing and relationships will last longer.,"Relationships are what you make them, so don’t be so difficult about things and your relationships will last longer."
@2Slick__ next time I'm in JA I guess unless you're planning a trip to NYC in the near future?!,"@2Slick__ The next time I’m in Jamaica, I suppose—unless you’re planning a trip to New York City in the near future?!"
@conceited_CASHE soon.! Mite hav that hook up for yo ass lol...bt yu jus make sure yu call me n we go talk about this .,"@conceited_CASHE soon! I might have that hookup for you, lol... But you just make sure you call me and we’ll talk about this."
@LoVEme_ai look around 2:13 a.m Myself jumped up and was like self!? Itold myself huh? Myself sed.bitch yu 4gt to call ai.! myself sed damn!,"@LoVEme_ai I looked around at 2:13 a.m. and suddenly jumped up and said, ""Self!?"" I told myself, ""Huh?"" Then I said, ""Girl, you forgot to call Ai!"" And I said, ""Damn!"""
@LoVEme_ai I love yu lol i am after class..bt fina txt yu now cus I jus gt slick pissed.  .,"@LoVEme_ai I love you lol. I am out of class, but I’m going to text you now because I just got really upset."
@GritzN_Gravy right I need to cheer up because he's in a better place and people blaming honey cocaine,"@GritzN_Gravy You're right, I need to cheer up because he's in a better place and people are blaming Honey Cocaine."
@iamfocus @melvinwjr @MaJorMaJeed ha ha ha pretty much that 97-2002 class was real smooth from every school,"@iamfocus @melvinwjr @MaJorMaJeed Haha, pretty much, that 1997-2002 class was really smooth at every school."
after school traffic at washington went down also soon as it got hot in the school year nigga left tech early to get to washington,"After-school traffic at Washington decreased. Also, as soon as it got warm during the school year, people left Tech early to get to Washington."
chicks would be scared to holla after the basketball games but would find a niga on blackplanet and get at me all the time lol lol,"Women would be too shy to talk to me after the basketball games, but they would find me on BlackPlanet and reach out to me all the time, haha."
@melvinwjr is too funny this nigga changed his name to his bp name lol lol lol,"@melvinwjr is so funny, he changed his name to his BlackPlanet name, lol lol lol."
@iamfocus yall sure did and we had a couple also i wanna thank the locker room at jackie robinson for letting me get head and fingerin game,"@iamfocus You all definitely did, and we had a couple as well. I also want to thank the locker room at Jackie Robinson for letting me receive oral sex and for the fingering experience."
@Miss_CamillaB i thought yall school had a sex scandal from all those nuns being in the same place with no penis around,@Miss_CamillaB I thought your school had a sex scandal because all those nuns were in the same place with no men around.
its gonna be alot of headlights on this cold am the big nipples are out,There are going to be a lot of headlights this cold morning—the big nipples are out.
"""You don't mess with the Juice!n I gave you silk suits, blue diamonds and gucci handbags.n I gave you things you couldn't even pronounce!""","""You don't mess with the Juice! I gave you silk suits, blue diamonds, and Gucci handbags. I gave you things you couldn't even pronounce!"""
wheres is the jayer @Tiera_Nichole at with her goofy ass i saw her begging for change in the middle of the grand ave mall the other day ha,Where is Jayer @Tiera_Nichole with her silly self? I saw her begging for change in the middle of the Grand Avenue Mall the other day. Ha.
Word of advice if its real cold dont let nobody use ya jacket trynna b a gentlemen you gon get the flu,"Here’s some advice: if it’s really cold, don’t let anyone use your jacket trying to be a gentleman—you’re going to catch the flu."
"""It's freezing cold in my house but my mom still expects me to get up and put all these clothes away , hmm idk about it""","It’s extremely cold in my house, but my mom still expects me to get up and put all these clothes away. Hmm, I’m not so sure about that."
@MrsStealUrGurl only the last half hour.. Bout to watch the beginning. But this headache is stopping me.,@MrsStealUrGurl Only the last half hour... I'm about to watch the beginning. But this headache is stopping me.
So she just outed him to his wife cause he didn't give her the job. Smh.,So she revealed his secret to his wife because he didn’t give her the job. Shaking my head.
She ain't gonna see anything unless I @ her cause she is a lil on the nice side.,"She won’t see anything unless I mention her, because she is a little on the quiet side."
Reconnecting with someone you've know for years that you have seen for a really long time... Priceless!,Reconnecting with someone you've known for years that you haven't seen in a really long time... Priceless!
Damn. Checks bank account. I think I'll pay my bills and stay my ass in Philly instead.,Damn. Checks bank account. I think I'll pay my bills and just stay in Philadelphia instead.
Exactly why I need a change... Not being able to do what you want when you want it sucks!,This is exactly why I need a change... Not being able to do what you want when you want to is terrible!
When people email you instead of texting or calling that means they shouldn't be talking to you in the first place.,"When people email you instead of texting or calling, it means they shouldn't be communicating with you in the first place."
So at 2PM I was super tired. Now at almost 1AM my body is like naw it aint time to sleep yet. Wtf??,"So at 2PM I was very tired. Now, at almost 1AM, my body is like, ""No, it isn’t time to sleep yet."" What the heck?"
But then my alarm is gonna go off at 5:30 and I'm not gonna wanna get up,But then my alarm is going to go off at 5:30 and I’m not going to want to get up.
I guess I need to lightly toast this bread so I can make a sandwich. Cause using the microwave proved to be a failure,"I suppose I need to lightly toast this bread so I can make a sandwich, because using the microwave turned out to be a failure."
I can see working with dude will guarantee me out of work late every time.,I can see that working with him will guarantee that I get out of work late every time.
Finding this new thing to be quite interesting. I should have some fun with this...,I find this new thing quite interesting. I think I’ll have some fun with it…
Can't believe I came home at 4 and sat around in my jeans until just now. That's a first.,I can't believe I came home at 4 and sat around in my jeans until just now. That's a first.
@SaFcknMantha gotta find out if the folks still going down or not. But I'm going back when the boy gets outta school.,@SaFcknMantha I need to find out if everyone is still going or not. But I’m going back when my son gets out of school.
@MrsStealUrGurl I can't treat but if you find a friend makes sure he has another.,"@MrsStealUrGurl I can’t pay, but if you find a friend, make sure he has another one."
I swear I'm gonna go to sleep and its gonna feel like I gotta get right back up.,I swear I'm going to go to sleep and it's going to feel like I have to get right back up.
As soon as I stop caring... Here you come.. Leave me in my friend zone! I'm cool there.,As soon as I stop caring... here you come. Leave me in my friend zone! I'm fine there.
Last Tuesday I forgot my meds at home. This Tuesday will probably be no different.,"Last Tuesday, I forgot my medication at home. This Tuesday will probably be no different."
"""If I ever say I think I'm from southwest please proceed to smack the sh*t outta me!""","""If I ever say that I think I'm from Southwest, please proceed to smack the shit out of me!"""
"""Somebody ask me where you from.. My first answer is Philly. They wanna know where in Philly and Imma tell em. But if I say I think.....""","Someone asks me where I’m from… My first answer is Philadelphia. They want to know where in Philadelphia, and I’ll tell them. But if I say I think…"
Hardest I've ever worked In one day in 4.5 years. I still don't like the job tho.,"This is the hardest I have worked in a single day in 4.5 years. I still do not like the job, though."
Females are the pettiest people.. I see why mfs don't like havin none or too many as friends..,Women are the pettiest people. I see why people don’t like having any or too many as friends.
She didn't leave you for making too many mistakes she left because you made the same mistakes too many times..,She didn’t leave you because you made too many mistakes; she left because you made the same mistakes too many times.
Lol dumb ass  if I say half the girls I fucked or saw naked I fuck yo life up,"Lol, idiot. If I mentioned half the girls I’ve slept with or seen naked, I’d ruin your life."
I don't get girls they try there hardest to fuck with a nigga who might have there back or might look out for you cause he talk that cash,I don't understand girls—they try their hardest to get involved with a guy who might support them or look out for them just because he talks about money.
Smh what are you gone dick suck let me guess whatever team that's winning Smh where are the true fans,"Shaking my head, what are you going to support—let me guess, whichever team is winning. Shaking my head, where are the true fans?"
I hate people that just swear they be mad all the time bitch smoke some weed and be happy,I dislike people who always claim they're angry. Just smoke some weed and be happy.
Girls like girls boys like boys it don't matter to me just don't fake it you are who you are,"Girls like girls, boys like boys—it doesn't matter to me. Just don't pretend; you are who you are."
Damn that way I miss girl cuz I know she would drink with and blow that loud.,"Damn, that's why I miss her, because I know she would drink with me and smoke that loud."
I'm so use to the past I don't know if I can take what's happening now,I'm so used to the past that I don't know if I can handle what's happening now.
I try fuck with one girl but she keep swearing u fuck with other girls,"I try to be with one girl, but she keeps insisting that I’m involved with other girls."
Sometimes ii Feel ii talk Da Most Shit..Bt Den ii B Like..Who Da Fukk Gone Check Me..??,"Sometimes I feel like I talk the most trash, but then I’m like, who the hell is going to check me?"
Bitches give Dey self a reason too hate Me..Hell Y not jus Make it 2.!,"Women give themselves a reason to hate me... Hell, why not just make it two!"
Everybody walking around wanna B Bad...But wen it Aww Boils Down Dese Bitches ain't Bad after aww.!,"Everyone is walking around wanting to be tough... But when it all comes down to it, these people aren't really tough after all."
You Can't B happy having So Much hatred in Yo life#Some Shit ain't gone turn out right.!,You can't be happy having so much hatred in your life. Some things just aren't going to turn out right.
Mii nose Making Me Mad af I swear..It's aww Stopped up in Shit..Fucking With me..A nigga Can't Fuckin Breath fr,"My nose is making me really mad, I swear. It's all stuffed up and bothering me. I can't even breathe for real."
Can't wait for duflocka rant 2 shit gonna be hard ass fuck like tht metal jacket2,"I can't wait for Duflocka Rant 2; it's going to be extremely hard, just like that Metal Jacket 2."
@TupacShakur____: Inside my mind couldn't find a place to rest. Until I got that Thug Life tatted on my chest. Tupac,"@TupacShakur____: Inside my mind, I couldn't find a place to rest until I got ""Thug Life"" tattooed on my chest. —Tupac"
Finna watch this movie and wait for the bae to finish getting his hair done,About to watch this movie and wait for my boyfriend to finish getting his hair done.
"""@adriane_317: Cheating is a choice, not a mistake. If you had time to cheat, you had time to think about it.""","""Cheating is a choice, not a mistake. If you had time to cheat, you had time to think about it."""
My bae gone tell me nt to wear my favorite color fuck kinda drugs he smoking,My boyfriend is going to tell me not to wear my favorite color—what kind of drugs is he on?
@iKillajay Your  Welcome Love. Seen Your Videos Too You & @iiDayDay Make A Dope Team. Juss Saying,"@iKillajay You're welcome, love. I've seen your videos too. You and @iiDayDay make a great team. Just saying."
I hope my momma go take me to get a tattoo soon like she said,I hope my mom is going to take me to get a tattoo soon like she said.
@Queensboromafia how you gone tell me to dm you but you dont dm back -_-,@Queensboromafia How are you going to tell me to DM you but then not DM me back? -_-
@LeviDenimFlow you and @Mr_StealYoPlate  should be asleep you guys have class tomorrow n it's almost 2:00! Shame on yall,@LeviDenimFlow you and @Mr_StealYoPlate should be asleep; you both have class tomorrow and it's almost 2:00! Shame on you all.
@AlexisF__ sorry it won't happen again bae lov u u my world I dnt wanna lose u,"@AlexisF__ Sorry, it won't happen again, babe. Love you. You are my world. I don't want to lose you."
Boi me an my gf broke up smh. Now i need a friend 2 talk 2,"Boy, my girlfriend and I broke up, shaking my head. Now I need a friend to talk to."
One thing about me ill never tell nobody nun wrong because I then already been there & learnt from it!,One thing about me is I'll never tell anyone anything is wrong because I’ve already been through it and learned from it!
"""@FamousWomen: Wherever you go, no matter what the weather, always bring your own sunshine. - Anthony J. D'Angelo""","""@FamousWomen: Wherever you go, no matter what the weather is like, always bring your own sunshine. - Anthony J. D'Angelo"""
Dat shyt gone put me rite bak ta sleep n dats wastin it .... nvm,That stuff is going to put me right back to sleep and that's wasting it... never mind.
Now dat I left school my attitude is now a good one n# thank god,"Now that I have left school, my attitude is better now and thank God."
@TweetWatching_ ...... Cuz ma mom aint pay da bill n I had money for it n dis rump-a-skunk sid spend it so I bought other shyt wit it -_-,"@TweetWatching_ ...... Because my mom didn’t pay the bill and I had money for it, but this person went and spent it, so I bought other stuff with it -_-"
"""@WatchYa_Aim Lol  , You Coulda Looked Over It & Act Like Yeen C It . & Terry Want Yo # .""","""@WatchYa_Aim Lol, you could have just ignored it and acted like you didn’t see it. And Terry wants your number."""
@JERRI_NoTom Stfu  .  You Know I Fwu 103 TouGh  ( : You MY Nigga Foo '  .,"@JERRI_NoTom Be quiet. You know I mess with you 103 percent, for real. You're my close friend."
"""I Love My Team  ,  We All That Get Money Shit . Fucc That Hot Shit  .""",I love my team. We’re all about making money. Forget that drama.
"""Lol  ,  Lelani Is NOT Finna Blow My High   !   With Her Stupid Ass @Aha_LadyBug  .""","Lol, Lelani is NOT going to ruin my good mood! With her foolish self @Aha_LadyBug."
"""@Aha_LadyBug Lol   ,  Im High Bitch I Thought I Asked . Damn Hoe , Excuse The Weed   .""","""@Aha_LadyBug Lol, I'm high, I thought I asked. Damn, sorry, excuse the weed."""
"""In Memphis Its A Bunch of Hoes , Broke Niggas , & Bullshit  .  Thats Why I Gotta Get Tf Away From Here  .""","In Memphis, there are a lot of promiscuous women, broke men, and nonsense. That’s why I have to get away from here."
"""I Need To Learn How To Control My Temper  ,  Ima Real Ass Hothead  .""",I need to learn how to control my temper. I’m really a hothead.
"""Idgaf Who You Is , Young or Old , Ima Say Whatever I Got To Say !""","I don’t care who you are, young or old, I’m going to say whatever I have to say!"
I wanna scream and shout and let it all outtt and scream and shout and let it out we sayin' ohhhweeee oh we oh we ohhhhh!,"I want to scream and shout and let it all out, and scream and shout and let it out. We're saying, ""Oh, we, oh we, oh we, oh!"""
"""Not sure if it's your pride that's too high or if this is really you, but damn.""","I'm not sure if your pride is just too strong or if this is truly who you are, but wow."
"""@TunechiS_LADY I KNOW YOU NOT ARGUING ON THIS SOCIAL NETWORK, which is what these Mfs wanna see?""","@TunechiS_LADY I know you are not arguing on this social network, which is exactly what these people want to see."
"""im chilling until later, cause my bed & i taking care of some unfinished business !""","I'm relaxing until later, because my bed and I are taking care of some unfinished business!"
Not goin to sleep til she wake dat ass up and call me so until then..... #teamupalldamnnight!!!,"I’m not going to sleep until she wakes up and calls me, so until then… #teamupalldamnnight!!!"
If ian give #oomf that money to hold I'll be shit outta luck and broke af!!,"If I don’t give one of my followers that money to hold, I’ll be completely out of luck and very broke!"
Not feelin good and Tyiah just low key pissed me tf off for the day!!,"I'm not feeling well, and Tyiah just really annoyed me for the day!"
I came just to get my hair did ... but ha girl made it ha business to be there Smh....,I came just to get my hair done ... but her friend made it her business to be there. Shaking my head....
Aye tell ya girl she gone have to step ha game up. :) ..... and yess this one for u too!!,"Hey, tell your girl she’s going to have to step her game up. :) … and yes, this one is for you too!"
The fact that she ain't even try to call or text me since I hung up ..... cool!,The fact that she hasn't even tried to call or text me since I hung up... cool!
@nado_wifey lmao man u really need to grammar check your tweets you sound dumb ass fuck!,"@nado_wifey LOL, man, you really need to grammar check your tweets—you sound dumb as fuck!"
"""Bitchhhhhhh , Who Tf You Think You Is. This Bitch Just Walked Upstairs. O_O Where They Do That At?""",Who do you think you are? This woman just walked upstairs. Where does that even happen?
"""@GheezLoiKei I Know That's Why I Said It , Lol But One Day Ima Get You HIGH ! #BelieveThat""","""@GheezLoiKei I know, that’s why I said it. Lol. But one day I’m going to get you high! #BelieveThat"""
@TeamBoosieBoo: God wouldn't put u through nothing u cant handle. What dont kill u makes u stronger!,@TeamBoosieBoo: God wouldn't put you through anything you can't handle. What doesn't kill you makes you stronger!
"""@Contract_cKilla You Already Know I'm Gone Be On Cloud 3,000 When I Go Up In There.""",@Contract_cKilla You already know I’m going to be extremely excited when I go in there.
@SHOOTER__X I Just Been Chilling. Can't Wait Till Spring Break Or Summer So I Can See All Y'all.,@SHOOTER__X I’ve just been relaxing. I can’t wait until spring break or summer so I can see all of you.
@simply__ari You Think I Don't Be Ducking Below Them Windows. I Value My Life !,@simply__ari You think I don’t duck below those windows? I value my life!
If anybody got a probelm W/ Steffanie Keep it 1Hunna & let it be KNOWN !,"If anyone has a problem with Steffanie, be honest and make it known!"
"""@AllSmilesAlways Nahh , I Wanted To ... But Too Many People Were Around So I Had To Thug It Out.""","@AllSmilesAlways No, I wanted to, but there were too many people around so I had to tough it out."
Anybody Who Knows Me Should Know That I'm One Of The Nicest People You'll Ever Meet ................Unless I Don't Like You.,Anyone who knows me should know that I am one of the nicest people you will ever meet... unless I do not like you.
I Wanna Let You Know How I REALLY Feel ; But My Pride Won't Let Me.,"I want to let you know how I really feel, but my pride won't let me."
""" @ItsMe_Pootie: Price Tag On yo Head , Leave you laying where ya stand ! ""","""@ItsMe_Pootie: There’s a price on your head; I’ll leave you lying where you stand!"""
@Thugg__Life: When I Tell You I Love You That Shit Be True To Me !,"@Thugg__Life: When I tell you I love you, I truly mean it!"
Beef is wen you make mistakes less burgers wit your niggas more steak with snakes,"Beef is when you make mistakes—fewer burgers with your friends, more steak with snakes."
I think we can all agree that the real winner in this Te'o fiasco is Catfish,I think we can all agree that the real winner in this Te'o fiasco is Catfish.
I probably didn't put a lot of mrs Myra's BBQ sauce on my chicken tonight,I probably didn’t put much of Mrs. Myra’s BBQ sauce on my chicken tonight.
Don't feel bad about this loss. This is what state is supposed to do. Glad to see some fight in the heels late,Don’t feel bad about this loss. This is what State is supposed to do. I’m glad to see some fight in the Heels at the end.
@Im_KENYATTA Aweee True Imma Be There All Week Next Week! Though They Goofy Ass Suspended Me Lol Imma Be Good Next Week,"@Im_KENYATTA Aww, that's true. I’m going to be there all week next week! Even though their silly selves suspended me, lol, I’m going to behave next week."
@_YouReadyB i'm goin somewhere @ 12 Imma get chyna to come get you when I'm done,@_YouReadyB I'm going somewhere at 12. I'll have Chyna come get you when I'm done.
@_CashoutDetroit I dny hav a msg unless u tlkn bout on meet me bt idc fuck u go bk ta dat btc bye,"@_CashoutDetroit I don’t have a message unless you’re talking about on MeetMe, but I don’t care, fuck you, go back to that bitch, bye."
The World Iz Urz Young Nigga What U Gonna Do Wit It Watch It Make It Work,"The world is yours, young man. What are you going to do with it? Watch it, make it work."
@alleyboydte @IaMelinaEros I Phuck Wit Alley Lano Nigga East Baltimore Latrobe Dat Aint All Our Projects Thoe,"@alleyboydte @IaMelinaEros I mess with Alley Lano, man. East Baltimore, Latrobe. But that's not all of our projects though."
Rappers Talkin Trappin Never Seen Ah Hunna Mill If U Audamear aint 100 den ya shit aint real b gone bitch whoop meek Voice Ball2More City,"Rappers talk about trapping but have never seen a hundred million. If your Audemars isn’t a hundred (thousand), then your stuff isn’t real. Be gone, bitch. (In Meek Mill’s voice.) Baltimore City."
@liciarie Love Chi Town Yall Gotta Chill On Da Killin Make It Work Yo Gotti Voize Dats Why Im Dolo Ball2More Love Thoe Everybody N Da Chi,"@liciarie I love Chicago. You all need to calm down with the violence and try to make things work—in Yo Gotti’s voice. That’s why I’m alone in Baltimore. Much love to everyone in Chicago, though."
Hatin AintN Gon Get U Now Were But NA Box Stay Lo Shushh Mob Secrets,"Hating isn’t going to get you anywhere, but in a box. Stay low and quiet—mob secrets."
@therealstylesp U Aint Lying Ghost Shit Killin Me Lion Pride Im listenind 2Dis 4Da Rest of Life,"@therealstylesp You aren’t lying, Ghost. This is amazing. Lion pride. I’m going to be listening to this for the rest of my life."
If yu my nigga u my nigga then.! I shole dont need no new friend nigga where uu been nigga,"If you’re my friend, you’re my friend then! I definitely don’t need any new friends—where have you been?"
HEARD HE FUCKED DA SHYT OUTTA HA O'WELL SHYT ION CARE AINT MY BITCH I HATE HA ASS,"I heard he had sex with her. Oh well, I don't care. She's not my girlfriend. I can't stand her."
I need to cuddle wit a girl she at ha gma crib BUT FINNA GO BACK TO SLEEP,"I want to cuddle with a girl, but she’s at her grandma’s house, so I’m just going to go back to sleep."
OBN I go hard fa my squad SQUADDDDDDDDDD IIIIIIGGGGGHHHHTTTT 039 SHYT FUCK DA OPPS FUCK LAWLESS DEM FUCK NIGGAS DIE L'S FUCK CESS,"I go hard for my squad. Squad! Alright! 039 stuff. Forget the opposition, forget Lawless and them, forget those guys. Take losses. Forget Cess."
@TreatMe_EatMe_ cause I kno iima be up all nitw e but inna mornin ima be real sleepy,"@TreatMe_EatMe_ because I know I’m going to be up all night, but in the morning I’m going to be really sleepy."
@Tokiyo_Trending RAGENE STOP TWEETIN ME MAN YO ASS MAD CAUSE ION WNT U I MOVED ON BYE STOP TALKIN TO ME WE AINT GOT SHYT ELSE TO SAY,"@Tokiyo_Trending Ragene, stop tweeting at me. You're just upset because I don't want you. I've moved on. Goodbye. Stop talking to me—we have nothing else to discuss."
LOL ion wnt ha to wea noo panties 2ma wen she cum ova onna real,"LOL, I don't want her to wear any panties tomorrow when she comes over, for real."
"""@NuNuGhee: Ion Trust People .. I Think ANYBODY ah Set Me Up ! TRUU SHYT #TRUSTNONE""","""@NuNuGhee: I don't trust people. I think anybody could set me up! True stuff. #TRUSTNONE"""
Folks Dont Know What Keeping They Word Is Anymore That's Why My Trust Fucked! But I'll Die To Keep My Word..,People don’t know what it means to keep their word anymore. That’s why my trust is messed up! But I would die to keep my word.
Some Muh Fuggas Expect For Females To Suck Some Dick Or Some For All That I Guess.. In That Case I'll Never Go On A Date LMMFAO,"Some people expect women to perform oral sex or do even more, I suppose. In that case, I guess I'll never go on a date. LMAO"
Ask me to come see you at a game and don't even fuckin talk to me #wtf,Ask me to come see you at a game and then you don’t even talk to me. #wtf
I luhv bad bytches dats my fkkn problem n yea i like to fkk i gotta fkkn problem,"I love attractive women, that’s my problem, and yes, I like to have sex—I have a serious problem."
Aww the head manager for West Orange BK called me and thanked me for working there... && said he want me to work there in the summer ..,"Aww, the head manager of West Orange Burger King called me and thanked me for working there, and said he wants me to work there in the summer."
@kiss_my_lips18 mmm hmmmm datz wat it sound like ta me..my bby godmama kant be into dat lol,"@kiss_my_lips18 Mmm hmm, that's what it sounds like to me. My baby's godmother can't be into that, lol."
i was thinking about going down to the mall on Monday since I'm off....idk tho,I was thinking about going to the mall on Monday since I have the day off... I’m not sure though.
@ILoveAvis i know it do..i remember the last time i went..i constantly fell down..i thought i was gonna break my ankle in the process lol,"@ILoveAvis I know it does. I remember the last time I went—I kept falling down. I thought I was going to break my ankle in the process, lol."
