sae_text,aae_text
I will stop loving you when a mute man tells a deaf man that a blind man saw a man without legs walk on water.,I’ma stop lovin you when a mute man tell a deaf man that a blind man seen a man with no legs walk on water.
Finally in the house since it’s really cold outside. What I need are some gloves.,"Finally made it in the house, ‘cause it’s real cold out there. What I need is some gloves."
Who is my mom to tell me how to do my hair? I told her she has her own head. She’s bold!,"Who my mama think she is tellin’ me how to do my hair? I told her, she got her own head. She bold!"
"""@__Dariee What I had last time... Cicero Twist or whatever. And it isn’t what I want to get, it’s what I’m getting. She’s too strong.""","@__Dariee What I had last time... Cicero Twist or whatever. And it ain’t what I wanna get, it’s what I’m gettin. She too strong."
"People are going around talking about love and affection, but no, you need condoms and protection.","Folks out here talkin’ ‘bout love and affection, but nah, you need them condoms and protection."
"I need some sex. Stop messing with my friend, I'm about to get serious. I don't care.","I need some sex. Quit playin’ wit my friend, I’m ’bout to get real. I don’t care."
"Forget the judge, get a case, fire the .38, shoot him in the face. #FreeMe","Forget the judge, catch a case, let off the .38, bust him in the face. #FreeMe"
I am too obsessed with myself... That is why I cannot stay in a relationship for long... Oh well.,I be too obsessed wit myself... That’s why I can’t stay in a relationship for long... Oh well.
So Beyoncé didn't actually sing at the inauguration... So what? She’s still the woman everyone wants to be.,So Beyoncé ain’t even really sing at the inauguration... And? She still that woman everybody wanna be.
I can give my babe a thousand ways why I love you so much. #BaeTweet,I could give my bae a thousand reasons why I love you so much. #BaeTweet
"Women are upset because people don’t associate with them anymore. No one should mess with my brother, that’s a promise from the neighborhood.","Women mad ’cause folks don’t rock wit’ them no more. Ain’t nobody ’bout to mess wit’ my brother, that’s on the block."
"I don't want to give you the wrong impression, but I need love and affection.","I ain't tryna give you the wrong impression, but I need love and affection."
@iUse_2GiveAF I like that. This is Darriell from Tagged. You said you wanted to get to know me. Just contact me at 8328489020...,@iUse_2GiveAF I’m feelin that. This Darriell from Tagged. You said you wanted to get to know me. Just hit me up at 8328489020...
"I hate when someone talks about the same thing constantly. Like, damn, I hear you loud and clear—I just don’t care.","I hate when somebody keep talkin’ bout the same thing over and over. Like, damn, I hear you—I just don’t care."
"No attitude, just relaxing. I knew she wanted you and I couldn’t do that to her—it would have been wrong.","Ain’t got no attitude, just chillin. I knew she wanted you and I couldn’t do her like that—that woulda been wrong."
"I don’t like when people try to tell me what to do. Oh no, that’s not how it works.","I don’t like when folks tryna tell me what to do. Uh uh, that ain’t how it work."
"@nobodybut_BRITT Oh, I'm kind of ready now... I hate that we don't have Mrs. Wallace on Tuesday. I miss arguing with her.","@nobodybut_BRITT Oh, I’m kinda ready now... I hate we ain’t got Mrs. Wallace on Tuesday. I miss goin’ back and forth wit’ her."
I’m going to sleep early because I have to get up at 8 in the morning for my appointment.,I’m finna go to sleep early ’cause I gotta get up at 8 in the mornin’ for my appointment.
God will keep sending the same people across your path until you learn the lesson you are meant to learn from them.,God gon’ keep sendin’ the same folks your way till you learn the lesson you s’posed to learn from ’em.
"Come at me, motherfucker. Get your cowardly ass over here with your people. I’m not the police, motherfucker.","Come at me, nigga. Bring yo scary ass over here wit yo folks. I ain’t the police, nigga."
"Hold up, bro. Lil Wayne? Hell no. We’re No Limit Soldiers—my three brothers are Mary and Alex.","Hold up, bruh. Lil Wayne? Hell naw. We No Limit Soldiers—my three brothas is Mary an’ Alex."
"Will talking get the joke? Okay, that's a big joke. I'm Kev KLC, you know, P.T. Kevin Earl.","Will talkin’ get the joke? Aight, that’s a big joke. I’m Kev KLC, ya know, P.T. Kevin Earl."
"@blackink12 I still find it unbelievable that he has that many kids at 32. I'm the same age, and even this dog gives me headaches.","@blackink12 I still can’t believe he got that many kids at 32. I’m the same age, and even this dog be givin’ me headaches."
@AverageBro lol you’re wrong. I think he isn’t used to his body. He’s kind of awkward. Not sure if he’s soft yet.,@AverageBro lol you wrong. I think he ain’t used to his body. He kinda awkward. Ion know if he soft yet.
@CalvinBenLester I’m not surprised. I remember when he said something inappropriate about Tim Duncan’s mom.,@CalvinBenLester I ain’t surprised. I remember when he said somethin’ outta pocket ’bout Tim Duncan mama.
"@ElliottWilson @theDYNAMICS Yes, he and Ye have been doing that for the past two years. Without the chess.","@ElliottWilson @theDYNAMICS Yeah, him and Ye been doin’ that for the past two years. Ain’t no chess involved."
"@blackink12 We had mixtapes back East, though. I heard ""Mo Money Mo Problems"" three months earlier on a Clue tape.","@blackink12 We had mixtapes back East, tho. I heard ""Mo Money Mo Problems"" like three months early on a Clue tape."
@noz you’re right. Cool Breeze is the godfather. I just remember drug dealers embracing that track. That spiteful chant took it beyond Dungeon Family fans.,@noz you right. Cool Breeze the godfather. I just remember them dealers rockin wit that track. That spiteful chant took it past just Dungeon Family fans.
@TrillSmith @marsxgod That is a human being growing up. Those three identities are present on every album. They are just creative ways to express his personality.,@TrillSmith @marsxgod That’s just a person growin’ up. All three them identities on every album. He just got creative ways to show who he is.
"I don’t need to like your music to recognize your tactics. Anyway, back to work.","I ain’t gotta like your music to peep your moves. Anyway, back to work."
"@RavinJusFresh do you understand what I mean? Haha! I was wearing khakis and a cardigan, so I should have been fine, but my beard looked intense though, lol.","@RavinJusFresh you feel me? Haha! I had on some khakis and a cardigan, so I shoulda been good, but my beard was lookin mad intense tho, lol."
"My friend just asked me if I know who Bandcrew is. I’m like, “Hell yeah, my close friend @ThatMagDontMiss is Bandcrew.” Hey, friend, I need to talk to you.","My friend just asked me if I know who Bandcrew is. I’m like, “Hell yeah, my folks @ThatMagDontMiss is Bandcrew.” Aye, friend, we need to talk."
"Walked in the house from the store, walked into the room, and it smelled like straight kush... Living the good life.","Walked in the house from the store, stepped in the room, and it smelled like straight kush... Livin’ the good life."
"@SMH_YeaThatsRob Believe me, nephew, I know if nobody else knows, I know. Can't trust anybody—your friends will turn on you just as quickly as family will.","@SMH_YeaThatsRob Believe me, nephew, I know if don't nobody else know, I know. Can't trust nobody—yo friends'll turn on you just quick as family will."
I miss my ABC and my nephew and my sister Brit. My niece is due tomorrow; I hope she comes tonight.,"I miss my ABC, my nephew, an’ my sister Brit. My niece s’posed to come tomorrow; hope she come tonight."
"I said something last night and apparently it struck a nerve in somebody. Lol, you'll be okay.","I said somethin’ last night and I guess it hit a nerve for somebody. Lol, you gon’ be aight."
"Nicknames aren't anything, but don't give anyone a title they haven't earned—especially if they can't fulfill that role.","Nicknames don’t mean nothin’, but don’t be givin’ nobody a title they ain’t earned—’specially if they can’t even hold it down."
I have been the same girl since day one; I have never changed—I just don't put up with your nonsense anymore.,I been the same girl since day one; I ain’t never changed—I just don’t deal wit yo nonsense no more.
"""Joy to the hoe—she slept with my man, that’s why he has herpes. That’s what she gets for talking trash.""","Joy to the hoe—she done slept wit my man, that’s why he got herpes. That’s what she get for runnin’ her mouth."
"I’m going back to my sister’s house tomorrow, so I had to sleep in my big bed tonight.","I’m goin’ back to my sister’s house tomorrow, so I had to sleep in my big bed tonight."
I wouldn’t be myself if I didn’t receive oral sex before I gave her oral sex.,I wouldn’t even be myself if I ain’t get mine before I gave her hers.
"""@DripDropper_DD: @GBF_KROC: @DripDropper_DD, don’t say 'ooo' to me, lol. But how are you doing? I’m good. Do you like it? Lol.""","""@DripDropper_DD: @GBF_KROC: @DripDropper_DD, don’t be sayin’ 'ooo' to me, lol. But how you doin’? I’m good. You fuck wit it? Lol."""
"@LaToyaJS23 If that’s the case, they should say that about Pop and the Spurs from ’99 with Robinson and Duncan.","@LaToyaJS23 If that’s how it is, they needa say that ’bout Pop and the Spurs from ’99 wit Robinson and Duncan too."
@LaToyaJS23 You traded it in? That’s a really nice car. I thought you just got it.,@LaToyaJS23 You traded it in? That car real nice. I thought you just got it.
"Well, bitch, you better move on because once he goes, ma’am, he doesn’t go back!","Well, bitch, you betta move on cuz once he gone, ma’am, he don’t come back!"
"Oh my God, my movie is on #Streets. I love this movie only because my baby daddy Meek Mill is in it...","Lawd, my movie on #Streets. I love this movie just ’cause my baby daddy Meek Mill in it..."
"Mom, I’m going to be like Bre when I get older—she sleeps with all the women. [Brooklyn Voice]","Mama, when I get older, I’ma be like Bre—she be sleepin’ with all the women. [Brooklyn Voice]"
"Call it what you want, but I'm going to call it how I see it. #Petty","Call it whatever you want, but I’ma call it like I see it. #Petty"
"I don't like arguing, fighting, or being angry with her, but it seems like she loves doing all those things with me. #NotCOOL","I don't even like arguin', fightin', or bein' mad at her, but it seem like she love doin' all that wit' me. #NotCOOL"
"Everyone is out this Friday night, but I'm staying in all weekend because I need to catch up on some sleep.","Everybody out this Friday night, but I’m chillin’ in all weekend ’cause I gotta catch up on some sleep."
I need to go to RadioShack for some phone cases—I just need about three.,I gotta hit up RadioShack for some phone cases—I just need like three.
@_BreadWinner7_ We will meet you all in the conference finals if you make it past the first round.,@_BreadWinner7_ We gon’ see y’all in the conference finals if y’all make it past the first round.
"@spongebobfunny_ Yes, you do, but seriously, just because you all are friends doesn’t mean you need to wear the same wigs. LMAO","@spongebobfunny_ Yeah, you do, but fr, just ‘cause y’all friends don’t mean y’all gotta be rockin’ the same wigs. LMAO"
"If it wasn’t for the little moments, when I’m feeling down, that they do the smallest, most random, silliest things to make me smile, I don’t know what I would do! Real talk.","If it wasn’t for them lil moments, when I’m feelin down, and they do the smallest, most random, silliest things just to make me smile, I dunno what I’d do! Real talk."
Why do you get sleepy when you’re cold? That’s why I used to sleep so much at #PhillyHigh.,Why you get sleepy when you cold? That’s why I used to sleep so much at #PhillyHigh.
"That's a damn shame... If smoking cigarettes is that dreadful, why not just stop?! The problem is: I'm addicted.","That’s a damn shame… If smokin’ cigarettes so bad, why not just quit?! The problem is: I’m hooked."
I wonder what the heck my friend @LADiiKB_81 is up to! I haven’t hung out with her in what seems like forever! And I’m feeling some type of way about it!,"I’m tryna figure out what my girl @LADiiKB_81 been up to! Ain’t kicked it with her in a minute, feelin’ some kinda way bout it!"
"I have to work hard for two aunts, one sister, and my queen—my mother. Rest in peace to you all. Honestly, that's the truth.","I gotta grind hard for two aunties, my sis, and my queen—my mama. Rest in peace to all y’all. For real, that’s the truth."
"I almost just got shot by the police harassing my brother—nine police cars against one car, what the fuck.","I damn near just got shot by the police messin’ with my brother—nine police cars on one car, what the fuck."
"Wait, hold on—I’ve already rolled up, and the syrup is still poured, while women are still rolling up. Smoking marijuana on the sofa, her nose in the soda...","Hold up, wait—I already done rolled up, and the syrup still poured, while shawties still rollin’ up. Smokin’ weed on the couch, her nose in the soda..."
"This year, I need every man to find a woman who will truly support him and help him stay out of trouble.","This year, I need every man to find him a woman who really got his back and gon’ help him stay outta trouble."
"If someone can't be completely honest about their situation, then they shouldn't associate with me at all.","If somebody can’t keep it real about what they got goin’ on, then they don’t need to be messin’ with me at all."
I can't stand not seeing you; it feels like I'm in jail with no visits.,I can't stand not seein' you; feel like I'm locked up with no visits.
"If you have to go out every week, you need to be single, because you don't have time for your boyfriend or girlfriend.","If you gotta be out every week, you need to be single, ’cause you ain’t got time for your man or your girl."
"@Yung_Blood69 @SincinnatiRedd because I get tired of seeing her in here feeling like life is hard, but people like me just have to get over it.","@Yung_Blood69 @SincinnatiRedd cuz I get tired of seein her in here actin like life so hard, but folks like me just gotta deal wit it."
"I feel like I just stood in the ring for 11 rounds, and by Friday I’ll either look like Pac-Man or the guy who knocked him out.","I feel like I just been in the ring for 11 rounds, and by Friday I’ma either look like Pac-Man or the dude who knocked him out."
"Don't get me wrong, I don't feel bad for myself. I know how it is: when you make your bed, you have to lie in it.","Don’t get it twisted, I ain’t feelin’ bad for myself. I know how it go: you make ya bed, you gotta lay in it."
"@prettigurl_Toya shaking my head, hopefully both have a better chance of surviving in there than upstairs. Oh, is Charlie still there? Did you tell her?","@prettigurl_Toya smh, hope both of 'em got a better chance makin’ it in there than up top. Oh, Charlie still there? You told her yet?"
I cleaned off my car all by myself! @LibraSheis @prettigurl_Toya are you all proud of me? Lol,I cleaned off my car all by myself! @LibraSheis @prettigurl_Toya y’all proud of me or nah? Lol
"""@prettigurl_Toya lol! Cutting plywood to put down on the kitchen floor or something. Working on my DIY stuff lol""",@prettigurl_Toya lol! Cutttin’ plywood to put down on the kitchen floor or somethin’. Workin’ on my DIY stuff lol
"Lol, I want some Watermelon Sour Patch Kids, a watermelon Arizona, and some Hot Fries lol.","Lol, I want me some Watermelon Sour Patch Kids, a watermelon Arizona, and some Hot Fries lol."
My stepbrother in here keeps zoning out and pinching his fingers and stuff lol.,My stepbrother in here keep zonin’ out and pinchin’ his fingers and stuff lol.
"Lol, I wish cars could run on water. I’d be going from Cahokia to the Ville every day if you wanted me to.","Lol, I wish cars could run on water. I’d be rollin’ from Cahokia to the Ville erry day if you wanted me to."
"If you are looking to work out, you should find yourself a sex trainer! Those are the best workouts ever.","If you tryna work out, you betta get you a sex trainer! Them workouts be the best, fr."
Debating whether I feel like rolling that up first or if I should just go straight to work.,Debatin’ if I wanna roll that up first or just go head and get to work.
"Today is my last day drinking soda, and I’m cutting back on drinking alcohol. My kidneys aren’t healthy.","Today my last day drinkin’ soda, and I’m cuttin’ back on drinkin’ liquor. My kidneys ain’t healthy."
"I still can't believe that on January 16th, I will have been single for a year!","I still can’t believe come January 16th, it’ll be a whole year I been single!"
I need to buy a better knee brace and ankle braces before I do anything else.,I gotta get me a better knee brace and some ankle braces before I do anything else.
"I woke up in pain, but that’s not stopping me from making money. Good morning!","I woke up hurt, but that ain’t stoppin’ me from gettin’ this money. Good mornin’!"
"I’m supposed to be getting dressed, but I’m just sitting here eating instead.","I’m s’posed to be gettin’ dressed, but I’m just sittin’ here eatin’ instead."
There are fake people everywhere you go. I don’t know why people act surprised when they meet one.,Fake folks be everywhere you go. I don’t even know why people act surprised when they run into one.
"The more I see, the more I want. The more I give, the more blessings I receive.","The more I see, the more I want. The more I give, the more blessings I get."
"@Stug_Fent Even though we aren’t getting a video for #StugFentFriday, how about a snippet or a collaboration with @PUSHA_T or @NoMalice757 or something?","@Stug_Fent Even tho we ain’t gettin’ a video for #StugFentFriday, how ’bout a lil snippet or maybe a collab wit @PUSHA_T or @NoMalice757 or somethin’?"
"@Stug_Fent Hey, I’m definitely in, my friend. You never know, I might come up with something great.","@Stug_Fent Aye, I’m definitely in, fam. You never know, I might come up wit somethin’ real dope."
@Rated_Gorjuss why are you bothered by these untrustworthy men and these unpleasant women?,@Rated_Gorjuss why you worried 'bout these no-good dudes and these messy women?
Hey! What are you all smoking in California? I swear my lungs turned into green florets last night! #calibud,Ayo! What y’all smokin’ out in Cali? I swear my lungs done turned into some green florets last night! #calibud
I hate when I'm talking to someone and they keep saying the same damn thing.,I hate when I’m talkin’ to somebody and they keep sayin’ the same damn thing.
My dad wants me to cook him some hot dogs. What is wrong with him?,My daddy want me to cook him some hot dogs. What’s wrong wit him?
"""@PoppinToolys__ lol, you’re funny. Alright, if you think you won, then you won. Some people are afraid to admit they lost. Girl, goodbye—so childish.""","@PoppinToolys__ lol, you funny. Aight, if you think you won, then you won. Some folks just scared to admit they lost. Girl, bye—so childish."
I need to go get my jacket made so I can be like Trey Trey and Duke and them. :),"I gotta go get my jacket made so I can be like Trey Trey, Duke, and ’nem. :)"
"LOL, he's talking about how her butt drags on the ground... And her breath smells like a box of puppies... I'm dying laughing.","LMAO, he talkin’ ‘bout how her booty be draggin’ on the ground… And her breath smell like a box of puppies… I’m weak."
I hope it's raining hard in the morning. I don't want to go to school. I hate my birthdays.,I hope it be rainin’ hard in the mornin’. I ain’t tryna go to school. I can’t stand my birthdays.
She kept me up late just to say she’s not letting Jay go to school… really made me angry.,She had me up all late just to say she ain’t lettin’ Jay go to school… that really had me mad.
"Lol, my sister-in-law is talking about how I’m just tweeting my life away. :)","Lol, my sister-in-law talkin’ bout how I’m just tweetin’ my life away. :)"
He keeps putting his hands on me... I'm going to beat him up one day :),He steady puttin’ his hands on me... I’ma beat him up one day :)
"You’re telling me to go harder, go harder... Go deeper, go deeper :)","You tellin’ me go harder, go harder... Go deeper, go deeper :)"
@Memii_19 LOL wow...I don't have a ride...you know that...and my bike isn't here...so now it's up to you.,@Memii_19 LOL wow...I ain't got no ride...you know that...and my bike ain't here...so now it's on you.
"A relationship isn’t truly a relationship if you don’t know how to work things out together as one. Glad you came by, baby. @Memii_19","A relationship ain’t really a relationship if y’all don’t know how to work things out together as one. Glad you came thru, baby. @Memii_19"
"LOL, Chris is such a mess. ""Oochie coochie coo"" all night long, all night. LOL.","LOL, Chris a whole mess. ""Oochie coochie coo"" all night, all night. LOL."
"I just...shaking my head, something needs to change because one day I am NOT going to be here at all.","I just...smh, somethin’ gotta change ’cause one day I ain’t gon’ be here at all."
"I would rather look and dress differently than look like you, her, him, and them.","I’d rather look an’ dress different than look like you, her, him, or them."
This little motherfucker downstairs from my room is banging those drums. I already know these recovering crackheads are going to be out tonight being loud.,This lil’ muhfucka downstairs from my room bangin’ on them drums. I already know these recovering crackheads gon’ be out tonight bein’ loud.
I’m working on getting another iPhone so I can group text with my friends... I miss group texting them.,I’m tryna get me another iPhone so I can group text my friends... I miss choppin’ it up with them in the group chat.
I have been drinking only water and an occasional ginger ale for a week now. That’s progress for me.,I been drinkin’ just water and every now and then a ginger ale for a week now. That’s progress for me.
"@RizzyRoyce215 Where do you think the name came from? Lol. And I’m not unfamiliar with marijuana, lol.","@RizzyRoyce215 Where you think the name come from? Lol. And I ain’t no stranger to weed, lol."
And it's good to know that you're still the one to catch me when I fall.,An’ it’s good ta know you still the one gon’ catch me when I fall.
"I truly, truly, truly, truly HATE being lied to. Do I look like an idiot? No.","I swear, I HATE when folks lie to me. Do I look stupid? Nah."
"@janae_BGC10 They were wrong for attacking you while you were drunk. All the bad girls get drunk, shaking my head. Petty girls.","@janae_BGC10 They was wrong for coming at you while you was drunk. All the bad girls be gettin’ drunk, smh. Petty ass girls."
Nothing gets past me! It’s just that I stay quiet more often and observe things.,"Ain’t nothin’ get by me! I just be stayin’ quiet most the time, watchin’ everything."
"Even though I can cook, my future partner better not expect me to be in the kitchen every day making sandwiches and stuff... no, sweetie.","Even though I know how to cook, my future boo betta not think I’ma be up in the kitchen every day makin’ sandwiches and stuff… nah, baby."
@JamaicanDialect You all have me stuck on your page all morning! You all have me laughing so much lol... #teamjamaican to the world!,@JamaicanDialect Y’all got me stuck on ya page all mornin’! Y’all got me laughin’ so much lol... #teamjamaican to the world!
"I will not bring down another person with the words that come out of my mouth, and if I have, I am sorry. #RS","I ain’t gon’ tear nobody down wit’ what I say, and if I done did that, my bad. #RS"
"Why would you promise someone something if you know you can't fulfill that promise? Ugh, just don't say anything! Just don't speak.","Why you gon’ promise somebody somethin’ if you know you ain’t gon’ keep it? Ugh, just don’t say nothin’! Just don’t even speak."
"""Even though I have bills and remember that I’m still a Christian, because if I hadn’t found Jesus, God knows I would destroy everything that crosses my path.""","Even though I got bills and gotta remember I’m still a Christian, ’cause if I ain’t found Jesus, Lord knows I woulda tore up everything in my way."
"""@40ozOF_Memories: I just broke down in tears thinking about my past. Lord, please wash away my sins, I pray. :'( God is able to forgive you.""","""@40ozOF_Memories: Man, I just broke down cryin’ thinkin’ ‘bout my past. Lord, please wash my sins away, I’m prayin’. :'( God can forgive you, fa real."""
"My little cousin lost her house key too, so she won’t have anyone to let her in when she gets home from school if I leave.","My lil cousin lost her house key too, so ain’t nobody gon’ be there to let her in when she get home from school if I leave."
You can't run faster than your own shadow. Stay in your lane and you'll go broke trying to look rich.,"You can't outrun your own shadow. Stay in yo lane, 'cause you gon' go broke tryna look rich."
"Looking back on my younger years, I’ve really matured a lot. I take life more seriously and find it more meaningful now.","Lookin back on my younger days, I done grown up a lot. I take life way more serious now and it mean a lot more to me."
I'm just going to stay humble and stay in my lane and watch Father God do big things in my life.,"I’ma just stay humble, stay in my lane, and watch God do big things in my life."
"#JamaicansBeLike *spends a 2 week vacation in the U.S. and comes home* What's up, my friend? Hey man, we're really living large out here! Real ones!","#JamaicansBeLike *spend two weeks in the States, come back home* Wassup, fam? Aye bruh, we out here livin’ big! Real ones!"
#jamaicansbelike I hope you know the man you're getting involved with! You might end up pregnant!,#jamaicansbelike I hope you know who you messin’ with! You might end up pregnant!
"""@jayTeamEnigma: @shawddy_mean You already know, right? So does that mean no work, no school, nothing? Yep. And Obama is being inaugurated today.""","@jayTeamEnigma: @shawddy_mean You already know, huh? So that mean no work, no school, nothin’? Yep. And Obama gettin’ sworn in today."
"""@Skip_Yardie: @shawddy_mean the Rastaman put in some hard, dirty work lol you need Jesus""","""@Skip_Yardie: @shawddy_mean the Rastaman been puttin in some real hard, dirty work lol you need Jesus"""
"@dessydutchess lol he has to work in the morning, just contact us tomorrow... Are you all in Henrico?","@dessydutchess lol he gotta work in the mornin, just hit us up tomorrow... Y’all in Henrico?"
I have to love @kerrywashington in Scandal. Why do they have me waiting? I want more Scandal next Thursday. :-(,I gotta love @kerrywashington in Scandal. Why they got me waitin’? I need more Scandal next Thursday. :-(
"Since I started watching that show on Style, I can't stop shopping at @JustFabOnline. I have a shopping problem, lol.","Ever since I started watchin that show on Style, I can't stop shoppin at @JustFabOnline. I got a shoppin problem, lol."
I wonder how that comedy show was tonight. Too bad I forgot about it; I would have gotten tickets.,I wonder how that comedy show was tonight. Too bad I forgot ’bout it; I woulda got tickets.
"Man, when my nieces get older, I hope they don't do the things I do.","Man, when my nieces get grown, I hope they don't be doin' the stuff I do."
"@_youngANDpreddy lol, you’re something else. I laugh at women like you with your worn-out vagina and no walls.","@_youngANDpreddy lol, you wild as hell. I be laughin’ at women like you wit’ yo’ ran-through coochie and no walls."
"@SmokeyComedyy: I hate when people call me by my nickname and I don't know them that well... like, do I even know you?","@SmokeyComedyy: I hate when folks call me by my nickname and I don’t even know them like that… like, do I even know you?"
That isn’t your girl—you’re taking her out and giving her money while I’m having sex with her.,That ain’t yo girl—you takin’ her out and givin’ her money while I’m sleepin’ with her.
"God gives you challenges so that you might fail, but you might also succeed and become a better person.","God give you challenges so you might mess up, but you might come out on top and be a better person too."
"I should say something, but what’s the point? I’m just going to make her mad again. :/","I should say somethin’, but what’s the point? I’m just gon’ make her mad again. :/"
I dislike overweight people; they should just fall into that pit from the movie 300.,I don’t like big folks; they needa just fall in that pit from the movie 300.
@ThisGirlDesi Go to sleep because I’m going to sleep at 12 so I can say happy anniversary first.,@ThisGirlDesi Go head and go to sleep cuz I’ma go to sleep at 12 so I can be the first to say happy anniversary.
"People are going to talk about you until the day you die, and you won't be able to stop it.","Folks gon’ talk ’bout you till the day you gone, and you ain’t gon’ be able to stop it."
When older people are really talking about something and it makes you feel regretful or depressed.,When old folks really get to talkin’ bout somethin’ and it got you feelin’ all regretful or low.
"If you can make some really good pancakes, Vienna sausages, or ramen (packet) noodles, I mess with you ^_^","If you can throw down on some bomb pancakes, Vienna sausages, or them ramen noodles, I rock wit you ^_^"
@Ay_Man56 I saw you at the stop sign today leaving Patton’s like you were in your own world.,"@Ay_Man56 I seen you at the stop sign today leavin Patton’s, lookin like you was in your own world."
"I wish my boyfriend would come home. He wants to be out with his cousins and them again tonight, maybe because I’m at school.","I wish my man would come home. He wanna be out wit his cousins and them again tonight, prolly ‘cause I’m at school."
I haven't talked to this boy in a while and he texted me and asked me if I was here.,I ain't talked to this boy in a minute and he hit me up askin if I was here.
"I really want to take that ride, but I would be wrong... So let me go home.","I really wanna take that ride, but I’d be wrong... So let me just go on home."
"Well done, man. Now I'm off to watch IACGMOOH, then play some WRC 2 on the Xbox 360. Talk to you later!","Good job, man. I’m ’bout to go watch IACGMOOH, then mess wit’ some WRC 2 on the Xbox 360. Holla at you later!"
That’s why I don’t do anything for people now—they don’t know how to pay me back.,That’s why I don’t do nothin’ for folks no more—they don’t know how to pay me back.
"Releasing great music for two weeks, CDs are selling well—you’d think I was working with Kanye.","Been droppin’ fire music for two weeks, CDs movin’ good—you’d swear I was out here workin’ wit’ Kanye."
People’s mothers are about to be upset that you all are still awake! @yaboydjjaybiz @502fmky @thedjrayray #502fmAfterDark There’s school tomorrow.,"Folk mamas ’bout to be mad y’all still up! @yaboydjjaybiz @502fmky @thedjrayray #502fmAfterDark School tomorrow, too."
"White boy was acting up; he asked, ""Where are you going after school?"" I said, ""Your house."" He said, ""That's exactly where I want you to go,"" haha.","White boy was actin’ up; he asked, “Where you goin’ after school?” I said, “Yo house.” He said, “That’s exactly where I want you to go,” lol."
"""@XSTROLOGY: #Cancer dislikes being alone; they are much happier when they marry for life. @NBI069""",@XSTROLOGY: #Cancer don’t really like bein’ by theyself; they way happier when they settle down for life. @NBI069
"""@DreamCatcher129 Same here, but unfortunately that won't happen. This year is all about focusing on myself...""","""@DreamCatcher129 Same here, but that ain’t gon’ happen. This year all ’bout focusin’ on myself..."""
I need to get my hair done or get a new style; I have dates lined up.,I gotta get my hair done or try a new style; I got some dates lined up.
"Your ex is your best friend, and you bring him to my house! That will get you slapped.","Yo ex yo best friend, an’ you bring him to my house! That’ll get you slapped."
"My friend told me to switch up my style. If they hate, let them hate, and watch the money pile up!","My friend told me switch up my style. If they hatin’, let ’em hate, and watch the money pile up!"
"Ja'nyah is getting on my nerves asking for her #sem, lol, but if she were here she wouldn't even mess with her.","Ja'nyah gettin on my nerves askin for her #sem, lol, but if she was here she wouldn't even mess wit it."
"Forgive me, Lord, I know I’m not living right. I have to feed my family because they have a big appetite!","Forgive me, Lord, I know I ain’t been livin’ right. Gotta feed my family, they got a big appetite!"
"All these women are interested in me, but I don’t commit to any of them. I have them running when it’s time for sex!","All these women be interested in me, but I don’t cuff none of ’em. I got ’em running when it’s time to get down!"
