aae_text,sae_text,sentiment,sentiment_score,raw_response
@LoVEme_ai I love yu lol i am after class..bt fina txt yu now cus I jus gt slick pissed.  .,"@LoVEme_ai I love you lol. I am out of class, but I’m going to text you now because I just got really upset.",positive,1,positive
@GritzN_Gravy right I need to cheer up because he's in a better place and people blaming honey cocaine,"@GritzN_Gravy You're right, I need to cheer up because he's in a better place and people are blaming Honey Cocaine.",negative,-1,negative
@iamfocus @melvinwjr @MaJorMaJeed ha ha ha pretty much that 97-2002 class was real smooth from every school,"@iamfocus @melvinwjr @MaJorMaJeed Haha, pretty much, that 1997-2002 class was really smooth at every school.",positive,1,positive
after school traffic at washington went down also soon as it got hot in the school year nigga left tech early to get to washington,"After-school traffic at Washington decreased. Also, as soon as it got warm during the school year, people left Tech early to get to Washington.",neutral,0,neutral
chicks would be scared to holla after the basketball games but would find a niga on blackplanet and get at me all the time lol lol,"Women would be too shy to talk to me after the basketball games, but they would find me on BlackPlanet and reach out to me all the time, haha.",neutral,0,neutral
@melvinwjr is too funny this nigga changed his name to his bp name lol lol lol,"@melvinwjr is so funny, he changed his name to his BlackPlanet name, lol lol lol.",neutral,0,neutral
@iamfocus yall sure did and we had a couple also i wanna thank the locker room at jackie robinson for letting me get head and fingerin game,"@iamfocus You all definitely did, and we had a couple as well. I also want to thank the locker room at Jackie Robinson for letting me receive oral sex and for the fingering experience.",neutral,0,neutral
@Miss_CamillaB i thought yall school had a sex scandal from all those nuns being in the same place with no penis around,@Miss_CamillaB I thought your school had a sex scandal because all those nuns were in the same place with no men around.,negative,-1,negative
its gonna be alot of headlights on this cold am the big nipples are out,There are going to be a lot of headlights this cold morning—the big nipples are out.,neutral,0,neutral
"""You don't mess with the Juice!n I gave you silk suits, blue diamonds and gucci handbags.n I gave you things you couldn't even pronounce!""","""You don't mess with the Juice! I gave you silk suits, blue diamonds, and Gucci handbags. I gave you things you couldn't even pronounce!""",negative,-1,negative
wheres is the jayer @Tiera_Nichole at with her goofy ass i saw her begging for change in the middle of the grand ave mall the other day ha,Where is Jayer @Tiera_Nichole with her silly self? I saw her begging for change in the middle of the Grand Avenue Mall the other day. Ha.,negative,-1,negative
Word of advice if its real cold dont let nobody use ya jacket trynna b a gentlemen you gon get the flu,"Here’s some advice: if it’s really cold, don’t let anyone use your jacket trying to be a gentleman—you’re going to catch the flu.",negative,-1,negative
"""It's freezing cold in my house but my mom still expects me to get up and put all these clothes away , hmm idk about it""","It’s extremely cold in my house, but my mom still expects me to get up and put all these clothes away. Hmm, I’m not so sure about that.",negative,-1,negative
@MrsStealUrGurl only the last half hour.. Bout to watch the beginning. But this headache is stopping me.,@MrsStealUrGurl Only the last half hour... I'm about to watch the beginning. But this headache is stopping me.,negative,-1,negative
So she just outed him to his wife cause he didn't give her the job. Smh.,So she revealed his secret to his wife because he didn’t give her the job. Shaking my head.,negative,-1,negative
She ain't gonna see anything unless I @ her cause she is a lil on the nice side.,"She won’t see anything unless I mention her, because she is a little on the quiet side.",neutral,0,neutral
Reconnecting with someone you've know for years that you have seen for a really long time... Priceless!,Reconnecting with someone you've known for years that you haven't seen in a really long time... Priceless!,positive,1,positive
Damn. Checks bank account. I think I'll pay my bills and stay my ass in Philly instead.,Damn. Checks bank account. I think I'll pay my bills and just stay in Philadelphia instead.,negative,-1,negative
Exactly why I need a change... Not being able to do what you want when you want it sucks!,This is exactly why I need a change... Not being able to do what you want when you want to is terrible!,negative,-1,negative
When people email you instead of texting or calling that means they shouldn't be talking to you in the first place.,"When people email you instead of texting or calling, it means they shouldn't be communicating with you in the first place.",negative,-1,negative
So at 2PM I was super tired. Now at almost 1AM my body is like naw it aint time to sleep yet. Wtf??,"So at 2PM I was very tired. Now, at almost 1AM, my body is like, ""No, it isn’t time to sleep yet."" What the heck?",negative,-1,negative
But then my alarm is gonna go off at 5:30 and I'm not gonna wanna get up,But then my alarm is going to go off at 5:30 and I’m not going to want to get up.,negative,-1,negative
I guess I need to lightly toast this bread so I can make a sandwich. Cause using the microwave proved to be a failure,"I suppose I need to lightly toast this bread so I can make a sandwich, because using the microwave turned out to be a failure.",neutral,0,neutral
I can see working with dude will guarantee me out of work late every time.,I can see that working with him will guarantee that I get out of work late every time.,negative,-1,negative
Finding this new thing to be quite interesting. I should have some fun with this...,I find this new thing quite interesting. I think I’ll have some fun with it…,positive,1,positive
Can't believe I came home at 4 and sat around in my jeans until just now. That's a first.,I can't believe I came home at 4 and sat around in my jeans until just now. That's a first.,neutral,0,neutral
@SaFcknMantha gotta find out if the folks still going down or not. But I'm going back when the boy gets outta school.,@SaFcknMantha I need to find out if everyone is still going or not. But I’m going back when my son gets out of school.,neutral,0,neutral
@MrsStealUrGurl I can't treat but if you find a friend makes sure he has another.,"@MrsStealUrGurl I can’t pay, but if you find a friend, make sure he has another one.",neutral,0,neutral
I swear I'm gonna go to sleep and its gonna feel like I gotta get right back up.,I swear I'm going to go to sleep and it's going to feel like I have to get right back up.,negative,-1,negative
As soon as I stop caring... Here you come.. Leave me in my friend zone! I'm cool there.,As soon as I stop caring... here you come. Leave me in my friend zone! I'm fine there.,negative,-1,negative
Last Tuesday I forgot my meds at home. This Tuesday will probably be no different.,"Last Tuesday, I forgot my medication at home. This Tuesday will probably be no different.",negative,-1,negative
"""If I ever say I think I'm from southwest please proceed to smack the sh*t outta me!""","""If I ever say that I think I'm from Southwest, please proceed to smack the shit out of me!""",negative,-1,negative
"""Somebody ask me where you from.. My first answer is Philly. They wanna know where in Philly and Imma tell em. But if I say I think.....""","Someone asks me where I’m from… My first answer is Philadelphia. They want to know where in Philadelphia, and I’ll tell them. But if I say I think…",neutral,0,neutral
Hardest I've ever worked In one day in 4.5 years. I still don't like the job tho.,"This is the hardest I have worked in a single day in 4.5 years. I still do not like the job, though.",negative,-1,negative
Females are the pettiest people.. I see why mfs don't like havin none or too many as friends..,Women are the pettiest people. I see why people don’t like having any or too many as friends.,negative,-1,negative
She didn't leave you for making too many mistakes she left because you made the same mistakes too many times..,She didn’t leave you because you made too many mistakes; she left because you made the same mistakes too many times.,negative,-1,negative
Lol dumb ass  if I say half the girls I fucked or saw naked I fuck yo life up,"Lol, idiot. If I mentioned half the girls I’ve slept with or seen naked, I’d ruin your life.",negative,-1,negative
I don't get girls they try there hardest to fuck with a nigga who might have there back or might look out for you cause he talk that cash,I don't understand girls—they try their hardest to get involved with a guy who might support them or look out for them just because he talks about money.,negative,-1,negative
Smh what are you gone dick suck let me guess whatever team that's winning Smh where are the true fans,"Shaking my head, what are you going to support—let me guess, whichever team is winning. Shaking my head, where are the true fans?",negative,-1,negative
I hate people that just swear they be mad all the time bitch smoke some weed and be happy,I dislike people who always claim they're angry. Just smoke some weed and be happy.,neutral,0,neutral
Girls like girls boys like boys it don't matter to me just don't fake it you are who you are,"Girls like girls, boys like boys—it doesn't matter to me. Just don't pretend; you are who you are.",positive,1,positive
Damn that way I miss girl cuz I know she would drink with and blow that loud.,"Damn, that's why I miss her, because I know she would drink with me and smoke that loud.",neutral,0,neutral
I'm so use to the past I don't know if I can take what's happening now,I'm so used to the past that I don't know if I can handle what's happening now.,negative,-1,negative
I try fuck with one girl but she keep swearing u fuck with other girls,"I try to be with one girl, but she keeps insisting that I’m involved with other girls.",negative,-1,negative
Sometimes ii Feel ii talk Da Most Shit..Bt Den ii B Like..Who Da Fukk Gone Check Me..??,"Sometimes I feel like I talk the most trash, but then I’m like, who the hell is going to check me?",negative,-1,negative
Bitches give Dey self a reason too hate Me..Hell Y not jus Make it 2.!,"Women give themselves a reason to hate me... Hell, why not just make it two!",negative,-1,negative
Everybody walking around wanna B Bad...But wen it Aww Boils Down Dese Bitches ain't Bad after aww.!,"Everyone is walking around wanting to be tough... But when it all comes down to it, these people aren't really tough after all.",negative,-1,negative
You Can't B happy having So Much hatred in Yo life#Some Shit ain't gone turn out right.!,You can't be happy having so much hatred in your life. Some things just aren't going to turn out right.,negative,-1,negative
Mii nose Making Me Mad af I swear..It's aww Stopped up in Shit..Fucking With me..A nigga Can't Fuckin Breath fr,"My nose is making me really mad, I swear. It's all stuffed up and bothering me. I can't even breathe for real.",negative,-1,negative
Can't wait for duflocka rant 2 shit gonna be hard ass fuck like tht metal jacket2,"I can't wait for Duflocka Rant 2; it's going to be extremely hard, just like that Metal Jacket 2.",positive,1,positive
@TupacShakur____: Inside my mind couldn't find a place to rest. Until I got that Thug Life tatted on my chest. Tupac,"@TupacShakur____: Inside my mind, I couldn't find a place to rest until I got ""Thug Life"" tattooed on my chest. —Tupac",neutral,0,neutral
Finna watch this movie and wait for the bae to finish getting his hair done,About to watch this movie and wait for my boyfriend to finish getting his hair done.,neutral,0,neutral
"""@adriane_317: Cheating is a choice, not a mistake. If you had time to cheat, you had time to think about it.""","""Cheating is a choice, not a mistake. If you had time to cheat, you had time to think about it.""",negative,-1,negative
My bae gone tell me nt to wear my favorite color fuck kinda drugs he smoking,My boyfriend is going to tell me not to wear my favorite color—what kind of drugs is he on?,negative,-1,negative
@iKillajay Your  Welcome Love. Seen Your Videos Too You & @iiDayDay Make A Dope Team. Juss Saying,"@iKillajay You're welcome, love. I've seen your videos too. You and @iiDayDay make a great team. Just saying.",positive,1,positive
I hope my momma go take me to get a tattoo soon like she said,I hope my mom is going to take me to get a tattoo soon like she said.,neutral,0,neutral
@Queensboromafia how you gone tell me to dm you but you dont dm back -_-,@Queensboromafia How are you going to tell me to DM you but then not DM me back? -_-,negative,-1,negative
@LeviDenimFlow you and @Mr_StealYoPlate  should be asleep you guys have class tomorrow n it's almost 2:00! Shame on yall,@LeviDenimFlow you and @Mr_StealYoPlate should be asleep; you both have class tomorrow and it's almost 2:00! Shame on you all.,negative,-1,negative
@AlexisF__ sorry it won't happen again bae lov u u my world I dnt wanna lose u,"@AlexisF__ Sorry, it won't happen again, babe. Love you. You are my world. I don't want to lose you.",positive,1,positive
Boi me an my gf broke up smh. Now i need a friend 2 talk 2,"Boy, my girlfriend and I broke up, shaking my head. Now I need a friend to talk to.",negative,-1,negative
One thing about me ill never tell nobody nun wrong because I then already been there & learnt from it!,One thing about me is I'll never tell anyone anything is wrong because I’ve already been through it and learned from it!,neutral,0,neutral
"""@FamousWomen: Wherever you go, no matter what the weather, always bring your own sunshine. - Anthony J. D'Angelo""","""@FamousWomen: Wherever you go, no matter what the weather is like, always bring your own sunshine. - Anthony J. D'Angelo""",positive,1,positive
Dat shyt gone put me rite bak ta sleep n dats wastin it .... nvm,That stuff is going to put me right back to sleep and that's wasting it... never mind.,negative,-1,negative
Now dat I left school my attitude is now a good one n# thank god,"Now that I have left school, my attitude is better now and thank God.",positive,1,positive
@TweetWatching_ ...... Cuz ma mom aint pay da bill n I had money for it n dis rump-a-skunk sid spend it so I bought other shyt wit it -_-,"@TweetWatching_ ...... Because my mom didn’t pay the bill and I had money for it, but this person went and spent it, so I bought other stuff with it -_-",negative,-1,negative
"""@WatchYa_Aim Lol  , You Coulda Looked Over It & Act Like Yeen C It . & Terry Want Yo # .""","""@WatchYa_Aim Lol, you could have just ignored it and acted like you didn’t see it. And Terry wants your number.""",neutral,0,neutral
@JERRI_NoTom Stfu  .  You Know I Fwu 103 TouGh  ( : You MY Nigga Foo '  .,"@JERRI_NoTom Be quiet. You know I mess with you 103 percent, for real. You're my close friend.",neutral,0,neutral
"""I Love My Team  ,  We All That Get Money Shit . Fucc That Hot Shit  .""",I love my team. We’re all about making money. Forget that drama.,positive,1,positive
"""Lol  ,  Lelani Is NOT Finna Blow My High   !   With Her Stupid Ass @Aha_LadyBug  .""","Lol, Lelani is NOT going to ruin my good mood! With her foolish self @Aha_LadyBug.",negative,-1,negative
"""@Aha_LadyBug Lol   ,  Im High Bitch I Thought I Asked . Damn Hoe , Excuse The Weed   .""","""@Aha_LadyBug Lol, I'm high, I thought I asked. Damn, sorry, excuse the weed.""",negative,-1,negative
"""In Memphis Its A Bunch of Hoes , Broke Niggas , & Bullshit  .  Thats Why I Gotta Get Tf Away From Here  .""","In Memphis, there are a lot of promiscuous women, broke men, and nonsense. That’s why I have to get away from here.",negative,-1,negative
"""I Need To Learn How To Control My Temper  ,  Ima Real Ass Hothead  .""",I need to learn how to control my temper. I’m really a hothead.,negative,-1,negative
"""Idgaf Who You Is , Young or Old , Ima Say Whatever I Got To Say !""","I don’t care who you are, young or old, I’m going to say whatever I have to say!",negative,-1,negative
I wanna scream and shout and let it all outtt and scream and shout and let it out we sayin' ohhhweeee oh we oh we ohhhhh!,"I want to scream and shout and let it all out, and scream and shout and let it out. We're saying, ""Oh, we, oh we, oh we, oh!""",positive,1,positive
"""Not sure if it's your pride that's too high or if this is really you, but damn.""","I'm not sure if your pride is just too strong or if this is truly who you are, but wow.",negative,-1,negative
"""@TunechiS_LADY I KNOW YOU NOT ARGUING ON THIS SOCIAL NETWORK, which is what these Mfs wanna see?""","@TunechiS_LADY I know you are not arguing on this social network, which is exactly what these people want to see.",negative,-1,negative
"""im chilling until later, cause my bed & i taking care of some unfinished business !""","I'm relaxing until later, because my bed and I are taking care of some unfinished business!",positive,1,positive
Not goin to sleep til she wake dat ass up and call me so until then..... #teamupalldamnnight!!!,"I’m not going to sleep until she wakes up and calls me, so until then… #teamupalldamnnight!!!",neutral,0,neutral
If ian give #oomf that money to hold I'll be shit outta luck and broke af!!,"If I don’t give one of my followers that money to hold, I’ll be completely out of luck and very broke!",negative,-1,negative
Not feelin good and Tyiah just low key pissed me tf off for the day!!,"I'm not feeling well, and Tyiah just really annoyed me for the day!",negative,-1,negative
I came just to get my hair did ... but ha girl made it ha business to be there Smh....,I came just to get my hair done ... but her friend made it her business to be there. Shaking my head....,neutral,0,neutral
Aye tell ya girl she gone have to step ha game up. :) ..... and yess this one for u too!!,"Hey, tell your girl she’s going to have to step her game up. :) … and yes, this one is for you too!",positive,1,positive
The fact that she ain't even try to call or text me since I hung up ..... cool!,The fact that she hasn't even tried to call or text me since I hung up... cool!,negative,-1,negative
@nado_wifey lmao man u really need to grammar check your tweets you sound dumb ass fuck!,"@nado_wifey LOL, man, you really need to grammar check your tweets—you sound dumb as fuck!",negative,-1,negative
"""Bitchhhhhhh , Who Tf You Think You Is. This Bitch Just Walked Upstairs. O_O Where They Do That At?""",Who do you think you are? This woman just walked upstairs. Where does that even happen?,negative,-1,negative
"""@GheezLoiKei I Know That's Why I Said It , Lol But One Day Ima Get You HIGH ! #BelieveThat""","""@GheezLoiKei I know, that’s why I said it. Lol. But one day I’m going to get you high! #BelieveThat""",positive,1,positive
@TeamBoosieBoo: God wouldn't put u through nothing u cant handle. What dont kill u makes u stronger!,@TeamBoosieBoo: God wouldn't put you through anything you can't handle. What doesn't kill you makes you stronger!,positive,1,positive
"""@Contract_cKilla You Already Know I'm Gone Be On Cloud 3,000 When I Go Up In There.""",@Contract_cKilla You already know I’m going to be extremely excited when I go in there.,positive,1,positive
@SHOOTER__X I Just Been Chilling. Can't Wait Till Spring Break Or Summer So I Can See All Y'all.,@SHOOTER__X I’ve just been relaxing. I can’t wait until spring break or summer so I can see all of you.,positive,1,positive
@simply__ari You Think I Don't Be Ducking Below Them Windows. I Value My Life !,@simply__ari You think I don’t duck below those windows? I value my life!,neutral,0,neutral
If anybody got a probelm W/ Steffanie Keep it 1Hunna & let it be KNOWN !,"If anyone has a problem with Steffanie, be honest and make it known!",neutral,0,neutral
"""@AllSmilesAlways Nahh , I Wanted To ... But Too Many People Were Around So I Had To Thug It Out.""","@AllSmilesAlways No, I wanted to, but there were too many people around so I had to tough it out.",neutral,0,neutral
Anybody Who Knows Me Should Know That I'm One Of The Nicest People You'll Ever Meet ................Unless I Don't Like You.,Anyone who knows me should know that I am one of the nicest people you will ever meet... unless I do not like you.,neutral,0,neutral
I Wanna Let You Know How I REALLY Feel ; But My Pride Won't Let Me.,"I want to let you know how I really feel, but my pride won't let me.",negative,-1,negative
""" @ItsMe_Pootie: Price Tag On yo Head , Leave you laying where ya stand ! ""","""@ItsMe_Pootie: There’s a price on your head; I’ll leave you lying where you stand!""",negative,-1,negative
@Thugg__Life: When I Tell You I Love You That Shit Be True To Me !,"@Thugg__Life: When I tell you I love you, I truly mean it!",positive,1,positive
Beef is wen you make mistakes less burgers wit your niggas more steak with snakes,"Beef is when you make mistakes—fewer burgers with your friends, more steak with snakes.",negative,-1,negative
I think we can all agree that the real winner in this Te'o fiasco is Catfish,I think we can all agree that the real winner in this Te'o fiasco is Catfish.,neutral,0,neutral
I probably didn't put a lot of mrs Myra's BBQ sauce on my chicken tonight,I probably didn’t put much of Mrs. Myra’s BBQ sauce on my chicken tonight.,neutral,0,neutral
Don't feel bad about this loss. This is what state is supposed to do. Glad to see some fight in the heels late,Don’t feel bad about this loss. This is what State is supposed to do. I’m glad to see some fight in the Heels at the end.,positive,1,positive
@Im_KENYATTA Aweee True Imma Be There All Week Next Week! Though They Goofy Ass Suspended Me Lol Imma Be Good Next Week,"@Im_KENYATTA Aww, that's true. I’m going to be there all week next week! Even though their silly selves suspended me, lol, I’m going to behave next week.",positive,1,positive
@_YouReadyB i'm goin somewhere @ 12 Imma get chyna to come get you when I'm done,@_YouReadyB I'm going somewhere at 12. I'll have Chyna come get you when I'm done.,neutral,0,neutral
@_CashoutDetroit I dny hav a msg unless u tlkn bout on meet me bt idc fuck u go bk ta dat btc bye,"@_CashoutDetroit I don’t have a message unless you’re talking about on MeetMe, but I don’t care, fuck you, go back to that bitch, bye.",negative,-1,negative
The World Iz Urz Young Nigga What U Gonna Do Wit It Watch It Make It Work,"The world is yours, young man. What are you going to do with it? Watch it, make it work.",neutral,0,neutral
@alleyboydte @IaMelinaEros I Phuck Wit Alley Lano Nigga East Baltimore Latrobe Dat Aint All Our Projects Thoe,"@alleyboydte @IaMelinaEros I mess with Alley Lano, man. East Baltimore, Latrobe. But that's not all of our projects though.",neutral,0,neutral
Rappers Talkin Trappin Never Seen Ah Hunna Mill If U Audamear aint 100 den ya shit aint real b gone bitch whoop meek Voice Ball2More City,"Rappers talk about trapping but have never seen a hundred million. If your Audemars isn’t a hundred (thousand), then your stuff isn’t real. Be gone, bitch. (In Meek Mill’s voice.) Baltimore City.",neutral,0,neutral
@liciarie Love Chi Town Yall Gotta Chill On Da Killin Make It Work Yo Gotti Voize Dats Why Im Dolo Ball2More Love Thoe Everybody N Da Chi,"@liciarie I love Chicago. You all need to calm down with the violence and try to make things work—in Yo Gotti’s voice. That’s why I’m alone in Baltimore. Much love to everyone in Chicago, though.",positive,1,positive
Hatin AintN Gon Get U Now Were But NA Box Stay Lo Shushh Mob Secrets,"Hating isn’t going to get you anywhere, but in a box. Stay low and quiet—mob secrets.",negative,-1,negative
@therealstylesp U Aint Lying Ghost Shit Killin Me Lion Pride Im listenind 2Dis 4Da Rest of Life,"@therealstylesp You aren’t lying, Ghost. This is amazing. Lion pride. I’m going to be listening to this for the rest of my life.",positive,1,positive
