sae_text,sentiment
Obstacles bring you closer to God. Now... do you see why they're necessary? JUST REMEMBER: Your best is yet to come.,positive
Funny statistic... Twitter activity is down 40% on legal holidays when government offices are closed. Wow! That says a lot about what you all do all day!,neutral
Today was a great day to be an American! And being African American made the occasion even more meaningful. #ProudBlackMan,positive
Anyone who left their animal outside tonight should have to go out there with them. #CruelPeople,negative
"#ThirdShift... Bring it on! We aren't scared! Snow? We laugh at snow! **in my quiet, timid voice** {{Please, Baby Jesus... Not tonight}} LOL!",positive
#RealLife... Some things are learned and don’t come with a scripture. (That one is for the churchgoers.),neutral
"I'm so intoxicated, my friend, I'm about to disappear in this place... Like poof! There goes my roof... Pow! There goes my hammer.",negative
"I have a headache, right? I drank some frozen Kool-Aid really fast, right? Got brain freeze... The headache is gone... Boom!",positive
"My whole life was a battle... I made moves with horses—no saddle, just rattle.",negative
I strive for the gold... And choose my own things. Move bricks I’ll break and then go sell the whole load.,positive
"Do I hear my code... Unless you’re not blessed to understand, I’m a man that got caught up in this mess.",negative
"I love you, Sorya, and I want you to know you do have a friend, and I’m here for you no matter what, as a friend. I don’t want to see anything happen.",positive
@KardinalRule @PAUL_THE_GREAT Was that supposed to be a joke? That was not funny! Better luck next time :-),negative
"Relationships are what you make them, so don’t be so difficult about things and your relationships will last longer.",positive
"@2Slick__ The next time I’m in Jamaica, I suppose—unless you’re planning a trip to New York City in the near future?!",neutral
"@conceited_CASHE soon! I might have that hookup for you, lol... But you just make sure you call me and we’ll talk about this.",positive
"@LoVEme_ai I looked around at 2:13 a.m. and suddenly jumped up and said, ""Self!?"" I told myself, ""Huh?"" Then I said, ""Girl, you forgot to call Ai!"" And I said, ""Damn!""",neutral
"@LoVEme_ai I love you lol. I am out of class, but I’m going to text you now because I just got really upset.",positive
"@GritzN_Gravy You're right, I need to cheer up because he's in a better place and people are blaming Honey Cocaine.",negative
"@iamfocus @melvinwjr @MaJorMaJeed Haha, pretty much, that 1997-2002 class was really smooth at every school.",positive
"After-school traffic at Washington decreased. Also, as soon as it got warm during the school year, people left Tech early to get to Washington.",neutral
"Women would be too shy to talk to me after the basketball games, but they would find me on BlackPlanet and reach out to me all the time, haha.",positive
"@melvinwjr is so funny, he changed his name to his BlackPlanet name, lol lol lol.",positive
"@iamfocus You all definitely did, and we had a couple as well. I also want to thank the locker room at Jackie Robinson for letting me receive oral sex and for the fingering experience.",positive
@Miss_CamillaB I thought your school had a sex scandal because all those nuns were in the same place with no men around.,negative
There are going to be a lot of headlights this cold morning—the big nipples are out.,neutral
"""You don't mess with the Juice! I gave you silk suits, blue diamonds, and Gucci handbags. I gave you things you couldn't even pronounce!""",positive
Where is Jayer @Tiera_Nichole with her silly self? I saw her begging for change in the middle of the Grand Avenue Mall the other day. Ha.,negative
"Here’s some advice: if it’s really cold, don’t let anyone use your jacket trying to be a gentleman—you’re going to catch the flu.",negative
"It’s extremely cold in my house, but my mom still expects me to get up and put all these clothes away. Hmm, I’m not so sure about that.",negative
@MrsStealUrGurl Only the last half hour... I'm about to watch the beginning. But this headache is stopping me.,negative
So she revealed his secret to his wife because he didn’t give her the job. Shaking my head.,negative
"She won’t see anything unless I mention her, because she is a little on the quiet side.",neutral
Reconnecting with someone you've known for years that you haven't seen in a really long time... Priceless!,positive
Damn. Checks bank account. I think I'll pay my bills and just stay in Philadelphia instead.,negative
This is exactly why I need a change... Not being able to do what you want when you want to is terrible!,negative
"When people email you instead of texting or calling, it means they shouldn't be communicating with you in the first place.",negative
"So at 2PM I was very tired. Now, at almost 1AM, my body is like, ""No, it isn’t time to sleep yet."" What the heck?",negative
But then my alarm is going to go off at 5:30 and I’m not going to want to get up.,negative
"I suppose I need to lightly toast this bread so I can make a sandwich, because using the microwave turned out to be a failure.",negative
I can see that working with him will guarantee that I get out of work late every time.,negative
I find this new thing quite interesting. I think I’ll have some fun with it…,positive
I can't believe I came home at 4 and sat around in my jeans until just now. That's a first.,neutral
@SaFcknMantha I need to find out if everyone is still going or not. But I’m going back when my son gets out of school.,neutral
"@MrsStealUrGurl I can’t pay, but if you find a friend, make sure he has another one.",negative
I swear I'm going to go to sleep and it's going to feel like I have to get right back up.,negative
As soon as I stop caring... here you come. Leave me in my friend zone! I'm fine there.,negative
"Last Tuesday, I forgot my medication at home. This Tuesday will probably be no different.",negative
"""If I ever say that I think I'm from Southwest, please proceed to smack the shit out of me!""",negative
"Someone asks me where I’m from… My first answer is Philadelphia. They want to know where in Philadelphia, and I’ll tell them. But if I say I think…",neutral
"This is the hardest I have worked in a single day in 4.5 years. I still do not like the job, though.",negative
Women are the pettiest people. I see why people don’t like having any or too many as friends.,negative
She didn’t leave you because you made too many mistakes; she left because you made the same mistakes too many times.,negative
"Lol, idiot. If I mentioned half the girls I’ve slept with or seen naked, I’d ruin your life.",negative
I don't understand girls—they try their hardest to get involved with a guy who might support them or look out for them just because he talks about money.,negative
"Shaking my head, what are you going to support—let me guess, whichever team is winning. Shaking my head, where are the true fans?",negative
I dislike people who always claim they're angry. Just smoke some weed and be happy.,negative
"Girls like girls, boys like boys—it doesn't matter to me. Just don't pretend; you are who you are.",neutral
"Damn, that's why I miss her, because I know she would drink with me and smoke that loud.",negative
I'm so used to the past that I don't know if I can handle what's happening now.,negative
"I try to be with one girl, but she keeps insisting that I’m involved with other girls.",negative
"Sometimes I feel like I talk the most trash, but then I’m like, who the hell is going to check me?",neutral
"Women give themselves a reason to hate me... Hell, why not just make it two!",negative
"Everyone is walking around wanting to be tough... But when it all comes down to it, these people aren't really tough after all.",negative
You can't be happy having so much hatred in your life. Some things just aren't going to turn out right.,negative
"My nose is making me really mad, I swear. It's all stuffed up and bothering me. I can't even breathe for real.",negative
"I can't wait for Duflocka Rant 2; it's going to be extremely hard, just like that Metal Jacket 2.",positive
"@TupacShakur____: Inside my mind, I couldn't find a place to rest until I got ""Thug Life"" tattooed on my chest. —Tupac",neutral
About to watch this movie and wait for my boyfriend to finish getting his hair done.,neutral
"""Cheating is a choice, not a mistake. If you had time to cheat, you had time to think about it.""",negative
My boyfriend is going to tell me not to wear my favorite color—what kind of drugs is he on?,negative
"@iKillajay You're welcome, love. I've seen your videos too. You and @iiDayDay make a great team. Just saying.",positive
I hope my mom is going to take me to get a tattoo soon like she said.,positive
@Queensboromafia How are you going to tell me to DM you but then not DM me back? -_-,negative
@LeviDenimFlow you and @Mr_StealYoPlate should be asleep; you both have class tomorrow and it's almost 2:00! Shame on you all.,negative
"@AlexisF__ Sorry, it won't happen again, babe. Love you. You are my world. I don't want to lose you.",positive
"Boy, my girlfriend and I broke up, shaking my head. Now I need a friend to talk to.",negative
One thing about me is I'll never tell anyone anything is wrong because I’ve already been through it and learned from it!,positive
"""@FamousWomen: Wherever you go, no matter what the weather is like, always bring your own sunshine. - Anthony J. D'Angelo""",positive
That stuff is going to put me right back to sleep and that's wasting it... never mind.,negative
"Now that I have left school, my attitude is better now and thank God.",positive
"@TweetWatching_ ...... Because my mom didn’t pay the bill and I had money for it, but this person went and spent it, so I bought other stuff with it -_-",negative
"""@WatchYa_Aim Lol, you could have just ignored it and acted like you didn’t see it. And Terry wants your number.""",neutral
"@JERRI_NoTom Be quiet. You know I mess with you 103 percent, for real. You're my close friend.",positive
I love my team. We’re all about making money. Forget that drama.,positive
"Lol, Lelani is NOT going to ruin my good mood! With her foolish self @Aha_LadyBug.",negative
"""@Aha_LadyBug Lol, I'm high, I thought I asked. Damn, sorry, excuse the weed.""",neutral
"In Memphis, there are a lot of promiscuous women, broke men, and nonsense. That’s why I have to get away from here.",negative
I need to learn how to control my temper. I’m really a hothead.,negative
"I don’t care who you are, young or old, I’m going to say whatever I have to say!",negative
"I want to scream and shout and let it all out, and scream and shout and let it out. We're saying, ""Oh, we, oh we, oh we, oh!""",neutral
"I'm not sure if your pride is just too strong or if this is truly who you are, but wow.",negative
"@TunechiS_LADY I know you are not arguing on this social network, which is exactly what these people want to see.",negative
"I'm relaxing until later, because my bed and I are taking care of some unfinished business!",positive
"I’m not going to sleep until she wakes up and calls me, so until then… #teamupalldamnnight!!!",positive
"If I don’t give one of my followers that money to hold, I’ll be completely out of luck and very broke!",negative
"I'm not feeling well, and Tyiah just really annoyed me for the day!",negative
I came just to get my hair done ... but her friend made it her business to be there. Shaking my head....,negative
"Hey, tell your girl she’s going to have to step her game up. :) … and yes, this one is for you too!",neutral
The fact that she hasn't even tried to call or text me since I hung up... cool!,negative
"@nado_wifey LOL, man, you really need to grammar check your tweets—you sound dumb as fuck!",negative
Who do you think you are? This woman just walked upstairs. Where does that even happen?,negative
"""@GheezLoiKei I know, that’s why I said it. Lol. But one day I’m going to get you high! #BelieveThat""",positive
@TeamBoosieBoo: God wouldn't put you through anything you can't handle. What doesn't kill you makes you stronger!,positive
@Contract_cKilla You already know I’m going to be extremely excited when I go in there.,positive
@SHOOTER__X I’ve just been relaxing. I can’t wait until spring break or summer so I can see all of you.,positive
@simply__ari You think I don’t duck below those windows? I value my life!,negative
"If anyone has a problem with Steffanie, be honest and make it known!",neutral
"@AllSmilesAlways No, I wanted to, but there were too many people around so I had to tough it out.",negative
Anyone who knows me should know that I am one of the nicest people you will ever meet... unless I do not like you.,neutral
"I want to let you know how I really feel, but my pride won't let me.",negative
"""@ItsMe_Pootie: There’s a price on your head; I’ll leave you lying where you stand!""",negative
"@Thugg__Life: When I tell you I love you, I truly mean it!",positive
"Beef is when you make mistakes—fewer burgers with your friends, more steak with snakes.",negative
I think we can all agree that the real winner in this Te'o fiasco is Catfish.,neutral
I probably didn’t put much of Mrs. Myra’s BBQ sauce on my chicken tonight.,neutral
Don’t feel bad about this loss. This is what State is supposed to do. I’m glad to see some fight in the Heels at the end.,positive
"@Im_KENYATTA Aww, that's true. I’m going to be there all week next week! Even though their silly selves suspended me, lol, I’m going to behave next week.",positive
@_YouReadyB I'm going somewhere at 12. I'll have Chyna come get you when I'm done.,neutral
"@_CashoutDetroit I don’t have a message unless you’re talking about on MeetMe, but I don’t care, fuck you, go back to that bitch, bye.",negative
"The world is yours, young man. What are you going to do with it? Watch it, make it work.",positive
"@alleyboydte @IaMelinaEros I mess with Alley Lano, man. East Baltimore, Latrobe. But that's not all of our projects though.",neutral
"Rappers talk about trapping but have never seen a hundred million. If your Audemars isn’t a hundred (thousand), then your stuff isn’t real. Be gone, bitch. (In Meek Mill’s voice.) Baltimore City.",negative
"@liciarie I love Chicago. You all need to calm down with the violence and try to make things work—in Yo Gotti’s voice. That’s why I’m alone in Baltimore. Much love to everyone in Chicago, though.",positive
"Hating isn’t going to get you anywhere, but in a box. Stay low and quiet—mob secrets.",negative
"@therealstylesp You aren’t lying, Ghost. This is amazing. Lion pride. I’m going to be listening to this for the rest of my life.",positive
"If you’re my friend, you’re my friend then! I definitely don’t need any new friends—where have you been?",negative
"I heard he had sex with her. Oh well, I don't care. She's not my girlfriend. I can't stand her.",negative
"I want to cuddle with a girl, but she’s at her grandma’s house, so I’m just going to go back to sleep.",neutral
"I go hard for my squad. Squad! Alright! 039 stuff. Forget the opposition, forget Lawless and them, forget those guys. Take losses. Forget Cess.",positive
"@TreatMe_EatMe_ because I know I’m going to be up all night, but in the morning I’m going to be really sleepy.",neutral
"@Tokiyo_Trending Ragene, stop tweeting at me. You're just upset because I don't want you. I've moved on. Goodbye. Stop talking to me—we have nothing else to discuss.",negative
"LOL, I don't want her to wear any panties tomorrow when she comes over, for real.",neutral
"""@NuNuGhee: I don't trust people. I think anybody could set me up! True stuff. #TRUSTNONE""",negative
People don’t know what it means to keep their word anymore. That’s why my trust is messed up! But I would die to keep my word.,negative
"Some people expect women to perform oral sex or do even more, I suppose. In that case, I guess I'll never go on a date. LMAO",negative
Ask me to come see you at a game and then you don’t even talk to me. #wtf,negative
"I love attractive women, that’s my problem, and yes, I like to have sex—I have a serious problem.",negative
"Aww, the head manager of West Orange Burger King called me and thanked me for working there, and said he wants me to work there in the summer.",positive
"@kiss_my_lips18 Mmm hmm, that's what it sounds like to me. My baby's godmother can't be into that, lol.",neutral
I was thinking about going to the mall on Monday since I have the day off... I’m not sure though.,neutral
"@ILoveAvis I know it does. I remember the last time I went—I kept falling down. I thought I was going to break my ankle in the process, lol.",negative
@ChanTheMan19 Did you see they put him in the conference championship game and he made two big catches?,positive
"Thank you, Lord, for waking me up this morning. Please give me the strength because these people are getting on my nerves.",neutral
I wonder how many men can lie next to a woman all night and not have sex with her.,negative
You know the sex is good when it always feels like the first time again.,positive
"I’m doing pretty well at not talking to my mom… it’s been two days, I think… HARDCORE.",negative
The Celtics lost to the Bulls and are now 20-19 for the season. Just take it one game at a time for number #oomf!,negative
"Chief Keef is 17 years old. His child's mother is in the 8th grade, and he is currently in juvenile detention for violating probation. This is your role model?",negative
"Future is like the new T-Pain. He sounds good singing the chorus, but I’m not so sure about him on the entire song.",neutral
"I have so much to do today, but my first priority this morning was to spend time with my little girl.",positive
"Lol, I just called my boyfriend to tell him that I’m going to join the army. We’re going to get married and be together forever.",positive
"I think I’m going to get my hair braided! I’m taking one weekend off, just for me and him.",positive
"Some things are not meant to be said, and I was about to say something, but I’m not going to.",neutral
"I know he sees me tweeting this, and it’s the truth. If it weren’t for him, I wouldn’t love again.",positive
My aunt is crazy though... I don't know why she thinks I'm pregnant! I have to go.,negative
"I wish I were with my significant other, but overall, I enjoyed my day with my coworkers.",positive
"Your son and I have something special going on. Don’t try to ruin it, or there will be consequences.",negative
"@CoCoChanel_92 Yes, yes... But now that I work, I get my own. I'm going to have a couple of kids so he can spoil them.",positive
"It seems like every child is calling me Aunt Kisha or thinks I’m their big sister who doesn’t care about them at all, lol.",neutral
"""I'm not rushing it, I'm just ready to get that stuff out of the way ...""",neutral
"No one likes drama except for him... It's all good, I only have a couple of months left.",negative
"""@x_Monaeee Please don’t tag me now. You weren’t a few seconds ago. You have guys fighting your battles, but you’re still the same cowardly person.""",negative
"I like him too much to stop, but I love him way too much to keep going. I think I know what I have to do.",negative
"Women are still upset that Rihanna got back together with Chris Brown, as if you all don’t keep taking back the same unreliable guy every two weeks!",negative
"TWITTER: Gets #horny around 3 and 4. It’s like a #hotline, but only on your timeline.",positive
"@rouseyG_boss I understand that, don’t write me a statement lol, but if you invited her, you’re paying! Did this happen to you?",neutral
"""@ImDearlyBeloved Oh my gosh, my sister. Haha, this girl! I love being around her; she makes me happy, which is rare! She's a keeper.""",positive
"""You changed my whole life. I don’t know what you’re doing to me with your love. I’m feeling completely superhuman—you did this to me!""",positive
@FUk_A_FAiryTale I know you do hear them. Squeeze—what are you going to do? Fuck and suck him up too?,negative
"To be honest, I don’t know. I told Aaliyah you were just joking, and she said, “Oh well, Sabrina knows now.”",neutral
"It’s undeniable that we should be together. It’s unbelievable how I used to say that I would never fall. The point is, you need to know how I feel if you don’t already know.",positive
"@IonLuvTheseH_s Damn, I thought you and I were better than this. I thought you liked me.",negative
"You saying that’s your girl doesn’t mean anything, like prank callers, because it’s a small world and unfaithful women make it even smaller.",negative
"So when they lose in the Super Bowl, where is your bandwagon fan going to be then?",negative
"@Quise_Sosa Yeah, I'm about to go to my aunt's house because it's my little cousin's birthday, but I'll be back.",neutral
"God, forgive me for the sins I have committed and the ones I will commit in the future.",negative
"Hey, this girl at school today tried to insult me. Oh no, she was a joke, not worth my time—I really put her in her place. I'm cracking up.",positive
"""Life is fair—made up of millions of moments—most of them glorious. -Douglas Holzmeier""",positive
My room is not messy; it is an obstacle course designed to keep me fit.,positive
"People make me laugh when they say I'm really thick. Come on now, I'm not that thick.",neutral
"There’s nothing like the first time. I’m trying to tell you, I can blow your mind.",positive
"I did you wrong, you did me wrong. I'll take you back if you take me back.",neutral
"Laughing out loud, this guy is about to turn 21 and got a 16-year-old pregnant. #Maury",negative
"I beat Josh in NBA 2K13 today with LeBron. He beat me badly in Madden, but I destroyed him in 2K. #SouthBeachIsKING",positive
I wonder if the people who don’t deserve what I want go through what I go through...,negative
Letting the right person come to me. I'm not waiting for anyone at this point.,neutral
@BigGhostFASE he’s done that his entire career. Why stop now? It obviously worked out alright for him.,neutral
"@Big__Reed @ChocoVelvetBone @MsShellyNicole If you mess with my big brother, I'll have you sleeping with the fishes!",negative
"I kind of miss my State friends. I get to see them next week, so it’s all good!",positive
"I’m supposed to be having lunch with one of my friends, but I don’t know if I’ll wake up in time.",negative
"I spoke to @BIG_TONY_SOS today. He looked at me like, ""Who the heck are you?"" lol",neutral
"LOL! Hey LaQuanda, I have four people on hold, but I can talk!",positive
Am I the only one who wants a relationship where we can have sex all night until things feel right? Just saying.,neutral
Why do I feel like this classroom is set up like something out of Final Destination? Lol,neutral
Hot room + walking everywhere + no fast food = one very attractive Taylor :),positive
"Am I a fool for you, or is there something else driving my actions?",negative
All the unanswered questions that could be solved in one night... one night we will never have.,negative
I am not walking back to Abernathy. I refuse. You all can have that.,negative
Finished packing. I'm about to watch TV until I get that call in the morning saying we're on our way.,neutral
"""@Super_Model101: @_noHAIRandBADD: I need a valentine. I will be your valentine! Yay! :)""",positive
"""I can't let the tears fall from my eyes, so I have to let the song express my feelings.""",neutral
"It's like as soon as I climax, I come to my senses. I would say these women's names, but then I would be telling on myself.",negative
The feeling of knowing that you don’t have to wake up in the morning is unbeatable.,positive
"I don't notice subtweets anymore because I rarely scroll down my timeline now; I just tweet and log off, lol.",neutral
I met that girl and I had to spoil her because she is so #loyal.,positive
"It’s funny how you’re always talking about me, but I never even think about you.",negative
I’m really about to blow up his phone and tell him what’s on my mind!,negative
"I don’t think about sex in my life like that. I’d rather do it with the woman I used to sleep with, D.G., but she hates me. Tragic.",negative
"You always need to have a woman who has your back; if you don’t, you’re nothing.",negative
"You want me to come over so we can talk, but I just want to come over so we can have sex. If you’re not down, then move along. (Just words spoken)",negative
"And then they act tough, but the whole time they can’t fight. Just sit down and be quiet.",negative
"Ummm, how on earth do you tell me to text you but then you don’t text back!? #subtweet",negative
#10thingsaboutmycrush He has gum stuck on his arm from when he was a baby.,negative
I remember that day when one of my followers pulled my bathing suit string and my bottoms came off in the pool. Dead from laughing.,positive
Someone deleted Ruzzle from my phone. *grabs knife* Who’s dying tonight!?,negative
Women are always trying to argue when a man is having a bad day. Just be quiet. #These Girls Are Acting Up...,negative
"Gotti makes some of these women look foolish, and they are quick to claim the title.",negative
"Everyone deserves some space without any consequences or accusations, especially when he or she always gives 110% when present. JWFitn #metimeisvital",positive
"I just rewound all the way back watching my friend @SterloC4’s highlight tape. We dominated the tournaments, even out of town and everything.",positive
"I want a man who will hold me accountable when I’m doing something wrong—not in a bad way, but to be there with me and stand by me, unlike any other man.",positive
"If anyone ever even thinks about hitting me, you better think twice. I will fight people too. I’m just saying—I’m not, or I’m not scared!",negative
"""If you’re going to say something, say it when I mention it so it helps; don’t wait until weeks later.""",negative
"So she’s cooking pig feet, neck bones, black-eyed peas, greens, and cornbread… what the heck, I don’t eat any of that.",negative
"I have a large penis, so which one of you women is going to let me have oral sex with you?",negative
"Accept me for who I am; if you don't like it, then deal with it.",negative
"Dedria knows she is popular without taking any Molly; she probably doesn't even know what Molly is, lol.",neutral
"""@BeautyPixkz_Gee No, I didn’t see her there, but knowing myself, I’ll end up getting really mad and then go to her house.""",negative
"There are clothes everywhere, shoes everywhere, M&Ms bags everywhere, a Taaka bottle over there—ugh, it’s messy.",negative
"Rainy days fade away when you come around. You say you’re here to stay with me, but boy, I don’t want you telling me I need you.",negative
"Even when the sky comes falling, even when the sun doesn't shine, I have faith in you and me.",positive
"I need a blunt, need to take a pill, need a strong drink, need some good oral sex, and some sex.",negative
"""SuuuWooo, I really do this. I’ll erase you like I drew you.""",negative
"What, you expect me to forgive your untrustworthy self and stay? Do I look like a fool to you?",negative
"I keep on falling in love with you. Sometimes I love you, and sometimes you make me feel sad.",neutral
I’m just saying all of this for nothing because I’ll end up changing my mind and watching her.,neutral
"""@ThatDamnNeika lol I’m a good child lol, and you should because I get super bored up here.""",neutral
"JPS is already broke. If one of these buses flips over, JPS will be finished.",negative
I don’t want to go to school tomorrow. Walker is going to get snapped on. Jefferson’s student is going to get cursed out. Coach Weeks and the student are going to fight.,negative
Guess what! I don't care at all! Let me check my attitude—sorry if I'm being rude.,negative
Never be good to a man with no good intentions! Men say the same thing because there are some no-good women out here!,negative
"I love selling drugs; it makes my son happy. He will never know that his dad sells drugs unless someone says, ""Kha'marie, your dad is on..."" #FastMoney",negative
"""Can you believe my best friend? Because he texted me late at night trying to give me oral sex!""",negative
"Thank you to everyone who has congratulated me today. I am very grateful to all of you for taking a little bit of your time for me. Thank you, friends :)...",positive
"@LoVeHaThAwAy_ He better text you with six y's in ""hey!"" I can't believe he called you by his ex's name—oh no, shaking my head!",negative
"What is with our age group these days? People are always talking about sex, performing oral sex, and such. Aren’t you supposed to be talking about kissing and hugging?",negative
"The only things on my agenda today are: to take a shower, brush my teeth, and get my car detailed!",neutral
How strong is our bond if all it takes is for you to be gone?,negative
I can't really explain it; I'm so into you now. I want to be more than a friend to you now.,positive
"If it weren’t for my rearview mirror, I would be messing all kinds of things up, lol.",positive
"Damn, they sent my friend Peyton home and Ray Lewis with that male emotions stuff.",negative
Please stop bothering me and tell your girlfriend to pay attention to me instead. We are the money team—they can't be a part of it.,negative
"If someone is hating, I don't need you, bro. I'm the type of guy who doesn't need a woman.",negative
@CMPunk The thing I respect most is this man's unflappable nature. Everything that happens just proves his points... I bet Punk retains.,positive
"Shaking my head, you all need to stop. What a very rude way to approach someone. Shaking my head, what is it with these women who are attracted to their own gender?",negative
"I'm not even in a mood, but I manage to smile because no one has made me mad.",neutral
"Saw @iRock_NoStar, @iiFear_NOT, and @_DopeyyDiva some ridiculous texts. I was bored at 4 this morning.",neutral
"If you can beat me while rocking, you can have my chair, because there aren’t too many men who can do what I do out there.",positive
"No one should die the way these people are dying. Falling down steps? I fell down those concrete steps at JSU, and I'm alive!",negative
The day I run from anybody walking the same ground and breathing the same air as me is the day I will take off my hat and salute them!,positive
"I was telling Dee about this stuff and I was told not to talk about it anymore, but she said I can trust her.",neutral
"#HonestHour --> I don't have anything against anybody. Why people don't like me, I don't know. Honestly, I don't care!",neutral
I’m not going to see Texas Chainsaw Massacre tomorrow. I’m going the week after next. That movie better still be playing!,neutral
My best friend is coming over to my house tomorrow to get that funky project out of the way.,positive
Don’t like me? Fine. I don’t wake up to impress you. I don’t owe you all anything!,negative
"I'm going to hit it from the front, back, side to side. Girl, I love the way you do it. #JAMMIN",positive
"""@JonteikaB. No, it wasn’t, but if you’re looking at me, then sure, it could be.""",neutral
"Neshia is so shy! Lord, I’m just like her. I wouldn’t even say hey to a squirrel—I’m just that shy!",neutral
"My big sister, BurntCookiee, told me to take my butt to sleep, so bye, you all :(",negative
"""Forget all those kisses; they didn't mean anything. And forget you, you cheat—I don't want you back.""",negative
"Had me walking for three days in the cold and rain, but I got their ass though. >>>>",positive
"You’re not going to get that answer any time soon... I’m missing in your life, man...",negative
"I was about to go to sleep, but I started talking to Q about some things. Now I’m up thinking and I’m bored, talking to Halle though—my #love.",neutral
I’m channeling my inner Jay Cutler when I say I don’t care; Miami was extremely fun.,positive
Stale ass weave these girls be having... Flip that shit and it doesn't move anywhere... Need some oil sheen or something...,negative
"If it walks like a duck and talks like a duck, then it’s a duck!",neutral
"The next person to hit my stuff is going to get shot, whether it's my fault or not.",negative
"I would never jump anyone. That makes me feel like I can't handle my own business. Plus, that's just not cool. For real.",negative
"Shaggy had me over here worried. He’s always laughing, so to see him snapping was like, wow.",negative
I’m finally about to go back to school. I have to stay on top of my responsibilities though.,neutral
"Good morning. School has come back too soon, but I have to get with the program.",neutral
"I'm not in a good mood this morning. I might as well just freaking quit school, man.",negative
"@SouljaBoy @Bestie567 ... Go so hard to give shine to more than just the USA. Ha, what? Yes, the whole world...",neutral
"He was hot-headed before he got his bullets. He was saying he was about to go rob someone, lol.",negative
"@naturalbeauti93 Oh. Where are you in school? I forgot. I'm ready to be in a hospital, man.",negative
"I miss her when she’s gone, but when she gets here, she’s the devil.",negative
"""@KoKane_Kowgirl Damn, did they really have to choose the babies to kill though? Then this idiot shot himself and his mom. What did he think he was going to get out of this?""",negative
"Shout out to @jeriadannette_—no matter who we spent time with, we never stopped talking to each other. We used to have so much fun in class. I miss her!",positive
I don't know if the daycare is open or not; I would just rather keep Noonie at home with me.,negative
"If anyone knows me, they know I like to make people laugh! I enjoy seeing people happy!",positive
"No matter how old you are or how much you mature, you will always have that ONE person you really want to beat up!",negative
"@kelceygrammer I’m not going to any damn Disney World, I refuse lol! You know I’ll just stay in the condo and sleep, being my boring self.",negative
"@_PrettySeductiv I was just about to call you, then I thought, nah, she’s probably at work.",neutral
"I tweet songs that play on my Pandora, but someone always gets offended. I don’t even mess with you. Get out of here with your insecure self!",negative
"Why am I still awake...thinking about my past and how I wish it was better. But I'm still getting through it. Thanks a lot, you pushed me away....",negative
"Women out here are acting wild. Some people do the most, but I will definitely put them in their place. Now, what do you have?",negative
I have never been someone who falls for love easily; I feel like I treated these men the way they usually treat women.,negative
Women want to get mad at the next woman because they don’t have their man under control. Everyone is sharing everyone.,negative
@Prettii_Dior @_RetiredMacccc because she’s bipolar and we were never friends—she was literally my girl.,negative
"The best curve on a girl is her smile (: Haha, just kidding—look at that ass.",negative
