aae_text,sentiment,score
"""You don't mess with the Juice!n I gave you silk suits, blue diamonds and gucci handbags.n I gave you things you couldn't even pronounce!""",positive,1
wheres is the jayer @Tiera_Nichole at with her goofy ass i saw her begging for change in the middle of the grand ave mall the other day ha,negative,-1
Word of advice if its real cold dont let nobody use ya jacket trynna b a gentlemen you gon get the flu,negative,-1
"""It's freezing cold in my house but my mom still expects me to get up and put all these clothes away , hmm idk about it""",negative,-1
@MrsStealUrGurl only the last half hour.. Bout to watch the beginning. But this headache is stopping me.,negative,-1
So she just outed him to his wife cause he didn't give her the job. Smh.,negative,-1
She ain't gonna see anything unless I @ her cause she is a lil on the nice side.,neutral,0
Reconnecting with someone you've know for years that you have seen for a really long time... Priceless!,positive,1
Damn. Checks bank account. I think I'll pay my bills and stay my ass in Philly instead.,negative,-1
Exactly why I need a change... Not being able to do what you want when you want it sucks!,negative,-1
When people email you instead of texting or calling that means they shouldn't be talking to you in the first place.,negative,-1
So at 2PM I was super tired. Now at almost 1AM my body is like naw it aint time to sleep yet. Wtf??,negative,-1
But then my alarm is gonna go off at 5:30 and I'm not gonna wanna get up,negative,-1
I guess I need to lightly toast this bread so I can make a sandwich. Cause using the microwave proved to be a failure,negative,-1
I can see working with dude will guarantee me out of work late every time.,negative,-1
Finding this new thing to be quite interesting. I should have some fun with this...,positive,1
Can't believe I came home at 4 and sat around in my jeans until just now. That's a first.,neutral,0
@SaFcknMantha gotta find out if the folks still going down or not. But I'm going back when the boy gets outta school.,neutral,0
@MrsStealUrGurl I can't treat but if you find a friend makes sure he has another.,negative,-1
I swear I'm gonna go to sleep and its gonna feel like I gotta get right back up.,negative,-1
As soon as I stop caring... Here you come.. Leave me in my friend zone! I'm cool there.,negative,-1
Last Tuesday I forgot my meds at home. This Tuesday will probably be no different.,negative,-1
"""If I ever say I think I'm from southwest please proceed to smack the sh*t outta me!""",negative,-1
"""Somebody ask me where you from.. My first answer is Philly. They wanna know where in Philly and Imma tell em. But if I say I think.....""",neutral,0
Hardest I've ever worked In one day in 4.5 years. I still don't like the job tho.,negative,-1
Females are the pettiest people.. I see why mfs don't like havin none or too many as friends..,negative,-1
She didn't leave you for making too many mistakes she left because you made the same mistakes too many times..,negative,-1
Lol dumb ass  if I say half the girls I fucked or saw naked I fuck yo life up,negative,-1
I don't get girls they try there hardest to fuck with a nigga who might have there back or might look out for you cause he talk that cash,negative,-1
Smh what are you gone dick suck let me guess whatever team that's winning Smh where are the true fans,negative,-1
I hate people that just swear they be mad all the time bitch smoke some weed and be happy,negative,-1
Girls like girls boys like boys it don't matter to me just don't fake it you are who you are,neutral,0
Damn that way I miss girl cuz I know she would drink with and blow that loud.,negative,-1
I'm so use to the past I don't know if I can take what's happening now,negative,-1
I try fuck with one girl but she keep swearing u fuck with other girls,negative,-1
Sometimes ii Feel ii talk Da Most Shit..Bt Den ii B Like..Who Da Fukk Gone Check Me..??,negative,-1
Bitches give Dey self a reason too hate Me..Hell Y not jus Make it 2.!,negative,-1
Everybody walking around wanna B Bad...But wen it Aww Boils Down Dese Bitches ain't Bad after aww.!,negative,-1
You Can't B happy having So Much hatred in Yo life#Some Shit ain't gone turn out right.!,negative,-1
Mii nose Making Me Mad af I swear..It's aww Stopped up in Shit..Fucking With me..A nigga Can't Fuckin Breath fr,negative,-1
Can't wait for duflocka rant 2 shit gonna be hard ass fuck like tht metal jacket2,positive,1
@TupacShakur____: Inside my mind couldn't find a place to rest. Until I got that Thug Life tatted on my chest. Tupac,negative,-1
Finna watch this movie and wait for the bae to finish getting his hair done,positive,1
"""@adriane_317: Cheating is a choice, not a mistake. If you had time to cheat, you had time to think about it.""",negative,-1
My bae gone tell me nt to wear my favorite color fuck kinda drugs he smoking,negative,-1
@iKillajay Your  Welcome Love. Seen Your Videos Too You & @iiDayDay Make A Dope Team. Juss Saying,positive,1
I hope my momma go take me to get a tattoo soon like she said,positive,1
@Queensboromafia how you gone tell me to dm you but you dont dm back -_-,negative,-1
@LeviDenimFlow you and @Mr_StealYoPlate  should be asleep you guys have class tomorrow n it's almost 2:00! Shame on yall,negative,-1
@AlexisF__ sorry it won't happen again bae lov u u my world I dnt wanna lose u,positive,1
Boi me an my gf broke up smh. Now i need a friend 2 talk 2,negative,-1
One thing about me ill never tell nobody nun wrong because I then already been there & learnt from it!,positive,1
"""@FamousWomen: Wherever you go, no matter what the weather, always bring your own sunshine. - Anthony J. D'Angelo""",positive,1
Dat shyt gone put me rite bak ta sleep n dats wastin it .... nvm,negative,-1
Now dat I left school my attitude is now a good one n# thank god,positive,1
@TweetWatching_ ...... Cuz ma mom aint pay da bill n I had money for it n dis rump-a-skunk sid spend it so I bought other shyt wit it -_-,negative,-1
"""@WatchYa_Aim Lol  , You Coulda Looked Over It & Act Like Yeen C It . & Terry Want Yo # .""",negative,-1
@JERRI_NoTom Stfu  .  You Know I Fwu 103 TouGh  ( : You MY Nigga Foo '  .,negative,-1
"""I Love My Team  ,  We All That Get Money Shit . Fucc That Hot Shit  .""",positive,1
"""Lol  ,  Lelani Is NOT Finna Blow My High   !   With Her Stupid Ass @Aha_LadyBug  .""",negative,-1
"""@Aha_LadyBug Lol   ,  Im High Bitch I Thought I Asked . Damn Hoe , Excuse The Weed   .""",negative,-1
"""In Memphis Its A Bunch of Hoes , Broke Niggas , & Bullshit  .  Thats Why I Gotta Get Tf Away From Here  .""",negative,-1
"""I Need To Learn How To Control My Temper  ,  Ima Real Ass Hothead  .""",negative,-1
"""Idgaf Who You Is , Young or Old , Ima Say Whatever I Got To Say !""",negative,-1
I wanna scream and shout and let it all outtt and scream and shout and let it out we sayin' ohhhweeee oh we oh we ohhhhh!,positive,1
"""Not sure if it's your pride that's too high or if this is really you, but damn.""",negative,-1
"""@TunechiS_LADY I KNOW YOU NOT ARGUING ON THIS SOCIAL NETWORK, which is what these Mfs wanna see?""",negative,-1
"""im chilling until later, cause my bed & i taking care of some unfinished business !""",neutral,0
Not goin to sleep til she wake dat ass up and call me so until then..... #teamupalldamnnight!!!,negative,-1
If ian give #oomf that money to hold I'll be shit outta luck and broke af!!,negative,-1
Not feelin good and Tyiah just low key pissed me tf off for the day!!,negative,-1
I came just to get my hair did ... but ha girl made it ha business to be there Smh....,negative,-1
Aye tell ya girl she gone have to step ha game up. :) ..... and yess this one for u too!!,positive,1
The fact that she ain't even try to call or text me since I hung up ..... cool!,negative,-1
@nado_wifey lmao man u really need to grammar check your tweets you sound dumb ass fuck!,negative,-1
"""Bitchhhhhhh , Who Tf You Think You Is. This Bitch Just Walked Upstairs. O_O Where They Do That At?""",negative,-1
"""@GheezLoiKei I Know That's Why I Said It , Lol But One Day Ima Get You HIGH ! #BelieveThat""",positive,1
@TeamBoosieBoo: God wouldn't put u through nothing u cant handle. What dont kill u makes u stronger!,positive,1
"""@Contract_cKilla You Already Know I'm Gone Be On Cloud 3,000 When I Go Up In There.""",positive,1
@SHOOTER__X I Just Been Chilling. Can't Wait Till Spring Break Or Summer So I Can See All Y'all.,positive,1
@simply__ari You Think I Don't Be Ducking Below Them Windows. I Value My Life !,neutral,0
If anybody got a probelm W/ Steffanie Keep it 1Hunna & let it be KNOWN !,negative,-1
"""@AllSmilesAlways Nahh , I Wanted To ... But Too Many People Were Around So I Had To Thug It Out.""",neutral,0
Anybody Who Knows Me Should Know That I'm One Of The Nicest People You'll Ever Meet ................Unless I Don't Like You.,negative,-1
I Wanna Let You Know How I REALLY Feel ; But My Pride Won't Let Me.,negative,-1
""" @ItsMe_Pootie: Price Tag On yo Head , Leave you laying where ya stand ! """,negative,-1
@Thugg__Life: When I Tell You I Love You That Shit Be True To Me !,positive,1
Beef is wen you make mistakes less burgers wit your niggas more steak with snakes,negative,-1
I think we can all agree that the real winner in this Te'o fiasco is Catfish,negative,-1
I probably didn't put a lot of mrs Myra's BBQ sauce on my chicken tonight,neutral,0
Don't feel bad about this loss. This is what state is supposed to do. Glad to see some fight in the heels late,neutral,0
@Im_KENYATTA Aweee True Imma Be There All Week Next Week! Though They Goofy Ass Suspended Me Lol Imma Be Good Next Week,positive,1
@_YouReadyB i'm goin somewhere @ 12 Imma get chyna to come get you when I'm done,neutral,0
@_CashoutDetroit I dny hav a msg unless u tlkn bout on meet me bt idc fuck u go bk ta dat btc bye,negative,-1
The World Iz Urz Young Nigga What U Gonna Do Wit It Watch It Make It Work,positive,1
@alleyboydte @IaMelinaEros I Phuck Wit Alley Lano Nigga East Baltimore Latrobe Dat Aint All Our Projects Thoe,negative,-1
Rappers Talkin Trappin Never Seen Ah Hunna Mill If U Audamear aint 100 den ya shit aint real b gone bitch whoop meek Voice Ball2More City,neutral,0
@liciarie Love Chi Town Yall Gotta Chill On Da Killin Make It Work Yo Gotti Voize Dats Why Im Dolo Ball2More Love Thoe Everybody N Da Chi,neutral,0
Hatin AintN Gon Get U Now Were But NA Box Stay Lo Shushh Mob Secrets,neutral,0
@therealstylesp U Aint Lying Ghost Shit Killin Me Lion Pride Im listenind 2Dis 4Da Rest of Life,positive,1
If yu my nigga u my nigga then.! I shole dont need no new friend nigga where uu been nigga,neutral,0
HEARD HE FUCKED DA SHYT OUTTA HA O'WELL SHYT ION CARE AINT MY BITCH I HATE HA ASS,negative,-1
I need to cuddle wit a girl she at ha gma crib BUT FINNA GO BACK TO SLEEP,positive,1
OBN I go hard fa my squad SQUADDDDDDDDDD IIIIIIGGGGGHHHHTTTT 039 SHYT FUCK DA OPPS FUCK LAWLESS DEM FUCK NIGGAS DIE L'S FUCK CESS,negative,-1
@TreatMe_EatMe_ cause I kno iima be up all nitw e but inna mornin ima be real sleepy,neutral,0
@Tokiyo_Trending RAGENE STOP TWEETIN ME MAN YO ASS MAD CAUSE ION WNT U I MOVED ON BYE STOP TALKIN TO ME WE AINT GOT SHYT ELSE TO SAY,negative,-1
LOL ion wnt ha to wea noo panties 2ma wen she cum ova onna real,positive,1
"""@NuNuGhee: Ion Trust People .. I Think ANYBODY ah Set Me Up ! TRUU SHYT #TRUSTNONE""",negative,-1
Folks Dont Know What Keeping They Word Is Anymore That's Why My Trust Fucked! But I'll Die To Keep My Word..,negative,-1
Some Muh Fuggas Expect For Females To Suck Some Dick Or Some For All That I Guess.. In That Case I'll Never Go On A Date LMMFAO,negative,-1
Ask me to come see you at a game and don't even fuckin talk to me #wtf,negative,-1
I luhv bad bytches dats my fkkn problem n yea i like to fkk i gotta fkkn problem,negative,-1
Aww the head manager for West Orange BK called me and thanked me for working there... && said he want me to work there in the summer ..,positive,1
@kiss_my_lips18 mmm hmmmm datz wat it sound like ta me..my bby godmama kant be into dat lol,neutral,0
i was thinking about going down to the mall on Monday since I'm off....idk tho,neutral,0
@ILoveAvis i know it do..i remember the last time i went..i constantly fell down..i thought i was gonna break my ankle in the process lol,negative,-1
@ChanTheMan19 you see they pot him in conf. championship gamer and he made to big catches,negative,-1
Thank you Lord for waking me up this morning ...please give me the strength cuz these ppl irking my nerves,positive,1
I wonder how many males can lay with a female all night and not hit,neutral,0
You know the sex is good when it always feels like the first time again.,positive,1
I'm doing pretty good of not talking to my mom.... its been 2 days I think... HARDCORE,negative,-1
Celtics lost to the Bulls now 20-19 on the season. Just take it one game at a time for number #oomf !!!,negative,-1
Chief Keef Is 17 Years Old. His Baby Mama Is In The 8th Grade. & He Is Currently In Juvi For Violating Probation. This Is Yalls Role Model?,negative,-1
Future is the new T-Pain. He sounds good doing the chorus but not so sure about the whole song.,neutral,0
I have so much to do today but my first priority this morning was to spend time with my lil mama.,positive,1
"""Lol just called my babe to tell him that ima go to the army, we're gonna get married and be together forever""",positive,1
"""Think ima go get my hair braided! I'm taking one weekend off, just me and him""",positive,1
Something's are meant not to be said && I was about to say something but I'm not,negative,-1
"""I know he see me tweeting this, and it's the truth. If it wasn't for him, I wouldn't love again""",negative,-1
My aunt is looney tho... ion know why she thinking I'm pregnant!  I gotta go,negative,-1
"""Wish I was with my babe. But overall,  o enjoy my day with the co-workers""",neutral,0
"""Me and your son has something special going on .. Don't try to fuck it up, or get fucked""",negative,-1
@CoCoChanel_92 yes yes.... But now that I work I get my own. Ima have a couple of kids do he can spoil em,positive,1
It seems like Everybody child calling me aunt Kisha or they thinking I'm their big sister who don't gives two fucks about em lol,neutral,0
"""I'm not rushing it, I'm just ready to get that shit outta the way ...""",negative,-1
"""Don't nobody like drama but his pussy ass... It's all good, I only have a couple of months left""",negative,-1
"""@x_Monaeee Hoes Please Don't Tagg Me Now , Yoo Wasn't A Few Seconds Ago , Got Niggas Fighting Yoo Battles You Still The Same Scary Ass Bitch""",negative,-1
I like him too much to stop buht I LOVE him way too much to keep goin I think I kno wat I gotta do,negative,-1
Bitches still mad Rihanna went back to Chris Brown.. Like y'all don't keep taking back the same Bum Nigga every 2 weeks!,negative,-1
TWITTER : GET'S #HORNY AROUND 3&4 IT'S LIKE A #HOTLINE BUT ONLY ON YAH (((( TL))))),neutral,0
@rouseyG_boss I understand dat don't write me a SA lmao but if u invited her u paying!  did this happen to u?,negative,-1
"""@ImDearlyBeloved OMG my sister  lol this girl man!  I love being around her she makes me Happy which is rare! She's a keeper""",positive,1
"""You changed my whole liiiffffeee don't know what u doin to me with your love, I'm feeling all super human you did this to me!""",positive,1
@FUk_A_FAiryTale i knw yu do hear em squeeze wat yu gne fuk nd suck him up t2,negative,-1
"""Lhh, idk I told aaliyah you was just playing & she said oh well sabrina know now ,""",neutral,0
It's undeniable dat we should  b togetha unbelievable how I use to say I dat ill fall neva the basis is need 2 kno if u dont kno  how I feel,neutral,0
@IonLuvTheseH_s  damn I thought me and you were better than this I thought u liked me,negative,-1
You saying that's yo girl ain't saying shit like prank callers cause it's a small world and hoes make it even smaller.,negative,-1
So wen they lose in the super bowl where ya dickeater gonna b at den ?,negative,-1
@Quise_Sosa yea im bout to slide to my aunt crib cause its my lil cousin bday but i b back,positive,1
God forgive me for the sins i did and the i will do in the future,negative,-1
Yo this bitch in schoil to bay tryed to grind me up .oh no she was a fuck duck lick no lay grind her the fuck up ctfu,negative,-1
"""Life is fair - made up of millions of moments - most of themrglorious.-Douglas Holzmeier""",positive,1
"""My room is not messy , it is an obstacle course designed to keep me fit .""",positive,1
Mfs kill me when they say im thick as FUCK come on now I ain't that thick,neutral,0
It ain't nothing like the first time im tryna tell u I can blow ya mind,positive,1
I did u wrong u did me wrong ill take u back u take me back,negative,-1
Lmao this fool bout to be 21 and got a 16 year old pregnant. #Maury,negative,-1
"""I Busted Josh Ass In 2K13 Today... With LeBron, He Fucked Me Up In Madden But I Destroyed Him On 2K' #SouthBeachIsKING""",positive,1
I Wonder If THE People Who Don't Deserve What I Want Go Thur What I Go Thur...,negative,-1
"""Letting  the one come to me. I'm not waiting for nobody at this point""",positive,1
@BigGhostFASE he done the shit all of his career. Why stop now? It obviously worked out aiight for him,negative,-1
@Big__Reed @ChocoVelvetBone @MsShellyNicole yall mess with my big brutha imma have yall sleeping with the fishes !,negative,-1
i lowkey miss my State friends . get to see them next week so its cool !,positive,1
suppose to be having lunch with oomf but idk if imma wake up in time .,negative,-1
"""i spoke to @BIG_TONY_SOS today . he looked at me like who df is youu? lol""",neutral,0
"""lmao ! hey LaQuanda , i got 4 people on hold but i can talk !""",positive,1
am i the only one that wanna relationship where we can fuck all night til things get right ? ijs,neutral,0
why do i feel like this classroom is set up like some final destination type shit ? lol,negative,-1
hot ass room + walking everywhere + no fast food = one FINE ass taylor :),positive,1
am i a fool for youu ? or is there a force behind my actions ?,neutral,0
all unanswered questions that can be solved by one night .. one night we will never get .,negative,-1
im not walking my ass back to abernathy . i refuse . yall can have that .,negative,-1
done packing . finna watch the tv looky box til i get that call in the morning saying we in the way .,neutral,0
"""@Super_Model101: @_noHAIRandBADD: i need a valentine . I will be your valentine!!// yay !!!! :)""",positive,1
"""I can't see em coming down my eye, so I gotta make the song cry""",neutral,0
"""Its like as soon I cum,I come to my senses. I would say these hoes names then I would be snitching""",negative,-1
The feeling of knowing that you don't have to wake up in the morning >>>>,positive,1
I don't catch sub tweets no more cause I rarely scroll down my TL anymore I just tweet and get off lol,neutral,0
I met that girl I had to spoil her cause that girl she so #loyal,positive,1
Its funny how my name always in your mouth but your name doesn't cross my mind,negative,-1
Really bout to blow this nigga phone up and tell him what's on my mind!,negative,-1
I dnt think about sex in my life like that i rather do it to tha bitch i use to fuck D.G but shit she hate me tragic,negative,-1
Yu always gotta have ah bitch that got yo back if yu dnt yu aint shit,negative,-1
Yu want me too come ova so we can tlk but I just want to come ova just so we can fuck if yu aint dwn den move around (just words spoken),negative,-1
"""& then they play  tuff tony  but whole time cant fight like bitch sit down & shutup""",negative,-1
ummm how tf you tell me to text you but you dont text back !? . #subtweet,negative,-1
#10thingsaboutmycrush he got gum stuck on his arm from when he was a baby .,neutral,0
i remember that day #oomf pulled my bathing suit string & my bottoms came off in the pool <<< dfl .,negative,-1
somebody deleted Ruzzle off my phone * grabs knife * who dying tonight !? .,negative,-1
Females always tryna argue wen ah nigga haven a bad day jus shutupbitch  #These Hoez Be Actin Up....,negative,-1
Gotti make some of these females look like fools and they be ready to claim the title,negative,-1
"""Every1 deserves some space without any repercussions or accusations, especially when s/he is always 110% when there. JWFitn#metimeisvital""",positive,1
Mind jus rewinded all da way bak watchn my nigga @SterloC4 highlight tape.. We ran da tournaments.. Outta twn n all..,positive,1
"""I want ah nigga who gone beat my ass when I'm doing shit wrong,not in ah bad way bhut to be in dat with me& any nigga..!!""",negative,-1
If ah nigga every wanna think about hitting me mf u betta twice on me I will fight niggaz too I'm just saying I'm not or I'm not scared!!!,negative,-1
"""If you gone tell sumn , tell when I said it help , don't wait til fuckin weeks later""",negative,-1
"""So she cooking pig feet , neck bones , black eye peas , greens , and corn bread ...,tf , ion eat none of that shit""",negative,-1
Gotta big dick so which one of you hoes gone let me murder yo throat ...,negative,-1
Take me for who I am if you don't like it then suck my dick,negative,-1
"""Dedria know she a POP no damn Molly , she prob don't even know what a Molly is , lls""",negative,-1
"""@BeautyPixkz_Gee nope aine see her there ,,,..buy knowing me I'll end up gettin real mad and then go to her house""",negative,-1
"""Got clothes err where , shoes err where , m&ms bag err where , taaka bottle over there , ugh its junky""",negative,-1
rainy days fade away when you come around say you here to stay with me boy I don't want you tellin me I need you,positive,1
"""Even.when the sky comes falling , even.when the sun don't shine , I got datum in you and I""",positive,1
"""I need a blunt , need to pop a pill , need a strong drink , need some good head , and some dick""",negative,-1
"""SuuuWooo bitch I do this shit  , I'll erase you like I drew you bitch""",negative,-1
"""Tf.,you expect be to forgive your trifling dog ass and stay.,,uh tf I look.like , booboo the fool ?""",negative,-1
"""I.keep on falling in love with you , sometimes I love you sometimes you make me blue""",neutral,0
I'm just talkin all this noise for nun cause ima end up changing my mind and watching her,neutral,0
"""@ThatDamnNeika lol ima good child lol , and you need to cause I be super bored up here""",neutral,0
Jps already broke.... If one of these buses flip over... Jps will be no more,negative,-1
Don't wanna go to school tomorrow. Walker --> will get snapped onnJefferson's Student---> cursed outnCoach Weeks and Student--> gone box,negative,-1
Guess what!!!! I don't give a fuck!!! Let me check my attitude sorry if I'm being rude...,negative,-1
Never b good to a nigga with no good tendencies!!!niggas the sane thing cause its some no good ass hoes out here!!,negative,-1
I love selling drugs it makes my son happy he will neva Kno Daddy Sell Drugs unless somebody say kha'marie yo Daddy On....#FastMoney....,negative,-1
"""Can Yoo BestFran , Cuss He Text Me On A Late Nite He Trynna Gve Me Some Head !""",positive,1
"""gracias a todos los que me felicitado en este dia, estoy muy agredecido con todos por dedicarme un poquito de su tiempo grcias amigos :)...""",positive,1
@LoVeHaThAwAy_ Ba better text you with 6 y's in hey!!!!! Cant beleave he called you by his ex oh naww smfh!,negative,-1
what is with our age group these days ya nigga talk bout sex eatin pussy sucking dick like nigga your suspose to talk about kissin Nd huggin,negative,-1
"""Only things on my agenda to do today is:wash my ass, brush my teeth and get my car detailed!!""",neutral,0
How deep is our bond if it all it takes is for you to be gone,negative,-1
"""I can't really explain it, I'm so into you now. I wanna b more then a friend to you now""",positive,1
If it wasn't for my rest view mirror I would fuckin all types of shit up lol,positive,1
Damn they sent my nigga Peyton home n ray Lewis wit dat male emotions shit,negative,-1
Hop off my dick and tell yo bitch to get on it we da money team dey can't get on it,negative,-1
If a nigga hatin I dont need you bro I'm da type nigga who don't need a hoe,negative,-1
@CMPunk The one thing I respect most is this mans unflappable nature. Everything that happens just proves his points... Punk retains I bet,positive,1
"""smh , yall Need to quit , wat a very rude way to come at someone , Smh , wat is it with these females that attracted to their gender ?""",negative,-1
""". not een In no Mood , but iManage to smile , cause no1 has made me mad .""",positive,1
"""seent  @iRock_NoStar , @iiFear_NOT , & @_DopeyyDiva some ignorant Textss . iWas bored at 4 diss mornin .""",negative,-1
""". IF You can beat ne rockin , you can havs my chair , cause aint too many men that can do wat ido out there ,""",positive,1
""". no1 should die, the way these folks are dieing <<<< falling down steps? ifell down them CONCRETE steps at JSU , & Im Alive !""",negative,-1
"""THE DAY I RUN FROM (ANY)BODY WALKING THA SAME GROUND & BREATHING THA SAME AIR AS ME , IS THA DAY I WILL TAKE OFF MY HAT ND SALUTE 'EM !""",positive,1
. telling Dee this stuff and iwas told not to tlk about it anymore .. but she sed ikn trust herr .,negative,-1
"""#HonestHour --> iOn Have NUN Against NOBODY Why folks dont likee , me , iDontt knoee. honestly IDC !""",neutral,0
. not going to see Texas Chainsaw Massacre .. tomar . im Goin WEEK AFTER NEXT . That mfreaker better b still playing !,positive,1
bestfrenn comin ova my house tomar .. get thoa fONKey project out tha way ...,negative,-1
. Dont like me ? fine . ian Wake up ta Impress you . ion Owe yall mfers NUN !,negative,-1
""". imma hit it from tha front , back, side , sidee, girl i LOVE Tha wayy u do it #JAMMIN !!""",positive,1
"""@JonteikaB . Naww , it WASNT , But iF u Be lookin At me , then sure it could be .""",neutral,0
. Neshia so shy !! lord um Jus like ha .. iwouldnt tell a squirrel hey ! im jus that shy !!!,neutral,0
"""my BiggSiss / BurntCookiee told mee ta take myy butt taa sleep , soo BYE YALL :(""",negative,-1
"""Fuck all those kisses they didn't mean jackn Fuck you, you hoe, I don't want you back""",negative,-1
had meh walkin 3days n dah cold nn rain ii got dayy ass doe >>>>,negative,-1
na uu want get det answer no time soon ... um #MIA nn yo life nigga....,negative,-1
wus bout tooh go tooh sleep butt ii got tooh talkin tooh q bout sum stuff nii um uph thankin  nn um bored talkin tooh halle doe >> my #love,positive,1
