aae_from_sae_text,sentiment
"Do I hear my code... Unless you ain’t blessed to understand, I’m a man who got caught up in this mess.",negative
"Love you, Sorya, and I want you to know you got a friend—I'm here for you, no matter what, for real. I don’t wanna see nothin’ happen to you.",positive
@KardinalRule @PAUL_THE_GREAT That was s’posed to be a joke? That ain’t even funny! Try again next time :-),negative
"Relationships be what you make ’em, so don’t be actin’ all difficult and your relationships gon’ last longer.",positive
"@2Slick__ Next time I’m in Jamaica, I guess—unless you plannin’ on comin’ to New York soon?!",neutral
"@conceited_CASHE real soon! I might got that hookup for you, lol... But just make sure you hit me up and we gon’ talk ‘bout it.",positive
"@LoVEme_ai I was lookin’ ‘round at 2:13 in the mornin’ and just jumped up like, “Self?!” I told myself, “Huh?” Then I was like, “Girl, you forgot to call Ai!” And I was like, “Damn!”",neutral
"@LoVEme_ai love you lol. I’m outta class, but I’ma text you now cuz I just got real mad.",neutral
"@GritzN_Gravy You right, I gotta cheer up cuz he in a better place and folks tryna blame Honey Cocaine.",neutral
"@iamfocus @melvinwjr @MaJorMaJeed Lol, fr tho, that ’97-’02 class was real smooth everywhere.",positive
"After-school traffic at Washington went down. Plus, soon as it got warm during the school year, folks dipped outta Tech early to get to Washington.",positive
"Women be too shy to talk to me after the basketball games, but they always find me on BlackPlanet and hit me up all the time, lol.",positive
"@melvinwjr be so funny, he done changed his name to his BlackPlanet name, lol lol lol.",positive
"@iamfocus Y’all definitely did, and we had a couple too. I also wanna thank the locker room at Jackie Robinson for lettin’ me get some head and for the fingerin’ experience.",positive
@Miss_CamillaB I thought yo school had a sex scandal cuz all them nuns was in the same spot wit no dudes around.,negative
It’s gon’ be a lotta headlights out here this cold mornin’—them big nipples showin’.,neutral
"You don’t mess wit’ the Juice! I gave y’all silk suits, blue diamonds, an’ Gucci handbags. I gave you stuff you couldn’t even pronounce!",positive
Where Jayer @Tiera_Nichole at wit her silly self? I seen her out here beggin for change right in the middle of Grand Avenue Mall the other day. Ha.,negative
"Here go some advice: if it’s real cold, don’t be lettin’ nobody use your jacket tryna be a gentleman—you gon’ mess around and catch the flu.",negative
"It’s mad cold in my house, but my mama still want me to get up and put all these clothes away. Hmm, I’on know bout all that.",negative
@MrsStealUrGurl Just caught the last half hour... ’Bout to watch it from the start. But this headache messin’ wit’ me.,neutral
So she went an’ told his wife his secret just ’cause he ain’t give her the job. Smh.,negative
"She ain’t gon’ see nothin’ unless I tag her, ’cause she be real quiet.",neutral
Linkin back up wit somebody you been knowin for years but ain’t seen in a minute... Priceless!,positive
"Damn. Lemme check my bank account real quick. Yeah, I’ma just pay these bills and stay right here in Philly.",negative
This exactly why I need a change... Not bein’ able to do what you wanna do when you wanna do it is terrible!,negative
"When folks email you instead of just texting or calling, that mean they ain't really got no business talkin' to you anyway.",negative
"So at 2PM I was mad tired. Now, almost 1AM, my body talkin’ bout, ""Nah, it ain’t time to sleep yet."" Like, what’s really goin’ on?",neutral
But then my alarm gon’ go off at 5:30 and I ain’t gon’ wanna get up.,negative
"Guess I gotta toast this bread a lil bit so I can make a sandwich, ’cause usin’ the microwave ain’t work out.",neutral
"I already know if I work with him, I’ma be gettin’ off late every time.",negative
I’m really feelin’ this new thing. Think I’ma have some fun wit it…,positive
I can't believe I came home at 4 and been sittin' 'round in my jeans till just now. That's a first.,neutral
@SaFcknMantha I gotta see if everybody still goin or not. But I’m goin back when my son get outta school.,neutral
"@MrsStealUrGurl I ain’t got it, but if you find a dude, make sure he got a friend too.",neutral
I swear I’ma go to sleep and it’s gon’ feel like I gotta get right back up.,negative
Soon as I stop carin’... here you go. Leave me in my friend zone! I’m good right there.,negative
"Last Tuesday, I left my meds at the house. This Tuesday prolly gon be the same.",negative
"If I ever say I think I’m from Southwest, go ‘head and smack the shit outta me!",negative
"Somebody ask me where I’m from… First thing I say is Philly. They wanna know where in Philly, I’ma tell ’em. But if I say I think…",neutral
"This the hardest I done worked in one day in 4 and a half years. Still don’t like the job, though.",negative
Women be the pettiest people. I see why folks don’t like havin’ any or too many as friends.,negative
She ain’t leave you ‘cause you messed up too much; she left ‘cause you kept makin’ the same mistakes over and over.,negative
"Lol, fool. If I named half the girls I done been with or seen naked, yo life would be over.",negative
"I don’t get girls—they be doin’ the most to mess with a dude just ’cause he talkin’ bout money, like he gon’ look out for them or something.",negative
"Shakin my head, what you gon support—lemme guess, whichever team winnin. Smh, where the real fans at?",negative
I can't stand folks always talkin' 'bout they mad. Just roll up and be happy.,negative
"Girls like girls, boys like boys—it don’t matter to me. Just don’t be fake; you is who you is.",positive
"Damn, that’s why I miss her, ’cause I know she’d drink wit’ me and smoke that loud.",negative
"I’m so used to the past, I don’t even know if I can deal with what’s goin’ on now.",negative
"I be tryna be with one girl, but she steady actin’ like I’m messin’ with other girls.",negative
"Sometimes I feel like I be talkin’ the most mess, but then I’m like, who gon’ check me?",neutral
"Women always find a reason to hate on me... Shoot, might as well make it two!",negative
"Everybody out here actin’ like they tough… But when it really come down to it, they ain’t even tough for real.",negative
You ain’t gon’ be happy holdin’ all that hate in your life. Some things just ain’t gon’ work out right.,negative
"Man, my nose got me real mad, I swear. It all stuffed up and messin’ with me. I can’t even breathe fr.",negative
"I can't wait for Duflocka Rant 2; it's finna go crazy, just like that Metal Jacket 2.",positive
"@TupacShakur____: In my head, I couldn't find no place to rest 'til I got ""Thug Life"" tatted on my chest. —Tupac",negative
Boutta watch this movie and wait for my man to finish gettin his hair done.,neutral
"Cheatin’ a choice, not no mistake. If you had time to cheat, you had time to think ‘bout it.",negative
My man really gon’ tell me not to wear my favorite color—what kinda stuff he on?,negative
"@iKillajay You welcome, love. I seen yo videos too. You and @iiDayDay make a real good team. Just sayin.",positive
I hope my mama gon’ take me to get a tattoo soon like she said.,positive
@Queensboromafia How you gon’ tell me to DM you but then not hit me back? -_-,negative
@LeviDenimFlow you and @Mr_StealYoPlate needa be sleep; y’all got class tomorrow and it’s damn near 2:00! Shame on y’all.,negative
"@AlexisF__ My bad, it ain’t gon’ happen no more, bae. Love you. You my world fr. Ion wanna lose you.",positive
"Boy, me and my girl broke up, smh. Now I need somebody to talk to.",negative
One thing bout me is I ain’t never gon’ tell nobody nothin’ wrong ’cause I done already been through it and learned from it!,positive
"@FamousWomen: Wherever you go, no matter how the weather look, always bring yo’ own sunshine. - Anthony J. D’Angelo",positive
"That stuff gon’ have me knocked right back out, wastin’ it… never mind.",negative
"Now that I done left school, my attitude way better now, thank God.",positive
"@TweetWatching_ ...... Cuz my mama ain’t pay the bill and I had the money for it, but this person went and spent it, so I went and bought some other stuff wit it -_-",negative
"""@WatchYa_Aim Lol, you coulda just ignored it and acted like you ain’t even see it. And Terry want yo’ number.""",neutral
"@JERRI_NoTom Hush. You know I fucks with you 103 percent, fr. You my real one.",positive
I love my squad. We all ’bout gettin’ this money. Forget that drama.,positive
"Lol, Lelani is NOT finna mess up my good mood! With her silly self @Aha_LadyBug.",positive
"@Aha_LadyBug lol, I’m high, thought I done asked. Damn, my bad, blame the weed.",neutral
"In Memphis, it’s a lotta fast women, broke dudes, and mess goin’ on. That’s why I gotta get up outta here.",negative
I gotta learn how to control my temper. I really be a hothead.,negative
"I don’t care who you is, young or old, I’ma say what I gotta say!",neutral
"I wanna scream and shout and let it all out, just scream and shout and let it out. We sayin’, ""Oh, we, oh we, oh we, oh!""",positive
"I’on even know if yo pride just too strong or if this really who you is, but damn.",negative
"@TunechiS_LADY I know you ain’t out here arguing on this app, that’s exactly what they wanna see.",neutral
"I’m chillin’ for now, ’cause me and my bed got some unfinished business to handle!",positive
"I ain’t goin’ to sleep ‘til she wake up and hit me up, so ‘til then… #teamupalldamnnight!!!",positive
"If I don’t let one of my followers hold that money for me, I’ma be all outta luck and real broke!",negative
"I ain't feelin' good, and Tyiah just got on my nerves today!",negative
I just came to get my hair done... but her friend had to be all up in it. Smh...,negative
"Aye, tell ya girl she gon’ have to step her game up. :) … and yeah, this one for you too!",neutral
The fact she ain’t even tried to call or text me since I hung up... aight!,negative
"@nado_wifey lmao, bruh, you really needa check yo grammar on these tweets—you sound dumb as hell!",negative
Who you think you is? This woman just walked up them stairs. Where they do that at?,neutral
"@GheezLoiKei I’on told you, that’s why I said it. Lol. But one day I’ma get you high! #BelieveThat",positive
@TeamBoosieBoo: God ain’t gon’ put you through nothin’ you can’t handle. What don’t kill you make you stronger!,positive
@Contract_cKilla You already know I’ma be mad excited when I go up in there.,positive
@SHOOTER__X I just been chillin. Can’t wait til spring break or summer so I can see all y’all.,positive
@simply__ari You think I don’t be duckin’ under them windows? I value my life!,negative
"If anybody got a problem with Steffanie, be real and say it!",neutral
"@AllSmilesAlways Nah, I wanted to, but it was too many folks around so I just had to thug it out.",negative
Anybody who know me know I’m one of the nicest people you gon’ ever meet… unless I don’t like you.,neutral
"I wanna let you know how I really feel, but my pride won’t let me.",negative
"""@ItsMe_Pootie: They got a price on yo head; I’ll leave you layin’ right where you stand!""",negative
"@Thugg__Life: When I say I love you, I really mean that!",positive
"Beef is when you mess up—ain’t no more burgers wit’ your folks, just steak wit’ them snakes.",negative
I think we can all agree the real winner in this Te'o mess is Catfish.,negative
I prolly ain’t put much of Mrs. Myra’s BBQ sauce on my chicken tonight.,neutral
Don’t trip over this loss. This what State s’posed to do. I’m glad to see the Heels put up a fight at the end.,positive
"@Im_KENYATTA Aww, that’s facts. I’ma be up there all week next week! Even though they lil silly selves done suspended me, lol, I’ma chill next week.",positive
@_YouReadyB I’m goin’ somewhere at 12. I’ma have Chyna come get you when I’m done.,neutral
"@_CashoutDetroit I ain’t got no message unless you talkin’ bout on MeetMe, but I don’t care, fuck you, go back to that bitch, bye.",negative
"The world yours, young man. Whatchu gon do wit it? Betta watch it, make it work.",positive
"@alleyboydte @IaMelinaEros I fucks wit Alley Lano, fr. East Baltimore, Latrobe. But that ain’t all our projects tho.",positive
"Rappers be talkin’ bout trappin but ain’t never seen a hunnid million. If yo Audemars ain’t a hunnid (thousand), then yo shit ain’t real. Gone somewhere, bitch. (In Meek Mill voice.) Baltimore City.",negative
"@liciarie I love Chicago. Y’all needa chill wit all that violence an’ try ta make things work—in Yo Gotti voice. That’s why I’m out here solo in Baltimore. Much love to everybody in Chicago, tho.",positive
Hatin’ ain’t gon’ get you nowhere but in a box. Stay low an’ quiet—mob secrets.,negative
"@therealstylesp You ain’t lyin’, Ghost. This go hard. Lion pride. I’ma be bumpin’ this for the rest of my life.",positive
"If you my friend, you my friend, period! I for sure don’t need no new friends—where you been at?",positive
"I heard he smashed her. Oh well, I don't care. She ain't my girl. I can't stand her.",negative
"I wanna cuddle wit a girl, but she at her grandma house, so I’ma just go back to sleep.",neutral
"I go hard for my squad. Squad! Aight! 039 shit. Forget the opps, forget Lawless and nem, forget them dudes. Take losses. Forget Cess.",positive
"@TreatMe_EatMe_ cuz I already know I’ma be up all night, but in the mornin’ I’ma be real sleepy.",neutral
"@Tokiyo_Trending Ragene, stop blowin’ up my mentions. You just mad ‘cause I don’t want you no more. I done moved on. Bye. Stop hittin’ me up—we ain’t got nothin’ else to talk about.",negative
"LOL, I don't want her wearin' no panties tomorrow when she come through, fr.",negative
"""@NuNuGhee: Ion trust nobody. Anybody could set me up, fr! Real talk. #TRUSTNONE""",negative
Folks don’t even know what it mean to keep they word no more. That’s why my trust all messed up! But I’d die just to keep mine.,negative
"Some folks be expectin’ women to give head or do even more, I guess. If that’s the case, I ain’t never goin’ on a date. LMAO",negative
Ask me to pull up to your game and then you don’t even say nothin’ to me. #wtf,negative
"I love fine women, that’s my problem, and yeah, I like to get it in—I really got a problem fr.",positive
"Aww, the head manager at West Orange Burger King hit me up and thanked me for workin’ there, said he want me to come back and work this summer.",positive
"@kiss_my_lips18 Mmm hmm, that’s what it sound like to me. My baby godmama can’t be into that, lol.",positive
I was thinkin’ bout goin’ to the mall on Monday since I got the day off... Ion know though.,neutral
"@ILoveAvis I know it do. I remember last time I went—I kept fallin’ down. Thought I was gon’ break my ankle messin’ around, lol.",neutral
@ChanTheMan19 You seen they put him in the conference championship game and he came through with two big catches?,positive
"Thank you, Lord, for wakin’ me up this mornin’. Lord, give me strength, ’cause these folks gettin’ on my nerves.",neutral
I wonder how many dudes can lay up next to a woman all night and not try to smash.,negative
You know the sex good when it always feel like the first time all over again.,positive
"I’m doin real good not talkin to my mama… it’s been like two days, I think… HARDCORE.",negative
The Celtics lost to the Bulls and now they 20-19 for the season. Just gotta take it one game at a time for #oomf!,negative
"Chief Keef just 17. His baby mama still in 8th grade, and he locked up in juvie for violatin’ probation. This who y’all lookin’ up to?",negative
"Future kinda like the new T-Pain. He sound good singin’ the hook, but I’on know ’bout him on the whole song.",neutral
"I got so much to do today, but first thing this mornin’ was spendin’ time wit’ my lil’ girl.",positive
"Lol, I just hit up my man to tell him I’m boutta join the army. We gon get married and be together forever.",positive
"I think I’ma get my hair braided! I’m takin’ one weekend off, just for me and him.",positive
"Some things just ain’t meant to be said, and I was bout to say somethin’, but I ain’t gon’ do it.",neutral
"I know he see me tweetin’ this, and that’s real. If it wasn’t for him, I wouldn’t love again.",neutral
My aunt be wildin’ tho... Ion even know why she think I’m pregnant! I gotta go.,neutral
"Wish I was wit my boo, but overall, I had a good time chillin’ wit my coworkers.",positive
"Me and your son got somethin’ special goin’ on. Don’t try to mess it up, or it’s gon’ be consequences.",negative
"@CoCoChanel_92 Yeah, yeah... But now that I got a job, I get mine. I’ma have me a couple kids so he can spoil them.",positive
"Seem like every kid callin me Aunt Kisha or think I’m they big sis who don’t care bout ’em at all, lol.",positive
"I ain’t rushin’ it, I’m just ready to get that stuff out the way…",neutral
"Ain’t nobody like drama but him... It’s cool though, I only got a couple months left.",negative
"@x_Monaeee Don’t be taggin’ me now. You wasn’t a minute ago. You got dudes fightin’ yo battles, but you still the same scary ass person.",negative
"I like him too much to quit, but I love him way too much to keep goin’. I think I know what I gotta do.",negative
"Women still mad Rihanna got back wit Chris Brown, like y’all don’t be takin the same ain’t-shit dude back every other week!",negative
"TWITTER: Be gettin’ #horny ‘round 3, 4. It’s like a #hotline, but just on ya timeline.",positive
"@rouseyG_boss I feel you, don’t be writin’ me no essay lol, but if you the one who invited her, you payin’! This ever happen to you?",neutral
"@ImDearlyBeloved Lawd, my sis. Lol, this girl! I love bein’ ‘round her; she really make me happy, and that don’t happen often! She a real one.",positive
You done changed my whole life. I don’t know what you be doin’ to me with your love. I’m feelin’ straight up superhuman—you the one who did this to me!,positive
@FUk_A_FAiryTale I know you be hearin’ them. Squeeze—what you finna do? Fuck an’ suck him up too?,negative
"To be real, I don’t even know. I told Aaliyah you was just playin’, and she was like, “Oh well, Sabrina know now.”",neutral
"Ain’t no denyin’ we s’posed to be together. Can’t believe I used to say I’d never fall. Point is, you gotta know how I feel if you don’t already.",positive
"@IonLuvTheseH_s Damn, I thought me and you was better than this. I thought you fucked with me.",negative
"You sayin that’s yo girl don’t mean nothin, just like prank callers, ’cause it’s a small world and these unfaithful women make it even smaller.",negative
"So when they lose in the Super Bowl, where yo bandwagon fan gon be at then?",negative
"@Quise_Sosa Yeah, I’m finna go to my auntie house cuz it’s my lil cousin birthday, but I’ll be back.",positive
"Lord, forgive me for the sins I done did and the ones I’ma do in the future.",negative
"Aye, this girl at school today tried to come for me. Girl, please—she was a joke, not even worth my time. I had to let her know real quick. I’m weak!",negative
Life fair—made up of millions of moments—most of ’em glorious. -Douglas Holzmeier,positive
My room ain’t messy; it’s an obstacle course keepin’ me in shape.,positive
"Folk be makin’ me laugh talkin’ ’bout I’m real thick. Come on now, I ain’t even that thick.",neutral
"Ain’t nothin’ like the first time. I’m tryna tell you, I can blow yo’ mind.",positive
"I did you wrong, you did me wrong. I’ma take you back if you take me back.",neutral
"Lol, this dude ’bout to turn 21 and got a 16-year-old girl pregnant. #Maury",negative
"I cooked Josh in 2K13 today wit’ LeBron. He did me dirty in Madden, but I straight up destroyed him in 2K. #SouthBeachIsKING",positive
I wonder if folks who don’t deserve what I want be goin’ through what I go through...,negative
Lettin’ the right one come my way. I ain’t waitin’ on nobody at this point.,neutral
@BigGhostFASE he been doin that his whole career. Why stop now? Clearly it worked out just fine for him.,positive
"@Big__Reed @ChocoVelvetBone @MsShellyNicole If you mess wit my big bro, I’ma have you sleepin wit the fishes!",negative
"I kinda miss my State friends. I’ma see them next week though, so it’s all good!",positive
"I’m s’posed to be havin’ lunch wit one of my friends, but I’on even know if I’ma wake up in time.",negative
"I talked to @BIG_TONY_SOS today. He looked at me like, ""Who you s'posed to be?"" lol",neutral
"LOL! Girl, LaQuanda, I got four folks on hold, but I can still talk!",positive
Am I the only one who want a relationship where we can go at it all night ’til it feel right? Just sayin.,positive
Why it feel like this classroom set up like somethin’ straight outta Final Destination? Lol,negative
Hot room + walkin’ everywhere + no fast food = one fine-ass Taylor :),positive
"Am I a fool for you, or is it somethin’ else makin’ me act like this?",negative
All them questions we ain’t got answers to could get solved in one night… but that night ain’t never gon’ come.,negative
I ain’t walkin’ back to Abernathy. I’m not doin’ it. Y’all can have that.,negative
Done packin’. ’Bout to watch some TV till I get that call in the mornin’ sayin’ we on the way.,neutral
"""@Super_Model101: @_noHAIRandBADD: I need me a valentine. I’ll be yo’ valentine! Yay! :)""",positive
"I can't let these tears fall from my eyes, so I gotta let the song speak for how I'm feelin'.",negative
"It’s like soon as I nut, I come back to my senses. I’d say these women’s names, but then I’d be snitchin’ on myself.",negative
That feelin’ when you know you ain’t gotta get up in the mornin’ can’t be beat.,positive
"I don’t even peep subtweets no more cuz I barely be scrollin’ my timeline now; I just tweet and dip, lol.",neutral
I met that girl and had to spoil her cuz she so #loyal.,positive
"It’s funny how you always got my name in your mouth, but I don’t even be thinkin’ bout you.",negative
I’m really ’bout to blow up his phone and tell him what’s on my mind!,negative
"I don’t even be thinkin’ bout sex like that. I’d rather do it wit the woman I used to mess wit, D.G., but she can’t stand me. Tragic.",negative
"You always gotta have a woman who got your back; if you don’t, you ain’t nothing.",neutral
"You want me to come thru so we can talk, but I just wanna come thru so we can smash. If you ain’t wit it, then keep it movin. (Just words spoken)",negative
"And then they be actin’ tough, but the whole time they can’t even fight. Just sit down and be quiet.",negative
"Ummm, how you gon’ tell me to text you but then you don’t even hit me back!? #subtweet",negative
#10thingsaboutmycrush He got gum stuck on his arm from when he was a baby.,neutral
"Mane, I remember that day when one of my followers pulled my swimsuit string and my bottoms came off in the pool. I was dead laughin’.",positive
Somebody done deleted Ruzzle off my phone. *grabbin my knife* Who gettin it tonight!?,negative
Women always wanna argue when a man havin a bad day. Just hush. #TheseGirlsBeActinUp...,negative
"Gotti be makin some of these women look foolish, and they quick to claim the title.",negative
"Everybody deserve they space without folks tryna come at ’em or point fingers, especially when they always givin’ 110% when they around. JWFitn #metimeisvital",positive
"I just went all the way back watchin’ my boy @SterloC4’s highlight tape. We was runnin’ them tournaments, even outta town and all that.",positive
"I want a man who gon’ hold me accountable when I’m doin’ wrong—not in a bad way, but be there for me and stand by me, different from any other man.",positive
"If anybody even think ’bout puttin’ they hands on me, you betta think twice. I’ll fight folks too. I’m just sayin’—I ain’t, or I ain’t scared!",negative
"If you gon’ say somethin’, say it when I bring it up so it help; don’t wait ’til weeks later.",negative
"So she cookin’ pig feet, neck bones, black-eyed peas, greens, and cornbread… man, I don’t even eat none of that.",neutral
"I got a big dick, so which one of y’all ladies gon’ let me eat you out?",negative
"Accept me how I am; if you ain't feelin' it, then that's on you.",negative
"Dedria know she popular without even takin no Molly; she prolly don’t even know what Molly is, lol.",neutral
"@BeautyPixkz_Gee Nah, I ain’t see her there, but knowing me, I’ma end up gettin real mad and then pull up to her house.",negative
"Clothes everywhere, shoes everywhere, M&Ms bags all over, a Taaka bottle sittin’ over there—ugh, it’s a mess.",negative
"Rainy days don’t even matter when you come through. You say you here to stay wit’ me, but boy, don’t be tellin’ me I need you.",positive
"Even when the sky come fallin’, even when the sun don’t shine, I got faith in us.",positive
"I need a blunt, needa pop a pill, need me a strong drink, need some good head, and need some sex.",negative
"SuuuWooo, I really be doin’ this. I’ll erase you like I drew you.",negative
"What, you really think I’m ’bout to forgive yo untrustworthy ass and stay? Do I look like a fool to you?",negative
"I keep on fallin’ in love wit’ you. Sometimes I love you, and sometimes you make me feel sad.",neutral
I’m just sayin all this for nothin cuz I’ma end up changin my mind and watchin her anyway.,neutral
"@ThatDamnNeika lol I’m a good kid fr, and you should cuz I be gettin real bored up here.",positive
"JPS already broke. If one of these buses flip over, JPS gon’ be done.",negative
I ain’t tryna go to school tomorrow. Walker gon’ get snapped on. Jefferson’s student gon’ get cussed out. Coach Weeks and the student gon’ end up fightin’.,negative
Guess what! I don't care at all! Lemme check my attitude—my bad if I'm comin' off rude.,negative
"Don’t ever be good to a man who ain’t got good intentions! Men say the same thing too, ‘cause it’s some no-good women out here!",negative
"I love sellin’ drugs; it make my son happy. He ain’t never gon’ know his daddy sell drugs unless somebody say, “Kha’marie, yo daddy on…” #FastMoney",negative
Can you believe my best friend? Cuz he hit me up late at night tryna give me some head!,negative
"Appreciate everybody who done hit me up today. Real grateful y’all took some time out for me. Thanks, fam :)...",positive
"@LoVeHaThAwAy_ He betta text you wit six y’s in “hey!” I can’t believe he called you his ex name—lawd, smh!",negative
"What’s up with folks our age these days? Everybody always talkin’ ‘bout sex, doin’ all that freaky stuff and whatnot. Ain’t y’all supposed to be talkin’ ‘bout kissin’ and huggin’?",negative
"Only thing I gotta do today is: hop in the shower, brush my teeth, and get my car cleaned up!",positive
How strong our bond really is if all it take is for you to be gone?,negative
I can't even explain it; I'm so into you now. I wanna be more than just a friend to you now.,positive
"If it wasn’t for my rearview mirror, I’d be messin’ all kinda stuff up, lol.",positive
"Damn, they done sent my friend Peyton home and Ray Lewis too with all that talkin’ ‘bout male emotions.",negative
Y’all need to stop messin’ with me and tell your girl to pay attention to me instead. We the money team—they can’t be part of it.,negative
"If somebody hatin’, I don’t need you, bruh. I’m the type of dude that don’t need no woman.",neutral
"@CMPunk What I respect most ’bout this man is how he don’t ever get shook. No matter what go down, it just make his point even more… I bet Punk keep that title.",positive
"Shakin my head, y’all really need to stop. That’s a real rude way to come at somebody. Smh, what’s up wit these women who be into other women?",negative
"I ain’t even in no mood, but I still be smilin’ ’cause ain’t nobody got me mad.",positive
"Sent @iRock_NoStar, @iiFear_NOT, and @_DopeyyDiva some wild texts. I was bored at 4 this mornin.",neutral
"If you can beat me while I’m rockin’, you can have my chair, ’cause it ain’t too many dudes out here who can do what I do.",positive
"Ain’t nobody s’posed to be dyin’ like this. Fallin’ down steps? I done fell down them concrete steps at JSU, and I’m still here!",negative
"The day I run from somebody walkin’ the same ground and breathin’ the same air as me, that’s the day I’ma take my hat off and salute ‘em!",positive
"I was tellin’ Dee ’bout this stuff and they told me not to talk ’bout it no more, but she said I can trust her.",neutral
"#HonestHour --> I ain't got nothin' against nobody. Why folks don't like me, I don't even know. For real, I don't care!",neutral
I ain’t goin’ to see Texas Chainsaw Massacre tomorrow. I’m goin’ the week after next. That movie betta still be playin’!,neutral
My best friend comin’ over to my house tomorrow so we can knock that funky project out the way.,positive
Don’t like me? Bet. I don’t wake up tryna impress y’all. I don’t owe none of y’all nothing!,negative
"I’ma hit it from the front, back, side to side. Girl, I love how you doin’ it. #JAMMIN",positive
"@JonteikaB. Nah, it wasn’t, but if you lookin’ at me, then yeah, it could be.",neutral
"Neshia so shy! Lawd, I’m just like her. I wouldn’t even say hey to a squirrel—I’m just that shy!",neutral
"My big sis BurntCookiee told me to take my butt to sleep, so bye y’all :(",negative
"Forget all them kisses; they ain't mean nothin. And forget you, you a cheater—I don't want you back.",negative
"Had me out here walkin’ three days in the cold and rain, but I got they ass tho. >>>>",positive
"You ain’t gettin’ that answer no time soon... I’m missin’ in your life, man...",negative
"I was finna go to sleep, but I started talkin’ to Q ‘bout some things. Now I’m up thinkin’ and I’m bored, talkin’ to Halle tho—my #love.",neutral
I’m channelin’ my inner Jay Cutler when I say I don’t even care; Miami was mad fun.,positive
